Id	LayoutId	ChessBoardType	ReinforceIds	BuffIds	DisplayBuffIds	ShopId	TargetCondition	UnlockSkillIds	NodeScore	Coin	PartnerPieceLimit	PartnerAddEnergy	Name	NodeType	Icon	Desc	ScenePrefab
29	80	1	[3120101]				5		6000		7	5	困难正式2-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png']	<size=32><color=#FFD584>棋局进度：</color>1/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
30	81	1	[3120201, 3120202, 3120203]				5		6000		7	5	困难正式2-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
31	82	1	[3120301]				5		6000		7	5	困难正式2-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg06.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
33	84	1					21		6000		7	5	困难正式2-5	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png']	<size=32><color=#FFD584>棋局进度：</color>4/4【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>击败扳手小子	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
34	85	1					5		6000		7	5	困难正式3-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>1/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
35	86	1	[3130201]				5		6000		7	5	困难正式3-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
38	89	1	[3130501, 3130502, 3130503]				5		6000		7	5	困难正式3-5	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>主教牺牲时，皇后与国王加血	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
39	90	1					5		6000		7	5	困难正式3-6	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg03.png']	<size=32><color=#FFD584>棋局进度：</color>4/4【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>国王受击会招募士兵	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
40	91	1	[3140101]				5		6000		7	5	困难正式4-1	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>1/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>与堡垒相邻的士兵免伤	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
41	92	1	[3140201]				5		6000		7	5	困难正式4-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>皇后会逃跑，还会招募士兵	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
42	93	1	[3140301]				5		6000		7	5	困难正式4-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>主教会复活，牺牲会给国王加血	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
45	96	1					21		6000		7	5	困难正式4-6	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss02.png']	<size=32><color=#FFD584>棋局进度：</color>4/4【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>击败碧无霸	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
47	98	1	[3150201]				5		6000		7	5	困难正式5-2	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>1/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>士兵阵亡会转生成更强的棋子	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
48	99	1					31		6000		7	5	困难正式5-3	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png']	<size=32><color=#FFD584>棋局进度：</color>2/5</size>\n————————————————\n<color=#FFD584>目标：</color>击败扳手小子家族	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
49	100	1	[3150401]				5		6000		7	5	困难正式5-4	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>3/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>城堡总有薄弱的地方	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
52	103	1					5		6000		7	5	困难正式5-7	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg03.png']	<size=32><color=#FFD584>棋局进度：</color>4/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>来一盘国际象棋吧	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
53	104	1					31		6000		7	5	困难正式5-8	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss02.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss01.png']	<size=32><color=#FFD584>棋局进度：</color>5/5【终局】</size>\n————————————————\n<color=#FFD584>目标：</color>击败碧无霸和扳手小子	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
7	58	1	[3020401, 3020402]				5		3000		7	5	正式2-4【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>4/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
11	62	1	[3030301, 3030302]				5		3000		7	5	正式3-3【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png']	<size=32><color=#FFD584>棋局进度：</color>3/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
12	63	1	[3030401, 3030402]				5		3000		7	5	正式3-4【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>2/4</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>皇后在场，国王免伤	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
18	69	1	[3040401]				5		3000		7	5	正式4-4【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>4/6</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>城堡总有薄弱的地方	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
19	70	1	[3040501, 3040502]				5		3000		7	5	正式4-5【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>5/6</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>皇后在场，国王免伤	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
21	72	1	[3050101]				5		3000		7	5	正式5-1【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg06.png']	<size=32><color=#FFD584>棋局进度：</color>1/8</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>骑士跑的更快	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
25	76	1	[3050501]				5		3000		7	5	正式5-5【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss02.png']	<size=32><color=#FFD584>棋局进度：</color>3/5</size>\n————————————————\n<color=#FFD584>目标：</color>击败碧无霸	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
26	77	1	[3050601]				5		3000		7	5	正式5-6【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>6/8</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>小心皇后	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
32	83	1	[3120401, 3120402]				5		6000		7	5	困难正式2-4【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg01.png']	<size=32><color=#FFD584>棋局进度：</color>4/5</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
36	87	1	[3130301, 3130302]				5		6000		7	5	困难正式3-3【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg04.png']	<size=32><color=#FFD584>棋局进度：</color>3/6</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
37	88	1	[3130401, 3130402]				5		6000		7	5	困难正式3-4【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>4/6</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>皇后在场，国王免伤	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
43	94	1	[3140401]				5		6000		7	5	困难正式4-4【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg02.png']	<size=32><color=#FFD584>棋局进度：</color>4/6</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>城堡总有薄弱的地方	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
44	95	1	[3140501, 3140502]				5		6000		7	5	困难正式4-5【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>5/6</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>皇后在场，国王免伤	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
46	97	1	[3150101]				5		6000		7	5	困难正式5-1【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg06.png']	<size=32><color=#FFD584>棋局进度：</color>1/8</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>骑士跑的更快	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
50	101	1	[3150501]				5		6000		7	5	困难正式5-5【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessChapterBoss02.png']	<size=32><color=#FFD584>棋局进度：</color>5/8</size>\n————————————————\n<color=#FFD584>目标：</color>击败碧无霸	Assets/Product/Scene/ScenePrefab/susheChess_08.prefab
51	102	1	[3150601]				5		6000		7	5	困难正式5-6【废弃】	1	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessTujianImg05.png']	<size=32><color=#FFD584>棋局进度：</color>6/8</size>\n————————————————\n<color=#FFD584>目标：</color>找出并摧毁国王\n<color=#FFD584>提示：</color>小心皇后	Assets/Product/Scene/ScenePrefab/susheChess_07.prefab
