Id	Name	Model	ScriptId	InteractEffectNames	DeathEffectNames	UseDistanceDither	DefaultActionId	DyingTime	StreamingLoadRange	AnimationControllerName	PrefabName
46	Fence	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek02_22Fence_Character.prefab				True					
47	Wealth Tree	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek02_45Plant_Character.prefab				True					
48	Kuroro's Antenna	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/Npc1KuroMd00001Aerial.prefab				True					
49	Basic Chest	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_008Chestlv01_Ani.prefab		['FxChestlv08']		True		1.5			
50	Intermediate Chest	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_009Chestlv02_Ani.prefab		['FxChestlv09']		True		1.5			
51	Advanced Chest	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_010Chestlv03_Ani.prefab		['FxChestlv10']		True		1.5			
52	Operate equipment	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_Terminal.prefab				True					
53	Macaron	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_Terminal.prefab				True					
54	Bunny Dessert	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_011Tudianxin.prefab				True					
55	Notes	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_013Handbook01.prefab				True					
56	Data Screen	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_013Handbook02.prefab				True					
57	Sofa	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Furnishing01.prefab				True					
58	Bench	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Bench01_02.prefab				True					
59	Stool	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Bench01_01.prefab				True					
60	Public Square - Food Store	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_bakery01.prefab				True					
61	Billboard	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_ST_Guanggaota.prefab				True			300.0		
62	Sunshade	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Dingpeng01.prefab				True					
63	Dormitory Object_Ornament Shelf	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_013diyBox.prefab				True					
64	Dormitory Object_Photo Wall	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_013diyqiang.prefab				True					
65	Dormitory Object 3	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_Diy03.prefab				True					
66	Dormitory Object 4	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_Diy04.prefab				True					
67	Dormitory Object 5	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_Diy05.prefab				True					
68	Dormitory Object 6	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_Diy06.prefab				True					
69	Dormitory Object 7	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_Diy07.prefab				True					
70	Trash Can	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_12Lajitong.prefab				True					
71	Trolley	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_09Huowuche.prefab				True					
72	Shopping Cart	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_11Gouwuche.prefab				True					
73	Shopping Basket	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_11Gouwulan.prefab				True					
74	Sign	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_03Zhishipai.prefab				True					
75	Trolley 2	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_09Huowuche.prefab				True					
76	ATM	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_08Shoukuanji.prefab				True					
77	Bucket	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_06Tong.prefab				True					
78	Display Case	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_08Shuiguozhuo.prefab				True					
79	Distribution Box	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_10Dianxiang.prefab				True					
80	Fire Hydrant	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_10Xiaofang01.prefab				True					
81	Public Square - Divination Shop	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Zhanbudian01.prefab				True					
82	Public Square - Clothing Shop	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Clothstore01.prefab				True					
83	Public Square - Flower Shop	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Huadian01.prefab				True					
84	Public Square - Book Shop	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Shudian01.prefab				True					
85	Public Square - Dessert House	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Cakeshop01.prefab				True					
86	Public Square - CUB Shop	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Fzjshop01.prefab				True					
87	Public Square - Cedar Shop	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Snowshop01.prefab				True					
88	Public Square - Kowloong Chamber of Commerce	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_jiulongshop01.prefab				True					
89	Public Square - Akdilek	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Adilaishop01.prefab				True					
90	Public Square - Ocean Heart	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_BD_Oceanshop01.prefab				True					
91	Square Coffee Table	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_WG_Furnishing01_02.prefab				True					
92	Round Table	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_WG_Zhuoyi01_01.prefab				True					
93	Chair	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_WG_Zhuoyi01_02.prefab				True					
94	Tall Chair	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_WG_Zhuoyi01_03.prefab				True					
95	Standing Desk	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Res_WG_Object01_01.prefab				True					
96	Coffee Bar Counter	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Res_JH_Batai01.prefab				True					
97	Shopping Center Door	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_30Men01Ani.prefab				True					
98	Jump Base 1	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_04Prop01.prefab				True					
99	Jump Base 2	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_04Prop05.prefab				True					
100	Jump Base 3	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_04Prop03.prefab				True					
101	Jump Base 4	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_04Prop06.prefab				True					
102	Conveyor Belt	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek03_17Diantilumian.prefab				True					
103	Jumping Challenge Platform 01	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Jumpbase.prefab				True	6003				
104	宿舍物件_照片竖版	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_003Wujian02.prefab				True					
105	宿舍物件_照片横版	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_003Wujian01.prefab				True					
106	Public Square - Ad Banner 01	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_LED_002Pingmu01.prefab				True					
107	Jumping Challenge Conveyor Belt	Assets/Product/BigWorld/SkyGarden_JumpPlayer/TempPrefabs/SG_JH_WG_JiaSu.prefab				True					
108	宿舍摆件_阿呆蛙	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_WG_032Qingwa.prefab				True					
109	Dormitory Object_2	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_sushe_31Xiong01.prefab				True					
110	Dormitory Object_3	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_sushe_19Liushengji.prefab				True					
111	Jumping Challenge Platform 02	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Jump01.prefab				True					
112	Cafe Interaction	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_CafeGhost.prefab				True					
113	Jumping Challenge Platform Obstacle	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Jumpwait.prefab				True					
115	Babylonia Elevator	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pun_BD_Dianti01.prefab				True					
116	Beacon Teleport Point	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_006Teleporter_Ani.prefab				True					
117	Bar Backrest Trapezoid	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_001Sofa.prefab				True					
118	Bar Backrest Triangle	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_002Sofa.prefab				True					
119	Bar Triangle	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_004Sofa.prefab				True					
120	Bar Trapezoid	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_003Sofa.prefab				True					
121	Bar Low Table	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_001Zhuozi.prefab				True					
122	Bar Table	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_002Zhuzi.prefab				True					
123	Bar Tall Chair	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_002Yizi.prefab				True					
124	交互闪光1	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Touch_01.prefab				True					
125	Interaction Flash 2	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_JH_Touch_02.prefab				True					
126	Charging Station	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_003Quanxi02.prefab				True					
127	Glowing Lamp	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Effect_Light.prefab				True					
128	Shopping District Level Chair 1	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_Berth01.prefab				True					
129	Shopping District Level Chair 2	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_Berth02.prefab				True					
130	Shopping District Level Chair 3	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_Berth03.prefab				True					
131	Shopping District Level Chair 4	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_Berth04.prefab				True					
132	Shopping District Level Chair 5	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_Berth05.prefab				True					
133	Shopping District Level Chair 6	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_Berth06.prefab				True					
134	Trash Can	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_WG_Dustbin01_01.prefab				True					
135	Coffee Cup	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_004Kafeibei01.prefab				True					
136	咖啡垫	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Res_WG_Coffee02_07.prefab				True					
137	数据屏2	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Pla_JH_013Handbook03.prefab				True					
138	Data Screen 3	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Bar_WG_002Menu.prefab				True					
139	Jumping Challenge Cog	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Pla_JH_JumpLuomu.prefab			['FxSkyGardenJumpLuomuHit']	True		0.2			
140	Jumping Challenge Floating Platform	Assets/Product/BigWorld/SkyGarden_JumpPlayer/TempPrefabs/SG_Ttl_WG_001Platform.prefab				True					
141	Jumping Challenge Portal	Assets/Product/BigWorld/SkyGarden_JumpPlayer/TempPrefabs/SG_Ttl_WG_002Platform.prefab				True					
142	Dormitory Coating 1	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SkyGarden_SuShe_01.prefab				True					
143	Jumping Challenge Entrance	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_Rukou01.prefab				True					
144	Jumping Challenge Entrance	Assets/Product/BigWorld/SkyGarden_JumpPlayer/TempPrefabs/SG_JH_WG_TanHuang.prefab				True					
145	Jumping Challenge Faulty Cog	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Pla_JH_JumpLuomuRed.prefab			['FxSkyGardenJumpLuomuRedHit']	True		0.2			
146	宿舍摆件-商店街奖杯	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian01.prefab				True					
147	宿舍摆件-咖啡厅花环	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian09.prefab				True					
148	宿舍摆件-历程奖杯	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian02.prefab				True					
149	宿舍装饰-胶囊熊冰箱贴	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_WG_036Xiaoxiontz.prefab				True					
150	宿舍装饰-咖啡厅猫风铃	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian04.prefab				True					
151	宿舍装饰-露西亚好感四叶草	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Clover.prefab				True					
152	宿舍装饰-露西亚好感花环	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Garland.prefab				True					
153	宿舍装饰-跳跳乐奖牌	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian06.prefab				True					
154	宿舍装饰-连连看挂饰	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian05.prefab				True					
155	宿舍装饰-宝箱冰箱贴	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_JH_Wujian03.prefab				True					
156	Jumping Challenge Large Cog	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Pla_JH_BigJumpLuomu.prefab			['FxSkyGardenJumpLuomuHit']	True		0.2			
157	Jumping Challenge Spring	Assets/Product/BigWorld/SkyGarden_JumpPlayer/TempPrefabs/SG_JH_WG_TanHuang.prefab				True					
158	Projection Console	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_003Quanxi01.prefab				True					
159	Projection Interaction 1	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Com_TX001.prefab				True					
160	投影交互跳跳乐	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Pla_JH_JumpLuomuRed.prefab				True					
161	Dreamweaver (Art)	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_Zhuangzhi_Ani.prefab				True				SG_Com_JH_Zhuangzhi_Ani	
162	Shopping Mission Component - Red Pennants	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_031Qizhi01.prefab				True					
163	Shopping Mission Component - Yellow Pennants	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_031Qizhi02.prefab				True					
164	逛街副本组件-彩烟	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu01.prefab				True					
165	Shopping Mission Component - Red Balloon	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu02.prefab				True					
166	Shopping Mission Component - Blue Balloon	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu03.prefab				True					
167	Shopping Mission Component - Orange Balloon	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu04.prefab				True					
168	Shopping Mission Component - White Balloon	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu05.prefab				True					
169	逛街副本组件-灰气球	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu06.prefab				True					
170	Shopping Mission Component - Star Balloon	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu08.prefab				True					
171	Shopping Mission Component - Many Balloons	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_032Qiqiu10.prefab				True					
172	Shopping Mission Component - Green Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_033Liwuhe01.prefab				True					
173	Shopping Mission Component - Orange Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_033Liwuhe02.prefab				True					
174	Shopping Mission Component - Red Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_033Liwuhe03.prefab				True					
175	Shopping Mission Component - Yellow Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_033Liwuhe05.prefab				True					
176	Shopping Mission Component - Blue Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_033Liwuhe06.prefab				True					
177	Shopping Mission Component - 034	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_034Liwuhe.prefab				True					
178	Shopping Mission Component - Colored Smoke 2	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_035Fasheqi.prefab				True					
179	Shopping Mission Component - 036	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_036Liwuhe.prefab				True					
180	Shopping Mission Component - Archway	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_037Menkuang.prefab				True					
181	Shopping Mission Component - Yellow-Green Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_033Liwuhe04.prefab				True					
182	Shopping Mission Component - Archway Side	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_Zhaopai01.prefab				True					
183	Shopping Mission Component - Archway Gift Box	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_WG_Zhaopai02.prefab				True					
184	Reading Display Board	Assets/Product/BigWorld/SkyGarden/TempPrefabs/SG_Pla_WG_005Quanxi01.prefab				True					
185	Coffee Cup Plus	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_004Kafeibei.prefab				True					
186	Cyber Burger	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_FxTouying04.prefab				True					
187	Origami Clover	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_001Clover.prefab				True				SG_Com_JH_001Clover	
188	电影体验券	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_002Trialpass.prefab				True					
189	Froggie Plushie	Assets/Product/BigWorld/SkyGarden_SuShe/SceneObjectPrefabs/SG_Sushe_WG_032Qingwa.prefab				True					
190	点心模型	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_002Dessert.prefab				True					
191	Dish Model	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_002Dishes.prefab				True					
192	心跳回忆装置	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_004Zhuangzhi01.prefab				True					
193	粉色花环	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_001Garland.prefab				True					
194	Four-leaf Clover Ring	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_001Cloverring.prefab				True					
195	酒杯	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_004Jiubei.prefab				True					
196	Coffee	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_004Kafeibei.prefab				True					
197	花盆	Assets/Product/BigWorld/SkyGarden/SceneObjectPrefabs/SG_Com_JH_004Huapen.prefab				True					
