Id	NpcId	Name	Desc	RecommendElement	Icon	LiHuiPath	Priority	InitQuality	CarryCharacterType	ChipItemId	ChipNeedCount	DefaultLock	GoodsDesc	GoodsWorldDesc	DecomposeItemId	DecomposeItemCount	RecommendCharacterId	NoCameraSwitchDuringTransformation	PartnerType	AvaliableTimeId
16130000	4213	掣矩	伤害	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Quan1.png	Assets/Product/Texture/Image/Pets/Pet3QuanonMd010011.png	130	3		213	30				[62]	[150]	1011004		1	
16140000	4214	虹霁	聚怪，伤害	[3]	Assets/Product/Texture/Image/RolePartner/Pet3Wuzei1.png	Assets/Product/Texture/Image/Pets/Pet3WuzeioffMd010011.png	140	3		214	30				[62]	[150]	1091003		1	
16150000	4215	坼霆	聚怪，伤害	[4]	Assets/Product/Texture/Image/RolePartner/Pet3Motor1.png	Assets/Product/Texture/Image/Pets/Pet3MotoroffMd010011.png	150	3		215	30				[62]	[150]	1021005		1	
16160000	4216	冥牙	控场，伤害	[4]	Assets/Product/Texture/Image/RolePartner/Pet3Wolf1.png	Assets/Product/Texture/Image/Pets/Pet3WolfoffMd010011.png	160	3		216	30				[62]	[150]	1221003		1	
16170000	4217	昼翼	伤害，霸体	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Griffon1.png	Assets/Product/Texture/Image/Pets/Pet3GriffonoffMd010011.png	170	3		217	30				[62]	[150]	1261003		1	
16180000	4218	潜泽	伤害，控场	[5]	Assets/Product/Texture/Image/RolePartner/Pet3Dolphin1.png	Assets/Product/Texture/Image/Pets/Pet3DolphinoffMd010011.png	180	3		218	30				[62]	[150]	1271003		1	
16190000	4219	夜蝠	伤害，控场	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Bat1.png	Assets/Product/Texture/Image/Pets/Pet3BatoffMd010011.png	190	3		219	30				[62]	[150]	1081004		1	
16200000	4220	徽羽	伤害，控场	[3]	Assets/Product/Texture/Image/RolePartner/Pet3Peacock1.png	Assets/Product/Texture/Image/Pets/Pet3PeacockoffMd010011.png	200	3		220	30				[62]	[150]	1521004		1	
16210000	4221	肃噩	控场、伤害	[6]	Assets/Product/Texture/Image/RolePartner/Pet3Dragon1.png	Assets/Product/Texture/Image/Pets/Pet3DragonoffMd010011.png	210	3		221	30				[62]	[150]	1171004		1	
16220000	4222	寐寤	控场、伤害	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Die1.png	Assets/Product/Texture/Image/Pets/Pet3DieoffMd010011.png	220	3		222	30				[62]	[150]	1241003		1	
16230000	4223	瑞雪	控场，伤害	[3]	Assets/Product/Texture/Image/RolePartner/Pet3Fox1.png	Assets/Product/Texture/Image/Pets/Pet3FoxoffMd010011.png	230	3		223	30				[62]	[150]	1211003		1	
16240000	4224	熠空	控场，伤害	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Raven1.png	Assets/Product/Texture/Image/Pets/Pet3RavenoffMd010011.png	240	3		224	30				[62]	[150]	1021006		1	
16250000	4225	鮟棘	聚怪，伤害	[4]	Assets/Product/Texture/Image/RolePartner/Pet3Anglerfish1.png	Assets/Product/Texture/Image/Pets/Pet3AnglerfishoffMd010011.png	250	3		225	30				[62]	[150]	1051005		1	
16260000	4226	杼菱	聚怪，伤害	[6]	Assets/Product/Texture/Image/RolePartner/Pet3Pandora1.png	Assets/Product/Texture/Image/Pets/Pet3PandoraoffMd010011.png	260	3		226	30				[62]	[150]	1321003	True	1	
16270000	4227	彼莉	聚怪，伤害	[5]	Assets/Product/Texture/Image/RolePartner/Pet3Chiprobot1.png	Assets/Product/Texture/Image/Pets/Pet3ChiprobotoffMd010011.png	270	3		227	30				[62]	[150]	1331003		1	
16280000	4228	雪歌	聚怪，伤害	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Speaker1.png	Assets/Product/Texture/Image/Pets/Pet3SpeakeronMd010011.png	280	3		228	30				[62]	[150]	1531005		1	
16290000	4230	啸牙	聚怪，伤害	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Redwolf1.png	Assets/Product/Texture/Image/Pets/Pet3RedwolfoffMd010011.png	290	3		229	30				[62]	[150]	1131004		1	
16300000	4202	幻影剑	控场，伤害	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Vmirageblade1.png	Assets/Product/Texture/Image/Pets/Pet3VmiragebladeMd010011.png	300	3		230	30				[62]	[150]	1351003		2	910
16310000	4229	科沃兹	聚怪，伤害	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Dcavaliere1.png	Assets/Product/Texture/Image/Pets/Pet3DcavaliereMd010011.png	310	3		231	30				[62]	[150]	1361003		2	910
16320000	4231	浊璃	伤害	[5]	Assets/Product/Texture/Image/RolePartner/Pet3Jellyfish1.png	Assets/Product/Texture/Image/Pets/Pet3JellyfishonMd010011.png	320	3		232	30				[62]	[150]	1041005		1	
16330000	4233	鳞垒	聚怪，伤害	[1]	Assets/Product/Texture/Image/RolePartner/Pet3Bladeshield1.png	Assets/Product/Texture/Image/Pets/Pet3BladeshieldonMd010011.png	330	3		233	30				[62]	[150]	1381003		1	
16340000	4234	浮浮	伤害，控制	[4]	Assets/Product/Texture/Image/RolePartner/Pet3Wuya1.png	Assets/Product/Texture/Image/Pets/Pet3WuyaonMd010011.png	340	3		234	30				[62]	[150]	1031005		1	
16350000	4235	吡啵	伤害，控场	[3]	Assets/Product/Texture/Image/RolePartner/Pet3Elecpanda1.png	Assets/Product/Texture/Image/Pets/Pet3ElecpandaonMd010011.png	350	3		235	30				[62]	[150]	1291003		1	
16360000	4236	波灵	伤害，控场	[5]	Assets/Product/Texture/Image/RolePartner/Pet3Signal1.png	Assets/Product/Texture/Image/Pets/Pet3SignalonMd010011.png	360	3		236	30				[62]	[150]	1141004		1	
16370000	4237	摩利甘	伤害，控场	[6]	Assets/Product/Texture/Image/RolePartner/Pet3Duya1.png	Assets/Product/Texture/Image/Pets/Pet3CrowoffMd010011.png	370	3		237	30				[62]	[150]	1391003	True	1	
16380000	4238	焰燧	伤害，控制	[2]	Assets/Product/Texture/Image/RolePartner/Pet3Lion1.png	Assets/Product/Texture/Image/Pets/Pet3LiononMd010011.png	380	3		238	30				[62]	[150]	1061004		1	
16390000	4239	异身	伤害，控制	[3]	Assets/Product/Texture/Image/RolePartner/Pet3Motordragon1.png	Assets/Product/Texture/Image/Pets/Pet3MotordragononMd010011.png	390	3		239	30				[62]	[150]	1021007		1	
