Id	ConditionId	BornMagic	EnemyBornMagic	PartnerBornMagic	Description
4063		[774903, 764325]	[764492]		4-2加攻
4064		[764325]	[774905, 764492]		4-3减防
4065		[774907, 764325]	[764492]		4-4无伤
4066		[764325]	[774911, 764492]		4-5护盾
4067		[774913, 764325, 199974]	[764492]		4-6回球
4068		[764325]	[764492]		光辉
4069		[764325]	[764492]		狂暴
4070		[764386]			渡边战区buff站位
4071		[764394]			曲战区buff站位
4072		[774919, 764325]	[764367]		怪物每秒受到X点伤害
4073		[774921, 764325]	[764367]		角色受到伤害后无敌
4074		[774923, 764325]	[764367]		造成伤害提升，受到攻击后清除
4075		[774925, 764325]	[764367]		常驻霸体受伤提升
4076		[764325]	[774928, 764367]		狼王效果
4077		[764325]	[774939, 764367]		乃捷尔效果
4078		[764396, 764325, 199974]			必杀后回球
4079		[764325, 774940]	[764367]		超算扣血
4080		[764325, 774942]	[764367]		超算冻结
4081		[764325, 774945]	[764367]		超算重复触发
4082		[764325, 774947]	[764367]		超算双方增伤
4083		[764325]	[764367]		马基分身
4084		[764325, 774957]	[764367]		连闪清空闪避值
4085		[764325]	[764367, 774963]		混沌护盾预留
4086		[764325, 774950, 199974]	[764367]		强化天气
4087		[764102]			战区露娜站位
4088		[199974, 752361]	[774964, 774961]		弱混沌
4089			[764089]		巴别塔混沌盾1
4090			[764090]		巴别塔混沌盾2
4091			[764091]		巴别塔混沌盾3
4092			[858007]		巴别塔克希拉机制1
4093			[858008]		巴别塔克希拉机制2
4094		[777831]			克希拉角色增幅
4095		[777832]			克希拉角色增幅
4096		[774967, 764325]	[764367]		释放必杀对全怪物造成伤害
4097		[764325, 774969]	[764367]		释放必杀后回必杀能量
4098		[764325, 774972]	[764367]		放必杀后全场石化受伤增加
4099		[764325, 774975]	[764367]		放必杀给球
4100		[764325]	[764367, 774976]		怪物正在释放技能时受到必杀伤害后，接下来的X秒内受到全伤害提升
4101		[764325]	[764367]		分裂大西瓜
4102		[199974, 764255]			历战强化预留
4103		[764253]			战区含英强化预留
4104		[764263]			战区万事
4105		[782601, 764325]	[764367]		对敌人造成伤害后自身伤害提升
4106		[764325, 782603]	[764367]		角色反总加深无持续时间
4107		[764325, 782604]	[764367]		敌人受到攻击后总伤害加深率提升 反总下降
4108		[764325, 782606]	[764367, 712002]		对立
4109		[764325]	[764367, 782608]		莉莉丝散失
4110		[764325]	[764367, 774984]		猛毒芬里尔
4111		[764325]	[764367, 774987]		炎拳小辉辉
4112		[764325, 764290, 199974]	[764367]		历战小露天气预留
4114		[752389, 199974]	[764280]		弱雷盾
4115		[752388, 199974]	[764281]		弱真意斩
4116		[764288, 764289]			雷盾天气
4117		[764285, 764287]			真意斩天气
4118		[764283]			露神天气
4119		[764288, 764289, 764181]			雷盾天气强化版
4120		[764325]	[764367, 782875]		猛毒芬里尔
4121		[764325]	[764367, 782876]		炎拳小辉辉
4122		[764325]	[764367, 782875]		怪物反总伤害降低X点
4123		[764325]	[764367, 782876]		怪物每秒获得一层脆弱，反总伤害加深率降低X点，可叠加Y层，无持续时间
4124		[764325, 782878]	[764367]		角色在释放必杀后获得X点反总伤害加深率，持续Y秒，重复触发刷新
4125		[764325, 782880]	[764367]		每次释放必杀所有怪物反总伤害加深率降低X点，持续Y秒，吃时停
4126		[764325]	[764367, 783302]		怪物每隔X秒获得一层“减伤”，增加自身X总伤害加深率，玩家闪避怪物攻击后移除怪物3层buff，若“减伤”不足3层则额外层数添加“脆弱”减少怪物反总伤害加深率X点，当存在“脆弱”时怪物添加“减伤”时转为扣除“脆弱”
4127		[764325]	[764367, 783305, 783310]		恶龙专用：恶龙会每隔X秒切换元素使用不同元素攻击玩家（巴别塔恶龙改一改，但不需要抗性）
4128		[764325]	[764367, 783306]		维罗妮卡专用：与怪物完成拼刀后，本次拼刀使用的技能类型与上一次相同，则怪物增加一层“减伤”：获得X反总伤害加深，持续X秒，若不相同则获得一层“脆弱”：减少X反总伤害加成，持续Y秒，buff互相独立，叠加时不刷新，吃时停
4129		[764325, 199974, 783453]	[764367]		历战辣辣米天气预留
4130		[783451]			战区辣辣米
4131		[783461]			战区慈悲者
4132		[199974, 783472]	[783473, 783474]		弱混沌2.0
4133		[782611, 764325]	[764367]		角色在出场以及每隔X秒（吃真时停）获得一个持续Y秒的Z点的护盾，并且拥有护盾时自身总伤害加深率提升X%，退场后不生效也不移除，时间继续走，吃真时停
4134		[782614, 764325]	[764367]		在场角色对怪物造成伤害后获得持续X（吃真时停）秒的Y点护盾 不叠加，0.5SCD，吃真时停
4135		[782618, 764325]	[764367]		角色释放必杀后获得持续X秒的Y点护盾 ，吃真时停
4136		[782620, 764325]	[764367]		角色每次受击时生成X点持续Y秒的护盾，Z秒CD，吃真时停
4137		[782623, 764325]	[764367]		成功闪避怪物的攻击时获得持续X秒的Y点护盾 ，0.5SCD，吃真时停
4138		[764325]	[782626, 764367]		冯内裤开场以及损失血量达到X%/Y%时获得自身生命最大值Y%的稳态力场护盾并且为角色添加一个持续Z秒N点的护盾 ，吃真时停
4139		[783852, 199974, 764325]	[764367]		角色拥有护盾时自身总伤害加深率提升30%
4140		[783475]			战区lls
4141		[783479]			战区the赛
4142		[783488]			战区覆冰天气
4143		[199974]	[753096]		战区弱覆冰
4144		[764325]	[764367, 782576, 782577]		催眠曲：怪物每次发动攻击后会昏迷X秒
4145		[764325, 782580]	[764367]		在场角色每秒回复X点生命值与Y点闪避值
4146		[764325]	[764367, 782583]		恐怖音乐：怪物初始反总伤害加深率降低X点，并且每隔15秒再次降低Y点，可叠加Z层
4147		[764325, 782586]	[764367]		噪音：场上每个X秒场上会有随机一个怪物被赋予噪音，受到噪音效果的怪物反总伤害加深率提升其他怪物反总伤害加深率下降Y点，噪音持续Z秒
4148		[764325]	[764367, 782589]		尾音：怪物每损失X%的生命值，获得Y%的伤害加成并减少Z%的防御
4149		[764325]	[764367, 782592]		塞壬尖啸与歌声：塞壬每隔X秒发出尖啸，受到影响后玩家屏幕出现红潮特效模糊看不清楚持续Y秒，每隔X秒塞壬会发出歌声，歌声状态下在场角色能量每秒回复Y点，血量每秒回复Z点，闪避值每秒回复N点，持续M秒
4150		[764325, 199974, 783854]	[764367]		"""三消后X秒暴击伤害增加Y%,持续Z秒，吃时停"""
4151		[779958]			战区火薇拉
4152		[772802, 764325]	[764367]		新词缀1
4153		[772807, 764325]	[764367]		新词缀2
4154		[772808, 764325]	[764367]		新词缀3
4155		[772812, 764325]	[764367]		新词缀4
4156		[772818, 764325]	[764367]		新词缀5
4157		[772820, 764325]	[764367]		新词缀6
4158		[199974, 764325, 783857]	[764367]		新词缀7
4159		[784402]			战区维吉尔
4160		[784406]			战区但丁
4161		[199974]	[734216]		战区弱焚烧
4162		[784416]			战区比安卡
4163		[199974, 764325, 783859]	[764367]		三重增幅
4164		[772823, 764325, 755601]	[764367]		升能护盾
4165		[772828, 764325, 755602]	[764367]		巨力护盾
4166		[772833, 764325, 755603]	[764367]		破盾失能
4167		[772839, 764325, 755604]	[764367]		破盾蚀血
4168		[784419]			战区维罗妮卡焚烧
4169		[784422]			战区维罗妮卡物理
4170		[764325, 772844]	[764367]		锋芒乍现
4171		[764325, 772848]	[764367]		超限骇客
4172		[764325, 772850]	[764367, 772853]		疾限时刻
4173		[764325, 199974, 783861]	[764367]		充盈战意
4174		[784428]			战区神丽芙
4175		[199974]	[755001]		战区弱黯衍
4176		[784425]			战区黯衍天气
4177		[784454]			战区布偶熊
4178		[764325, 756300]	[764367]		1
4179		[764325, 756304]	[764367]		11
4180		[764325, 756315]	[764367]		14
4181		[764325]	[764367, 756308]		boss定制
4182		[764325, 199974, 756310]	[764367]		新环境
4183		[784457]			战区罗塞塔暗
4184		[784459]			战区罗塞塔真意斩
4185		[784464]			战区涅缇娅
4186		[764325, 756325]	[764367]		1
4187		[764325, 756328]	[764367]		11
4188		[764325, 756333]	[764367]		14
4189		[764325]	[764367, 756336]		boss定制
4190		[764325, 199974, 756338]	[764367]		新环境
4191		[784465]			战区神威
4201		[764151, 764018, 764136]			战斗评分玩法雷毛
4202		[764151, 764100, 764136]			战斗评分玩法火神
4203		[764137, 764274]	[764152, 764273]		战斗评分玩法慈悲者
4204		[764151, 764161, 764136]			战斗评分玩法绯耀
4205		[764151, 764162, 764136]			战斗评分玩法露娜
4206		[764137, 764278]	[764152]		战斗评分玩法维罗妮卡
4207		[764137, 764272]	[764152, 764271]		战斗评分玩法回音
4208		[764151, 764050, 764136]			战斗评分玩法小露
4209		[764137, 782646]	[764152, 782645]		战斗评分玩法帕瓦
4210		[764151, 782640, 764136]			战斗评分玩法70
4211		[764151, 782650, 764136]			战斗评分玩法赛琳娜
4501		[764158]			评分异火嘲讽
4502		[776485]			评分异火防御
4503		[776486, 776487]			评分异火加负
4504		[776490, 776492]			评分异火普攻
4505		[764086]			评分雷毛嘲讽
4506		[776493]			评分雷毛防御
4507		[776486]			评分雷毛加负
4508		[762094]			评分雷毛普攻
4509		[764276]			评分绯耀嘲讽
4510		[776499]			评分绯耀防御
4511		[762078]			评分绯耀加负
4512		[762079]			评分绯耀普攻
4513		[764275]			评分含英嘲讽
4514		[776494]			评分含英防御
4515		[776496]			评分含英加负
4516		[776497]			评分含英普攻
4517		[764277]			评分小露嘲讽
4518		[762095]			评分小露防御
4519		[776486, 776487]			评分小露加负
4520		[762097]			评分小露普攻
4521		[782642]			评分2.0通用取代嘲讽
4522		[150814]			评分70转圈圈
4523		[150815]			评分70GP大加分
4524		[150816]			评分70特殊GP
4525		[783481]			评分赛琳娜-1
4526		[783482]			评分赛琳娜-2
4527		[783483]			评分赛琳娜-3
4528		[764151, 783490, 764136]			评分玩法维吉尔
4529		[764151, 783491, 764136, 783511]			评分玩法但丁
4530		[783492]			评分维吉尔嘲讽
4531		[420289]			评分维吉尔防御
4532		[420287]			评分维吉尔加负
4533		[420290]			评分维吉尔普攻
4534		[783493]			评分但丁嘲讽
4535		[783502]			评分但丁防御
4536		[783506]			评分但丁加负
4537		[783500]			评分但丁普攻
4538		[764151, 783512, 764136]			评分玩法薇拉
4539		[783513]			评分薇拉嘲讽
4540		[783521]			评分薇拉防御
4541		[783522]			评分薇拉加负
4542		[783525]			评分薇拉普攻
4601		[746465]			评分玩法慈悲者技能2
4602		[746466]			评分玩法慈悲者技能3
4603		[746467]			评分玩法慈悲者技能4
4604		[746468]			评分玩法慈悲者技能5
4605		[746469]			评分玩法慈悲者技能6
4606		[746470]			评分玩法慈悲者技能7
4607		[746471]			评分玩法慈悲者技能8
4608		[746465]			慈悲者技能教学关技能2（抓取技能）
4609		[746466]			慈悲者技能教学关技能3（进攻技能）
4610		[746467]			慈悲者技能教学关技能4（抓取技能）
4611		[746468]			慈悲者技能教学关技能5（弹刀技能）
4612		[746469]			慈悲者技能教学关技能6（弹刀技能）
4613		[746470]			慈悲者技能教学关技能7（弹刀技能）
4614		[746471]			慈悲者技能教学关技能8（抓取技能）
4615		[746472]			回音技能教学关技能1——combo1
4616		[746473]			回音技能教学关技能2——combo2
4617		[746474]			回音技能教学关技能3——刚射
4618		[746475]			回音技能教学关技能4——滑步射击
4619		[746476]			回音技能教学关技能5——克除朽暗
4620		[746477]			回音技能教学关技能6——连珠箭
4621		[746478]			回音技能教学关技能7——前翻空射
4622		[746479]			回音技能教学关技能8——上柱弓
4623		[746480]			回音技能教学关技能9——时停箭雨
4624		[746481]			回音技能教学关技能10——突进脚踢
4625		[746482]			回音技能教学关技能11——蓄力射箭
4626		[746483]			回音技能教学关技能12——柱子上射箭
4627		[746484]			回音技能教学关技能13——追踪箭
4628		[746485]			维罗妮卡教学关技能1-三连拼A
4629		[746486]			维罗妮卡教学关技能2-三连拼B
4630		[746487]			维罗妮卡教学关技能3-闪现三连拼
4631		[746488]			维罗妮卡教学关技能4-飞天连拼
4632		[746489]			维罗妮卡教学关技能5-投技
4633		[746490]			维罗妮卡教学关技能6-震荡波
4634		[746491]			维罗妮卡教学关技能7-龙闪
4635		[746492]			维罗妮卡教学关技能8-X字斩
4636		[753318]			帕瓦教学关技能1
4637		[753319]			帕瓦教学关技能2
4638		[753320]			帕瓦教学关技能3
4639		[753321]			帕瓦教学关技能4
4640		[753322]			帕瓦教学关技能5
4641		[753323]			帕瓦教学关技能6
4642		[753324]			帕瓦教学关技能7
4643		[753325]			帕瓦教学关技能8
4648		[753420]			维吉尔技能教学关
4649		[753421]			维吉尔技能教学关
4650		[753422]			维吉尔技能教学关
4651		[753423]			维吉尔技能教学关
4652		[753424]			维吉尔技能教学关
4653		[753425]			维吉尔技能教学关
4654		[753426]			维吉尔技能教学关
4655		[753427]			维吉尔技能教学关
4656		[753428]			维吉尔技能教学关
4657		[764137, 783528]	[764152, 783527]		战斗评分玩法维吉尔
4658		[764137, 783529]	[764152]		战斗评分玩法依诺·卢娅
4659		[753444]			吉他技能教学关
4660		[753445]			吉他技能教学关
4661		[753446]			吉他技能教学关
4662		[753447]			吉他技能教学关
4663		[753448]			吉他技能教学关
4664		[753449]			吉他技能教学关
5001		[200294]			效应紊乱
5002		[200290, 200215]	[200201]		效应焚烧
5003		[200292]			效应电束
5004		[200291]			效应真意斩
5005		[200293, 200251, 200203, 200252, 200266]			效应冰结
5006		[200295]			效应辐射
5007		[200296]			效应光
11001			[770000, 764379]		模拟作战中的敌人生命增加15%
11002			[770001, 764380]		模拟作战中的敌人生命增加30%
11003			[770002, 764381]		模拟作战中的敌人生命增加45%
11011			[770003]		模拟作战中的敌人攻击增加10%
11012			[770004]		模拟作战中的敌人攻击增加20%
11013			[770005]		模拟作战中的敌人攻击增加30%
11031			[770021]		模拟作战中的敌人物理抗性增加30%
11032			[770055]		模拟作战中的敌人物理抗性增加20%
11033			[770056]		模拟作战中的敌人物理抗性增加40%
11034			[770057]		模拟作战中的敌人物理抗性增加60%
11041		[770045]	[770050]		模拟作战中的敌人整体作战能力提升30%
11042		[770046]	[770051]		模拟作战中的敌人整体作战能力提升60%
11043		[770047]	[770052]		模拟作战中的敌人整体作战能力提升90%
11044		[770048]	[770053]		模拟作战中的敌人整体作战能力提升120%
11045		[770049]	[770054]		模拟作战中的敌人整体作战能力提升150%
11051			[770036]		模拟作战中的敌人移动速度提升25%
11052			[770037]		模拟作战中的敌人移动速度提升50%
11053			[770038]		模拟作战中的敌人移动速度提升100%
11061			[772003]		模拟作战中的敌人拥有霸体值时，额外伤害减免提升10%
11062			[772004]		模拟作战中的敌人拥有霸体值时，额外伤害减免提升20%
11063			[772005]		模拟作战中的敌人拥有霸体值时，额外伤害减免提升30%
11131			[770024, 770027, 770030, 770033]		模拟作战中的敌人元素属性抗性增加30%
11151		[770058]			勘探单元的狂暴状态下攻击力提升变为40%
11152		[770059]			勘探单元的狂暴状态下攻击力提升变为40%，同时受到伤害减少20%
11153		[770060]			勘探单元的狂暴状态下攻击力提升变为40%，同时受到伤害减少20%，并恢复最大生命值30%
12001		[771001]			减少玩家角色15% 生命值
12002		[771002]			减少玩家角色30% 生命值
12003		[771003]			减少玩家角色45% 生命值
12101		[771086]			玩家距离敌人越远伤害越低，从2.5米开始，每加1米，额外伤害减免提升20%。（最多增加80%）
12111		[771097]			玩家距离敌人越近伤害越低，从4米开始，每加1米，额外伤害减免提升20%。（最多增加80%）
12051		[771052]			模拟作战中，构造体的移动速度将减少25%
12052		[771053]			模拟作战中，构造体的移动速度将减少50%
12053		[771054]			模拟作战中，构造体的移动速度将减少75%
12121		[771111]			QTE冷却时间增加3s
12122		[771112]			QTE冷却时间增加6s
12123		[771113]			QTE冷却时间增加10s
12131		[771108]			模拟作战中，闪避槽上限减少200
12132		[771109]			模拟作战中，闪避槽上限减少400
12133		[771110]			模拟作战中，闪避槽上限减少600
12151			[770545]		模拟作战中，敌人将不再受到超算空间的限制
13001		[772055]			每隔25秒，将会触发一次雷暴，在以玩家为圆心的10m半径范围内，随机5个位置进行雷击，造成2000点雷属性伤害
13002		[772056]			每隔20秒，将会触发一次雷暴，在以玩家为圆心的10m半径范围内，随机5个位置进行雷击，造成2000点雷属性伤害
13003		[772057]			每隔15秒，将会触发一次雷暴，在以玩家为圆心的10m半径范围内，随机5个位置进行雷击，造成2000点雷属性伤害
13051		[772000]			模拟作战中，构造体受到的治疗效果减少50%
13052		[772000]			模拟作战中，构造体受到的治疗效果减少50%
13053		[772000]			模拟作战中，构造体受到的治疗效果减少50%
13071		[772015]			模拟作战中，上阵的全体构造体每秒损失90点生命值
13072		[772016]			模拟作战中，上阵的全体构造体每秒损失180点生命值
13073		[772017]			模拟作战中，上阵的全体构造体每秒损失270点生命值
13081		[772045]			模拟作战中，在场构造体每秒遭受40点物理伤害，每过20秒，病毒浓度增加1层
14001		[770114]			巴别塔难度选择1
14002		[770115]			巴别塔难度选择2
14003		[770116]			巴别塔难度选择3
14004		[770117]			巴别塔难度选择4
14005		[770118]			巴别塔难度选择5
21001		[771502]			增加玩家角色 40% 生命值
21011		[771503]			模拟作战中，上阵构造体的攻击提升10%
21101		[771585]			由4米开始判断，构造体距离目标每靠近1米，额外伤害加成提升15%，最多增加至60%
21111		[771596]			"""每次三消触发QTE时，会同时触发两个场下角色的QTE,有6秒的冷却时间。"""
21121		[771610]			模拟作战中，触发QTE后，当前在场构造体伤害提升15%，持续5S
21131		[771616]			召唤QTE后，治疗当前角色最大生命值 15%。
21211		[771651]			角色火属性伤害增加30%
21221		[771650]			角色雷属性伤害增加30%
21231		[762202]			角色冰属性伤害提升30%
21261		[771648]			模拟作战中，构造体的额外伤害减免提升45%
21271		[771649]			模拟作战中，构造体的额外伤害减免提升30%
22051		[771631]			模拟作战中，上阵构造体受到的治疗效果提升25%
22061		[771632]			模拟作战中，上阵构造体连击数大于40/60/80时，额外伤害加成提升5%/10%/15%
22071		[771636]			模拟作战中，上阵构造体每隔3秒自动增加1个信号球
22081		[771638]			模拟作战中，上阵构造体每消除1次信号球，额外伤害加成提升2%，持续3秒，最多可叠加10层。
22091		[771524, 771527, 771530, 771533]			模拟作战中，构造体元素属性伤害增加15%
22101		[771646]			模拟作战中，构造体造成背击的额外伤害加成提升20%
22111		[771652]			模拟作战中，装甲型泛用机体造成的元素属性伤害增加50%
22121		[771657]			装甲型角色额外伤害加成提升65%
22131		[771659]			装甲型角色额外伤害减免提升45%
22141		[771661]			元素属性伤害增加45%
22151		[771661]			元素属性伤害增加45%
22161		[771666]			角色火属性伤害增加45%
22171		[771671]			物理伤害增加45%
22181		[771672]			角色雷属性伤害增加45%
22191		[771611]			召唤QTE后，当前角色的额外伤害加成提升45%，持续5s
22201		[771617]			召唤QTE后，回复当前角色最大生命值20%的生命值
22211		[771501]			增加玩家角色 45% 生命值
22221		[771673]			角色每隔3秒自动增加3个相同颜色信号球
22231		[771677]			玩家角色普通攻击的额外伤害加成提升15%
22241		[771572]			加快构造体必杀槽1%的积累速度
22251		[773136]			闪避槽上限增加700
22261		[773135]			闪避槽上限增加400
22271		[771573]			加快必杀槽2%的积累速度
22281		[761061]			每隔3秒获得1个红色信号球
22291		[761071]			每隔3秒获得1个黄色信号球
22301		[761081]			每隔3秒获得1个蓝色信号球
22311		[771553]			增加30%的移动速度
22321		[771616]			释放QTE之后，治疗当前角色15%最大生命值
22331		[771624]			闪避槽上限增加70%
22341		[771731]			队伍中存在两个同类构造体时，全队伤害加成和减免提高20%，存在三个同类构造体时，全队伤害加成和减免提高40%
22351		[771736]			角色上场后，会在10秒内获得35%的额外伤害加成
22361		[771738]			每次三消回复8%生命值，每次二消回复5.5%生命值，每次单消回复3%生命值
22371		[771756]			玩家受到的治疗量将转换为伤害
22381		[771754]			玩家获得超级霸体
22391			[772129]		攻击怪物时概率场景中掉球，拾取后获得对应技能球
22401		[772152]			元素攻击击中敌人时会对周围释放该元素伤害aoe，冷却8秒
22411		[772172]			每隔10秒以自身为中心聚怪一次
22421		[772178]			免疫灼烧火焰易伤
22431		[772184]			消球时根据伤害回复生命
22441		[770156]			黄球造成伤害后根据消球数恢复最大生命
22451		[770157]			受到治疗后增加30%物理伤害，持续6秒
22461		[771809]			切人冷却时间减少3s，切人后增加25%额外伤害3秒
22471		[771811]			QTE获得最大生命20%的霸体护盾，持续4秒
22481		[771802]			拥有抗体时每秒回复最大生命
22491		[771804]			每10秒增加10%伤害与5%伤害减免，可叠加4层，换人重置
22501		[740796]	[740796]		受到治疗后增加30%元素伤害，持续5秒
22511		[740797]	[740797]		三消时释放治疗新星，小幅度恢复一定范围内所有友军的生命值
22521		[770732]			技能造成伤害后获得护盾3秒，重复触发刷新持续时间
22531		[770734]			每损失25%生命获得1%生命恢复
22541		[770652]			每颗红球命中后获得2%伤害加成，上限30%，换人重置
22551		[770655]			蓝球命中后根据消球数恢复20/10/5%生命，冷却12/8/5秒
22561		[770649]			黄球命中后获得霸体与20%减伤5秒，根据3/2/1消冷却7/8/10秒
22571		[770656]			释放必杀获得4个随机球与1次坠落免疫，冷却15秒
31071			[780211]		敌人增加5-40%移动速度，与目标距离越远，效果越大
31072			[780211]		敌人增加中等移动速度，与目标距离越远，提升效果越明显
31073			[780211]		敌人增加大量移动速度，与目标距离越远，提升效果越明显
32001			[780221]		敌人变得不可撼动
32011			[780231]		敌人每秒恢复最大生命值1%
32012			[780232]		敌人每秒恢复最大生命值2%
32013			[780233]		敌人每秒恢复最大生命值3%
32021			[760241]		每8秒生成一个持续3秒的，生命值上限15%的护盾
32022			[760242]		每8秒生成一个持续3秒的，生命值上限25%的护盾
32023			[760243]		每8秒生成一个持续3秒的，生命值上限35%的护盾
