Id	BankId	HelperId	Type	Chat	ChatReply	PreChatId	Weight	Question	RightAnswer	Answers	RightReply	WrongReply	HelperIcon	HelperName
21001302	10013	1001	2				2000	1001题库3问题2	2	{1: '1001题库3问题2A', 2: '1001题库3问题2B', 3: '1001题库3问题2C'}	正确	错误	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	里
31001101		1001	3	1001招募成功回复	感谢								Assets/Product/Texture/Image/UiMoeWar/RoleHeadSoundonly.png	里
41001101		1001	4	1001招募失败回复	我会继续努力								Assets/Product/Texture/Image/UiMoeWar/RoleHeadSoundonly.png	里
11002101		1002	1	如我所料，你还是来了。									Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
11002102		1002	1	客套话就免了，直接进入提问环节吧。		11002101							Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
11002103		1002	1	放心，我计算过的，都是你能回答出来的问题。		11002102							Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002101	10021	1002	2				3000	乱数机体的伤害属性包含？	1	{1: '物理', 2: '冰', 3: '火'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>物理</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002102	10021	1002	2				3000	乱数机体哪个技能可以在释放的同时进行位移？	1	{1: '红色信号球', 2: '黄色信号球', 3: '蓝色信号球'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>红色信号球</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002103	10021	1002	2				3000	我的武器是？	1	{1: '双枪', 2: '狙击枪', 3: '步枪'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>双枪</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002201	10022	1002	2				3000	莫瑞是谁？	2	{1: '你的哥哥', 2: '你的弟弟', 3: '谁？'}	说得没错，继续保持。	?，正确答案应该是<color=#3291DB>你的弟弟</color>	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002202	10022	1002	2				3000	我比较擅长什么	1	{1: '运算', 2: '作战', 3: '后勤'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>运算</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002203	10022	1002	2				3000	我平时喜欢	2	{1: '打扫', 2: '修理', 3: '做饭'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>修理</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002301	10023	1002	2				3000	我和神威拌嘴的胜率是多少？	2	{1: '三七开', 2: '五五开', 3: '六四开'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>五五开</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002302	10023	1002	2				3000	还记得我关于粽子的喜好吗？	1	{1: '咸肉粽', 2: '甜枣粽', 3: '酸菜粽'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>咸肉粽</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
21002303	10023	1002	2				3000	还记得我加入灰鸦小队前是隶属于哪里吗？	3	{1: '清理部队', 2: '科学理事会', 3: '黑野'}	说得没错，继续保持。	正确答案应该是<color=#3291DB>黑野</color>。没想到你居然会答错，看来我计算得还不够严谨。	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
31002101		1002	3	好了，充满形式主义的答题环节告一段落，我们走吧，需要我做什么。	感谢								Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
41002101		1002	4	居然是这种结果……看来我还需要改良一下自己的公式。帮忙的话，就留到下次吧。	我会继续努力								Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	里
11003101		1003	1	指挥官要帮忙吗？									Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
11003102		1003	1	我明白了，需要我做什么。		11003101							Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
11003103		1003	1	等一下等一下，按照规则，露西亚要先让指挥官回答问题才行。		11003102							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11003104		1003	1	咦，这样吗？		11003103							Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
11003105		1003	1	当然的呀，接受并遵守游戏的规则才能体会到游戏的乐趣，这就是所谓的“魔法圈”的魅力啦。		11003104							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11003106		1003	1	不听话的小朋友，可是要接受七实裁判长正义的裁决哦~		11003105							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11003107		1003	1	……我明白了。那么指挥官，麻烦你先回答我几个问题吧。		11003106							Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003101	10031	1003	2				3000	指挥官，红莲是什么类型的机体？	3	{1: '辅助型', 2: '装甲型', 3: '进攻型'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>进攻型</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003102	10031	1003	2				3000	指挥官，下面这些哪位是原灰鸦小队的成员？	3	{1: '丽芙', 2: '七实', 3: '阿尔法'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>阿尔法</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003103	10031	1003	2				3000	指挥官，下面哪位机体的属性与红莲相同？	3	{1: '瑰丽', 2: '极昼', 3: '零度'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>零度</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003201	10032	1003	2				3000	指挥官，还记得我喜欢的礼物是什么吗？	1	{1: '阿呆蛙周边', 2: '阿呆儿周边', 3: '阿黛蛙周边'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>阿呆蛙周边</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003202	10032	1003	2				3000	指挥官，我比较擅长的领域是什么？	2	{1: '指挥', 2: '作战', 3: '做饭'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>作战</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003203	10032	1003	2				3000	指挥官还记得红莲的涂装是什么吗？	3	{1: '记得，朱云流霭', 2: '记得，哥特机兵', 3: '记得，雨街漫步'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>雨街漫步</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003301	10033	1003	2				3000	在映画晨星，我递给指挥官的冰汽水是什么味道的？	2	{1: '苹果汁', 2: '橙汁', 3: '伏特加'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>橙汁</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003302	10033	1003	2				3000	指挥官还记得之前在我们基地待过的小动物是什么吗？	1	{1: '是狗', 2: '是猫', 3: '是眼镜蛇'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>狗</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
21003303	10033	1003	2				3000	指挥官还记得我们第一次相遇的地方吗？	3	{1: '在地面战场', 2: '在梦幻的梦中', 3: '在空中花园'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>在空中花园</color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
31003101		1003	3	嗯，按照规则，这下我可以顺利帮忙了。	感谢								Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
41003101		1003	4	唔……按照规则，我不能提供帮助了。指挥官，下次可以趁七实不在的时候找我。	我会继续努力								Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	露西亚
11004101		1004	1	指挥官要帮忙吗？									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
11004102		1004	1	我明白了，需要我做什么。		11004101							Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
11004103		1004	1	等一下等一下，按照规则，露西亚要先让指挥官回答问题才行。		11004102							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11004104		1004	1	咦，这样吗？		11004103							Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
11004105		1004	1	当然的呀，接受并遵守游戏的规则才能体会到游戏的乐趣，这就是所谓的“魔法圈”的魅力啦。		11004104							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11004106		1004	1	不听话的小朋友，可是要接受七实裁判长正义的裁决哦~		11004105							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11004107		1004	1	……我明白了。那么指挥官，麻烦你先回答我几个问题吧。		11004106							Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004101	10041	1004	2				3000	黎明机体的类型是？	3	{1: '辅助型', 2: '装甲型', 3: '进攻型'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004102	10041	1004	2				3000	我的队友是？	1	{1: '丽芙', 2: '七实', 3: '阿尔法'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004103	10041	1004	2				3000	我的哪种机体具有雷属性伤害？	2	{1: '我想是鸦羽', 2: '我想是黎明', 3: '我想是真理'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004201	10042	1004	2				3000	我喜欢以下哪个礼物？	1	{1: '阿呆蛙周边', 2: '阿呆儿周边', 3: '阿黛蛙周边'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004202	10042	1004	2				3000	我比较擅长什么	2	{1: '运算', 2: '作战', 3: '感知'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004203	10042	1004	2				3000	指挥官还记得黎明机体的涂装吗？	3	{1: '记得，朱云流霭', 2: '记得，末世绀华', 3: '记得，哥特机兵'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004301	10043	1004	2				3000	在映画晨星，我递给指挥官的冰汽水是什么味道的？	2	{1: '苹果汁', 2: '橙汁', 3: '伏特加'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004302	10043	1004	2				3000	指挥官还记得之前在我们基地待过的小动物是什么吗？	1	{1: '是狗', 2: '是猫', 3: '是眼镜蛇'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
21004303	10043	1004	2				3000	指挥官还记得我们第一次相遇的地方吗？	3	{1: '在地面战场', 2: '在梦幻的梦中', 3: '在空中花园'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB></color>。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
31004101		1004	3	嗯，按照规则，这下我可以顺利帮忙了。	感谢								Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
41004101		1004	4	唔……按照规则，我不能提供帮助了。指挥官，下次可以趁七实不在的时候找我。	我会继续努力								Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	露西亚
11005101		1005	1	想要我帮忙？									Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
11005102		1005	1	那就回答我的问题，证明自己吧。		11005101							Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005101	10051	1005	2				3000	你知道我和露西亚的关系是什么吗？	1	{1: '敌对', 2: '战友', 3: '姐妹'}	不错，继续。	你觉得我和她关系很好吗，<color=#3291DB>敌对</color>才是正确的回答	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005102	10051	1005	2				3000	试着说出一个我喜欢的东西吧。	1	{1: '机车改造', 2: '拉刀光', 3: '阿呆儿周边'}	不错，继续。	<color=#3291DB>机车改造</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005103	10051	1005	2				4000	为什么我会加入升格网络？	3	{1: '为了获得力量', 2: '为了能）））））', 3: '因为露娜'}	不错，继续。	...不知道你在说什么...<color=#3291DB>因为露娜</color>才是正确的回答	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005201	10052	1005	2				3000	我为什么肃清了加百列？	1	{1: '它背刺了露娜', 2: '他跑路了', 3: '他偷懒'}	不错，继续。	<color=#3291DB>它背刺了露娜</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005202	10052	1005	2				3000	你这家伙知道我比较喜欢做的事是什么吗？	2	{1: '种田', 2: '挑战强敌', 3: '聊天'}	不错，继续。	<color=#3291DB>挑战强敌</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005203	10052	1005	2				3000	哪件涂装不是属于我的？	2	{1: '终末之旅', 2: '鳞波沫舞', 3: '末世绀华'}	不错，继续。	<color=#3291DB>鳞波沫舞</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005301	10053	1005	2				3000	我送你的玫瑰是什么。	2	{1: '快要枯萎的凋零玫瑰', 2: '带有火药味道的野生玫瑰', 3: '精致的豪华玫瑰。'}	不错，继续。	<color=#3291DB>带有火药味道的野生玫瑰</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005302	10053	1005	2				3000	我越野用的沙地摩托车是什么颜色。	1	{1: '黑色', 2: '红色', 3: '金色'}	不错，继续。	<color=#3291DB>黑色</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
21005303	10053	1005	2				3000	你知道我的武器，“红樱”的来历吗？	3	{1: '你捡到的', 2: '你从别人手上夺过来的', 3: '你自己锻造的'}	不错，继续。	<color=#3291DB>我自己锻造的</color>才是正确的回答，你，就这种程度吗。	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
31005101		1005	3	足够了。告诉我你要斩断的目标，然后躲到后面好好看着吧。	感谢								Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
41005101		1005	4	你走吧，这次我不会斩了你。但下次，可就不一定了。	我会继续努力								Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	阿尔法
11006101		1006	1	指挥官要帮忙吗？									Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
11006102		1006	1	我明白了，需要我做什么。		11006101							Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
11006103		1006	1	等一下等一下，按照规则，露西亚要先让指挥官回答问题才行。		11006102							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11006104		1006	1	咦，这样吗？		11006103							Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
11006105		1006	1	当然的呀，接受并遵守游戏的规则才能体会到游戏的乐趣，这就是所谓的“魔法圈”的魅力啦。		11006104							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11006106		1006	1	不听话的小朋友，可是要接受七实裁判长正义的裁决哦~		11006105							Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	七实
11006107		1006	1	……我明白了。那么指挥官，麻烦你先回答我几个问题吧。		11006106							Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006101	10061	1006	2				3000	指挥官，你知道鸦羽机体的伤害属性不包含哪些吗？	3	{1: '物理', 2: '冰属性', 3: '雷属性'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>雷属性</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006102	10061	1006	2				3000	指挥官，我比较擅长的事是什么？	1	{1: '作战', 2: '做饭', 3: '运算'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>作战</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006103	10061	1006	2				3000	指挥官，我是在哪首次使用鸦羽机体作战的？	3	{1: '北极航线联合', 2: '空中花园', 3: '九龙'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>九龙</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006201	10062	1006	2				3000	指挥官，还记得我喜欢的礼物是什么吗？	1	{1: '阿呆蛙周边', 2: '阿呆儿周边', 3: '阿黛蛙周边'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>阿呆蛙周边</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006202	10062	1006	2				3000	指挥官有没有发现我最近收集的阿呆蛙玩偶，开始变得？	3	{1: '丑化', 2: '小型化', 3: '大型化'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>大型化</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006203	10062	1006	2				3000	指挥官，你知道哪些是鸦羽机体核心被动的正确描述吗？	2	{1: '极寒状态释放必杀可冰冻对方', 2: '极寒状态每次3消加1个必杀点', 3: '极寒状态下消球造成物理伤害'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>极寒状态每次3消加1个必杀点</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006301	10063	1006	2				3000	在映画晨星，我递给指挥官的冰汽水是什么味道的？	2	{1: '苹果汁', 2: '橙汁', 3: '伏特加'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>橙汁</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006302	10063	1006	2				3000	指挥官还记得之前在我们基地待过的小动物是什么吗？	1	{1: '是狗', 2: '是猫', 3: '是眼镜蛇'}	嗯。	七实好像跑到其他通信频道去了，指挥官，答案应该是<color=#3291DB>是狗</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
21006303	10063	1006	2				3000	指挥官还记得我为什么要使用鸦羽机体作战吗？	3	{1: '为了任务', 2: '为了变强', 3: '为了救我'}	嗯。	不对喔，答案应该是<color=#3291DB>为了救你</color>。	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
31006101		1006	3	嗯，按照规则，这下我可以顺利帮忙了。	感谢								Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
41006101		1006	4	唔……按照规则，我不能提供帮助了。指挥官，下次可以趁七实不在的时候找我。	我会继续努力								Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	露西亚
11008101		1008	1	虽然平时灰鸦的大家经常在一起，但现在这样的情况也不常见呢。									Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
11008102		1008	1	唔……所以……请指挥官回答我几个问题吧，丽芙果然还是很想知道你是否还记得。		11008101							Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008101	10081	1008	2				3000	指挥官……你知道流光机体的伤害属性包含什么吗？	2	{1: '冰属性', 2: '雷属性', 3: '火属性'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>雷属性</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008102	10081	1008	2				3000	指挥官，我需要使用算力进行控制的武器是什么呢？	2	{1: '火炮', 2: '浮游炮', 3: '电锯'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>浮游炮</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008103	10081	1008	2				3000	指挥官知道我比较擅长什么吗？	2	{1: '作战', 2: '医疗', 3: '运算'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>医疗</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008201	10082	1008	2				3000	指挥官知道我为什么要剪掉长发吗	3	{1: '尝试新发型', 2: '长发不方便行动', 3: '为了告别过去'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>为了告别过去</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008202	10082	1008	2				3000	这个问题不知道会不会太难……指挥官知道流光机体的核心被动是怎么触发的吗？	3	{1: '3消或触发5次光罚', 2: '红色信号球+蓝色信号球', 3: '触发4次引雷'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>触发4次引雷</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008203	10082	1008	2				3000	指挥官还记得流光机体的涂装有什么吗？	1	{1: '记得，纺光同尘', 2: '记得，深海少女', 3: '记得，圣诞之约'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>纺光同尘</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008301	10083	1008	2				3000	指挥官知道我在小队主要负责哪方面的工作吗？	2	{1: '医疗', 2: '管理小队的消耗和补给', 3: '技术研发'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>管理小队的消耗和补给</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008302	10083	1008	2				3000	指挥官知道当初我在军队的军衔是什么吗？	1	{1: '中尉', 2: '少尉', 3: '上将'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>中尉</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
21008303	10083	1008	2				3000	指挥官知道“流光”这个名称是谁命名的吗？	3	{1: '我？', 2: '凡妮莎？', 3: '你自己？'}	嗯，确实是这样没错。	抱歉，果然还是太为难指挥官了吗……答案其实应该是<color=#3291DB>我自己</color>。	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
31008101		1008	3	嗯……不介意的话，我很乐意提供帮助，希望不会拖指挥官的后腿。	感谢								Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
41008101		1008	4	果然是丽芙在平时有哪些地方做得不够好，才会造成这种结果。这样的我……还没办法为指挥官提供帮助……	我会继续努力								Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	丽芙
11009101		1009	1	指挥官，需要协助吗？									Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
11009102		1009	1	虽然丽芙很想帮指挥官的忙……		11009101							Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
11009103		1009	1	但要解禁这副机体的力量，似乎需要一些步骤。		11009102							Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
11009104		1009	1	不过，只是几个简单的问题而已，我相信这肯定难不倒指挥官的。		11009103							Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
21009101	10091	1009	2				3000	指挥官……你知道极昼机体的主要伤害类型是什么吗？	3	{1: '光属性', 2: '雷属性', 3: '火属性'}	果然，指挥官记得丽芙的一切……	嗯……指挥官，正确答案是<color=#3291DB>火属性</color>，别灰心，再试一次就行了。	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
21009102	10091	1009	2				3000	指挥官，你知道极昼机体是根据什么数据制作的吗？	1	{1: '代行者', 2: '升格网络', 3: '欧米茄档案'}	果然，指挥官记得丽芙的一切……	嗯……指挥官，正确答案是<color=#3291DB>代行者</color>，别灰心，再试一次就行了。	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
21009103	10091	1009	2				3000	指挥官，你知道极昼机体必杀技有哪些特殊效果吗？	3	{1: '击退敌人', 2: '降低敌人防御', 3: '时停'}	果然，指挥官记得丽芙的一切……	嗯……指挥官，正确答案是<color=#3291DB>时停</color>，别灰心，再试一次就行了。	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	丽芙
