Key	ModelPath	Name	Desc	Icon	Size	Scale
Magic	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzFazhen.prefab	换位法阵	散发亮光的神奇法阵，可以使停留此处的己方单位与另一单位对互换位置。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon70.png		
MagicDisEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongXiaoshi.prefab	魔法阵消失特效				
MagicShowEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongChuxian.prefab	魔法阵出现特效				
BubbleBrokenEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzShuihua.prefab	气泡爆破特效				
SwitchSkillPoint	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzGangbanLoop.prefab	换属性阵	切换角色所携带的属性。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon71.png		
Torch	Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_Puzzle/Puzzle_04Houju.prefab	火炬	点燃的火炬下一回合会影响周围八格的地块和单位状态。			
FlameEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzRanshao2.prefab	火属性特效	身上拥有火属性时显示特效			
PhysicsEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChongji.prefab	物理属性特效	身上拥有水属性石显示特效			
GrassFlameEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzRanshao3.prefab	草拥有火属性特效	草身上拥有火属性时显示特效			
TorchDisappearEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzBaoZha.prefab	火炬消失特效				
TorchBurnEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzHuoyan.prefab	火炬点燃特效				
BurnedEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleDianji.prefab	被烧死特效				
WaterVapor	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzShuizhengqi.prefab	水蒸汽特效				
DieEffect	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleDead.prefab	怪物死亡特效				
Monster1	Assets/Product/Role/CharaterPrefab/Mo1KuroMd1001.prefab	库洛洛	关键的敌人，消灭库洛洛即可解锁终点。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon72.png		
Monster2	Assets/Product/Role/Room/Prefab/QR1AolajiangMd010011.prefab	鲨士碧儿	危险的敌人，会消灭面前的敌人，可以尝试从侧面和背后攻击他。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon73.png		
Monster4	Assets/Product/Scene/GamePlay/DirectFile/Prefab/System_Puzzle/Puzzle_05Tenman.prefab	藤球	被撞击后会继承角色的属性，撞击其他地块或单位可以产生对应属性的交互效果。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon75.png		
