StageId	Text	BackCount	ResetCount	TotalLoseCount
4410	指挥右上角影子的移动，想办法和他换位置吧。	3	3	3
4501	通过钢板的吸附性，吓跑库洛洛后通往终点吧！	3	3	3
4502	终点就在前方了……碰到墙壁后及时转弯即可！	3	3	3
4503	吓跑并击杀库洛洛后，利用钢板到达终点！所以那些机关是些奇怪的障眼法吗……？	3	3	3
4504	利用影子先击杀所有库洛洛，最后再利用换位法阵到达终点。	3	3	3
4505	利用尖刺或许能使本体挪动至地图上侧……？通过钢板的吸附到达石门开关吧！	3	3	3
4506	钢板的吸附性让本体没法好好行动了，能让影子尝试下吗？但是好像影子在钢板上不能停留过久……	3	3	3
4507	不断地尝试！不停地转圈！让本体逐步往下方靠近……	3	3	3
4508	尖刺能让本体刚好停留在石门的出口，利用右侧的影子打开通道吧！	3	3	3
4509	小心不要走进死胡同了！先让本体挪动至钢板的位置，再调整出发吧！	3	3	3
4510	尝试让影子击杀库洛洛，利用钢板让本体留在可回到石门开关的位置。	3	3	3
5101	到不了终点的话，利用藤球垫脚试试。	3	3	3
5102	到不了终点的话，利用藤球垫脚试试。	3	3	3
5103	怪物挡路，利用藤球击杀它们！	3	3	3
5104	利用草圃的反弹效果来到达你想去位置。	3	3	3
5105	利用草圃的反弹效果来到达你想去位置。	3	3	3
5106	先利用藤球垫脚击杀库洛洛，再回来处理其他怪物吧。	3	3	3
5201	利用火属性点燃草圃，清空障碍物吧。	3	3	3
5202	利用火属性点燃怪物，清除障碍。	3	3	3
5203	藤球进入水中可以变成草圃，再用火属性清除草圃吧。	3	3	3
5204	下面走不通的话，再看看有没有其他通路呢？	3	3	3
5205	正面走不通，试试利用藤球进水的效果。	3	3	3
5206	利用藤球变草圃的机制来清除水池吧。	3	3	3
5301	换个属性就能清除障碍物！	3	3	3
5302	藤球往往可以当成炮弹！	3	3	3
5303	换个属性就能解决很多障碍。	3	3	3
5304	试试利用点燃的藤球触发怪物的点燃连锁！	3	3	3
5305	如果当前属性无法通过，不如试试回头换换属性。	3	3	3
5306	下面的障碍不好清理，试试从上面走呢？	3	3	3
5401	指挥影子击杀怪物。	3	3	3
5402	指挥影子来处理掉挡住本体的障碍吧。	3	3	3
5403	冰面很危险，不要让影子停在冰面上！	3	3	3
5404	影子走过的冰面就会成为阻挡影子的障碍！	3	3	3
5405	影子和本体的困难可能在对方眼里根本不算困难！	3	3	3
5406	灵活利用换位，让本体到达终点。	3	3	3
