MapId	HintTitle	StartRowAndCol	StartGridPercent	NextRowAndCol	NextGridPercent
1201	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|4	0.5|1	['5|4', '5|7', '6|7', '6|5', '2|5', '2|4', '4|4']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1202	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|3	0.5|1	['5|3', '5|2', '2|2', '2|6', '6|6', '6|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1203	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|2	0|0.5	['3|3', '6|3', '6|1', '7|1', '7|7', '5|7']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1204	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|6	0.5|0	['3|6', '3|7', '3|7', '3|2', '7|2', '7|1', '6|1', '6|7', '4|7', '4|8', '1|8']	['0.5|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1205	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|3	0.33|0	['5|3', '5|7', '5|7', '5|3', '1|3', '1|2', '2|2', '2|5', '2|5', '2|2', '1|2', '1|4', '4|4']	['0.33|0.66', '0.5|0.66', '0.5|0.33', '0.66|0.33', '0.66|0.33', '0.33|0.33', '0.33|0.66', '0.5|0.66', '0.5|0.33', '0.66|0.33', '0.66|0.66', '0.5|0.66', '0.5|0.5']
1206	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|7	0|0.5	['3|8', '4|8', '4|1', '7|1', '7|5', '1|5', '1|4', '3|4', '3|1']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1207	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|3	0|0.5	['6|4', '4|4', '4|1', '6|1', '6|1', '2|1', '2|7', '6|7', '6|8']	['0.5|0.5', '0.5|0.5', '0.66|0.5', '0.66|0.5', '0.33|0.5', '0.33|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1208	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|6	0.5|0	['5|6', '5|4', '2|4', '2|2', '8|2', '8|3', '2|3', '2|2', '1|2', '1|7', '5|7', '5|8']	['0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1209	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|1	0.5|0	['6|1', '6|3', '3|3', '3|6', '3|6', '3|1', '1|1', '1|4', '5|4', '5|8']	['0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1210	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|4	0|0.5	['3|8', '1|8', '1|1', '4|1', '4|8', '4|8', '4|1', '4|1', '4|6', '7|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.25', '0.5|0.25', '0.5|0.5', '0.5|0.5', '0.5|0.75', '0.5|0.75', '0.5|0.5']
1301	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|2	0.5|1	['6|2', '6|7', '2|7', '2|5', '6|5']	['0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.33']
1302	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|2	0|0.5	['2|5', '1|5', '1|6', '7|6', '7|2', '5|2', '5|3', '3|3']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1303	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|2	0.5|1	['5|2', '2|2', '2|4', '7|4', '7|4', '5|4', '5|7', '6|7', '6|5']	['0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1304	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|1	0.5|1	['3|1', '3|7', '3|7', '3|5', '1|5', '1|5', '6|5', '6|8', '2|8', '2|2', '5|2', '5|4']	['0.5|0.66', '0.33|0.66', '0.33|0.33', '0.66|0.33', '0.66|0.5', '0.33|0.5', '0.33|0.5', '0.5|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1305	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|2	0.5|0	['7|2', '7|7', '6|7', '6|4', '5|4', '5|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1306	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|2	0|0.5	['2|2', '6|2', '6|3', '2|3', '2|7', '4|7', '4|8', '5|8', '5|8', '3|8']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5']
1307	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|7	1|0.66	['6|7', '6|8', '5|8', '5|3', '1|3', '1|2', '8|2', '8|3', '6|3', '6|6', '1|6', '1|8', '2|8', '2|8', '1|8', '1|4', '7|4', '7|8']	['0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.66', '0.33|0.6', '0.33|0.5', '0.66|0.5', '0.66|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5']
1308	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|8	0.33|0	['4|8', '4|8', '1|8', '1|6', '3|6', '3|4', '8|4', '8|4', '7|4', '7|5', '7|5', '7|3', '6|3', '6|4']	['0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.75|0.5', '0.75|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.25|0.5']
1309	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|5	1|0.5	['4|3', '4|2', '6|2', '6|6', '3|6', '3|4']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1310	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|4	0.5|1	['3|4', '2|4', '2|2', '2|2', '2|7', '1|7', '1|6', '6|6', '6|4', '8|4']	['0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1401	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|2	0.5|1	['4|2', '4|5', '7|5', '7|4', '7|4', '7|7']	['0.5|0.5', '0.5|0.5', '0.5|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66']
1402	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|2	0|0.5	['6|5', '3|5', '3|8', '5|8', '5|3', '3|3', '3|2']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1403	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|3	0|0.5	['4|4', '7|4', '7|4', '4|4', '4|5', '2|5', '2|3', '2|3', '2|6']	['0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33']
1404	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|6	1|0.33	['2|5', '2|1', '2|1', '2|2', '2|5', '5|5', '5|7', '5|7', '5|3', '3|3', '3|8', '2|8', '2|6', '7|6', '7|2', '3|2']	['0.5|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1405	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|3	0|0.5	['5|4', '7|4', '7|7', '7|7', '7|4', '1|4', '1|6', '3|6', '3|8', '2|8', '2|4', '4|4', '4|2', '2|2']	['0.33|0.5', '0.33|0.66', '0.5|0.66', '0.5|0.33', '0.66|0.33', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5', '0.5|0.5', '0.5|0.5']
1406	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|2	0|0.5	['2|3', '4|3', '4|4', '4|4', '4|3']	['0.5|0.5', '0.5|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66']
1407	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|3	0|0.5	['7|4', '4|4', '4|1', '3|1', '3|1', '5|1']	['0.5|0.5', '0.5|0.5', '0.66|0.5', '0.66|0.5', '0.33|0.5', '0.33|0.5']
1408	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	8|3	1|0.5	['8|3', '6|3', '6|2', '7|2', '7|6', '1|6', '1|7', '4|7', '4|5', '1|5', '1|2', '3|2', '3|1', '2|1', '2|5', '4|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5']
1409	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|3	0.5|0	['7|3', '7|2', '3|2', '3|8', '1|8', '1|7', '6|7', '6|6', '8|6', '8|1', '5|1', '5|3', '1|3', '1|1']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1410	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|4	0|0.66	['6|5', '3|5', '3|4', '2|4', '2|2', '2|2', '2|4', '4|4', '4|3', '6|3', '6|3', '4|3', '4|5', '7|5', '7|8']	['0.33|0.66', '0.33|0.5', '0.66|0.5', '0.66|0.33', '0.5|0.33', '0.5|0.66', '0.33|0.66', '0.33|0.33', '0.33|0.33', '0.33|0.5', '0.66|0.5', '0.66|0.66', '0.66|0.66', '0.66|0.5', '0.5|0.5']
1501	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|2	0.5|1	['2|2', '7|7', '2|7', '2|6', '2|6', '2|7', '5|7']	['0.5|0.5', '0.66|0.5', '0.66|0.33', '0.5|0.33', '0.5|0.66', '0.33|0.66', '0.33|0.5']
1502	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	8|5	1|0.5	['8|1', '1|4', '1|1', '4|1', '4|4', '1|4', '8|1', '6|1', '6|7', '4|7']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1503	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|5	0.5|1	['3|5', '3|3', '7|3', '1|6', '6|6', '6|2', '2|2', '2|4']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1504	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	8|3	1|0.5	['8|1', '1|8', '1|1', '6|6', '6|3', '3|3', '3|6', '6|6', '1|1', '8|1', '1|8', '5|8', '5|4']	['0.66|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.33|0.5', '0.33|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5']
1505	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|4	1|0.5	['5|2', '4|7', '4|5', '2|5', '2|4', '7|5', '7|2']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1506	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|5	0.5|0	['7|5', '7|4', '2|4', '2|7', '6|7', '6|6', '4|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1507	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|4	0.5|0	['5|4', '3|2', '6|2', '3|6', '6|6', '6|8', '5|8', '5|5', '4|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1508	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|8	0|0.66	['3|8', '8|8', '1|3', '4|3', '4|3', '1|3', '8|8', '3|8', '3|2', '8|2', '8|8', '1|3', '1|7', '7|7', '7|4', '2|4', '2|6', '6|6', '6|1']	['0.33|0.66', '0.33|0.33', '0.33|0.66', '0.33|0.5', '0.66|0.5', '0.66|0.33', '0.66|0.33', '0.66|0.33', '0.5|0.33', '0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1509	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|4	0.5|1	['2|4', '4|1', '1|1', '1|6', '5|5', '8|6', '8|8', '1|8', '1|6', '5|5', '8|6', '8|1', '5|1', '5|4', '1|1', '7|4', '7|5', '4|5']	['0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0|0', '0.5|0.33', '0.5|0.33', '0.5|0.33', '0.5|0.33', '0|0', '0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0|0', '0.5|0.5', '0.5|0.5', '0.5|0.5']
1510	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|7	0.66|0	['8|7', '8|6', '4|6', '8|2', '4|2', '4|1', '7|1', '7|4', '7|4', '7|1', '4|1', '4|2', '8|2', '4|6', '8|6', '8|7', '5|7', '5|3', '3|7', '3|5', '2|5', '2|6']	['0.66|0.66', '0.33|0.66', '0.33|0.5', '0.66|0.5', '0.66|0.33', '0.33|0.33', '0.33|0.66', '0.5|0.66', '0.5|0.33', '0.66|0.33', '0.66|0.66', '0.33|0.66', '0.33|0.5', '0.66|0.5', '0.66|0.33', '0.33|0.33', '0.33|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2101	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|2	0.5|1	['3|2', '3|7', '6|7']	['0.5|0.5', '0.5|0.5', '0.5|0.5']
2102	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	3|1	0.5|0	['8|1', '4|4', '4|6', '1|6', '1|2', '2|2']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2103	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	7|3	0|0.5	['7|4', '6|4', '3|4', '3|6', '5|6', '5|3']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2104	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|4	0.5|0	['4|4', '4|1', '6|1', '7|1', '7|6', '3|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2105	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	2|3	1|0.5	['2|2', '1|1', '4|1', '4|3', '4|6', '2|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2106	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	6|5	1|0.5	['6|3', '7|8', '4|8', '4|2', '2|2', '2|3', '1|3']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2107	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|1	0.5|0	['7|1', '7|4', '2|4', '2|6', '6|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2108	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	3|4	0|0	['3|4', '7|7', '7|5', '1|5', '1|1', '5|1', '5|2', '7|2']	['0|0', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2109	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|8	0.5|1	['4|8', '4|5', '1|5', '1|7', '8|7', '8|6', '2|6', '2|2', '7|2']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2110	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|2	0|0.5	['2|3', '1|3', '1|4', '8|4', '8|7', '5|7', '5|8', '5|8', '5|3', '6|3', '6|2', '7|2']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2201	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|2	0.5|1	['5|2', '5|6', '4|6', '4|4']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2202	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|2	0.5|1	['5|2', '5|6', '7|6', '7|3', '3|3', '3|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2203	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	7|2	0.33|1	['4|2', '1|1', '4|2', '4|8', '1|8', '1|2', '2|2']	['0.33|0.5', '0|0', '0.66|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2204	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|3	1|0.5	['4|2', '6|2', '6|1', '7|1', '7|7', '2|7', '2|4']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2205	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|2	0|0.5	['2|3', '1|3', '1|4', '6|4', '6|8', '1|8', '1|6', '5|6', '5|7', '3|7']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2206	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|1	0.5|1	['6|1', '6|3', '4|3', '4|1', '2|1', '2|5', '1|5', '1|8', '3|8', '3|6', '7|6', '7|7', '5|7']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2207	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	2|8	0.5|1	['1|8', '8|3', '7|3', '7|1', '4|1', '4|6']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2208	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	8|1	1|0.66	['8|1', '6|1', '6|1', '8|1', '8|6', '3|6', '2|5', '2|3', '1|3', '1|1', '2|1', '2|2', '8|2', '8|5', '7|5']	['0.33|0.66', '0.33|0.5', '0.66|0.5', '0.66|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66', '0.5|0.5']
2209	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	4|2	0|0.5	['4|3', '6|3', '6|6', '7|6', '7|2', '1|2', '1|5', '3|5']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2210	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	2|6	0|0.5	['2|7', '1|5', '8|5', '4|3', '4|1', '7|1', '7|1', '2|1', '2|2']	['0.33|0.5', '0.5|0.5', '0.5|0.33', '0.5|0.5', '0.66|0.5', '0.66|0.5', '0.33|0.5', '0.33|0.5', '0.5|0.5']
2301	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	3|3	0|0.5	['3|4', '2|4', '2|4', '5|4', '5|6', '2|6', '2|6', '6|6', '6|7']	['0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.33|0.5', '0.33|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5']
2302	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	6|3	0.5|1	['5|3', '5|2', '5|2', '5|5', '7|5', '7|7', '2|7', '2|4']	['0.5|0.66', '0.5|0.66', '0.5|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2303	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	2|3	1|0.5	['2|3', '1|3', '1|8', '5|8', '5|2', '8|2', '8|5', '4|5', '4|6', '6|6', '6|7', '2|7']	['0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2304	赛利卡：已加载本关完整路线记录，请指挥官放心行动。	5|3	0.66|1	['4|3', '4|3', '6|3', '6|2', '3|2', '3|6', '3|6', '3|1', '7|1', '7|7', '2|7', '2|6', '5|6', '5|4']	['0.66|0.5', '0.33|0.5', '0.33|0.5', '0.5|0.5', '0.5|0.66', '0.33|0.66', '0.33|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.66|0.5', '0.66|0.5', '0.5|0.5']
2305	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	5|6	0.5|0	['6|6', '2|3', '2|5', '5|5', '5|2', '7|2', '7|1']	['0.5|0.5', '0.25|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0.5|0.5']
2306	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	5|7	0|0.66	['5|8', '2|2', '1|8', '1|2', '2|2', '2|5', '5|5', '5|4']	['0.5|0.66', '0|0', '0.66|0.33', '0.5|0.33', '0.5|0.5', '0.5|0.5', '0.5|0.66', '0.5|0.66']
2307	赛利卡：检测到路线记录缺损。已尽可能还原部分关键路线，需要指挥官自行探索完整记录。	3|5	0.5|1	['2|5', '2|7', '1|4', '1|2', '8|2', '1|1', '8|4', '2|4', '2|5']	['0.5|0.66', '0.5|0.66', '0.5|0.5', '0.5|0.5', '0.5|0.5', '0|0', '0.5|0.5', '0.5|0.33', '0.5|0.33']
