Id	Name	Type	Content	Quality	Announcer	MemberCount	NeedTime	RecommendAttrib	PreQuestId	FinishReward	ExtraReward	FilePoolId	IsRepeatedly	Condition
1025	遗忘者物资运送	4	遗忘者人手不足，有一批医疗物资需要支援给其他据点，缺少运送人员，希望能派人支援，酬金附上。	1	8	1	14400	[4]		8501	8511	80402	1	
1026	保育区例行维护	5	请求派遣人手前往地面保育区，协助工程部队完成过滤塔及设备的例行维护工作。	1	3	1	14400	[5]		8501	8512	30501	1	
1027	勘探协助	6	受感染体活动影响，遗迹勘探进度未达预期，请求派遣人手协助完成后续勘探工作。	1	5	1	14400	[6]		8501	8508	50601	1	
1028	档案整理	7	生命之星需要对近几年的档案进行归类整理，由于保密性质较高，无法临时征用外部人员，请指挥官派遣构造体进入生命之星协助整理。	1	7	1	14400	[7]		8501	8509	70701	1	
1029	支援地面保育区	1	紧急通知：感染体已入侵保育区内部，急需支援。请立即派遣进攻型构造体前往支援。	1	1	1	14400	[1]		8501	8510	10101	1	
1030	协助数据采样	2	科学理事会近日收到地面城市关于异合生物异常行为的报告，现场疑似遗留可用数据，请派遣人手前往侦察采样。	1	6	1	14400	[2]		8501	8511	60201	1	
2001	战斗委托	1	北极航线联合附近设施遭到异合生物袭击，部分人员失联，请求空中花园派遣构造体协助作战和人员搜寻工作。	2	9	2	14400	[1, 2]		8502	8513	90101	1	
2002	战场医疗支援	3	紧急委托，地面城市发生交战，请求派遣战斗人员和医疗人员进行战场支援。	2	7	2	14400	[1, 3]		8502	8514	70301	1	
2003	海上航道出现异常	5	通往九龙港口的海上航道出现异常，疑似海面出现飞行异合生物，数量虽然不多，但仍然需要警戒，请求空中花园支援，清理航道，维护码头。	2	11	2	14400	[1, 5]		8502	8515	110501	1	
2004	清理文明遗迹	6	勘探行动完成，艺术协会已确认遗址年代，计划开始周边清理行动。\n请注意，遗址内疑似出现感染体，请派遣具有战斗力的构造体前往进行任务。	2	5	2	14400	[1, 6]		8502	8516	50602	1	
2005	战场急救指导	7	生命之星新招募了一批刚毕业的学生和士兵，希望指挥官能够派遣一批有战斗经验的构造体前往生命之星，进行战地急救教学指导。	2	7	2	14400	[1, 7]		8502	8517	70701	1	
2006	地面异常情况	2	地面城市出现异常情况，疑似异合生物出没，请求派遣人手协助侦察取样。\n备注：有人员伤亡。	2	6	2	14400	[2, 3]		8502	8518	60201	1	
2007	研究所设备检修	5	科学理事会近日频繁监测到异常数据，疑似地面设备出现故障，请求空中花园派遣构造体协助定位数据来源，并进行设备的维护及更新。	2	6	2	14400	[2, 5]		8502	8514	60501	1	
2008	遗迹异动侦察	2	收到地面遗迹遭遇袭击的报告。目前感染体已被击退，但有部分人员被困，部分挖掘现场也被重新掩埋。现场医疗资源充足，请求空中花园派遣构造体协助人员侦察及勘探工作。	2	5	2	14400	[2, 6]		8502	8515	50201	1	
2009	协助侦察	7	拾荒者据点附近疑似出现叛逃构造体，请求派遣人员协助侦察。部分工作需要协调拾荒者共同完成，请派遣具备谈判能力的构造体一同前往。	2	2	2	14400	[2, 7]		8502	8516	20701	1	
2010	医疗援助请求	3	北极航线联合的侦察小队在探索附近的战舰残骸时，误触战舰内的防御程序，造成部分人员受伤，请求派遣构造体进行援助，关闭或破坏战舰防御程序。	2	9	2	14400	[3, 5]		8502	8517	90301	1	
2011	医疗援助请求	3	受感染体暴动影响，部分据点被毁坏。受伤人员较多，遗忘者内部没有足够人手可以调配，请求派遣医疗构造体协助救援，安抚伤员。	2	7	2	18000	[3, 6]		8503	8519	70301	1	
2012	地面医疗援助	3	保育区守卫小队误入保育区附近的废弃工厂，失去联络，请求具备勘探及救援能力的构造体前往援助。	2	8	2	18000	[3, 7]		8503	8520	80302	1	
2013	保育区道路堵塞	4	通往地面保育区的道路被感染体堵塞，支援物资无法送入，请求派遣构造体协同清理重建道路。	2	4	2	18000	[4, 5]		8503	8521	40402	1	
2014	车站修复协助	5	阿普斯轨道逐渐修整完成，但配套的车站没有重建完善。故委托空中花园派遣构造体协助探查适合修建车站的位置，以便后续物资运输。	2	10	2	18000	[5, 6]		8503	8522	100501	1	
2015	据点重建协助	5	遗忘者尝试重建被毁坏的据点安置流民，但人手不足，请求空中花园协派人手，探查适合建立据点的新位置，另附酬金。	2	8	2	18000	[5, 7]		8503	8523	80502	1	
2016	沙漠遗迹发掘	7	遗忘者的绿洲据点附近发现新的沙漠遗迹，艺术协会想要和遗忘者共同探查发掘该遗迹，请求指挥官派遣擅长交流的构造体，协助艺术协会和遗忘者沟通交流，商谈遗迹共同开发的事宜。	2	5	2	18000	[6, 7]		8503	8524	50701	1	
2017	战斗协助请求	1	奥赛兰姆列车遭遇感染体袭击，部分物资遗失在交战地附近。请求空中花园派遣构造体协助击退感染体，回收物资。	2	10	2	18000	[1, 2]		8503	8520	100101	1	
2018	战场支援行动	3	保育区周围有敌人出没，保育区防卫小队已经进入交战状态，有人员伤亡，请求派遣战场支援。	2	4	2	18000	[1, 3]		8503	8521	40301	1	
2019	聚居地建设协助	5	海边部分渔民聚居点被海中感染体破坏，请求空中花园派遣构造体协助重建聚居地。	2	9	2	18000	[1, 5]		8503	8522	90501	1	
2020	清理九龙城遗迹	6	遗迹探查完成，九龙城遗址存在部分可回收资源，但遗址周围存在感染体。请求空中花园派遣构造体协同清理遗迹，共同开发遗址资源。	2	12	2	18000	[1, 6]		8503	8523	120601	1	
2021	军事演习指导	7	新的毕业季到了，希望指挥官能够派遣构造体协同军方对新兵和新晋指挥官进行军事演习教学指导，教导新兵尽快熟悉战场，认识战场。	2	1	2	14400	[1, 7]		8502	8513	10702	1	
2022	绿洲据点侦察	2	我们发现了几处适合建立据点的地点，派遣人员前往侦察时，遭遇了感染体袭击，有人员在交战中受伤。这边抽不出更多人手了，请求空中花园支援。	2	8	2	14400	[2, 3]		8502	8514	80201	1	
2023	航线紧急维护	5	夜航船航道受到海面出现的不明异合生物袭击，部分船上设备遭到损坏。请求空中花园协同侦查航道异常情况，修复船上设备。	2	11	2	14400	[2, 5]		8502	8515	110501	1	
2024	遗迹异动侦察	2	九龙遗迹深处出现异常波动，由于技术及其他原因，九龙无法独自展开勘探，故请求空中花园派遣人员和九龙协同侦察开发该遗迹。	2	12	2	14400	[2, 6]		8502	8516	120201	1	
2025	协助侦察	7	支援部队计划在地面开辟新的物资运送路线，需要空中花园分配人手，协作完成前期的侦察和谈判工作。	2	4	2	14400	[2, 7]		8502	8517	40701	1	
2026	回收遗失物资	1	一批工程部队的物资因升格者攻击被遗失在地表，希望派人支援，击退升格者，回收这批物资。	2	3	2	18000	[1, 4]		8503	8519	30101	1	
2027	外交要员护送	4	空中花园外交院负责人前往地面保育区进行交流任务，请求派遣协同构造体跟随，确保负责人生命安全。	2	1	2	18000	[2, 4]		8503	8520	10401	1	
2028	回收遗失物资	4	支援部队在转移物资时，因感染体作乱，不慎遗失一批物资。请求派遣构造体前往地面，回收这批重要物资。	2	4	2	18000	[3, 4]		8503	8521	40401	1	
2029	遗迹运送请求	6	艺术协会自地面再度发掘出一批文物及艺术品，请求尽快派遣构造体将这批物资押运回空中花园。	2	5	2	18000	[4, 6]		8503	8522	50604	1	
2030	商会负责人出使	4	九龙商会负责人前往空中花园地面保育区探访，委托空中花园进行安全保障工作。	2	12	2	18000	[4, 7]		8503	8523	120401	1	
3001	叛逃构造体侦察	2	疑似发现叛逃构造体于据点出没，有人员受伤，请求派遣人手协助前往侦察追捕。	3	2	3	18000	[1, 2, 3]		8504	8525	20201	1	
3002	物资运输援助	1	支援部队的一批物资在转移过程中遭遇感染体袭击，运输路线被敌袭阻断，请求派遣具备作战及侦察能力的构造体前往支援。	3	4	3	18000	[1, 2, 4]		8504	8526	40101	1	
3003	保育区例行侦察	2	例行侦察保育区防卫线及守卫小队安全性。\n 备注：此为秘密任务，需要安全性较高的人员协同。	3	2	3	18000	[1, 2, 5]		8504	8527	20201	1	
3004	清剿感染体	1	在地面发现一处黄金时代的遗迹，但遗迹已被感染体占领，请求派遣战斗及侦查人员前往清理。\n备注：期望构造体能同时具有勘探能力，以便后续跟进。	3	5	3	18000	[1, 2, 6]		8504	8528	50101	1	
3005	追捕叛逃构造体	1	根据前期侦察报告，已确认部分叛逃构造体位置。目标区域地形较为复杂，危险程度较高，请求增派作战人员协同追捕。	3	2	3	18000	[1, 2, 7]		8504	8529	20101	1	
3006	医疗工程指导	3	九龙夜航船计划升级船上及港口的特殊医疗设备。特邀空中花园派遣具备相关专业知识的人员前来共同研讨相关医疗设备开发事宜。	3	11	3	18000	[1, 3, 5]		8504	8530	110301	1	
3007	联合科学考察	6	在北极航线联合附近的科学考察工作近来取得了一定进展，与北极航线联合的联合勘探工作正在顺利推进。考虑到部分勘探地点位于海冰密集区，为保证勘探工作顺利进行，请求空中花园派遣人手协助考察工作。	3	6	3	18000	[1, 3, 6]		8504	8525	60603	1	
3008	军事交流活动	7	阿迪莱商业联盟计划在奥赛兰姆号列车举行例行军事演习活动，包含战斗演习及战地救援演练，希望空中花园能够派遣构造体进行教学交流。	3	10	3	18000	[1, 3, 7]		8504	8526	100701	1	
3009	绿洲道路堵塞	4	绿洲据点周围感染体出现异动，阻塞绿洲据点周围交通，据点人手不足只能防御。委托空中花园派遣构造体清理堵塞的道路，酬金附上。	3	8	3	18000	[1, 4, 5]		8504	8527	80401	1	
3010	回收遗失物资	1	一批科学理事会急需的物资因异合生物暴动，被遗落在地面。请求指挥官派遣构造体前往击退异合生物，回收物资。	3	6	3	18000	[1, 4, 6]		8504	8528	60101	1	
3011	九龙商会出访	4	九龙商会负责人前往空中花园地面保育区访问，委托空中花园进行安全保障工作。\n备注：目标地点途经多个危险区域，建议派遣具备较高作战能力的人员随行。	3	12	3	18000	[1, 4, 7]		8504	8529	120401	1	
3012	码头修整协助	5	海中被感染的机械生物增多，数个北极航线联合的码头被毁坏，船只无法停靠。请求空中花园协助修整码头，以便后续展开深入合作。	3	9	3	18000	[1, 5, 6]		8504	8530	90501	1	
3013	守护防御工事	1	受感染体异常活动影响，地面防御工事出现不同程度的损坏，请求派遣具备作战及工程建设的人员前来支援，击退感染体，修复防御工事。	3	4	3	21600	[1, 5, 7]		8505	8531	40101	1	
3014	清理研究所遗址	6	经过取样判断，研究所内部有可利用资料。但遗址内部游荡着大量失败构造体。请求指挥官派遣构造体协助科学理事会清理研究所遗址。	3	6	3	21600	[1, 6, 7]		8505	8532	60603	1	
3015	战场医疗支援	3	地面城市受到感染体袭击，医疗设备遭到损毁，请求战场医疗援助。部分区域有发生二次坍塌的可能性，建议加派具备侦察能力的人员随行辅助。	3	7	3	21600	[2, 3, 5]		8505	8533	70302	1	
3016	搜寻幸存者	2	九龙遗址挖掘现场发生坍塌事故，部分工作人员被困，少量人员受伤，请求空中花园派遣人手参与搜救工作。	3	12	3	21600	[2, 3, 6]		8505	8534	120202	1	
3017	支援演习指导	7	法奥斯军事指挥学校将于近日举行战场支援演习。演习内容包括战场侦察、医疗支援等多方面内容，请求派遣具备相关能力的实战人员协同指导。	3	13	3	21600	[2, 3, 7]		8505	8535	130701	1	
3018	设备运送	4	地面城市申请一批新型设备物资，但相关运输路线被感染体阻塞，无法同行。请求具备侦察及工程能力的人员随行协助设备的运送工作。	3	3	3	21600	[2, 4, 5]		8505	8536	30401	1	
3019	研究所废墟清理	6	近日，在极圈附近的研究所废墟中发现可用资料及物资，计划展开勘探挖掘行动。请求空中花园派遣人手协同开发，完成后勘探发和清理工作。	3	9	3	21600	[2, 4, 6]		8505	8531	90601	1	
3020	女王出使交流	4	阿迪莱女王前往空中花园据点进行交流，委托空中花园进行安全护送保障工作。	3	10	3	21600	[2, 4, 7]		8505	8532	100402	1	
3021	重建九龙城遗迹	6	在回收九龙城遗址的过程中，意外发现城内还能够维修的过滤塔。计划将该遗迹作为九龙城外围据点进行重建，希望空中花园派遣构造体，协同九龙进行遗迹发掘重建。	3	12	3	21600	[2, 5, 6]		8505	8533	120602	1	
3022	保育区例行维护	2	需要例行维护保育区物资及硬件安全设备，请求派遣人手协同工程部队前往检修。	3	3	3	21600	[2, 5, 7]		8505	8534	30201	1	
3023	文物整理	7	最近勘探获得的文物及相关报告已运输至空中花园，请求具备相关专业知识的人员协助进行报告勘误及归档整理工作。	3	5	3	21600	[2, 6, 7]		8505	8535	50702	1	
3024	医疗设备研发	5	由于多次收到任务前置侦查时发生意外事故的报告，生命之星计划研发用于辅助前置侦查时的便携式医疗设备。为避免设计失准，请求派遣具备相关能力的人员辅助研发。	3	7	3	21600	[3, 5, 6]		8505	8536	70501	1	
3025	重建保育区	5	地面保育区遭遇敌袭，区域内大部分工事均已损毁，大量人员伤亡。请求派遣构造体前往协助救援，并参与保育区的重建工作。	3	1	3	21600	[3, 5, 7]		8505	8534	10501	1	
3026	医疗援助请求	3	北极航线联合小队在附近的研究所回收资料时，废弃研究所突然发生坍塌，部分人员因此受伤。请求空中花园派遣构造体协助进行救援。	3	9	3	18000	[3, 6, 7]		8504	8525	90301	1	
3027	勘探设备运输	4	地面遗迹的勘探工具派发申请获得批准，设备已经到位，但前往遗迹的支援线路尚未完成清理，运输工作无法顺利推进，请求派遣构造体进行支援，清理运输路线。	3	4	3	18000	[4, 5, 6]		8504	8526	40401	1	
3028	资源贸易	4	本季度物资贸易正在顺利推进。空中花园与数个地面组织达成了贸易协定，货物及货款均已就位，请求派遣相关人员协助进行运输和沟通工作。	3	1	3	18000	[4, 5, 7]		8504	8527	10402	1	
3029	清理列车感染体	6	奥赛兰姆号列车途经帕弥什浓度较高的地区时，一批感染体趁乱偷袭进入车厢，请求空中花园派遣构造体协助支援清剿。	3	10	3	18000	[4, 6, 7]		8504	8528	100601	1	
3030	黄金时代遗迹	6	遗迹清理完成，准备发掘该文明遗迹。艺术协会上报世界政府，计划将该遗迹联通周围保育区进行共建，请求指挥官派遣构造体协同发掘遗迹，进行共建行动。	3	5	3	18000	[5, 6, 7]		8504	8529	50603	1	
3031	保育区支援	3	地面保育区出现感染体，请求派遣人手携带医疗救援物资前往保育区进行支援。	3	1	3	21600	[1, 2, 7]		8505	8531	10301	1	
3032	据点侦察请求	2	绿洲收留的流民日益增加，数量已经接近营地的负荷极限，计划回收之前感染体攻击被迫放弃的据点。但营地内难以抽调出足够人手前往侦查，因此请求空中花园派遣人手支援。	3	8	3	21600	[2, 3, 4]		8505	8532	80201	1	
3033	医疗援助请求	3	绿洲据点遭到袭击，需要紧急转移并救治据点中的流民，请求空中花园派遣具备救援及驾驶能力的构造体前往支援。	3	8	3	21600	[3, 4, 5]		8505	8533	80301	1	
3034	医疗援助请求	3	艺术协会考古远征队在地面执行考察任务时不慎受困，有人员受伤，请求医疗支援。另有部分重伤人员需要送回生命之星本部进行救治，请派遣具有驾驶能力的构造体一同前往。	3	7	3	21600	[3, 4, 6]		8505	8534	70302	1	
3035	战场支援演习	7	法奥斯军事指挥学校将于近日举行战场支援演习。演习内容包括行军路线规划、物资运输、医疗支援等多方面，希望派遣具备相关能力的实战人员协同指导。	3	13	3	21600	[3, 4, 7]		8505	8535	130701	1	
4001	冰海异动侦察	2	近来频繁检测到极圈范围内冰面下方传来异动，怀疑与感染体异常活跃有关。保险起见，请求派遣构造体同北极航线联合小队进行联合侦察。	4	9	4	21600	[1, 2, 3, 5]		8506	8537	90201	1	
4002	战场医疗支援	3	126号城市遭到袭击，部分建筑坍塌，有人员受困的可能性，请求派遣具备一定作战、侦察能力的人员进行医疗及救援援助。	4	7	4	21600	[1, 2, 3, 6]		8506	8538	70302	1	
4003	追捕叛逃构造体	1	收到来自地面部队的报告：已确认叛逃构造体位置，追捕过程中发生交战，部分人员受伤，请求支援。	4	2	4	21600	[1, 2, 3, 7]		8506	8539	20101	1	
4004	设备例行检修	5	本季度的例行保育区设施检修进度滞后，请求工程部队增派构造体前往地面进行协助。由于地面战场形势复杂，建议选择具备一定作战能力的构造体。	4	3	4	21600	[1, 2, 4, 5]		8506	8540	30502	1	
4005	九龙城遗迹勘探	6	一支九龙科考小队在边境交界处探查遗址的时候遭遇少数感染者，致使数名成员受困。科考小队战斗能力有限，请求派遣具备一定作战及探查能力的构造体进行协助，共同推进勘探工作。	4	12	4	21600	[1, 2, 4, 6]		8506	8541	120602	1	
4006	军事交流活动	7	阿迪莱商业联盟近期将在奥赛兰姆号列车上进行军演活动，邀请空中花园派遣具备优秀作战、侦察及驾驶能力的构造体进行友好交流。	4	10	4	21600	[1, 2, 4, 7]		8506	8542	100701	1	
4007	发掘研究所遗址	6	研究所清理完毕，期望开始后续的，以发掘取回研究所内研究样本及试验资料为前提的发掘行动。\n请求指挥官派遣构造体保护科学理事会探查人员，并协助科学理事会进行发掘。	4	6	4	21600	[1, 2, 5, 6]		8506	8537	60601	1	
4008	支援线路侦察	2	为确保地面支援工作顺利推进，支援部队计划在地表开辟新的支援线路，请求派遣具备一定侦察及工程建设能力的构造体协同完成线路规划工作。	4	4	4	21600	[1, 2, 5, 7]		8506	8538	40201	1	
4009	保护保育区	1	051号城市西侧的保育区遭到袭击，敌人数量众多，且正在向附近的拾荒者营地转移行进方向。同时，由于恐慌情绪，拾荒者与保育区成员发生了激烈冲突。请求派遣具备交流谈判能力的作战人员协同执行战斗保卫工作。	4	1	4	21600	[1, 2, 6, 7]		8506	8539	10101	1	
4010	保育区重建协助	5	保育区回收完毕，重建计划开始。请指挥官派遣构造体落地支援保育区重建计划。	4	1	4	21600	[1, 3, 5, 6]		8506	8540	10501	1	
4011	保育区急需支援	3	地面保育区防线告急，感染体已入侵保育区内部，需要支援。	4	1	4	21600	[1, 3, 5, 7]		8506	8541	10301	1	
4012	九龙城遗迹清理	1	九龙科考小队计划开始清理新发现的遗迹，由于技术及人员问题，请求空中花园和联合共同体九龙共同清理勘探，发掘出的内容及资料，由联合共同体九龙和空中花园协同进行研究。	4	12	4	21600	[1, 3, 6, 7]		8506	8542	120101	1	
4013	塌方紧急处理	4	SOS！在运送一批物资和阿迪莱交换的途中，突发车站塌方情况，请求空中花园派遣构造体进行支援，转运物资，重建车站。	4	4	4	21600	[1, 4, 5, 6]		8506	8537	40403	1	
4014	和九龙的交易	4	北极航线联合近日计划和九龙进行一批物资交换，但两地码头路途遥远，为防止途中出现意外，请求空中花园派遣构造体进行支援，另附酬谢。	4	9	4	21600	[1, 4, 5, 7]		8506	8538	90401	1	
4015	物资转运通知	6	地面研究所探查陷入瓶颈，现需要转运一批勘探用物资进入地面。由于途中需要经过多个流民营地及危险区域，故申请空中花园派遣构造体进行物资转运支援。	4	6	4	21600	[1, 4, 6, 7]		8506	8539	60603	1	
4016	废弃遗迹重建	6	近日在地面，北极航线联合区域发现新的废弃遗迹，经过前期分析，该遗迹尚有被重建修复的可能性。\n计划和北极航线联合协同展开遗迹修复再利用的行动，请派遣相应构造体进入指定区域开始任务。	4	5	4	21600	[1, 5, 6, 7]		8506	8540	50605	1	
4017	异常保育区救援	3	地面保育区失去联络，已确定周围有异合生物发生异动，请立即派遣相应构造体前往周围定位异常地点，加固保育区防御工事，并随时做好救援准备。	4	1	4	21600	[2, 3, 5, 6]		8506	8541	10301	1	
4018	支援夜航船	3	夜航船发来消息申请救援，一批感染体袭击了夜航船停泊的码头，出现大量平民伤亡。夜航船医疗力量不足，请求空中花园派遣构造体前往协助救援及重建夜航船码头。	4	7	4	21600	[2, 3, 5, 7]		8506	8542	70302	1	
4019	追捕叛逃构造体	2	请注意：近日发现有叛逃构造体攻入保育区，威胁到保育区居民安全。请派遣斥候类构造体及救援类构造体协助清理部队追查叛逃构造体踪迹，保护保育区居民。	4	2	4	21600	[2, 3, 6, 7]		8506	8537	20201	1	
4020	遗迹加固工程	6	艺术协会于地面发现一处遗迹，经过初步探查，认定该遗迹属于人类文明遗址，但因战乱及年代久远有坍塌可能。\n艺术协会已申请到足够的物资，现申请派遣相应构造体运输物资，加固该遗址，方便展开后续探查行动。	4	5	4	21600	[2, 4, 5, 6]		8506	8538	50605	1	
4021	据点重建协助	7	北极航线联合边界的感染体活动强度相较之前有所降低，计划借此机会重建周围荒废的据点。请求空中花园派遣具备相关能力的人员进行技术指导，协助北极航线联合重建据点。	4	9	4	21600	[2, 4, 5, 7]		8506	8539	90701	1	
4022	样本采集及运输	4	科学理事会部分项目的推进需要进入地面高危区域，采集相关数据样本，请求派遣具备侦查及驾驶能力的构造体协助工作。	4	6	4	21600	[2, 4, 6, 7]		8506	8540	60401	1	
4023	地下遗迹侦查	2	在新建成的车站附近发现了新的地下遗迹，但该区域地形复杂，侦查难度较高，难以直接确认遗迹内部状态，故请求空中花园派遣构造体进行协助，未来的勘探成果亦由双方共享。	4	10	4	21600	[2, 5, 6, 7]		8506	8541	100201	1	
4024	拾荒者谈判	7	一群拾荒者借收集物资之名，破坏保育区防御工事、盗窃区内物资，造成设备损坏，致使保育区内部工作人员受伤。请求派遣构造体协助解决争端，并协助修复保育区防御工事。	4	3	4	21600	[3, 5, 6, 7]		8506	8542	30701	1	
4025	据点设施升级	5	绿洲据点防御工事不稳定，被感染体数次进攻，损失惨重，因此期望空中花园协助遗忘者升级加固绿洲据点的防御工事，遗忘者之后会在物资运送和交换方面为空中花园提供帮助。	4	8	4	21600	[4, 5, 6, 7]		8506	8540	80501	1	
4026	保卫绿洲据点	1	绿洲据点受到大量感染体袭击，凭借据点的设施和人手仅能勉强防御，请求指挥官支援，协助遗忘者转移流民、救治伤者。	4	8	4	21600	[1, 2, 3, 4]		8506	8537	80101	1	
4027	伤员运送请求	4	绿洲据点内的伤员数量已经超出了营地的负荷极限，计划将一部分伤情较轻的人员转送至其他据点……希望可以提供运输协助。	4	8	4	21600	[1, 3, 4, 5]		8506	8538	80401	1	
4028	战场支援请求	3	巡逻小队在极圈附近受到袭击，载具损毁，无法返航。附近的营地不具备搜救和战斗能力，请求空中花园派遣构造体进行支援。	4	9	4	21600	[1, 3, 4, 6]		8506	8539	90302	1	
4029	清剿感染体	1	列车途径高感染度区域时，受到异合生物袭击，部分感染体甚至趁乱进入了车厢。希望空中花园可以派遣作战人员协助阿莱迪清剿剩余感染体。	4	10	4	21600	[1, 3, 4, 7]		8506	8540	100102	1	
4030	地面工程坍塌	5	紧急事故：由于地壳震动，多个地面保育区正在进行的工程发生坍塌事故，有数名人员伤亡。请求空中花园立即派遣相应构造体进入地面区域开始救援及重建任务。	4	3	4	21600	[2, 3, 4, 5]		8506	8541	30502	1	
4031	异常保育区侦查	2	地面保育区发生异常情况，空中花园暂时无法取的与该保育区的联络。请派遣相应构造体进入指定保育区进行侦查，判定保育区问题情况，并做好救援及转移保育区居民准备。	4	11	4	21600	[2, 3, 4, 6]		8506	8542		1	
4032	夜航船谈判委托	7	一批夜航船的补给物资被航线周围的流民截下，发生武力冲突。该物资补给船距离夜航船较远，位于空中花园保育区附近，请求空中花园派遣构造体支援，和流民群体谈判，带回夜航船补给物资。	4	11	4	21600	[2, 3, 4, 7]		8506	8538	110701	1	
4033	战场医疗支援	3	地面保育区防卫阵线作战结束，成功压制异合生物攻势，但伤亡情况远超预计，请求派遣医疗支援，转运受伤构造体，修复受损建筑。	4	7	4	21600	[3, 4, 5, 6]		8506	8539	70302	1	
4034	医疗物资运送	4	地面防线告急，申请调运医疗物资。目前物资已经准备完毕，请求派遣构造体协助运送。	4	4	4	21600	[3, 4, 5, 7]		8506	8540	40403	1	
