Group	Text	Duration	CvId	WordsIndex
10181500	白色的飞鸟在灾厄终点前停滞	[3.0, 3.0, 3.0, 3.0]		1
10181500	曾将绝望燃烧殆尽的光焰	[3.0, 3.0, 3.0, 3.0]		2
10181500	在灰烬中逐渐靠向绝望本身	[3.0, 3.0, 3.0, 3.0]		3
10201101	继续前进吧！	[20.0, 20.0, 20.0, 20.0]		1
10301301	惑砂：你想杀了千子吗？	[3.0, 3.0, 3.0, 3.0]	100000893	1
10301302	不行哦，不能对朋友下手……	[4.0, 4.0, 4.0, 4.0]	100000894	1
10301303	你听不到她在求救吗……！	[3.0, 3.0, 3.0, 3.0]	100000895	1
1502021400	重启成功	[1.5, 1.5, 1.5, 1.5]		1
1502021400	雷达感知出现故障	[1.5, 1.5, 1.5, 1.5]		2
1502021400	视觉模块出现故障	[1.5, 1.5, 1.5, 1.5]		3
1502021400	战术性回路初始化	[1.5, 1.5, 1.5, 1.5]		4
1502021400	检测到记忆数据缺失	[2.0, 2.0, 2.0, 2.0]		5
1502021410	检测到多处弹痕与人类DNA。	[3.0, 3.0, 3.0, 3.0]		1
1502021411	大门被从内侧锁住。	[3.0, 3.0, 3.0, 3.0]		1
1502021412	检测到污渍中存在人类血液与通用型循环液，非致命出血量，可追踪移动轨迹。	[3.0, 3.0, 3.0, 3.0]		1
1502021413	强度较低的阻挡设施，检测到地面存在大量循环液。	[3.0, 3.0, 3.0, 3.0]		1
1502021414	感染体在此处数量增多。	[3.0, 3.0, 3.0, 3.0]		1
1502021415	与之前类似的涂鸦艺术……有什么联系吗？	[3.0, 3.0, 3.0, 3.0]		1
1502021421	信息收集完成	[3.0, 3.0, 3.0, 3.0]		1
1502021422	开始推演	[3.0, 3.0, 3.0, 3.0]		1
1502021423	感染体从这里进入屋内。	[3.0, 3.0, 3.0, 3.0]		1
1502021424	这里从内侧被封死，似乎是为了阻挡感染体入侵。	[3.0, 3.0, 3.0, 3.0]		1
1502021425	分析残留物质成分……确认人类的行动轨迹。	[3.0, 3.0, 3.0, 3.0]		1
1502021426	机械体曾在这里阻挡感染体。	[3.0, 3.0, 3.0, 3.0]		1
1502021427	阻挡失败，但为人类的撤离争取了足够时间。	[3.0, 3.0, 3.0, 3.0]		1
1502021428	人类只身从这里逃脱。	[2.0, 2.0, 2.0, 2.0]		1
1502021428	这片涂鸦……出现时间要晚于这场暴乱。	[2.0, 2.0, 2.0, 2.0]		2
999200023	警报！警报！	[2.0, 2.0, 2.0, 2.0]		1
999200023	基地遭到入侵！全员戒备！	[2.0, 2.0, 2.0, 2.0]		2
999200023	判断入侵者身份……是升格者！？	[2.0, 2.0, 2.0, 2.0]		3
1019011101	警告！警告！	[2.0, 2.0, 2.0, 2.0]		1
1019011101	检测到帕弥什病毒浓度异常。	[3.0, 3.0, 3.0, 3.0]		2
1019011101	启用紧急对策方案，所有人员立即返回指定岗位报到。	[3.0, 3.0, 3.0, 3.0]		3
1019011102	系统声：343号协议执行生效中，该区域保持封锁	[2.0, 2.0, 2.0, 2.0]		1
1019011102	系统声：请等待工程人员报告问题并取消协议	[2.0, 2.0, 2.0, 2.0]		2
1019011103	系统声：米诺斯舱室重力中控系统启动中	[2.0, 2.0, 2.0, 2.0]		1
1019011103		[1.0, 1.0, 1.0, 1.0]		2
1019011103	系统声：系统启动完毕	[2.0, 2.0, 2.0, 2.0]		3
1019011104	系统声：执行米诺斯舱室重力系统操作演示	[2.0, 2.0, 2.0, 2.0]		1
1019011104	系统声：生成建筑结构影像	[1.0, 1.0, 1.0, 1.0]		2
1019011104	系统声：系统演示开启	[1.0, 1.0, 1.0, 1.0]		3
1019011104	系统声：米诺斯舱室重力系统是使用人工重力对基地舱室	[2.0, 2.0, 2.0, 2.0]		4
1019011104	系统声：进行调配运转以达到空间最大化利用的系统	[2.0, 2.0, 2.0, 2.0]		5
1019011105	系统声：至此本次演示已全部进行完毕	[2.0, 2.0, 2.0, 2.0]		1
1019011105	系统声：执行关闭演示	[2.0, 2.0, 2.0, 2.0]		2
1019011106	系统声：启动米诺斯舱室重力操作系统	[2.0, 2.0, 2.0, 2.0]		2
1019011107	系统声：警告！检测到舱室内部出现异常状况	[2.0, 2.0, 2.0, 2.0]		1
1019011107	系统声：已启动紧急隔离，系统持续检测中	[2.0, 2.0, 2.0, 2.0]		2
1019011108	警告！4号舱室检测到未授权武装人员，防卫系统启动。	[2.0, 2.0, 2.0, 2.0]		1
1019011109	系统声：所有舱室认证已通过，执行调用通道舱室	[2.0, 2.0, 2.0, 2.0]		1
1019011110	系统声：舱室调配中…	[2.0, 2.0, 2.0, 2.0]		1
1019011901	我在成为升格者之后就决定抛弃作为人类的一切……只留下无法磨灭的仇恨与苦痛。	[2.0, 2.0, 2.0, 2.0]		1
1019011902	但其实我还有一样没能忘却的事物——你的生日，这个你诞生的证明，我一直记得。	[2.0, 2.0, 2.0, 2.0]		1
1019011903	你的诞生让我成为了一个“姐姐”，这是我的……幸运。	[2.0, 2.0, 2.0, 2.0]		1
1019011904	谢谢你能够来到这个世界，露娜。	[2.0, 2.0, 2.0, 2.0]		1
999198000	这是一行3秒的字幕	[3.0, 3.0, 3.0, 3.0]		1
1502032101	正在校准视觉模块>>>>>>58.21%	[3.0, 3.0, 3.0, 3.0]		1
1502032101	机体损伤>>>>41.79%	[1.0, 1.0, 1.0, 1.0]		2
1502032102	运动模块启动中…	[1.0, 1.0, 1.0, 1.0]		1
1502032103	机体已完成应急重启	[1.0, 1.0, 1.0, 1.0]		1
1502032301	那一天，你背弃了恩师的嘱托，也辜负了她的牺牲。	[6.0, 6.0, 6.0, 6.0]	100000386	1
1502032302	是啊，但她叫我别学她。	[4.0, 4.0, 4.0, 4.0]	100000356	1
1502032303	那我呢？是我救了你，也一直注视着你。	[5.0, 5.0, 5.0, 5.0]	100000387	1
1502032304	现在，你也要背叛我吗？	[4.0, 4.0, 4.0, 4.0]	100000388	1
1502032305	车厢的门被打开了，尽快离开这里。	[3.0, 3.0, 3.0, 3.0]	100000357	1
1502032306	你的人生，总是这样被无力感追着逃跑吗？	[5.0, 5.0, 5.0, 5.0]	100000389	1
1502032307	你不该拒绝我的礼物	[3.0, 3.0, 3.0, 3.0]	100000390	1
1502032307	那就送点好的	[3.0, 3.0, 3.0, 3.0]	100000358	2
1502032308	可以像刚才那样，利用惑砂的攻击来打开车厢的门。	[4.0, 4.0, 4.0, 4.0]		1
1502032309	谢啦，这个礼物倒是很有用。	[4.0, 4.0, 4.0, 4.0]		1
1502032310	你还要逃多久，才肯面对自己的罪行？	[5.0, 5.0, 5.0, 5.0]	100000391	1
1502032311	你已经没有选择了，这里只有我，你也只能面对我。	[7.0, 7.0, 7.0, 7.0]	100000392	1
1502032312	你的梦也该醒了！	[3.0, 3.0, 3.0, 3.0]	100000361	1
1502032313	在过去的回忆里彷徨吧，直到永远，永远。	[8.0, 8.0, 8.0, 8.0]	100000393	1
1502032314	妈妈？	[2.0, 2.0, 2.0, 2.0]		1
1502032314		[3.0, 3.0, 3.0, 3.0]		2
1502032314	……她指的方向是……出口吗？	[10.0, 10.0, 10.0, 10.0]		3
1502032316	诺安，我希望你能好好长大，成为一个末日中的‘幸存者’	[8.0, 8.0, 8.0, 8.0]		1
1502032316	……以你喜欢的样子，活下去。	[5.0, 5.0, 5.0, 5.0]		2
1502032317	蕾切尔队长……	[3.0, 3.0, 3.0, 3.0]		1
1502032318	无论你喜欢的未来是什么样，都别学我。	[5.0, 5.0, 5.0, 5.0]		1
1502032319	如果这就是我们这么多年努力和期盼的结果，未免也太过凄惨了。	[11.0, 11.0, 11.0, 11.0]	100000399	1
1502032320	别害怕，还有人活着啊。	[3.0, 3.0, 3.0, 3.0]	100000397	1
1502032321	死亡代表曾经生存过，朽腐证明着我们绝非空虚。	[7.0, 7.0, 7.0, 7.0]		1
1502032321	新的生命会从野草中诞生，这对我来说，就是腐草为萤的意义。	[13.0, 13.0, 13.0, 13.0]		2
1502032322	诺安……你看……	[4.0, 4.0, 4.0, 4.0]	100000372	1
