Id	SkillId	Level	Name	Intro	Icon	EntryId	TypeDes	Tag	Title	BriefDes	SpecificDes
11	104303	1	磁力引雷		Assets/Product/Texture/Image/IconSkill/R3biankalan1.png		蓝色信号球		{1: '蓝色信号球 — <color=#40B0FF>消除蓝色信号球</color>', 2: '蓝色信号球 — <color=#40B0FF>闪电充能+点击普通攻击/消除红色信号球/触发核心被动</color>'}	{1: '引爆箭矢能量，击退自身周围的目标，并造成物理伤害。同时获得<color=#FF8C5F>闪电充能</color>。', 2: '<color=#FF8C5F>闪电充能</color>状态下，普通攻击会产生额外<color=#FF8C5F>1</color>支闪电箭，造成物理伤害，红色信号球及核心被动会产生额外<color=#FF8C5F>2</color>支闪电箭，造成物理伤害。'}	{1: '引爆箭矢能量，击退自身周围的目标，并造成物理伤害。同时获得<color=#FF8C5F>闪电充能</color>。\\n-根据消球数，引爆造成<color=#FF8C5F>180%</color>/<color=#FF8C5F>360%</color>/<color=#FF8C5F>540%</color>的物理伤害。', 2: '<color=#FF8C5F>闪电充能</color>状态下，普通攻击会产生额外<color=#FF8C5F>1</color>支闪电箭，造成物理伤害，红色信号球及核心被动会产生额外<color=#FF8C5F>2</color>支闪电箭，造成物理伤害。\\n-根据消球数，<color=#FF8C5F>闪电充能</color>状态下普通攻击产生的闪电箭造成<color=#FF8C5F>15%</color>/<color=#FF8C5F>30%</color>/<color=#FF8C5F>45%</color>的物理伤害。\\n-根据消球数，红色信号球及核心被动产生的闪电箭每支造成<color=#FF8C5F>40%</color>/<color=#FF8C5F>80%</color>/<color=#FF8C5F>120%</color>的物理伤害。\\n-<color=#FF8C5F>闪电充能</color>状态持续<color=#FF8C5F>8</color>秒。'}
12	104304	1	流电惊雷		Assets/Product/Texture/Image/IconSkill/biankapugong1.png		普通攻击		{1: '普通攻击 — <color=#40B0FF>点击普通攻击</color>'}	{1: '连续向目标快速发射7只箭矢，最后发射1支远距离穿透箭，造成物理伤害。'}	{1: '连续向目标快速发射7只箭矢，最后发射1支远距离穿透箭，造成物理伤害。\\n-最高共造成<color=#FF8C5F>1030%</color>的物理伤害。'}
13	104305	1	千钧一发		Assets/Product/Texture/Image/IconSkill/R3biankahexin1.png		核心被动		{1: '核心被动 — <color=#40B0FF>3消红色信号球+消除蓝色信号球</color>', 2: '核心被动 — <color=#40B0FF>狙击状态+点击普通攻击</color>', 3: '核心被动 — <color=#40B0FF>狙击状态+点击闪避</color>'}	{1: '3消红色信号球后，再次消除蓝色信号球时，进入<color=#FF8C5F>狙击状态</color>。', 2: '<color=#FF8C5F>狙击状态</color>下普通攻击发射一支远距离能量箭，狙击状态中的能量箭可贯通敌方，造成多段物理伤害。<color=#FF8C5F>狙击状态</color>下普通攻击将不再回复信号球。', 3: '<color=#FF8C5F>狙击状态</color>下进行闪避时，紧接的下一次普通攻击蓄力时间会有所减少。'}	{1: '3消红色信号球后，再次消除蓝色信号球时，进入<color=#FF8C5F>狙击状态</color>。', 2: '<color=#FF8C5F>狙击状态</color>下普通攻击发射一支远距离能量箭，狙击状态中的能量箭可贯通敌方，造成多段物理伤害。<color=#FF8C5F>狙击状态</color>下普通攻击将不再回复信号球。\\n-每支能量箭最高共造成<color=#FF8C5F>800%</color>的物理伤害。', 3: '<color=#FF8C5F>狙击状态</color>下进行闪避时，紧接的下一次普通攻击蓄力时间会有所减少。'}
14	104306	1	狂雷骤雨		Assets/Product/Texture/Image/IconSkill/DlcFightPugong.png		狩捕普攻		{1: '狩捕 — <color=#40B0FF>点击狩捕按钮</color>', 2: '狂雷骤雨 — <color=#40B0FF>进入狩捕后+点击普攻</color>'}	{1: '使用数据狩捕定位锚跃向空中，后对敌方冲刺造成物理伤害。', 2: '在空中对目标连续射击，造成物理伤害。'}	{1: '使用数据狩捕定位锚跃向空中，后对敌方冲刺造成物理伤害。\\n-造成<color=#FF8C5F>80%</color>的物理伤害。', 2: '在空中对目标连续射击，造成物理伤害。\\n-共造成<color=#FF8C5F>615%</color>的物理伤害。'}
15	104307	1	聚能雷矢		Assets/Product/Texture/Image/IconSkill/DlcFightXiaoqiu.png		狩捕消球		{1: '聚能雷矢  — <color=#40B0FF>进入狩捕后+消除信号球</color>'}	{1: '蓄力并对目标射出能量箭，造成物理伤害。'}	{1: '蓄力并对目标射出能量箭，造成物理伤害。\\n-根据连消次数造成<color=#FF8C5F>240%</color>/<color=#FF8C5F>850%</color>/<color=#FF8C5F>1600%</color>的物理伤害。'}
16	104308	1	辉蓝猎标		Assets/Product/Texture/Image/IconSkill/DlcFightBianka1.png		狩捕被动		{1: '辉蓝猎标  — <color=#40B0FF>进入狩捕后+连消蓄力时精准松开攻击</color>'}	{1: '在1次连消，或2次连消的蓄力状态时，在音效提示时松开按键进行精准狙击射击，造成物理伤害。'}	{1: '在1次连消，或2次连消的蓄力状态时，在音效提示时松开按键进行精准狙击射击，造成物理伤害。\\n-根据连消次数造成<color=#FF8C5F>1200%</color>/<color=#FF8C5F>2400%</color>的物理伤害。'}
17	104309	1	轰弩终鸣		Assets/Product/Texture/Image/IconSkill/R3biankadazhao1.png		狩捕终结		{1: '轰弩终鸣 — <color=#40B0FF>完成狩捕</color>'}	{1: '在空中对钉入部位进行数次射击后将限制装置完全钉入目标部位，斩击造成物理伤害。'}	{1: '在空中对钉入部位进行数次射击后将限制装置完全钉入目标部位，斩击造成物理伤害。\\n-共造成<color=#FF8C5F>6150%</color>的物理伤害。'}
18	107201	1	散弹		Assets/Product/Texture/Image/IconSkill/R2kalieninahong1.png		红色信号球		{1: '红色信号球 — <color=#40B0FF>消除红色信号球</color>'}	{1: '向前方发射炮弹，对目标造成物理伤害并回复热度值。'}	{1: '向前方发射6颗炮弹，对目标造成物理伤害并恢复热度值。\\n-根据消球数，每枚炮弹造成<color=#FF8C5F>40%</color>/<color=#FF8C5F>80%</color>/<color=#FF8C5F>120%</color>的物理伤害。\\n-根据消球数，每枚炮弹回复<color=#FF8C5F>30</color>/<color=#FF8C5F>60</color>/<color=#FF8C5F>90</color>的热度值。'}
19	107202	1	引信弹		Assets/Product/Texture/Image/IconSkill/R2kalieninahuang1.png		黄色信号球		{1: '黄色信号球 — <color=#40B0FF>消除黄色信号球</color>'}	{1: '向目标快速发动1次炮击，对目标造成物理伤害，并标记目标，使目标接下来受到卡列尼娜·爆裂攻击时，有概率发生爆炸，造成物理伤害。'}	{1: '向目标快速发动1次炮击，对目标造成物理伤害，并标记目标，使目标接下来受到卡列尼娜·爆裂攻击时，有概率发生爆炸，造成物理伤害。\\n-根据消球数，造成<color=#FF8C5F>200%</color>/<color=#FF8C5F>400%</color>/<color=#FF8C5F>600%</color>的物理伤害。\\n-攻击被标记目标时有75%概率发生爆炸，根据消球数造成<color=#FF8C5F>30%</color>/<color=#FF8C5F>60%</color>/<color=#FF8C5F>90%</color>的物理伤害。\\n-根据消球数，回复<color=#FF8C5F>200</color>/<color=#FF8C5F>400</color>/<color=#FF8C5F>600</color>的热度值。'}
20	107203	1	旋火弹		Assets/Product/Texture/Image/IconSkill/R2kalieninalan1.png		蓝色信号球		{1: '蓝色信号球 — <color=#40B0FF>消除蓝色信号球</color>'}	{1: '向前方地面发射一发特殊炮弹，命中敌人后造成物理伤害，并对所在区域的敌人持续造成物理伤害。'}	{1: '向前方地面发射一发特殊炮弹，命中敌人后造成物理伤害，并对所在区域的敌人持续造成物理伤害。\\n-根据消球数，造成<color=#FF8C5F>150%</color>/<color=#FF8C5F>300%</color>/<color=#FF8C5F>450%</color>的物理伤害。\\n-对所在区域的敌人每秒造成<color=#FF8C5F>5%</color>/<color=#FF8C5F>10%</color>/<color=#FF8C5F>15%</color>的物理伤害，最多造成<color=#FF8C5F>20</color>次伤害。\\n-根据消球数，每次持续伤害回复<color=#FF8C5F>8</color>/<color=#FF8C5F>16</color>/<color=#FF8C5F>24</color>的热度值。'}
21	107204	1	炮斗术		Assets/Product/Texture/Image/IconSkill/DlcFightPugong.png		普通攻击		{1: '普通攻击 — <color=#40B0FF>点击普通攻击</color>'}	{1: '使用大炮连续攻击敌人造成物理伤害。'}	{1: '使用大炮连续攻击敌人造成物理伤害。\\n-共造成<color=#FF8C5F>540%</color>的物理伤害。\\n-共回复<color=#FF8C5F>350</color>热度值。'}
22	107205	1	超温旋刃		Assets/Product/Texture/Image/IconSkill/R2kalieninahexin1.png		核心被动		{1: '热度值 — <color=#40B0FF>释放任意技能获取</color>', 2: '离子能 — <color=#40B0FF>拥有800以上热度值+进行三消</color>', 3: '超温旋刃 — <color=#40B0FF>拥有离子能+长按普攻</color>'}	{1: '释放任意技能可以获取热度值，热度值上限为<color=#FF8C5F>1000</color>。', 2: '热度值高于<color=#FF8C5F>800</color>时，使用任意三消将所有热度转换为离子能。', 3: '发射强力光柱并对面前区域进行大范围横扫，造成多段物理伤害并对命中的所有部位施加<color=#FF8C5F>熔融</color>效果。任何角色对带有<color=#FF8C5F>熔融</color>效果的部位进行攻击时提升自身攻击力。'}	{1: '释放任意技能可以获取热度值，热度值上限为<color=#FF8C5F>1000</color>。', 2: '热度值高于<color=#FF8C5F>800</color>时，使用任意三消将所有热度转换为离子能。', 3: '发射强力光柱并对面前区域进行大范围横扫，造成多段物理伤害并对命中的所有部位施加<color=#FF8C5F>熔融</color>效果。任何角色对带有<color=#FF8C5F>熔融</color>效果的部位进行攻击时提升自身攻击力。\\n-最多造成<color=#FF8C5F>700%</color>的物理伤害。\\n-<color=#FF8C5F>熔融</color>效果使攻击者提升攻击力<color=#FF8C5F>20%</color>，持续<color=#FF8C5F>2</color>秒，重复攻击可刷新持续时间，<color=#FF8C5F>熔融</color>效果持续<color=#FF8C5F>10</color>秒。'}
23	107206	1	密集阵		Assets/Product/Texture/Image/IconSkill/DlcFightPugong.png		狩捕普攻		{1: '狩捕 — <color=#40B0FF>点击狩捕按钮</color>', 2: '密集阵 — <color=#40B0FF>进入狩捕后+点击普攻</color>'}	{1: '使用数据狩捕定位锚跃向空中，后对敌方冲刺造成物理伤害。', 2: '点击普攻按钮进入持续射击状态造成物理伤害。可通过调整左摇杆控制普攻命中位置。对命中的部位添加<color=#FF8C5F>熔融</color>效果。'}	{1: '使用数据狩捕定位锚跃向空中，后对敌方冲刺造成物理伤害。\\n-造成<color=#FF8C5F>100%</color>的物理伤害。', 2: '点击普攻按钮进入持续射击状态造成物理伤害。可通过调整左摇杆控制普攻命中位置。对命中的部位添加<color=#FF8C5F>熔融</color>效果。\\n-每次扫射造成<color=#FF8C5F>90%</color>物理伤害。\\n-每次扫射回复<color=#FF8C5F>15</color>热度值。'}
24	107207	1	过载膛压		Assets/Product/Texture/Image/IconSkill/DlcFightXiaoqiu.png		狩捕消球		{1: '过载膛压  — <color=#40B0FF>进入狩捕后+消除信号球</color>'}	{1: '朝前方连发射炮弹，造成物理伤害。'}	{1: '朝前方连发射炮弹，造成物理伤害。\\n-无连消时，造成<color=#FF8C5F>240%</color>的物理伤害，回复<color=#FF8C5F>100</color>热度值。此时若热度值高于<color=#FF8C5F>50%</color>，则不会打断普攻。\\n-1连消时，造成<color=#FF8C5F>850%</color>的物理伤害，回复<color=#FF8C5F>200</color>热度值。\\n-2连消时，造成<color=#FF8C5F>1300%</color>的物理伤害，回复<color=#FF8C5F>400</color>热度值，并对怪物全身造成<color=#FF8C5F>熔融</color>效果，此时若拥有离子能，则会消耗剩余的所有信号球，并消耗所有的离子能、根据触发2消的时消耗信号球总数额外造成伤害，每颗信号球造成<color=#FF8C5F>150%</color>的物理伤害。'}
25	107209	1	光热聚变		Assets/Product/Texture/Image/IconSkill/R2kalieninadazhao1.png		狩捕终结		{1: '光热聚变 — <color=#40B0FF>完成狩捕</color>'}	{1: '钉入部位后，在空中对以重炮滑板蓄能，落地后在怪物位置生成巨型物理焰龙卷，斩击造成物理伤害。'}	{1: '钉入部位后，在空中对以重炮滑板蓄能，落地后在怪物位置生成巨型物理焰龙卷，斩击造成物理伤害。\\n-共造成<color=#FF8C5F>6200%</color>的物理伤害。\\n-共回复<color=#FF8C5F>400</color>热度值.'}
