Id	Priority	Ignore	Desc	GuideType	ConditionId	CompleteId	ActiveUi	CheckNodeActive	RewardId	GroupId
52801	52801	1	lv30 引导纷争战区	1	[862848, 863028]	52801	UiMain			52801
52802	52802	1	lv30 引导全境支援	1	[862848, 862589, 863028]	52802	UiArenaNew			52802
52803	52803	1	lv30 引导熵钟异数	1	[862848, 862590, 863028]	52803	UiArenaNew			52803
60611	60611	1	Lv30 引导角色塔入口	1	[862112, 10436000]	60611	UiMain			60611
60612	60612	1	Lv30 引导角色塔角色挑战	1	[862112, 10436000]	60612	UiCharacterTowerBattle			60612
60613	60613	1	Lv31 引导玩家编队	1	[863107]	60613	UiMain			60613
52901	52901	1	lv40或5-7 引导幻痛囚笼	1	[862418, 862846]	52901	UiMain			52901
52902	52700	1	lv40或5-7 引导幻痛囚笼离群点	1	[862418, 862846]	52902	UiFubenBossSingleTrial			52902
52701	52701	1	lv40或4-2 了解宿舍并打开图文	1	[862418, 862838]	52701	UiMain			52701
52707	52707	1	lv40或4-2 引导宿舍委托	1	[862418, 862838]	52707	UiDormMain			52707
52708	52708	1	lv40或4-2 引导宿舍委托奖励领取	1	[862418, 862838]	52708	UiDormTerminalCompleteDetail			52708
52731	52731	1	lv40或4-5 引导公会系统	1	[862418, 862840]	52731	UiMain			52731
52931	52931	1	引导勋章	1	[862418, 200000]	52931	UiMain			52931
52961	52961	1	Lv52 引导独域机体	1	[862418, 852961]	52961	UiMain			52961
52962	52962	1	Lv52 引导SP角色教学关	1	[862418, 852961]	52962	UiMain			52961
52991	52991	1	（废弃）完成AE-5 引导资源商店	1	[862418, 852991]	52991	UiMain|UiFubenDaily			52991
52201	52201	1	（废弃）参与联机boss	1	[862418, 200000]	52201	UiMain			52201
53101	53101	1	Lv60 引导据点玩法	1	[862419, 771500]	53101	UiMain			53101
61545	53100	1	Lv60 引导新版矿区1	1	[862419, 772280]	61545	UiMain|UiStrongholdMain			61545
61546	61546	1	Lv60 引导新版矿区2	1	[862419, 772280]	61546	UiStrongholdFightMain			61546
61547	61547	1	Lv60 引导新版矿区3	1	[862419, 772280]	61547	UiStrongholdDeploy	BtnFight		61547
61548	61548	1	Lv60 引导新版矿区4	1	[862419, 772280]	61548	UiStrongholdDeploy	BtnAutoTeam		61548
54101	54101	1	Lv60 引导衣橱套装	1	[772280]	54101	UiMain			54101
54031	54031	1	Lv61 引导宠物	1	[862419, 8006]	54031	UiMain			54031
54032	54032	1	Lv61 引导宠物赛利卡教学	1	[862419, 8006]	54032	UiMain			54032
60721	53000	1	Lv65 引导角色终阶	1	[860721, 842074]	60721	UiMain			60721
53001	53001	1	Lv65 引导黄金之涡	1	[862419, 774300]	53001	UiMain			53001
53300	53300	1	Lv70 引导端域公约	1	[862418, 774900, 862741]	53300	UiMain|UiAssignAwarenessSelect			53300
53301	53301	1	Lv70 引导边界公约驻守成员	1	[862418, 774900, 8470100]	53301	UiPanelAssignMain			53301
60722	60722	1	Lv80 引导角色超阶	1	[860722]	60722	UiMain|UiExhibitionInfo			60722
60711	60711	1	Lv90 引导序列公约主界面	1	[862421, 841207]	60711	UiMain			60711
60712	60712	1	Lv90 引导序列公约房间界面	1	[862421, 841207]	60712	UiAwarenessDeploy			60712
60713	60713	1	Lv90 引导公约超解效果	1	[862421, 841200, 841107]	60713	UiMain|UiAwarenessMain			60713
53002	53002	1	引导虚像地平线	1	[862112, 775100]	53002	UiExpeditionMain			53002
53003	53003	1	引导跑团主线	1	[862419, 601000, 603910]	53003	UiTRPGExploreRegion			53003
53004	53004	1	引导拍照模式	1	[862112, 200000]	53004	UiMain			53004
53006	53006	1	引导二期地平线	1	[862112, 775100]	53006	UiExpeditionMain			53006
53007	53007	1	尼尔案发引导	1	[862112, 601000]	53007	UiFubenNierEnter			53007
53008	53008	1	（废弃）口袋战双活动	1	[862112, 601000]	53008	UiPokemonMain			53008
53009	53009	1	战棋玩法引导	1	[862112, 860016]	53009	UiChessPursuitMain			53009
53010	53010	1	尼尔玩法培养引导	1	[862112, 880510]	53010	UiFubenNierEnter|UiFubenNierLineChapter			53010
53011	53011	1	尼尔玩法关卡引导	1	[862112, 880511]	53011	UiFubenNierRepeat			53011
53012	53012	1	模拟作战引导	1	[862112, 601000]	53012	UiSimulatedCombatMain			53012
53013	53013	1	模拟作战引导	1	[862112, 930001]	53013	UiSimulatedCombatMain			53013
54020	54020	1	（废弃）超级据点引导分组	1	[862112, 870006]	54020	UiStrongholdChooseLevelType			54020
54021	54021	1	（废弃）超级据点引导1	1	[862112, 870006]	54021	UiStrongholdMain			54021
54022	54022	1	（废弃）超级据点引导2	1	[862112, 94031, 94032]	54022	UiStrongholdFightMain			54022
54023	54023	1	（废弃）超级据点引导3	1	[862112, 94031, 94033, 94034]	54023	UiStrongholdFightMain			54023
54024	54024	1	（废弃）超级据点引导4	1	[862112, 94035, 94036]	54024	UiStrongholdMining			54024
54025	54025	1	（废弃）超级据点引导发电	1	[862112, 870006]	54025	UiStrongholdMain			54025
54026	54026	1	（废弃）超级据点引导扫荡	1	[862112, 95431]	54026	UiStrongholdMainLineBanner			54026
54041	54041	1	引导白色情人节活动	1	[862112, 10014]	54041	UiWhitedayMain			54041
54042	54042	1	引导RPG玩法	1	[862112, 84600203]	54042	UiRpgTowerMain			54042
54051	54051	1	引导文化祭基础	1	[862112, 84601200]	54051	UiMoeWarMain			54051
54052	54052	1	引导文化祭每日	1	[862112, 84601200]	54051	UiMoeWarPreparation			54052
54053	54053	1	引导文化祭副本	1	[862112, 84601209]	54051	UiMoeWarPreparation			54053
54054	54054	1	引导文化祭抽奖	1	[862112, 84601210]	54051	UiMoeWarMain			54054
55011	55011	1	引导界限构解基础	1	[862112, 774800]	55011	UiReform			55011
55012	55012	1	引导界限改造交互	1	[862112, 84600390]	55012	UiReform			55012
55021	55021	1	引导骇入玩法	1	[862112, 5001]	55012	UiFubenHack			55021
55031	55031	1	（废弃）引导夺粽活动	1	[862112, 30406]	55031	UiRpgMakerGameMain			55031
55032	55032	1	（废弃）引导夺粽玩法	1	[862112, 30406]	55032	UiRpgMakerGamePlayMain			55032
55041	55041	1	引导超级爬塔主界面	1	[862112, 84601500]	55041	UiSuperTowerMain			55041
55042	55042	1	引导无限爬塔主界面	1	[862112, 84601500]	55042	UiSuperTowerStageDetail04			55042
55043	55043	1	引导超级爬塔抽奖	1	[862112, 84601506]	55043	UiSuperTowerMain			55043
55044	55044	1	引导超级爬塔商店	1	[862112, 84601501]	55044	UiSuperTowerMain			55044
55045	55045	1	引导超级爬塔角色超限	1	[862112, 84601502]	55045	UiSuperTowerMain			55045
55046	55046	1	引导超级爬塔特种增幅	1	[862112, 84601505]	55046	UiSuperTowerMain			55046
56011	56011	1	引导踏桂寻兔玩法	1	[862112, 30406]	56011	UiRpgMakerGameMain			56011
56012	56012	1	引导踏桂寻兔活动	1	[862112, 30406]	56012	UiRpgMakerGamePlayMain			56012
56021	56021	1	引导链合回路玩法	1	[862112, 774800, 771000]	56021	UiSameColorGameBossMain			56021
56022	56022	1	引导链合回路活动	1	[862112, 774800]	56022	UiSameColorGameBattle			56022
57011	57011	1	引导巴别塔玩法	1	[862112, 772280]	57011	UiBabelTowerMainNew			57011
57012	57012	1	引导巴别塔活动	1	[862112, 772280]	57012	UiBabelTowerChildSupport			57012
57021	57021	1	引导超限乱斗玩法	1	[862112, 84601800]	57021	UiSuperSmashBrosMain			57021
57022	57022	1	引导超限乱斗界面	1	[862112, 84601800]	57022	UiSuperSmashBrosMain			57022
57023	57023	1	引导超限乱斗活动	1	[862112, 84601800]	57023	UiSuperSmashBrosSelectStage			57023
57024	57024	1	引导超限乱斗编队	1	[862112, 84601800]	57024	UiSuperSmashBrosPick			57024
57025	57025	1	引导超限乱斗成员整备	1	[862112, 84601800]	57025	UiSuperSmashBrosCharacter			57025
57031	57031	1	引导全服决战玩法	1	[862112, 84601200]	57031	UiAreaWarMain			57031
57032	57032	1	引导全服决战战况界面	1	[862112, 84601200]	57032	UiAreaWarInformation			57032
57033	57033	1	引导全服决战详情界面	1	[862112, 84601200]	57033	UiAreaWarStageDetail			57033
57034	57034	1	引导全服决战特遣角色界面	1	[862112, 84601200]	57034	UiAreaWarSpecialRole			57034
57035	57035	1	引导全服决战战术增幅	1	[862112, 84601200]	57035	UiAreaWarJingHua			57035
57036	57036	1	引导全服决战阶段战果	1	[862112, 84601200]	57036	UiAreaWarHangUp			57036
57041	57041	1	引导界限构解2期基础	1	[862112, 774800]	57041	UiReform			57041
57042	57042	1	引导界限改造2期交互	1	[862112, 84600391]	57042	UiReform			57042
58011	58011	1	引导肉鸽玩法主界面	1	[862112, 1002036]	58011	UiTheatreMain			58011
58012	58012	1	（废弃）引导肉鸽角色招募	1	[862112, 1002036]	58012	UiTheatreRecruit			58012
58013	58013	1	引导肉鸽副本选择	1	[862418, 1002036]	58013	UiTheatrePlayMain			58013
58014	58014	1	引导肉鸽队伍等级提升	1	[862418, 1002036]	58014	UiTheatreTeamUp			58014
58015	58015	1	引导肉鸽势力选择	1	[862418, 1002036]	58015	UiTheatreChooseBuff			58015
58016	58016	1	引导肉鸽好感系统	1	[862418, 1002036]	58016	UiTheatreFavorability			58016
58017	58017	1	引导肉鸽帷幕舞台	1	[862418, 1002036]	58017	UiTheatreDecoration			58017
58021	58021	1	引导异构阵线主界面	1	[862112, 774800]	58021	UiFubenMaverickMain			58021
58031	58031	1	引导末日生存主界面	1	[862112, 30406]	58031	UiDoomsdayChapter			58031
58032	58032	1	引导末日生存演习介绍	1	[862112, 30406]	58032	UiDoomsdayFubenMain			58032
58033	58033	1	引导末日生存探索队伍	1	[862112, 30406]	58033	UiDoomsdayExplore			58033
58034	58034	1	引导末日生存探索地点	1	[862112, 30406]	58034	UiDoomsdayExplore			58034
59011	59011	1	引导三消2期玩法	1	[862112, 774800, 771000]	59011	UiSameColorGameBattle			59011
59021	59021	1	引导战双大逃杀	1	[862112, 30406]	59021	UiEscapeMain			59021
59022	59022	1	引导战双大逃杀队伍界面	1	[862112, 30406]	59022	UiEscapeTeamTips			59022
59031	59031	1	引导独域特攻玩法	1	[862112, 84601800]	59031	UiPivotCombatMain			59031
59032	59032	1	引导独域特攻供能效果	1	[862112, 84601800, 859042]	59032	UiPivotCombatSecondary			59032
59033	59033	1	引导独域特攻中枢区域	1	[862112, 84601800]	59033	UiPivotCombatNormalDetail			59033
60001	60001	1	引导落梅融雪界面	1	[862112, 200000]	60001	UiRpgMakerGameMain			60001
60011	60011	1	引导凛冬序列界面	1	[862112, 30406]	60011	UiDoubleTowers			60011
60012	60012	1	引导凛冬序列玩法	1	[862112, 30406]	60012	UiDoubleTowersDeploy			60012
60021	60021	1	引导RPG玩法4期界面	1	[862112, 774800]	60021	UiRpgTowerMain			60021
60022	60022	1	引导RPG玩法4期玩法	1	[862112, 84600203]	60022	UiRpgTowerMain			60022
60031	60031	1	引导公会战界面入口	1	[862112, 852731, 1002104]	60031	UiGuildMain			60031
60032	60032	1	引导公会战玩法界面	1	[862112, 852731, 1002100]	60032	UiGuildWarStageDetail			60032
60101	60101	1	引导分光双星主界面	1	[862112, 8005]	60101	UiCoupleCombatChapter			60101
60111	60111	1	引导音游主界面	1	[862112, 8005]	60111	UiTaikoMasterMain			60111
60112	60112	1	引导音游校准关	1	[862112, 8005]	60112	UiTaikoMasterMain			60111
60121	60121	1	引导极域协作主界面	1	[862112, 30406]	60121	UiMultiDimMain			60121
60122	60122	1	引导极域协作天赋技能	1	[862112, 30406]	60122	UiMultiDimTalent			60122
60123	60123	1	引导极域协作单人副本	1	[862112, 30406]	60123	UiMultiDimSingleCopyTips			60123
60124	60124	1	引导极域协作多人副本	1	[862112, 30406, 1002202]	60124	UiMultiDimMain			60124
60131	60131	1	引导独域特攻二期主界面	1	[862112, 84601800]	60131	UiPivotCombatMain			60131
60132	60132	1	引导独域特攻二期教学	1	[862112, 84601800]	60132	UiPivotCombatSecondary			60132
60201	60201	1	引导文化祭2.0基础	1	[862112, 84601200]	60201	UiMoeWarMain			60201
60202	60202	1	引导文化祭2.0每日	1	[862112, 84601200]	60202	UiMoeWarPreparation			60202
60203	60203	1	引导文化祭2.0抽奖	1	[862112, 84601216]	60203	UiMoeWarMain			60203
60204	60204	1	引导文化祭2.0跑酷	1	[862112, 84601200]	60204	UiMoeWarParkourMain			60204
60211	60211	1	引导自走棋3.0主界面	1	[862112, 775100]	60211	UiExpeditionMain			60211
60221	60221	1	引导公会宿舍	1	[862418, 862840]	60221	UiGuildDormMain			60221
60231	60231	1	引导超限乱斗2.0玩法	1	[862112, 84601800]	60231	UiSuperSmashBrosMain			60231
60232	60232	1	引导超限乱斗2.0场景	1	[862112, 84601800]	60232	UiSuperSmashBrosSelectStage			60232
60233	60233	1	引导超限乱斗2.0编队	1	[862112, 84601800]	60233	UiSuperSmashBrosPick			60233
60234	60234	1	引导超限乱斗2.0成员整备	1	[862112, 84601800]	60234	UiSuperSmashBrosCharacter			60234
60301	60301	1	引导公会拟真围剿	1	[862418, 772310, 1002234]	60301	UiGuildBossStage			60301
60302	60302	1	引导公会拟真围剿难度选择	1	[862418, 772310, 1002234]	60302	UiGuildBossDiff			60302
60303	60303	1	引导公会拟真围剿流派选择	1	[862418, 772310, 1002234]	60303	UiGuildBossSelectStyle			60303
60311	60311	1	引导模拟经营2.0主界面	1	[862112, 30406]	60311	UiDoomsdayChapter			60311
60312	60312	1	引导模拟经营2.0关卡	1	[862112, 30406]	60312	UiDoomsdayFubenMain			60311
60313	60313	1	引导模拟经营2.0探索	1	[862112, 30406]	60313	UiDoomsdayExplore			60311
60314	60314	1	引导模拟经营2.0探索地点	1	[862112, 30406]	60314	UiDoomsdayExplore			60311
60315	60315	1	引导模拟经营2.0结束	1	[862112, 30406]	60315	UiDoomsdayFubenMain			60311
60321	60321	1	引导界限构解3期基础	1	[862112, 774800]	60321	UiReform			60321
60322	60322	1	引导界限构解3期改造	1	[862112, 774800]	60322	UiReformList			60321
60323	60323	1	引导界限构解3期交互	1	[862112, 774800]	60323	UiReform			60321
60324	60324	1	引导界限构解3期多波次	1	[862112, 774800, 1002222]	60324	UiReform			60321
60331	60331	1	引导正逆塔主界面	1	[862112, 8005]	60331	UiTwoSideTowerMain			60331
60332	60332	1	引导正逆塔逆塔玩法	1	[862112, 1002232]	60332	UiTwoSideTowerMainLine			60331
60333	60333	1	引导正逆塔构想点	1	[862112, 1002233]	60333	UiTwoSideTowerMainLine			60331
60401	60401	1	引导肉鸽2.0主界面	1	[862419, 1005045]	60401	UiBiancaTheatreMain			60401
60402	60402	1	引导肉鸽2.0难度选择	1	[862419, 1005045]	60402	UiBiancaTheatreChoice			60402
60403	60403	1	引导肉鸽2.0角色选择	1	[862419, 1005045]	60403	UiBiancaTheatreRecruit			60403
60404	60404	1	引导肉鸽2.0玩法界面	1	[862419, 1005045]	60404	UiBiancaTheatrePlayMain			60404
60405	60405	1	引导肉鸽2.0首次结算	1	[862419, 1005045]	60405	UiBiancaTheatreMain			60405
60406	60406	1	引导肉鸽2.0技能能力	1	[862419, 1005045]	60406	UiBiancaTheatreSkill			60406
60407	60407	1	引导肉鸽2.0成就系统	1	[862419, 1005045, 860407]	60407	UiBiancaTheatreMain			60407
60408	60408	1	引导肉鸽2.0灵智系统	1	[862419, 1005045, 1005048]	60408	UiBiancaTheatrePlayMain			60408
60411	60411	1	引导七夕翻牌玩法	1	[862112, 774800]	60411	UiFubenPokerGuessing			60411
60421	60421	1	引导众志行征2.0界面入口	1	[862112, 852731, 1002110]	60421	UiGuildMain|UiGuildDormMain			60421
60422	60422	1	引导众志行征2.0玩法界面	1	[862112, 852731, 1002110]	60422	UiGuildWarStageMain			60422
60423	60423	1	引导众志行征2.0支援角色	1	[862112, 852731]	60423	UiGuildWarSupport			60423
60424	60424	1	引导众志行征2.0Boss挑战	1	[862112, 852731]	60424	UiGuildWarBossStageDetail			60424
60425	60425	1	引导众志行征3.0Boss挑战	1	[862112, 852731, 1002110]	60425	UiGuildWarTwinsPanel			60425
60426	60426	1	引导众志行征3.0隐藏节点	1	[862112, 852731, 1002110]	60426	UiGuildWarConcealStageDetail			60426
60501	60501	1	引导链合回路3.0战斗	1	[862112, 774800, 771000]	59011	UiSameColorGameBattle			60501
60511	60511	1	引导Rpg5.0主界面	1	[862112, 774800]	60511	UiRpgTowerNewMain			60511
60601	60601	1	引导分光双星3.0主界面	1	[862112, 8005]	60601	UiCoupleCombatChapter			60601
60602	60602	1	引导分光双星3.0章节介绍	1	[862112, 8005]	60602	UiCoupleCombatMain			60602
60621	60621	1	引导深蓝战域2.0	1	[862112, 84601800]	60621	UiRiftMain			60621
60622	60622	1	引导深蓝战域2.0成员整备	1	[862112, 84601800]	60622	UiRiftCharacter			60622
60623	60623	1	引导深蓝战域2.0知觉增幅	1	[862112, 84601800, 890010]	60623	UiRiftFightLayerSelect			60623
60624	60624	1	引导深蓝战域2.0益想映像	1	[862112, 84601800, 890011]	60624	UiRiftFightLayerSelect			60624
60625	60625	1	引导深蓝战域2.0插件图鉴	1	[862112, 84601800, 890012]	60625	UiRiftFightLayerSelect			60625
60700	60700	1	引导三周年主界面调整	1	[862112, 860700, 860701]	60700	UiMain			60700
60701	60701	1	引导调色板战争主界面	1	[862112, 774800, 771000]	60701	UiColorTableMain			60701
60702	60702	1	引导调色板战争第一关	1	[862112, 774800, 771000, 1009003]	60702	UiColorTableStageMain			60702
60703	60703	1	引导调色板战争第二关内容	1	[862112, 774800, 771000, 1009004]	60703	UiColorTableStageMain			60703
60704	60704	1	引导调色板战争第三关内容	1	[862112, 774800, 771000, 1009005]	60704	UiColorTableStageMain			60704
60705	60705	1	引导调色板战争第三关遭遇事件	1	[862112, 774800, 1009006, 1009005]	60705	UiColorTableStageMainInfo			60705
60731	60731	1	引导光辉同行主界面	1	[862112, 774800]	60731	UiBrilliantWalkMain			60731
60732	60732	1	引导光辉同行主界面改造	1	[862112, 774800, 860732]	60732	UiBrilliantWalkMain			60732
60741	60741	1	引导主界面切换场景	1	[862112, 860741, 860740]	60741	UiMain			60741
60801	60801	1	引导超限乱斗3.0玩法	1	[862112, 84601800]	60801	UiSuperSmashBrosMain			60801
60802	60802	1	引导超限乱斗3.0场景	1	[862112, 84601800]	60802	UiSuperSmashBrosSelectStage			60802
60803	60803	1	引导超限乱斗3.0成员整备	1	[862112, 84601800]	60803	UiSuperSmashBrosCharacter			60803
60804	60804	1	引导超限乱斗3.0紧急抽调	1	[862112, 84601800, 860810]	60804	UiSuperSmashBrosMain			60804
60805	60805	1	引导超限乱斗3.0紧急抽调准备界面	1	[862112, 84601800, 860810, 860811]	60805	UiSuperSmashBrosReady			60805
60811	60811	1	引导异构阵线2.0玩法	1	[862112, 774800]	60811	UiMaverick2Main			60811
60812	60812	1	引导异构阵线2.0章节界面	1	[862112, 774800]	60812	UiMaverick2Explore			60812
60813	60813	1	引导异构阵线2.0心智分配	1	[862112, 774800, 860813]	60813	UiMaverick2Explore			60813
60814	60814	1	引导异构阵线2.0每日关卡	1	[862112, 774800, 860814]	60814	UiMaverick2Explore			60814
60821	60821	1	引导DLC狩猎玩法教学关	1	[862112, 30406]	60821	UiDlcHuntMain			60821
60822	60822	1	引导DLC狩猎玩法主界面	1	[862112, 30406]	60822	UiDlcHuntMain			60822
60823	60823	1	引导DLC狩猎玩法芯片装备	1	[862112, 860823, 860824, 860825]	60823	UiDlcHuntMain			60823
60831	60831	1	引导战双厨房主界面	1	[862112, 774800]	60831	UiRestaurantMain			60831
60832	60832	1	引导战双厨房食材区	1	[862112, 774800]	60832	UiRestaurantMain			60831
60833	60833	1	引导战双厨房售卖区	1	[862112, 774800]	60833	UiRestaurantMain			60831
60834	60834	1	引导战双厨房员工界面	1	[862112, 774800]	60834	UiRestaurantCook			60834
60835	60835	1	引导战双厨房热销界面	1	[862112, 774800]	60835	UiRestaurantRecommend			60835
60836	60836	1	引导战双厨房餐厅升级	1	[862112, 774800]	60836	UiRestaurantHire			60836
60901	60901	1	引导情人节迷宫	1	[862112, 774800]	60901	UiMazeMain			60901
60911	60911	1	引导Rpg6.0主界面	1	[862112, 774800]	60911	UiRpgTowerNewMain			60911
60921	60921	1	引导正逆塔主界面	1	[862112, 8005]	60921	UiTwoSideTowerMain			60921
60922	60922	1	引导正逆塔玩法	1	[862112, 860923]	60922	UiTwoSideTowerMainLine			60922
60931	60931	1	引导推箱子4.0	1	[862112, 30406]	60931	UiRpgMakerGameMain			60931
60932	60932	1	引导推箱子4.0角色属性	1	[862112, 30406]	60932	UiRpgMakerGameChoice	ImgAttribute		60932
61010	61010	1	引导链合回路4.0玩法主界面	1	[862112, 774800, 771000]	61010	UiSameColorGameBossMain			61010
61011	61011	1	引导链合回路4.0战斗	1	[862112, 774800, 771000]	61011	UiSameColorGameBattle			61011
61012	61012	1	引导链合回路4.0限时挑战	1	[862112, 774800, 771000, 861012]	61012	UiSameColorGameBossMain			61012
61020	61020	1	引导BVB主界面	1	[862112, 774800]	61020	UiMonsterCombatMain			61020
61021	61021	1	引导BVB房间准备界面	1	[862112, 774800]	61021	UiMonsterCombatBattlePrepare			61021
