CharacterGrowUpLevelId	ModelId	EffectRootName	EffectPath	Title	Desc
10710025	R2KalieninaMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR2Kalienina/FxR2KalieninaPinzhiGuadianBip001RUpperArm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10810021	R2DubianMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10810022	R2DubianMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10810023	R2DubianMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10810024	R2DubianMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2Dubian/FxR2DubianPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10810025	R2DubianMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2Dubian/FxR2DubianPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10210021	R2LuxiyaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10210022	R2LuxiyaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10210023	R2LuxiyaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10210024	R2LuxiyaMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR2Luxiya/FxR2LuxiyaPinzhiGuadianBip001RUpperArm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10210025	R2LuxiyaMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR2Luxiya/FxR2LuxiyaPinzhiGuadianBip001RUpperArm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10310021	R2LifuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10310022	R2LifuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10310023	R2LifuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10310024	R2LifuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2LifuPrefab/Common/FxR2LifuPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10310025	R2LifuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2LifuPrefab/Common/FxR2LifuPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10110031	R3LiangMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10110032	R3LiangMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10110033	R3LiangMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10110034	R3LiangMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LiangPrefab/Common/FxR3LiangPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10110035	R3LiangMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LiangPrefab/Common/FxR3LiangPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10310031	R3LifuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10310032	R3LifuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10310033	R3LifuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10310034	R3LifuMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR3LifuPrefab/Common/FxR3LifuPinzhiGuadianBip001RUpperArm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10310035	R3LifuMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR3LifuPrefab/Common/FxR3LifuPinzhiGuadianBip001RUpperArm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10610031	R3ShenweiMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10610032	R3ShenweiMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10610033	R3ShenweiMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10610034	R3ShenweiMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3ShenweiPrefab/Common/FxR3ShenweiPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10610035	R3ShenweiMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3ShenweiPrefab/Common/FxR3ShenweiPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10710031	R3KalieninaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10710032	R3KalieninaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10710033	R3KalieninaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10710034	R3KalieninaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3KalieninaPrefab/Common/FxR3KalieninaPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10710035	R3KalieninaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3KalieninaPrefab/Common/FxR3KalieninaPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10510031	R3YongyechaoMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10510032	R3YongyechaoMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10510033	R3YongyechaoMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10510034	R3YongyechaoMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3YongyechaoPrefab/Common/FxR3YongyechaoPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10510035	R3YongyechaoMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3YongyechaoPrefab/Common/FxR3YongyechaoPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10210031	R3LuxiyaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10210032	R3LuxiyaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10210033	R3LuxiyaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10210034	R3LuxiyaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LuxiyaPrefab/Common/FxR3LuxiyaPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10210035	R3LuxiyaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LuxiyaPrefab/Common/FxR3LuxiyaPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10810031	R3DubianMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10810032	R3DubianMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10810033	R3DubianMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10810034	R3DubianMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3Dubian/FxR3DubianPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10810035	R3DubianMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3Dubian/FxR3DubianPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10910021	R2AilaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10910022	R2AilaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10910023	R2AilaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10910024	R2AilaMd010031	Bip001LUpperArm	Assets/Product/Effect/Prefab/FxR2Aila/FxR2AilaPinzhiGuadianBip001LUpperArm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10910025	R2AilaMd010031	Bip001LUpperArm	Assets/Product/Effect/Prefab/FxR2Aila/FxR2AilaPinzhiGuadianBip001LUpperArm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10410031	R3BiankaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10410032	R3BiankaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10410033	R3BiankaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10410034	R3BiankaMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR3Bianka/Common/FxR3BiankaPinzhiGuadianBip001RupperArm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10410035	R3BiankaMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR3Bianka/Common/FxR3BiankaPinzhiGuadianBip001RupperArm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11110021	R2SufeiyaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11110022	R2SufeiyaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11110023	R2SufeiyaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11110024	R2SufeiyaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2SufeiyaPrefab/FxR2SufeiyaPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11110025	R2SufeiyaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2SufeiyaPrefab/FxR2SufeiyaPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11210021	R2KuluomuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11210022	R2KuluomuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11210023	R2KuluomuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11210024	R2KuluomuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2KuluomuPrefab/Common/FxR2KuluomuPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11210025	R2KuluomuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2KuluomuPrefab/Common/FxR2KuluomuPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
10210041	R4LuxiyaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10210042	R4LuxiyaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10210043	R4LuxiyaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10210044	R4LuxiyaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR4LuxiyaPrefab/Common/FxR4LuxiyaPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10210045	R4LuxiyaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR4LuxiyaPrefab/Common/FxR4LuxiyaPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11310021	R2WeilaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11310022	R2WeilaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11310023	R2WeilaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11310024	R2WeilaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2WeilaPrefab/Common/FxR2WeilaPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11310025	R2WeilaMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2WeilaPrefab/Common/FxR2WeilaPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
15110031	R2KamuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
15110032	R2KamuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
15110033	R2KamuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
15110034	R2KamuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2KamuPrefab/Common/FxR2KamuPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
15110035	R2KamuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2KamuPrefab/Common/FxR2KamuPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11410031	R3LuosaitaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11410032	R3LuosaitaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11410033	R3LuosaitaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11410034	R3LuosaitaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/Common/FxR3LuosaitaPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11410035	R3LuosaitaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LuosaitaPrefab/Common/FxR3LuosaitaPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
15210031	R2QuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
15210032	R2QuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
15210033	R2QuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
15210034	R2QuMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2QuPrefab/Common/FxR2QuPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
15210035	R2QuMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR2QuPrefab/Common/FxR2QuPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11610021	R2ChangyuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11610022	R2ChangyuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11610023	R2ChangyuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11610024	R2ChangyuMd010031	Bip001LThigh	Assets/Product/Effect/Prefab/FxR2ChangyuPrefab/Common/FxR2ChangyuPinzhiGuadianBip001LThigh.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11610025	R2ChangyuMd010031	Bip001LThigh	Assets/Product/Effect/Prefab/FxR2ChangyuPrefab/Common/FxR2ChangyuPinzhiGuadianBip001LThigh.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11710031	R3LunaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11710032	R3LunaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11710033	R3LunaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11710034	R3LunaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LunaPrefab/Common/FxR3LunaPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11710035	R3LunaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3LunaPrefab/Common/FxR3LunaPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11810031	R3TwobMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11810032	R3TwobMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11810033	R3TwobMd010011			高阶	解放后可改变成员的外观，使用涂装改造。
11810034	R3TwobMd010011	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3TwobPrefab/FxR3TwoBPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11810035	R3TwobMd010011	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3TwobPrefab/FxR3TwoBPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11910031	R3NinesMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11910032	R3NinesMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11910033	R3NinesMd010011			高阶	解放后可改变成员的外观，使用涂装改造。
11910034	R3NinesMd010011	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3NinesPrefab/Common/FxR3NinesPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11910035	R3NinesMd010011	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3NinesPrefab/Common/FxR3NinesPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
12010031	R3AtwoMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
12010032	R3AtwoMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
12010033	R3AtwoMd010011			高阶	解放后可改变成员的外观，使用涂装改造。
12010034	R3AtwoMd010011	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3AtwoPrefab/FxR3AtwoPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
12010035	R3AtwoMd010011	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3AtwoPrefab/FxR3AtwoPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
12110021	R2WanshiMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
12110022	R2WanshiMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
12110023	R2WanshiMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
12110024	R2WanshiMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR2WanshiPrefab/Common/FxR2WanshiPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
12110025	R2WanshiMd010031	Bip001RUpperArm	Assets/Product/Effect/Prefab/FxR2WanshiPrefab/Common/FxR2WanshiPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
15310031	R3SailinnaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
15310032	R3SailinnaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
15310033	R3SailinnaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
15310034	R3SailinnaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3Sailinna/Common/FxR3SailinnaPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
15310035	R3SailinnaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR3Sailinna/Common/FxR3SailinnaPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11210031	R3KuluomuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11210032	R3KuluomuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11210033	R3KuluomuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11210034	R3KuluomuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3KuluomuPrefab/Common/FxR3KuluomuPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11210035	R3KuluomuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR3KuluomuPrefab/Common/FxR3KuluomuPinzhiGuadianBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
12210021	R2TwentyoneMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
12210022	R2TwentyoneMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
12210023	R2TwentyoneMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
12210024	R2TwentyoneMd010031	Bip001RCalf	Assets/Product/Effect/Prefab/FxR2TwentyonePrefab/Common/FxR2TwentyonePinzhiGuadianBip001RCalf.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
12210025	R2TwentyoneMd010031	Bip001RCalf	Assets/Product/Effect/Prefab/FxR2TwentyonePrefab/Common/FxR2TwentyonePinzhiGuadianBip001RCalf.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
11310031	R3WeilaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
11310032	R3WeilaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
11310033	R3WeilaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
11310034	R3WeilaMd010031	Bip001LUpperArm	Assets/Product/Effect/Prefab/FxR3WeilaPrefab/Common/FxR3WeilaPinzhiGuadianBip001LForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
11310035	R3WeilaMd010031	Bip001LUpperArm	Assets/Product/Effect/Prefab/FxR3WeilaPrefab/Common/FxR3WeilaPinzhiGuadianBip001LForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
15410031	R2LuolanMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
15410032	R2LuolanMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
15410033	R2LuolanMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
15410034	R2LuolanMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2LuolanPrefab/Common/FxR2LuolanPinzhiGuadianBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
15410035	R2LuolanMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR2LuolanPrefab/Common/FxR2LuolanPinzhiGuadianBip001RForearm.prefab	超阶	开放成员驻守序列公约的权限。
10310041	R4LifuMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
10310042	R4LifuMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
10310043	R4LifuMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
10310044	R4LifuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR4LifuPrefab/Common/FxR4LifuBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
10310045	R4LifuMd010031	Bip001RForearm	Assets/Product/Effect/Prefab/FxR4LifuPrefab/Common/FxR4LifuBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
15310041	R4SailinnaMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
15310042	R4SailinnaMd010021			初阶	解放后可改变成员的外观，使用涂装改造。
15310043	R4SailinnaMd010031			高阶	解放后可改变成员的外观，使用涂装改造。
15310044	R4SailinnaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR4SailinnaPrefab/Common/FxR4SailinnaBip001RForearm.prefab	终阶	获得终解技能：首次登场时获取3个信号球。
15310045	R4SailinnaMd010031	Bip001LForearm	Assets/Product/Effect/Prefab/FxR4SailinnaPrefab/Common/FxR4SailinnaBip001RForearm.prefab	超阶	解放后可强化光环装置，自定义信号球的颜色，并开放成员驻守序列公约的权限。
15510031	R2PulaoMd010011			初阶	解放后可改变成员的外观，使用涂装改造。
