Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	FastTrading	SkipIdParams	SubTypeParams
13	日活跃度	完成每日任务获取的活跃度，每天早晨5点清空。		Assets/Product/Texture/Image/IconTools/ItPointNewquest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointNewquest01Sp.png	1	3	10	1000															
14	周活跃度	完成每日任务获取的活跃度，每周一早晨5点清空。		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	5000															
15	粒子	宿舍系统发电站产出。		Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	1	3	10																
16	资材	宿舍家具货币。	把产物回收整合以后的资材，根据制作工艺能变成各种有用的东西。	Assets/Product/Texture/Image/IconTools/ItExpI100010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI100010Sp.png	1	3	10																
17	拾荒者MK-II	在协同作战中可获得更多奖励。	空中花园的特制机器人，可以短时间内活动在危险环境中，帮助指挥官在战场上搜寻可用物资	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	3	3														
18	赏金任务EXP	可用于提升赏金等级的EXP。	提升赏金等级的特殊奖励，完成不同的任务会获得不同量的加成，“向着顶端去吧。”——某构造体。	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10																
19	测试道具	测试道具。	测试道具	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																
20	进度	完成新手目标任务获得的进度。	谢谢你，指挥官——灰鸦小队	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	1000															
21	断章的碎片	用于解锁断章挑战关卡。	就算是一样的碎片，依照拼合的方式，最终也可能产生不同的结果。——阿西莫夫	Assets/Product/Texture/Image/IconTools/ItBePassport01.png	Assets/Product/Texture/Image/IconToolsSp/ItBePassport01Sp.png	1	3	10	99	99														
22	拾荒者MK-II	在协同作战中可获得更多奖励。	空中花园的特制机器人，可以短时间内活动在危险环境中，帮助指挥官在战场上搜寻可用物资	Assets/Product/Texture/Image/Iconcurrency/IconConsumeJunkman.png	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeJunkmanSp.png	1	3	10	3	3														
23	战区影响力	纷争战区代币，可在战区商店中兑换补给。	在战区竞争之间会产生各种摩擦和分歧，而最终能决定这些意外事件的结局的，往往是最有影响力的人。	Assets/Product/Texture/Image/IconTools/IconConsumeBattle001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBattle001Sp.png	3	5	10	99999	99999													[10000]	
24	4星·武器碎片	通过分解4星武器获得。	从4星武器上拆解下的零件，可以作为同规格武器的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon01Sp.png	65540	4	29800	99999	99999	1	2020/12/24 10:00	1	24									[10001]	
25	5星·武器碎片	通过分解5星武器获得。	从5星武器上拆解下的零件，可以作为同规格武器的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon02Sp.png	65540	5	29800	99999	99999													[10002]	
26	6星·武器碎片	通过分解6星武器获得。	从6星武器上拆解下的零件，可以作为同规格武器的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWeapon03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWeapon03Sp.png	65540	6	29800	99999	99999													[10003]	
27	4星·意识碎片	通过分解4星意识获得。	从4星意识芯片上拆解下的零件，可以作为同规格意识的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer01Sp.png	65540	4	29800	99999	99999	1	2020/12/24 10:00	1	27									[10004]	
28	5星·意识碎片	通过分解5星意识获得。	从5星意识芯片上拆解下的零件，可以作为同规格意识的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer02Sp.png	65540	5	29800	99999	99999													[10005, 4104]	
29	6星·意识碎片	通过分解6星意识获得。	从6星意识芯片上拆解下的零件，可以作为同规格意识的原材料进行再生产，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeShopWafer03.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShopWafer03Sp.png	65540	6	29800	99999	99999													[10006, 4104]	
30	宿舍币	用以宿舍研发等工作的代币。	亮闪闪的代币，支付一定的数量可以进行宿舍相关的研发等工作。	Assets/Product/Texture/Image/IconTools/IconConsumeBase01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeBase01Sp.png	3	5	29500	99999	99999													[10007]	
31	家具币	从家具中拆卸下来的零件，可以重新组装成新的家具。	通过拆解现有家具即可获得生产新家具的材料，达到资源的高效利用。	Assets/Product/Texture/Image/IconTools/IconConsumeHouse01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeHouse01Sp.png	3	4	29500	9999999	9999999													[10026]	
32	涂装设计图	用以兑换涂装。	生产部门制作涂装时用到的正式涂装设计图，详细地记录着涂装的各部位设计。	Assets/Product/Texture/Image/IconTools/CloPass02.png	Assets/Product/Texture/Image/IconToolsSp/CloPass02Sp.png	65540	5	29700	99999	99999													[10008, 90002]	
33	涂装设计草稿	用以兑换涂装设计图。	画着涂装设计的草稿，能够看出设计者的想法，但是要生产部门根据草稿来制作涂装，似乎有些强人所难。	Assets/Product/Texture/Image/IconTools/CloPass01.png	Assets/Product/Texture/Image/IconToolsSp/CloPass01Sp.png	65540	4	29700	99999	99999													[10020]	
34	A级逆元材料	分解相应逆元碎片获得。	拆解冗余的逆元碎片获得的材料，具有较高的可回收价值，可以在空中花园兑换各种物资。	Assets/Product/Texture/Image/IconTools/IconCharacterPiece01.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece01Sp.png	65540	4	29901	99999	99999													[10024]	
35	S级逆元材料	分解相应逆元碎片获得。	拆解冗余的逆元碎片获得的材料，具有极高的可回收价值，可以在空中花园兑换各种物资。	Assets/Product/Texture/Image/IconTools/IconCharacterPiece02.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece02Sp.png	65540	5	29903	99999	99999													[10024]	
36	入住凭证	用以开启新宿舍的入住凭证。	空中花园审核通过的扩建许可，允许指挥官在基地中开启新的宿舍。	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	65540	5	29500	99999	99999						30	2						[10015]	
37	赞誉之证	可在联合指挥局中对他人点赞，增加对方的人气	特殊的凭证，人气的象征	Assets/Product/Texture/Image/IconTools/IconDormPass01.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPass01Sp.png	262148	4	1	99999	99999														
38	指挥局贡献	代表着您为指挥局做出的诸多贡献，可用于指挥局排行榜的贡献排名。	参加指挥局挑战玩法时可获得	Assets/Product/Texture/Image/IconTools/ItGuildPoint01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildPoint01Sp.png	2097156	4	40001	99999	99999														
39	联合绩点	参加指挥局挑战玩法时可获得，可在绩点商店中购买各类资源。	参与联合指挥局活动获得的代币	Assets/Product/Texture/Image/IconTools/ItGuildConsume01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildConsume01Sp.png	3	4	10	99999	99999														
40	指挥局经验	用于提升指挥局等级的道具，当经验值累计达到一定数值时，指挥局会升级。	指挥官们参加指挥局挑战玩法时可为所属指挥局积累经验	Assets/Product/Texture/Image/IconTools/ItGuildExp01.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildExp01Sp.png	1	3	10	99999															
41	回归进度	完成回归任务获得的进度，回归状态结束后将会清空。		Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	9999															
42	二型投票券	用来在“伊甸二型”论坛上对喜爱的留言进行点赞的道具。	每张投票券配备着不同的识别码，可以在“伊甸二型”论坛上输入识别码来兑换点赞次数。每期活动结束后投票券会清零。	Assets/Product/Texture/Image/IconTools/ItPointEvent005.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent005Sp.png	1	3	10	9999	99														
43	进度	完成伊甸二型活动目标任务获得的进度。	谢谢你，指挥官——灰鸦小队	Assets/Product/Texture/Image/IconTools/ItPointQuest01.png	Assets/Product/Texture/Image/IconToolsSp/ItPointQuest01Sp.png	1	3	10	99999															
44	先锋勋章	参与先锋测试的证明，可在正式服按一定比例获得黑卡，具体留意相关公告		Assets/Product/Texture/Image/IconTools/IconStagePass01.png	Assets/Product/Texture/Image/IconToolsSp/IconStagePass01Sp.png	65540	5	29999	99999	99999														
45	武器涂装设计图	用以兑换武器涂装。	生产部门制作武器涂装时用到的正式涂装设计图，详细地记录着武器涂装的各部位设计。	Assets/Product/Texture/Image/IconTools/CloPass03.png	Assets/Product/Texture/Image/IconToolsSp/CloPass03Sp.png	65540	5	29700	99999	99999														
46	信标增幅点数	可提升信标增幅等级，联合指挥局升级时会获得。	联合指挥局成员一起建设联合指挥局的指标	Assets/Product/Texture/Image/IconTools/ItGuildConsume02.png	Assets/Product/Texture/Image/IconToolsSp/ItGuildConsume02Sp.png	1	3	10	99999															
47	特殊支援信物	可在资源商店兑换物品	一枚由特殊材质制成的银色陀螺，螺身刻印着一排二维码，扫描后便能得到“SupportForce”（支援部队）的投影字样。凭此物可在资源商店获得空中花园为作战能力突出的执行小队专门申请的特殊补给。	Assets/Product/Texture/Image/IconTools/IconConsumeShop001.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeShop001Sp.png	3	4	10	99999	99999													[11728]	
48	S级独域材料	分解相应逆元碎片获得。	拆解冗余的逆元碎片获得的材料，具有较高的可回收价值，可以在空中花园兑换各种物资。	Assets/Product/Texture/Image/IconTools/IconCharacterPiece03.png	Assets/Product/Texture/Image/IconToolsSp/IconCharacterPiece03Sp.png	65540	5	29902	99999	99999													[10024]	
49	场景设计图	用以兑换主界面场景。	生产部门制作场景时用到的正式场景设计图，详细地记录着场景的各区域的设计。	Assets/Product/Texture/Image/IconTools/CloPass04.png	Assets/Product/Texture/Image/IconToolsSp/CloPass04Sp.png	65540	5	29700	99999	99999													[10008]	
50	行动力	异聚迷宫行动力	异聚迷宫行动力			3	5	10	99999	99999														
51	畸变方块	异聚迷宫玩法中用于购买插件单元	工业生产通用资材的小型版本，可以根据设计图投入制造设备中快速生产出备用的插件、工具等。不过对于迷宫之外的设备来说，这种不完全遵循标准模板生产的资材毫无价值。	Assets/Product/Texture/Image/IconTools/ItPointEvent006.png	Assets/Product/Texture/Image/IconTools/ItPointEvent006.png	3	5	10	99999	99999														
52	插件单元	随机获得一个插件单元，在异聚迷宫玩法中提升成员能力	使用特定的插件组成的效能集群，仅在异聚迷宫中可以生效	Assets/Product/Texture/Image/IconTools/ItPointEvent008.png	Assets/Product/Texture/Image/IconTools/ItPointEvent008.png	2097156	5	40002	99999	99999														
53	指挥局改名卡	可以为指挥局更改名称，只有具有指挥局最高管理权限的指挥官才可使用，请谨慎购买。		Assets/Product/Texture/Image/IconTools/IconGuildRenameCard.png	Assets/Product/Texture/Image/IconToolsSp/IconGuildRenameCardSp.png	4194308	5	100000	99999	99999														
54	战区功勋值	根据战区排名发放的功勋值，处于英雄小队晋级区的指挥官需要拥有100点功勋值才可晋升传奇小队。	空中花园从不会亏待在战区中做出卓越贡献的指挥官。对于那些拥有可观功勋值的指挥官们，军方会对其作出应有的嘉奖。	Assets/Product/Texture/Image/IconToolsSp/IconZhanquGognxunzhi.png	Assets/Product/Texture/Image/IconToolsSp/IconZhanquGognxunzhi.png	3	5	10	99999	99999														
55	战斗数据	飒棋战阵货币，用于在战术储备处购买战术卡。	一个极具科技感的小型终端，能够在战斗中捕捉战斗数据进行实时传输、分析。	Assets/Product/Texture/Image/IconTools/IconActivityChessPursuit01.png	Assets/Product/Texture/Image/IconToolsSp/IconActivityChessPursuit01Sp.png	3	5	10	99999	99999														
56	动能试剂	空想环廊升级道具	一罐看起来平平无奇的易拉罐，里面装着气味奇妙的液体。据制作者本人说，罐头表面涂鸦着的画像“是防伪标志哦”。	Assets/Product/Texture/Image/IconTools/IconPokemonDongnengshiji01.png	Assets/Product/Texture/Image/IconTools/IconPokemonDongnengshiji001.png	3	5	11	99999	99999														
57	核心模块	空想环廊升星道具	精致的机械心脏。内置全新动能模块，能够将存储在装置其中的高浓度动能液转化为可供机械持续运转的能源，大大提升机械体性能。	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai01.png	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai002.png	3	5	10	99999	99999														
58	低级核心模块	空想环廊低级升星道具	不那么精致却依然实用的机械心脏，是预算不足并追求性价比的不二之选！	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai02.png	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai022.png	3	5	10	99999	99999														
59	陷阱人偶	无尽之章的跳关道具，使用后可以跳关，之后可以通过挑战跳过的关卡回收。	由七实亲手制作的人偶。不知道七实对它做了什么，可以用这个陷阱人偶短暂地吸引其他感染体的注意力......趁这个时候，快到下一层去吧！	Assets/Product/Texture/Image/IconTools/IconPokemonXianjingrenou01.png	Assets/Product/Texture/Image/IconTools/IconPokemonXianjingrenou02.png	3	5	10	99999	99999														
60	情报值	完成评定任务后获得，累计后可以提升评定等级	完成评定任务后可获得对应情报值，是用来衡量指挥官评定等级的重要参数。 一些不起眼的细节或许能够左右战局，你需要格外注意自己能够获得的一切筹码。	Assets/Product/Texture/Image/IconTools/ItPassportcurrency01.png	Assets/Product/Texture/Image/IconToolsSp/ItPassportcurrency01Sp.png	2097156	5	10	999999	999999														
61	A级架构材料	分解A级随行支援单位获得。	拆解额外的随行支援单位获得的材料，具有较高的可回收价值，可在空中花园兑换各种物资	Assets/Product/Texture/Image/IconTools/IconParentPiece01.png	Assets/Product/Texture/Image/IconToolsSp/IconParentPiece01Sp.png	65540	4	29904	99999	99999														
62	S级架构材料	分解S级随行支援单位获得。	拆解额外的随行支援单位获得的材料，具有较高的可回收价值，可在空中花园兑换各种物资	Assets/Product/Texture/Image/IconTools/IconParentPiece02.png	Assets/Product/Texture/Image/IconToolsSp/IconParentPiece02Sp.png	65540	5	29905	99999	99999														
63	信号扩散装置	链合回路道具，通过完成任务获得，可在商店解锁技能	用于扩展信号波段容量和作用范围的配件，因其卓越的易用性，兼容性和稳定性被广泛应用于各种场景。实在是居家办公和外出作战的必备佳品。	Assets/Product/Texture/Image/IconTools/IconSameColorCoin02.png	Assets/Product/Texture/Image/IconToolsSp/IconSameColorCoin02Sp.png	3	5	10	99999	99999														
64	信号锚标	链合回路道具，通过完成任务获得，可在商店解锁角色	曾经是用于信号定位的微型电子元件，作为黄金时代电子工业不可缺少的零件之一，曾大批量生产并在各领域应用。虽然无数次改换了基础技术和形态，但其地位依然非常稳固。	Assets/Product/Texture/Image/IconTools/IconSameColorCoin01.png	Assets/Product/Texture/Image/IconToolsSp/IconSameColorCoin01Sp.png	3	5	10	99999	99999														
65	域能模块	可在独域特攻商店中兑换物品	参加独域特攻玩法可获得	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatIconCurrency.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatIconCurrencySp.png	3	4	10	9999999	9999999														
71	加步数	链合回路道具，购买后在活动期间解锁技能	增加行动步数1步，冷却9回合	Assets/Product/Texture/Image/IconTools/IconShanxian.png	Assets/Product/Texture/Image/IconTools/IconShanxian.png	3	5	10	99999	99999														
72	强化红	链合回路道具，购买后在活动期间解锁技能	增加红球50%伤害分数1回合，冷却5回合	Assets/Product/Texture/Image/IconTools/IconWeihong.png	Assets/Product/Texture/Image/IconTools/IconWeihong.png	3	5	10	99999	99999														
73	强化蓝	链合回路道具，购买后在活动期间解锁技能	增加蓝球50%伤害分数1回合，冷却5回合	Assets/Product/Texture/Image/IconTools/IconWeilan.png	Assets/Product/Texture/Image/IconTools/IconWeilan.png	3	5	10	99999	99999														
74	强化黄	链合回路道具，购买后在活动期间解锁技能	增加黄球50%伤害分数1回合，冷却5回合	Assets/Product/Texture/Image/IconTools/IconWeihuang.png	Assets/Product/Texture/Image/IconTools/IconWeihuang.png	3	5	10	99999	99999														
75	强化普攻	链合回路道具，购买后在活动期间解锁技能	增加普攻球50%伤害分数1回合，冷却5回合	Assets/Product/Texture/Image/IconTools/IconQianggong.png	Assets/Product/Texture/Image/IconTools/IconQianggong.png	3	5	10	99999	99999														
76	消除一行	链合回路道具，购买后在活动期间解锁技能	消除一行，冷却8回合	Assets/Product/Texture/Image/IconTools/IconXuruo2.png	Assets/Product/Texture/Image/IconTools/IconXuruo2.png	3	5	10	99999	99999														
77	消除一列	链合回路道具，购买后在活动期间解锁技能	消除一列，冷却8回合	Assets/Product/Texture/Image/IconTools/IconXuruo.png	Assets/Product/Texture/Image/IconTools/IconXuruo.png	3	5	10	99999	99999														
78	消除同色	链合回路道具，购买后在活动期间解锁技能	消除同色球，冷却12回合	Assets/Product/Texture/Image/IconTools/IconKangyuansu.png	Assets/Product/Texture/Image/IconTools/IconKangyuansu.png	3	5	10	99999	99999														
79	改变球	链合回路道具，购买后在活动期间解锁技能	改变球的颜色，冷却12回合	Assets/Product/Texture/Image/IconTools/IconHeidong.png	Assets/Product/Texture/Image/IconTools/IconHeidong.png	3	5	10	99999	99999														
80	交换球	链合回路道具，购买后在活动期间解锁技能	交换两个球，冷却5回合	Assets/Product/Texture/Image/IconTools/IconBihuan.png	Assets/Product/Texture/Image/IconTools/IconBihuan.png	3	5	10	99999	99999														
91	七实·风暴	链合回路道具，购买后在活动期间解锁角色	解锁角色——七实·风暴	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	3	5	10	99999	99999														
92	里·异火	链合回路道具，购买后在活动期间解锁角色	解锁角色——里·异火	Assets/Product/Texture/Image/Role/RoleHeadLi.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png	3	5	10	99999	99999														
93	渡边·夜刃	链合回路道具，购买后在活动期间解锁角色	解锁角色——渡边·夜刃	Assets/Product/Texture/Image/Role/RoleHeadDubian.png	Assets/Product/Texture/Image/Role/RoleHeadDubian.png	3	5	10	99999	99999														
94	露西亚·鸦羽	链合回路道具，购买后在活动期间解锁角色	解锁角色——露西亚·鸦羽	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya.png	3	5	10	99999	99999														
95	薇拉·绯耀	链合回路道具，购买后在活动期间解锁角色	解锁角色——薇拉·绯耀	Assets/Product/Texture/Image/Role/RoleHeadR3Weila.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weila.png	3	5	10	99999	99999														
96	角色邀请函	可在累充自选商店-角色兑换中获取角色	邀请心仪角色，来场美妙邂逅。 <color=#FF0000FF>后续版本的角色将逐步更新至累充自选商店中</color>	Assets/Product/Texture/Image/IconTools/IconAccumulated01.png	Assets/Product/Texture/Image/IconToolsSp/IconAccumulated01Sp.png	1	5	10	99999	99999														
97	武器锻造券	可在累充自选商店-武器兑换中获取武器	武器的储备，将决定战斗的胜负。 <color=#FF0000FF>后续版本的武器将逐步更新至累充自选商店中</color>	Assets/Product/Texture/Image/IconTools/IconAccumulated02.png	Assets/Product/Texture/Image/IconToolsSp/IconAccumulated02Sp.png	1	5	10	99999	99999														
98	辅助机兑换券	可在累充自选商店-辅助机兑换中获取辅助机	出发，目标是辅助机大师！ <color=#FF0000FF>后续版本的辅助机将逐步更新至累充自选商店中</color>	Assets/Product/Texture/Image/IconTools/IconAccumulated03.png	Assets/Product/Texture/Image/IconToolsSp/IconAccumulated03Sp.png	1	5	10	99999	99999														
99	虹卡	用于兑换各种物资的顶级卡片。	人类阵线势力范围内可使用的顶级兑换卡，通常由指挥官保管。	Assets/Product/Texture/Image/IconTools/IconConsumeGem02.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeGem02Sp.png	3	5	10																
100	怪异的印记	解析雷蒙盖顿之书时得到的货币。	完全不知道是什么。——某人	Assets/Product/Texture/Image/IconTools/ItPointEvent003.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent003Sp.png	262148	3	1	99999	99999														
101	人气礼品	可以赠送给指挥局中的其他指挥官，会为其增加10点人气值，同时自己会获得1个联合绩点。	可通过挑战作战补给关卡AE-5来获得	Assets/Product/Texture/Image/IconTools/ItGuildGift0101.png	Assets/Product/Texture/Image/IconTools/ItGuildGift0101.png	4194308	4	30001	99999	99999						1	10							
102	贸易凭据	可在商店<color=#34AFF8><link=urlId=10039><u>凭据兑换台</u></link></color>中兑换道具	记录着各项资源往来的记录凭据，用于提交后续审批流程。	Assets/Product/Texture/Image/IconTools/IconPoints102.png	Assets/Product/Texture/Image/IconToolsSp/IconPoints102Sp.png	3	5	10															[20109]	
103	遣测凭证	可在宿舍商店【遣测商店】中兑换道具	空中花园为完成委托任务的个体发放的任务完成凭证，可以用来申请额外物资。在构造体中，也有将它作为奖章来收藏的例子。	Assets/Product/Texture/Image/IconTools/IconConsumeDormQuest01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeDormQuest01Sp.png	3	5	29500	9999999	9999999													[10043]	
104	物资供应卡	完成特殊回归任务获得	小队指挥官在特殊回归活动领用的物资供应卡券，可以根据小队具体需要指定兑换物资，累计后可提升特殊回归的话会茶饮等级。	Assets/Product/Texture/Image/IconTools/IconRegression3Coin02.png	Assets/Product/Texture/Image/IconToolsSp/IconRegression3Coin02Sp.png	2097156	5	10	99999	99999														
105	创生算符	搜集一定数量后可在历战映射中领取奖励	通关历战映射挑战获得，根据搜集数量可以在历战映射中领取对应奖励。每个周期结束时会被清除	Assets/Product/Texture/Image/IconTools/IconTransfinite.png	Assets/Product/Texture/Image/IconToolsSp/IconTransfiniteSp.png	2097156	4	10	1500	1500													[20109]	
106	出勤补录卡	可用于补签月卡期间漏签的日期并补领奖励	完成周任务获取，月卡有效期内可使用。每个自然月结束时会自动进行补签，多余的道具将被回收。	Assets/Product/Texture/Image/IconTools/IconMonthCardFix.png	Assets/Product/Texture/Image/IconToolsSp/IconMonthCardFixSp.png	1048580	4	10	99999	99999														
200	幻痛伤痕	幻痛囚笼中能获得的代币，可用于兑换各种有用的东西。	从强力侵蚀体身上取下的组件，科学理事会研究帕弥什的途径之一，可以换取物资。	Assets/Product/Texture/Image/IconTools/ItPointEvent001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent001Sp.png	65540	3	29600	99999	99999													[10009]	
201	支援架构零件-元谒	支援单位元谒的架构零件，收集一定数量后可组合支援单位。	支援单位的核心技术都浓缩在架构上。只要收集足够的架构零件，就能组合出支援单位来。	Assets/Product/Texture/Image/IconTools/IconPet2Niu.png	Assets/Product/Texture/Image/IconToolsSp/IconPet2NiuSp.png	8	4	29600	9999	9999													[15004, 7212]	
202	支援架构零件-沃托	支援单位沃托的架构零件，收集一定数量后可组合支援单位。	支援单位的核心技术都浓缩在架构上。只要收集足够的架构零件，就能组合出支援单位来。	Assets/Product/Texture/Image/IconTools/IconPet2Xiao.png	Assets/Product/Texture/Image/IconToolsSp/IconPet2XiaoSp.png	8	4	29600	9999	9999													[15006, 7212]	
