Id	Type	Overlying	TriggerCountLimit	Desc	Params	BubbleControllerId	PlayEffect
3157	4			幻梦，给杏仁添加10块返钱，3层	[1082, 0, 3, 110]		
3158	4			幻梦，给杏仁添加10块返钱，4层	[1083, 0, 3, 110]		
3159	4			幻梦，给杏仁添加10块返钱，5层	[1084, 0, 3, 110]		
3180	6	True		幻梦返钱	[2, 10]	6	
3190	4			5-5幻梦，给怪添加爆金币事件	[1101, 0, 4]		
3191	6	True		5-5幻梦，杀怪掉金币	[2, 10]		
3192	2	True		5-5索雾，每次杀敌减少全队2点当前生命值	[2, 1, 0, 2, -2]		
3193	2	True		5-5索雾，每次杀敌永久增加全队1点攻击	[2, 1, 2, 2, 1]		
3200	3	True		火星雷雨在随机道路召海盗	[2, 3, 1]		
4001	5			沙漠放晴道具（天气ID待修订）	[2, 1]		
4002	2	True		沙漠强化道具，队伍攻击+3	[4, 1, 2, 2, 3]	2	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
4003	2	True		沙漠强化道具，队伍生命+5	[4, 1, 1, 2, 5]		
4004	2			沙漠降温道具，暴击率-100%	[4, 1, 4, 2, -10000]		
4005	6			沙漠给50金币道具	[2, 50]	3	
4006	4			给小工加扣血事件	[2006, 0, 5, 1]		
4007	4			给阿箭添加扣血事件	[2006, 0, 5, 2]		
4008	2			使用道具后，小工和阿箭血量-99%	[4, 1, 1, 1, -9900]		
4009	2			使用道具后，队伍恢复10%血量	[4, 1, 0, 1, 1000]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
4010	6			沙漠给1金币道具	[2, 1]		
4011	6			甜品星 再来一次道具	[2, 420]	3	
4012	6			甜品星 再来两次道具	[2, 840]		
4013	2	True		甜品星 攻击	[4, 1, 2, 2, 7]		
4014	2	True		甜品星 生命	[4, 1, 1, 2, 77]		
4015	2	True		甜品星 暴击率	[4, 1, 4, 2, 770]		
4016	2	True		甜品星 暴击伤害	[4, 1, 5, 2, 770]		
4017	2	True		甜品星 速度加成	[4, 1, 6, 2, 770]		
5001	2			BOSS降低70%攻击力	[4, 1, 2, 1, -8500]		
5002	2			BOSS降低10%攻击速度	[4, 1, 6, 2, -1000]		
10001	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
10101	6	True		探索小队的初始金币+5	[2, 5]		
10201	2	True		探索小队的生命+1	[2, 1, 1, 2, 1]		
10301	2	True		探索小队的暴击率+1%	[2, 1, 4, 2, 100]		
20101	6	True		探索小队的初始金币+5	[2, 5]		
20201	2	True		探索小队的攻速加成+1%	[2, 1, 6, 2, 100]		
20301	2	True		探索小队的暴击伤害+1%	[2, 1, 5, 2, 100]		
30101	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
30201	2	True		探索小队的生命+1	[2, 1, 1, 2, 1]		
30301	2	True		探索小队的暴击率+1%	[2, 1, 4, 2, 100]		
40101	6	True		探索小队的初始金币+5	[2, 5]		
40201	2	True		探索小队的暴击伤害+1%	[2, 1, 5, 2, 100]		
40301	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
50101	2	True		探索小队的攻速加成+1%	[2, 1, 6, 2, 100]		
50201	2	True		探索小队的暴击率+1%	[2, 1, 4, 2, 100]		
50301	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
80001	6	True		探索小队的初始金币+1	[2, 1]		
80002	6	True		探索小队的初始金币+1	[2, 1]		
80003	2	True		探索小队的生命值+1	[2, 1, 1, 2, 1]		
80004	2	True		探索小队的生命值+2	[2, 1, 1, 2, 2]		
80005	2	True		探索小队的生命值+1	[2, 1, 1, 2, 1]		
80006	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
80007	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
80008	2	True		探索小队的攻击+1	[2, 1, 2, 2, 1]		
90001	2	True		恢复全队25%最大生命值	[2, 1, 0, 1, 2500]	1	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJhuifu.prefab
90002	8		1	引导抽取1个道具	[1]		
90050	6			星火杀怪给80	[2, 80]	3	Assets/Product/Effect/Prefab/FxWanfa/FxXXHYJbuff.prefab
