Id	ActivateCount	TriggerType	IsDirectTrigger	Name	Desc	UseDesc	Show	Icon	IsIncrease	Effects	Conditions
104		1		持续放松	每圈额外恢复队伍生命值 1点	冰星岩石	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11001.png	1	[1019]	[1003]
105				立即放松	队伍生命值 +1	冰星岩石	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11002.png	1	[1020]	
106				攻速连携	与【跃迁星塔】相邻时，队伍攻速加成+1%	冰星冰面与训练场联动	1	Assets/Product/Texture/Image/IconAffix/AffixIconJiban2.png	1	[1021]	
107		1		持续放松	每圈额外恢复队伍生命值 1点	沙星绿洲	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11001.png	1	[1022]	[1003]
108				立即放松	队伍生命值 +1	沙星绿洲	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11002.png	1	[1023]	
109				攻击连携	与【华彩星象馆】相邻时，队伍攻击+3	沙星岩石与训练场联动	1	Assets/Product/Texture/Image/IconAffix/AffixIconJiban2.png	1	[1024]	
110		1		持续放松	每圈额外恢复队伍生命值 1点	火星岩浆	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11001.png	1	[1025]	[1003]
111				立即放松	队伍生命值 +1	火星岩浆	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11002.png	1	[1026]	
112				暴击连携	与【拟相靶场】相邻时暴击率+1%，暴击伤害+1%	火星结晶与训练场联动	1	Assets/Product/Texture/Image/IconAffix/AffixIconJiban2.png	1	[1027, 1028]	
113				能力提升	攻击力+5，生命值+10	甜品星红丝绒	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	[1033, 1034]	
114				星矿连携	与【诺曼星际矿场】相邻时，星矿+50	甜品星杏仁	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png	1	[1035]	
501		5		1-2主题	·每次<color=#b89cfe>击败敌人</color>时攻击+1，当前生命-2	1-2主题	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2001, 2002]	
502		2	True	神经延迟	·起点<color=#b89cfe>恢复效果</color>降为25%	1-4主题纯展示，实现上，通过换基地来实现	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12001.png	1		
503		1		神经延迟	起点恢复效果降为25%（挂载）	废弃	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12001.png	1		
504		6		2-2主题	废弃	废弃	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2005]	
505		6		2-4主题	废弃	废弃	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2006, 2007]	
506		2		2-1建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-1建造任务 1 矿场X3	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2008]	[2011]
507		2		2-2建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-2建造任务 1 矿场X3	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2008]	[2021]
508		2		2-3建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-3建造任务 1 矿场X6	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2008]	[2031]
509		2		2-4建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-4建造任务 1 矿场X6	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2008]	[2041]
510		2		2-5建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-5建造任务 1 矿场X2	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2008]	[2051]
511		2		2-3属性建造任务	·<color=#b89cfe>完成全部</color>建造任务后，每圈额外获得<color=#b89cfe>属性加成</color>	2-3建造任务 1	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2009]	[2031, 2032, 2033]
512		1		特别强化	·队伍每圈攻击+5，生命值+10	完成建造任务后每圈加属性	1	Assets/Product/Texture/Image/IconSkill/R1luxiyadazhao1.png	1	[2010, 2011]	
513				低效建造	·<color=#b89cfe>极寒天气</color>下，建造后<color=#b89cfe>额外消耗</color>999星矿（建造地形不受影响）	极寒扣钱的纯展示信息	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
514				交替	·极寒和晴天交替会更加频繁	2-5主题纯展示	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
515		6		沙星主题1	·<color=#b89cfe>获得道具</color>时，攻击+5，生命+10	沙星主题1	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2020, 2021]	
516				沙尘暴	·<color=#b89cfe>沙暴天气</color>将更危险，<color=#b89cfe>星域训练场</color>无法建造	沙漠星球的 沙尘暴变更效果环境提示，纯提示	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	2		
517		6		沙星主题2	·<color=#b89cfe>获得道具</color>时，星矿+10	沙星主题2	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2022]	
518		1		火星环境1	·每圈<color=#b89cfe>经过起点</color>时，星矿+200	火星主题1	1		1	[2030]	[1003]
519				火星环境2-1	·<color=#b89cfe>诺曼星际矿场</color>仅可建造<color=#b89cfe>3座</color>	火星主题2 纯展示，通过建筑表配置限造	1		1		
520				火星环境2-2	·<color=#b89cfe>诺曼星际矿场</color>仅可建造<color=#b89cfe>2座</color>	火星主题2 4-2纯展示，通过建筑表配置限造	1		1		
521				火星环境2-3	·<color=#b89cfe>诺曼星际矿场</color>仅可建造<color=#b89cfe>1座</color>	火星主题2 4-3纯展示，通过建筑表配置限造	1		1		
522				火星环境2-4	·<color=#b89cfe>诺曼星际矿场</color>不可建造	火星主题2 4-4纯展示，通过建筑表配置限造	1		1		
523				火星环境2-4	·<color=#b89cfe>雷雨</color>预警，会出现更强力的敌人	火星主题2 4-4纯展示	1		1		
524		1		火星环境2	·每圈<color=#b89cfe>经过起点</color>时，星矿+500	火星主题4、5	1		1	[2031]	[1003]
560		2		2-1建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-1建造任务 2		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2100]	[2012]
561		2		2-2建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-2建造任务 2		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2100]	[2022]
562		2		2-3建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-3建造任务 2		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2100]	[2032]
563		2		2-4建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-4建造任务 2		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2100]	[2042]
564		2		2-5建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-5建造任务 2		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2100]	[2052]
565		2		2-1建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-1建造任务 3		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2101]	[2013]
566		2		2-2建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-2建造任务 3		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2101]	[2023]
567		2		2-3建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-3建造任务 3		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2101]	[2033]
568		2		2-4建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-4建造任务 3		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2101]	[2043]
569		2		2-5建造任务	·每<color=#b89cfe>完成一项</color>建造任务，星矿+100	2-5建造任务 3		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[2101]	[2053]
580				甜品星环境1	·<color=#b89cfe>地形</color>造价提升至50星矿	甜品星纯展示1	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
581				甜品星环境2	·<color=#b89cfe>星域训练场</color>在<color=#b89cfe>幻梦</color>天气提供特殊效果	甜品星纯展示2	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
582				甜品星环境2	·<color=#b89cfe>诺曼星际矿场</color>在<color=#b89cfe>幻梦</color>天气提供特殊效果	甜品星纯展示2	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
583				甜品星环境3	·领主将在<color=#b89cfe>第一圈</color>后降临	甜品星纯展示3	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
584				甜品星环境4	·<color=#b89cfe>矿场无法建造</color>，初始星矿+9800	甜品星纯展示4	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
585				甜品星环境5	·杏仁慕斯<color=#b89cfe>已售罄</color>	甜品星纯展示5	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
586				甜品星环境6	·<color=#b89cfe>星域训练场</color>不限制建造数量	甜品星纯展示6	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
587				甜品星环境7	·<color=#b89cfe>无法建造地形</color>	甜品星纯展示7	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
588				甜品星环境8	·<color=#b89cfe>起点</color>不提供恢复效果	甜品星纯展示7	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
589				甜品星环境9	·杏仁慕斯<color=#b89cfe>已售罄</color>	甜品星纯展示	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
590				甜品星环境10	·杏仁慕斯<color=#b89cfe>恢复供应</color>	甜品星纯展示	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
591				甜品星环境1	·<color=#b89cfe>红丝绒山脉</color>造价提升至140星矿	甜品星纯展示5-4	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1		
1001		4	True	晴天	击败敌人后，星矿+20	冰星晴天	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3024]	
1002		5		爆矿	被击败后，星矿+20	子事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3025]	
1003				极寒	敌人变得更强	极寒纯展示	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21111.png	2		
1004		2		低效建造	极寒天气，建造后会额外消耗999星矿（建造地形除外）	极寒下，，每次建造，都要给建筑添加一个-999星矿的事件，地块不加	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	2	[3026, 3027, 3028, 3029, 3030]	
1005		2		低效建造	极寒天气，建造后会额外消耗999星矿（建造地形除外）	极寒扣钱事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon2.png	2	[3031]	
1010		2	True	废弃	华彩星象馆每圈额外产出1个随机道具	废弃	1	Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png	1	[3040]	
1011		3		废弃	每圈首次经过时额外产出1个随机道具	废弃	1	Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png	1	[3041]	
1012		4	True	沙尘暴击	非领主的敌方单位暴击率+100%	沙星3-2沙尘暴	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	2	[3045, 3046]	
1013		1		暴击提升	沙暴天气下，暴击率+100%	子事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	1	[3047]	
1014		2	True	沙尘试炼	沙暴天气下，每圈经过诺曼星际矿场时额外获得1个道具	沙星3-2沙尘暴	1	Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png	1	[3048]	
1015		3		沙尘试炼	每圈经过诺曼星际矿场时，额外获得1个道具	子事件	1	Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png	1	[3049]	[1001]
1030		1		炎热晴天	每圈经过起点时，星矿+200	沙漠晴天给星矿	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3042]	
1031		3		额外产出	每圈经过起点时，星矿+200	子事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3043]	[1003]
1050		1		流浪者+	每圈在随机道路上生成3名流浪者	火星雨天道路每圈随机招	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32031.png	2	[3100]	[1003]
1051		2	True	无主机械	拟相靶场每圈在随机道路上生成3名无主机械，击败后暴击伤害+21%，星矿+240	火星星火射击馆在该天气下召唤精英怪，事件挂载	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32031.png	1	[3101]	
1052		3		无主机械	每圈在随机道路上生成3名无主机械，击败后暴击伤害+21%，星矿+240	子事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32031.png	1	[3102]	[1003]
1053		5		强化训练	精英海盗被击败后，队伍爆伤+20%	火星星火挂载怪物身上的加爆伤事件		Assets/Product/Texture/Image/IconAffix/AffixIconJiban2.png	1	[3103]	
1054		2		幻梦天气	每存在一座诺曼星际矿场，建造地形时星矿+10 （上限50）	甜品星天气，红丝绒+杏仁	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3150, 3155]	[2080]
1055		2		子幻梦	二层	第二层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3151, 3156]	[2081]
1056		2		子幻梦	三层	第三层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3152, 3157]	[2082]
1057		2		子幻梦	四层	第四层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3153, 3158]	[2083]
1058		2		子幻梦	五层	第五层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3154, 3159]	[2084]
1059		2		幻梦天气	每存在一座诺曼星际矿场，建造地形时星矿+10 （上限50）	甜品星天气，红丝绒+杏仁	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3150, 3155]	[2085]
1060		2		子幻梦	二层	第二层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3151, 3156]	[2086]
1061		2		子幻梦	三层	第三层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3152, 3157]	[2087]
1062		2		子幻梦	四层	第四层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3153, 3158]	[2088]
1063		2		子幻梦	五层	第五层		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3154, 3159]	[2089]
1080		2		子幻梦	1座，10块	幻梦返钱1层		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[3180]	
1081		2		子幻梦	2座，20块	幻梦返钱2层		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[3180]	
1082		2		子幻梦	3座，30块	幻梦返钱3层		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[3180]	
1083		2		子幻梦	4座，40块	幻梦返钱4层		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[3180]	
1084		2		子幻梦	5座，50块	幻梦返钱5层		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[3180]	
1100		4	True	幻梦	击败敌人后，星矿+10	5-5幻梦	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3190]	
1101		5		幻梦爆矿	被击败后，星矿+10	子事件	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[3191]	
1102		5		索雾	·每次<color=#b89cfe>击败敌人</color>时攻击+1，当前生命-2	5-5索雾	1	Assets/Product/Texture/Image/IconSkill/R2lifuA1.png	1	[3192, 3193]	
1103		1		星际海盗+	每圈在随机道路上生成3名星际海盗	火星雷雨道路每圈随机招	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32032.png	2	[3200]	[1003]
2001				变晴	使用后，当前天气将变更为晴天，持续1圈	沙漠，放晴道具	1	Assets/Product/Texture/Image/IconSkill/R4SailinnaSSS1.png	1	[4001]	
2002				紧急训练	使用后，队伍攻击+3，生命+5	沙漠，强化道具	1	Assets/Product/Texture/Image/IconAffix/AffixIconTongling2.png	1	[4002, 4003]	
2003				降温	使用后，场上所有敌方单位暴击率-100%	沙漠减敌人暴击道具	1	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	1	[4004]	
2004				资源箱	使用后，获得50星矿	沙漠给钱道具	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[4005]	
2005				磁暴	使用后，场上非领主单位生命值上限-99%	沙漠减敌人血量	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12003.png	1	[4006, 4007]	
2006				磁暴	单位生命值-99%	子事件		Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12003.png	1	[4008]	
2007				鲨鲨冰沙	使用后，恢复队伍10%生命值	沙星回血道具	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11002.png	1	[4009]	
2008				只有1个	使用后，获得1星矿	沙星给钱道具（干扰型）	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[4010]	
2009				再来一次！	使用后，获得420星矿	甜品星给钱	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[4011]	
2010				再来两次！！	使用后，获得840星矿	甜品星给钱2	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[4012]	
2011				攻击 Up !	使用后，攻击力+7	三相之力道具	1	Assets/Product/Texture/Image/IconSkill/kamupugong1.png	1	[4013]	
2012				生命 Up !	使用后，生命值+77	三相之力道具	1	Assets/Product/Texture/Image/IconSkill/R2BangbinataA1.png	1	[4014]	
2013				暴击率 Up !	使用后，暴击率+7.7%	三相之力道具	1	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	1	[4015]	
2014				暴击伤害 Up !	使用后，暴击伤害+7.7%	三相之力道具	1	Assets/Product/Texture/Image/IconSkill/R32BS1.png	1	[4016]	
2015				速度 Up！！！	使用后，速度加成+7.7%	三相之力道具	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	1	[4017]	
5001		4		寄		BOSS保底事件		Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	1	[5001, 5002]	
10001				战斗本能	探索小队的攻击+1 (不在队伍内也可生效)	21号	1	Assets/Product/Texture/Image/IconSkill/kamupugong1.png	1	[10001]	
10101				小金库	探索小队的初始星矿+5 (不在队伍内也可生效)	薇拉	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[10101]	
10201				体能强化	探索小队的生命+1 (不在队伍内也可生效)	诺克提	1	Assets/Product/Texture/Image/IconSkill/R2BangbinataA1.png	1	[10201]	
10301				精准攻击	探索小队的暴击率+1% (不在队伍内也可生效)	露娜	1	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	1	[10301]	
20101				小金库	探索小队的初始星矿+5 (不在队伍内也可生效)	万事	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[20101]	
20201				频率更新	探索小队的攻速加成+1% (不在队伍内也可生效)	露西亚	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	1	[20201]	
20301				武器更新	探索小队的暴击伤害+1% (不在队伍内也可生效)	罗塞塔	1	Assets/Product/Texture/Image/IconSkill/R32BS1.png	1	[20301]	
30101				战斗本能	探索小队的攻击+1 (不在队伍内也可生效)	苏菲亚	1	Assets/Product/Texture/Image/IconSkill/kamupugong1.png	1	[30101]	
30201				体能强化	探索小队的生命+1 (不在队伍内也可生效)	渡边	1	Assets/Product/Texture/Image/IconSkill/R2BangbinataA1.png	1	[30201]	
30301				精准攻击	探索小队的暴击率+1% (不在队伍内也可生效)	阿枪	1	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	1	[30301]	
40101				小金库	探索小队的初始星矿+5 (不在队伍内也可生效)	卡列尼娜	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[40101]	
40201				武器更新	探索小队的暴击伤害+1% (不在队伍内也可生效)	里	1	Assets/Product/Texture/Image/IconSkill/R32BS1.png	1	[40201]	
40301				战斗本能	探索小队的攻击+1 (不在队伍内也可生效)	罗兰	1	Assets/Product/Texture/Image/IconSkill/kamupugong1.png	1	[40301]	
50101				频率更新	探索小队的攻速加成+1% (不在队伍内也可生效)	喷涂机械	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11011.png	1	[50101]	
50201				精准攻击	探索小队的暴击率+1% (不在队伍内也可生效)	七实	1	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuxingJingzhungongji.png	1	[50201]	
50301				战斗本能	探索小队的攻击+1 (不在队伍内也可生效)	鲨士碧儿	1	Assets/Product/Texture/Image/IconSkill/kamupugong1.png	1	[50301]	
80001				星矿+	探索小队的初始星矿+1	冰星山脉天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[80001]	
80002				星矿+	探索小队的初始星矿+1	冰星山川天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[80002]	
80003				锻炼+	探索小队的生命值+1	训练场天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	[80003]	
80004				锻炼++	探索小队的生命值+2	酒吧天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	[80004]	
80005				锻炼+	探索小队的生命值+1	矿场天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	[80005]	
80006				武装+	探索小队的攻击+1	射击馆天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21251.png	1	[80006]	
80007				武装+	探索小队的攻击+1	离子塔天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21251.png	1	[80007]	
80008				武装+	探索小队的攻击+1	占卜馆天赋	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21251.png	1	[80008]	
90001		3		打盹	经过起点时全队恢复25%最大生命值	1-4专属基地的回血	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1	[90001]	[1003]
90010				极寒提醒	·<color=#b89cfe>极寒</color>天气预警	第二章天气的环境提示	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1		
90011				沙尘暴提醒	·<color=#b89cfe>沙暴</color>天气预警	第三章天气的环境提示	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1		
90012				热浪提醒	·<color=#b89cfe>热浪</color>天气预报	第四章天气的环境提示	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1		
90013				幻梦提醒	·<color=#b89cfe>幻梦</color>天气，按<color=#b89cfe>矿场</color>数返还<color=#b89cfe>地形建造</color>消耗的星矿	第五章天气的环境提示	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1		
90015				无环境提示	·暂无效果	无环境提示	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11003.png	1		
90016				引导用道具	引导用道具	引导用道具		Assets/Product/Texture/Image/IconAffix/AffixIconQuestion.png	1	[90002]	[1003]
90050		5		无主宝库	被击败后，星矿+80	第四章星火杀怪给钱	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	1	[90050]	
