Id	Type	Round	ItemId	NeedValue	ResetCostId	ResetCostCount	Desc
12022052	1	1		15	61302	1	作战突破
22022052	2	1		6	61302	1	感知突破
32022052	3	1		20	61302	1	运算突破
12022053	4		61524	1			检索【钥匙卡】
12022054	4		61524	1			检索【钥匙卡】
12022055	4		61524	1			检索【钥匙卡】
12022056	4		61524	1			检索【钥匙卡】
12022057	4		61525	1			检索【数据芯片】
12022058	4		61525	1			检索【数据芯片】
12022059	4		61525	1			检索【数据芯片】
12022851	4		61525	1			检索【数据芯片】
12022852	4		61525	1			检索【数据芯片】
12022853	3	1		15	61302	1	INT verification
12022854	3	1		15	61302	1	INT verification
12022855	3	1		15	61302	1	INT verification
12031051	1	1		15	61302	1	作战突破
22031051	2	1		6	61302	1	感知突破
32031051	3	1		20	61302	1	运算突破
12031052	1	1		15	61302	1	作战突破
22031052	2	1		6	61302	1	感知突破
32031052	3	1		20	61302	1	运算突破
12031053	1	1		15	61302	1	作战突破
22031053	2	1		6	61302	1	感知突破
32031053	3	1		20	61302	1	运算突破
12031054	4		61540	1			检索【留言记录】
12031055	4		61502	1			道具推演
12031056	4		61503	1			道具推演
12031057	4		61501	1			道具推演
12031058	4		61502	1			道具推演
12031059	4		61503	1			道具推演
12031851	4		61526	1			检索【商业街地图】
12031852	4		61527	1			检索【残留线索1】
12031853	4		61528	1			检索【残留线索2】
12031854	4		61526	1			检索【商业街地图】
12031855	4		61527	1			检索【残留线索1】
12031856	4		61528	1			检索【残留线索2】
12032051	1	1		15	61302	1	作战突破
22032051	2	1		6	61302	1	感知突破
32032051	3	1		20	61302	1	运算突破
12032052	1	1		15	61302	1	作战突破
22032052	2	1		6	61302	1	感知突破
32032052	3	1		20	61302	1	运算突破
12032053	4		61529	1			检索【残余数据】
12032054	4		61530	1			检索【拾荒者妇女的数据】
12032055	3	1		15	61302	1	INT verification
12032056	3	1		15	61302	1	INT verification
12032057	3	1		15	61302	1	INT verification
12032058	3	1		15	61302	1	INT verification
12032059	3	1		15	61302	1	INT verification
12032851	3	1		15	61302	1	INT verification
12032852	3	1		15	61302	1	INT verification
12032853	3	1		15	61302	1	INT verification
12033051	1	1		15	61302	1	作战突破
22033051	2	1		6	61302	1	感知突破
32033051	3	1		20	61302	1	运算突破
12033052	1	1		15	61302	1	作战突破
22033052	2	1		6	61302	1	感知突破
32033052	3	1		20	61302	1	运算突破
12033053	4		61531	1			检索【园区的钥匙卡】
12033054	4		61532	1			检索【安洁尔的数据】
12033055	1	1		30	61302	1	作战突破
12041051	1	1		10	61302	1	作战突破
22041051	2	1		6	61302	1	感知突破
32041051	3	1		20	61302	1	运算突破
12041052	4		61533	1			检索【污染防护服】
12041053	4		61533	1			检索【污染防护服】
12041054	4		61534	1			检索【残页日记】
12041055	1	1		30	61302	1	作战突破
12042051	1	1		15	61302	1	作战突破
22042051	2	1		6	61302	1	感知突破
32042051	3	1		20	61302	1	运算突破
12042052	1	1		15	61302	1	作战突破
22042052	2	1		6	61302	1	感知突破
32042052	3	1		20	61302	1	运算突破
12042053	4		61535	1			检索【防护服强化套装】
12042054	4		61536	1			检索【认证芯片】
12042055	1	1		15	61302	1	作战突破
22042055	2	1		6	61302	1	感知突破
32042055	3	1		20	61302	1	运算突破
12042056	3	1		15	61302	1	INT verification
12042057	3	1		15	61302	1	INT verification
12042058	3	1		15	61302	1	INT verification
12042059	3	1		15	61302	1	INT verification
12042851	3	1		15	61302	1	INT verification
12042852	3	1		15	61302	1	INT verification
12042853	3	1		15	61302	1	INT verification
12042854	3	1		15	61302	1	INT verification
12042855	1	1		15	61302	1	作战突破
22042855	2	1		6	61302	1	感知突破
32042855	3	1		20	61302	1	运算突破
12042856	4		61537	1			道具推演
12042857	4		61538	1			道具推演
12042858	4		61539	1			道具推演
12043051	1	1		12	61302	1	清缴战斗
22043051	2	1		6	61302	1	感知突破
32043051	3	1		20	61302	1	运算突破
12043052	1	1		15	61302	1	作战突破
22043052	2	1		6	61302	1	感知突破
32043052	3	1		18	61302	1	破译密码
13021051	4		61501	1			道具推演
13022051	1	1		12	61302	1	获取电子脑
23022051	2	1		23	61302	1	尝试救助
13023041	1	1		24	61302	1	暴力拆解
23023041	3	1		14	61302	1	破解指令
13023052	4		61551	1			检索【若琳的资料】
13024051	1	2		40	61302	1	战斗突破
13024052	2	2		38	61302	1	排除干扰
13024053	3	2		44	61302	1	解决异常
13031051	1	1		24	61302	1	破坏屏蔽装置
23031051	3	1		14	61302	1	排查可能原因
13031052	1	1		25	61302	1	作战躲避
13032051	4		61552	1			检索【短途喷射器】
13032052	1	1		25	61302	1	作战躲避
13032053	2	1		25	61302	1	感知躲避
13033051	4		61554	1			检索【若琳的录像】
13034051	1	2		41	61302	1	战斗突破
13034052	2	2		39	61302	1	排除干扰
13034053	3	2		45	61302	1	解决异常
13034054	1	2		42	61302	1	战斗突破
13041041	1	1		12	61302	1	阻止关门
23041041	2	1		23	61302	1	最短捷径
13041051	4		61553	1			检索【“露西亚的意志”】
13041052	1	1		25	61302	1	作战躲避
13041053	3	1		25	61302	1	运算躲避
13042051	2	1		25	61302	1	感知躲避
13042052	3	2		45	61302	1	解决异常
13043051	1	2		43	61302	1	战斗突破
13043052	2	2		40	61302	1	排除干扰
13043053	3	2		44	61302	1	解决异常
13043054	1	3		80	61302	1	战斗突破
13051051	1	1		15	61302	1	锋锐意志
13052051	1	1		15	61302	1	锋锐意志
13052053	1	1		16	61302	1	追寻温暖
13052054	1	1		16	61302	1	真红决意
13052055	1	1		16	61302	1	真红决意
14021051	1	1		14	61302	1	作战突破
24021051	2	1		30	61302	1	感知突破
34021051	3	1		35	61302	1	运算突破
14021052	1	1		14	61302	1	作战突破
24021052	2	1		30	61302	1	感知突破
34021052	3	1		35	61302	1	运算突破
14021053	1	1		14	61302	1	作战突破
24021053	2	1		30	61302	1	感知突破
34021053	3	1		35	61302	1	运算突破
14021054	4		61501	1			道具推演
14021055	3	1		15	61302	1	INT verification
14021056	3	1		15	61302	1	INT verification
14021057	3	1		15	61302	1	INT verification
14021058	3	1		15	61302	1	INT verification
14021059	3	1		15	61302	1	INT verification
14021851	3	1		15	61302	1	INT verification
14022051	1	1		10	61302	1	作战突破
24022051	2	1		5	61302	1	感知突破
34022051	3	1		30	61302	1	运算突破
14022052	4		61576	1			道具推演
14022053	4		61577	1			道具推演
14022054	4		61501	1			道具推演
14022055	4		61501	1			道具推演
14022056	3	1		14	61302	1	运算突破
14023051	1	1		35	61302	1	作战突破
24023051	2	1		5	61302	1	感知突破
34023051	3	1		14	61302	1	运算突破
14023052	1	1		12	61302	1	作战突破
24023052	2	1		35	61302	1	感知突破
34023052	3	1		30	61302	1	运算突破
14023053	1	1		12	61302	1	作战突破
24023053	2	1		35	61302	1	感知突破
34023053	3	1		30	61302	1	运算突破
14023054	4		61578	1			道具推演
14023055	4		61501	1			道具推演
14023056	3	1		15	61302	1	INT verification
14023057	3	1		15	61302	1	INT verification
14023058	3	1		15	61302	1	INT verification
14024051	1	1		30	61302	1	作战突破
24024051	2	1		12	61302	1	感知突破
34024051	3	1		35	61302	1	运算突破
14024052	1	1		14	61302	1	作战突破
24024052	2	1		30	61302	1	感知突破
34024052	3	1		35	61302	1	运算突破
14024053	4		61579	1			道具推演
14024054	4		61579	1			道具推演
14024055	4		61579	1			道具推演
14024056	4		61579	1			道具推演
14024057	4		61579	1			道具推演
14024058	4		61585	1			道具推演
14024059	3	1		15	61302	1	INT verification
14024851	3	1		15	61302	1	INT verification
14024852	3	1		15	61302	1	INT verification
14024853	3	1		15	61302	1	INT verification
14024854	4		61585	1			道具推演
14024855	4		61585	1			道具推演
14031051	1	1		35	61302	1	作战突破
24031051	2	1		30	61302	1	感知突破
34031051	3	1		14	61302	1	运算突破
14031052	1	1		35	61302	1	作战突破
24031052	2	1		35	61302	1	感知突破
34031052	3	1		14	61302	1	运算突破
14031053	4		61580	1			道具推演
14031054	4		61581	1			道具推演
14031055	4		61586	1			道具推演
14031056	3	1		15	61302	1	INT verification
14031057	3	1		15	61302	1	INT verification
14031058	3	1		15	61302	1	INT verification
14031059	3	1		15	61302	1	INT verification
14031851	3	1		15	61302	1	INT verification
14031852	3	1		15	61302	1	INT verification
14041051	1	1		14	61302	1	作战突破
24041051	2	1		30	61302	1	感知突破
34041051	3	1		35	61302	1	运算突破
14041052	1	1		30	61302	1	作战突破
24041052	2	1		12	61302	1	感知突破
34041052	3	1		35	61302	1	运算突破
14041053	1	1		10	61302	1	作战突破
24041053	2	1		5	61302	1	感知突破
34041053	3	1		15	61302	1	运算突破
14041054	1	1		10	61302	1	作战突破
24041054	2	1		5	61302	1	感知突破
34041054	3	1		15	61302	1	运算突破
14041055	1	1		10	61302	1	作战突破
24041055	2	1		5	61302	1	感知突破
34041055	3	1		15	61302	1	运算突破
14041056	4		61582	1			道具推演
14041057	4		61582	1			道具推演
14041058	4		61582	1			道具推演
14041059	4		61582	1			道具推演
14041851	4		61582	1			道具推演
14041852	4		61582	1			道具推演
14041853	4		61583	1			道具推演
14041854	4		61583	1			道具推演
14041855	4		61583	1			道具推演
14041856	4		61501	1			道具推演
14041857	4		61501	1			道具推演
14041858	4		61501	1			道具推演
14041859	4		61501	1			道具推演
14041751	4		61587	1			道具推演
14041752	4		61501	1			道具推演
14041753	4		61501	1			道具推演
14041754	3	1		15	61302	1	INT verification
14041755	3	1		15	61302	1	INT verification
14041756	3	1		15	61302	1	INT verification
14041757	3	1		15	61302	1	INT verification
14041758	3	1		15	61302	1	INT verification
14041759	3	1		15	61302	1	INT verification
14042051	1	1		27	61302	1	清理碎片
24042051	2	1		26	61302	1	感知突破
34042051	3	1		29	61302	1	运算突破
14042052	1	1		27	61302	1	作战突破
24042052	2	1		26	61302	1	探明反应
34042052	3	1		29	61302	1	运算突破
14042053	1	1		27	61302	1	作战突破
24042053	2	1		26	61302	1	感知突破
34042053	3	1		29	61302	1	矩阵运算
14042054	4		61592	1			道具推演
14042055	4		61592	1			道具推演
14042056	4		61592	1			道具推演
14042057	4		61592	1			道具推演
14042058	4		61592	1			道具推演
14042059	4		61588	1			道具推演
14043051	1	1		27	61302	1	清理碎片
24043051	2	1		26	61302	1	感知突破
34043051	3	1		29	61302	1	运算突破
