Id	Type	Params	Desc
2031022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2031023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2031031	3	[61001, 20]	失去20战地配额
2031041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2032021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2032022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2032023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2032031	3	[61001, 20]	失去20战地配额
2032041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2033021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2033022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2033023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2033031	3	[61001, 20]	失去20战地配额
2033041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2041021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2041022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2041023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2041031	3	[61001, 20]	失去20战地配额
2041041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2042021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2042022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2042023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2042031	3	[61001, 20]	失去20战地配额
2042041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
2043021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
2043022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
2043023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
2043031	3	[61001, 20]	失去20战地配额
2043041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3021021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3021022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3021023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3021031	3	[61001, 20]	失去20战地配额
3021041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3022021	2	[3001]	也许你们还是不忍心处决未曾相识的同伴，就在犹豫的时候构造体便保持着匍匐挣扎的姿势永远停止了机能。此情此景让链接者感同身受，链接者的作战能力降低2点，持续1天。
3022022	2	[3003]	也许你们还是不忍心处决未曾相识的同伴，就在犹豫的时候构造体便保持着匍匐挣扎的姿势永远停止了机能。此情此景让链接者感同身受，链接者的感知能力降低2点，持续1天。
3022023	2	[3005]	也许你们还是不忍心处决未曾相识的同伴，就在犹豫的时候构造体便保持着匍匐挣扎的姿势永远停止了机能。此情此景让链接者感同身受，链接者的运算能力降低2点，持续1天。
3022031	3	[61001, 20]	失去20战地配额
3022041	4		也许你们还是不忍心处决未曾相识的同伴，就在犹豫的时候构造体便保持着匍匐挣扎的姿势永远停止了机能。你不由得回到起点，平复波动的心情。
3023021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3023022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3023023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3023031	3	[61001, 20]	失去20战地配额
3023041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3024021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3024022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3024023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3024031	3	[61001, 20]	失去20战地配额
3024041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3031021	2	[3001]	时间被耽误，还吸引了更多的敌人，为了躲避锋芒匆忙离开时链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3031022	2	[3003]	时间被耽误，还吸引了更多的敌人，为了躲避锋芒匆忙离开时链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3031023	2	[3005]	时间被耽误，还吸引了更多的敌人，为了躲避锋芒匆忙离开时链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3031031	3	[61001, 20]	失去20战地配额
3031041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3032021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3032022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3032023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3032031	3	[61001, 20]	失去20战地配额
3032041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3033021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3033022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3033023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3033031	3	[61001, 20]	失去20战地配额
3033041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3034021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3034022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3034023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3034031	3	[61001, 20]	失去20战地配额
3034041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3041021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3041022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3041023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3041031	3	[61001, 20]	失去20战地配额
3041041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3042021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3042022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3042023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3042031	3	[61001, 20]	失去20战地配额
3042041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3043021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3043022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3043023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3043031	3	[61001, 20]	失去20战地配额
3043041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
3051021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3051022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3051023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3051031	3	[61001, 20]	失去20战地配额
3051041	4		纵然意识受创，需要回到起点平复，但无论失败多少次，都必须要揭开这记忆背后的秘密。
3052021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
3052022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
3052023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
3052031	3	[61001, 20]	失去20战地配额
3052041	4		纵然意识受创，需要回到起点平复，但无论失败多少次，都必须回到他们的身边。
4021021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4021022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4021023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4021031	3	[61001, 20]	失去20战地配额
4021041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4022021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4022022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4022023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4022031	3	[61001, 20]	失去20战地配额
4022041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4023021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4023022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4023023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4023031	3	[61001, 20]	失去20战地配额
4023041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4024021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4024022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4024023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4024031	3	[61001, 20]	失去20战地配额
4024041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4031021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4031022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4031023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4031031	3	[61001, 20]	失去20战地配额
4031041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4041021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4041022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4041023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4041031	3	[61001, 20]	失去20战地配额
4041041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4042021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4042022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4042023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4042031	3	[61001, 20]	失去20战地配额
4042041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
4043021	2	[3001]	莽撞的尝试让链接者付出了代价，链接者的作战的能力降低2点，持续1天。
4043022	2	[3003]	莽撞的尝试让链接者付出了代价，链接者的感知的能力降低2点，持续1天。
4043023	2	[3005]	莽撞的尝试让链接者付出了代价，链接者的运算的能力降低2点，持续1天。
4043031	3	[61001, 20]	失去20战地配额
4043041	4		数据空间的数据一片紊乱，等平静下来时你已经回到起点
