Id	SubRoundDays	SubRoundName	SubRoundIcon	SubRoundDesc
1024	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得研发券、各类材料等奖励。
1025	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得辅助机·沃托、研发券、自选涂装等奖励。
1026	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获得欢愉、真爱印花等奖励。
1027	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获研发券、各类材料等奖励。
1028	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1029	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1030	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1031	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1032	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1033	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1034	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1035	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1036	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1037	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1038	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1039	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1040	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1041	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1042	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1043	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	指挥官，赛利卡为您准备了7天签到奖励~\n累计签到4日可获得【6星武器自选箱】！\n指挥官你这几天可不能失约哦。\n——赛利卡\n\n具体奖励如下：\n1日：基准角色研发券*250、逆元碎片-红莲*10\n2日：基准角色研发券*500\n3日：基准角色研发券*250、超大型螺母包*2\n4日：6星武器自选箱、逆元碎片-蚀暗*20\n5日：基准角色研发券*250、超大型螺母包*2\n6日：基准角色研发券*250、逆元碎片-风暴*20\n7日：基准角色研发券*500
1044	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1045	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1046	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1047	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1048	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1049	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1050	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1051	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1052	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1053	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1054	[1]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	点击领取按钮即可获得礼包，礼包包含【丽芙·仰光】、【里·乱数】、【卡列尼娜·烬燃】、【神威·暗能】、【七实·脉冲】几个可选角色。\n\n指挥官可以在领取礼包后，进入【仓库】中的【道具】分页中使用，从中任意选择一个心仪的角色。
1055	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1056	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1057	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1058	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1059	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1060	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1061	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1062	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1063	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1064	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1065	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1066	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1067	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1068	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1069	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1070	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1071	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1072	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1073	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1074	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1075	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1076	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1077	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1078	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1079	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1080	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1081	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1082	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1083	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1084	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1085	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1086	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1087	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1088	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1089	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1090	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1091	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1092	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1093	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1094	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1095	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1096	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1097	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1098	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1099	[7]	['第二轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1100	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1101	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1102	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1103	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1201	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1104	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1105	[7]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
1106	[3]	['第一轮']	['Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png']	每日上线即可领取签到奖励。\n可获丰厚奖励。
