Key	Values
RebootDesc	['当前持有%s*%d，重启关卡将消耗%s*%d，确定要进行关卡重启么？']
RetreatTitle	['战斗警告']
RetreatDesc	['退出战斗将导致本轮冒险直接失败并结算，目前持有%s*%d，%s可以用于复活/重启关卡，确定放弃冒险，进行结算？']
MainViewShowRewardId	['550261']
SettleAnimaTime	['3']
NotActiveQualityColor	['797979']
UnusedRecruitCountDialogContent	['是否确认结束招募，未使用的招募次数将不会保留']
RoleDetailBallIconBg	['Assets/Product/Texture/Atlas/Common/CommonSekuai1.png']
ReceiveExpTipsContent	['渡厄者之路等级达到上限，多余的注厄结晶将会丢失，确定进行领取？']
MissionComplete	['已完成所有任务']
VisionUnlockDesc	['远古的灵智唤起了猩红色的渴望\\n后续的旅途，似乎会与以往截然不同']
VisionUpSound	['2827', '2827', '2827']
VisionUpDesc	['作为一名求知者，你已渐入佳境\\n灵智阶级已提升至二阶段', '你的眼瞳即将看到世界的另一面\\n灵智阶级已提升至三阶段', '与超然的灵智融为一体\\n世界即将布满猩红。灵智已提升至最终阶段']
StrengthenSkillNodePrefab	['Assets/Product/Ui/ComponentPrefab/UiBiancaTheatre/GridBiancaTheatreFetters.prefab']
AchievementAllPrecoss	['已完成数量：<color=#d7c979>%d</color>/%d']
MainAchievementAllPrecoss	['进度：%d/%d']
TxtBureauTeam5Effect	['当前：%s额外加成效果']
TeamUnLockConditionProgress	['<color=#bfae53>进度：%d</color>/%d']
RecruitFloorIndexesTxt	['招募位%s已被抽空，将从全角色中进行随机抽取']
RecruitDecayTitleTxt	"['""选择一名已有角色接受变格,角色变格后\\n招募上限提升至三星。所持属性羁绊解锁第五阶段""']"
RecruitOverDecayTxt	['已 变 格']
RecruitDecayTxt	['%s接受了变格']
RecruitDecayRefreshTxt	['剩余变格次数:']
RecruitAreNotRole	['当前可抽取角色已经抽取完毕']
RecruitDecayTip	['角色解锁3星，解锁属性羁绊第5阶段']
DecayRoleEffect	['Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreShenghua.prefab']
CueWhenGetReward	['2829', '2830', '2831']
AchievementRewardAllGet	['已获取所有奖励']
VisionSettleDesc	['你对灵智的探求浅尝辄止', '你对灵智的感知渐入佳境', '灵智已然成为你不可分割的部分', '你已掌握这个世界中最深邃的智慧']
VisionUiEffectUrl	['Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc01.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc02.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc03.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreHc04.prefab']
VisionPsionicEffectUrl	['Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreLingshi01.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreLingshi02.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreLingshi03.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreLingshi04.prefab']
AchievementFinishTipTxt	['条目完成数+1']
VersionUpdateOldPlaySettleTip	['版本更新前正在进行的冒险已强制结算']
