Id	Key	Text
20002013	PlayerDataManagerAssistCanNotSetInfection	独域机体无法被设置为支援角色
20002014	PlayerDataManagerGetHonorLevelMaxExpFail	
20002015	PlayerDataManagerLevelNotMaxLevel	
20002016	PlayerDataManagerHonorLevelCartoonAlreadyOpen	
20002017	PlayerDataRenameBanned	玩家重命名被禁止
20002018	PlayerDataSignBanned	玩家签名被禁止
20002019	PlayerDataPcSelectMoneyCardIdBanned	20002019非PC平台不能进行此项操作
20002020	PlayerGenderCfgNotExist	20002020性别配置不存在
20002021	PlayerGenderIsSame	性别未修改，如需修改请重新选择
20002022	PlayerDataManagerChangeGenderTimeLimit	性别修改冷却期中，请耐心等候
20002023	PlayerDataManagerPointMarkCfgNoExit	20002023蓝点配置不存在
20002024	PlayerDataManagerPointTypeNoExit	20002024蓝点类型不存在
20003001	FubenManagerCheckTreasureIsGet	章节宝箱奖励已经领取
20003002	FubenManagerCheckPreMapNotFound	关卡Id不存在
20003003	FubenManagerCheckPreMapNotPass	前置关卡未通过
20003004	FubenManagerCheckLevelNotEnough	等级不足
20003005	FubenManagerCheckActionPointNotEnough	血清不足
20003006	FubenManagerCheckChallengeNumNotEnough	挑战次数不足
20003007	FubenManagerCheckTreasureSectionIdInvalid	宝箱所属章节ID错误
20003008	FubenManagerCheckTreasureIdInvalid	宝箱ID非法
20003009	FubenManagerCheckTreasureStarsNotEnough	领取宝箱奖励所需的星星数不足
20003010	FubenManagerCheckTreasureRewardRepeat	重复领取宝箱奖励
20003011	FubenManagerCheckStageInfoNotFound	
20003012	FubenManagerCheckPreFightStageInfoNotFound	战前检查获取StageInfo失败
20003013	FubenManagerCheckPreFightUrgentEventMapNotOpen	关卡尚未开启
20003014	FubenManagerChallengeWinFightIdNotMatch	副本数据不匹配(0)
20003015	FubenManagerChallengeWinPreFightDataNotMatch	副本数据不匹配(1)
20003016	FubenManagerChallengeLoseFightIdNotMatch	副本数据不匹配(2)
20003017	FubenManagerChallengeLoseStageCfgNotFound	副本数据不匹配(3)
20003018	FubenManagerChallengeLosePreFightDataNotMatch	副本数据不匹配(4)
20003019	FubenManagerStageAllReadyMaxChallegeCount	副本已经达到最大挑战次数
20003020	FubenManagerStageAllReadyMaxBuyCount	副本已经达到最大购买次数
20003021	FubenManagerFinishToStageStageNotFound	副本不存在
20003022	FubenManagerFightIntervalFast	副本战斗时间过快
20003023	FubenManagerRebootCountNotMatch	副本复活次数不匹配
20003024	FubenManagerStageLocked	关卡尚未解锁
20003025	FubenManagerStageCharacterTypeError	出战角色类型错误
20003026	FubenManagerCardIdTypeNotSame	角色类型不相同
20003027	FubenControlPreFightParamsError	队伍信息有误
20003028	FubenManagerBfrtNotGroup	据点不存在
20003029	FubenManagerBfrtPreIdNotFinish	请先完成前置据点
20003030	FubenManagerBfrtNotChallengeCount	挑战次数不足
20003031	FubenManagerBfrtEchelonNotFound	梯队配置id不存在
20003032	FubenManagerBfrtWinParamError	据点结算不匹配
20003033	FubenManagerBfrtTeamError	梯队出战人数错误
20003034	FubenManagerBfrtServerTeamError	服务器出战队伍错误
20003035	FubenManagerBfrtServerTeamNotEqualClientTeam	出战人数错误
20003036	FubenManagerBfrtClientCharacterIdNotInServerTeam	出战角色错误
20003037	FubenManagerBfrtStageNotFinish	请先挑战上一关
20003038	FubenManagerBfrtSetTeamFightInfoIdsNotEqualConfigIds	出战队伍数量错误
20003039	FubenManagerBfrtSetTeamLogisticsNotEqualConfigIds	后勤队伍数量错误
20003040	FubenManagerFightRebootFightIdNotMatch	战斗复活FightId不匹配
20003041	FubenManagerFightRebootCountNotMatch	战斗复活次数不匹配
20003042	FubenManagerFightRebootStageNotFound	战斗复活副本不存在
20003043	FubenManagerGetFightRebootTemplateNotFound	战斗复活配置不存在
20003044	FubenManagerGetFightRebootRebootCountIllegal	战斗复活次数非法
20003045	FubenManagerCheckFightRebootTeamIsEmpty	战斗复活队伍为空
20003046	FubenManagerMultipleObjectsInTheSameLocation	20003046同一位置使用了多个对象
20003047	FubenBossSingleIsRefresh	幻痛囚笼已刷新
20003048	FubenBossSingleChallengeCountNotEnough	挑战次数不足
20003049	FubenBossSingleCharacterPointsNotEnough	挑战角色耐力不足
20003050	FubenBossSingleGetBossSingleDataLevelTypeIllegal	等级类型非法
20003051	FubenBossBossStageListNotFound	关卡列表不存在
20003052	FubenBossSingleScoreRewardIsNotExist	该奖励不存在
20003053	FubenBossSingleScoreRewardIsNotAvailable	20003053囚笼分数奖励不在有效时间
20003054	FubenBossSingleScoreRewardIsGot	奖励已领取
20003055	FubenBossSingleScoreRewardTypeError	领取奖励类型错误
20003056	FubenBossSingleScoreIsNotEnough	当前积分不够领取奖励
20003057	FubenBossSingleHistoryIsNotExist	没有历史记录
20003058	FubenBossSingleStageCanNotAutoFight	该关卡不能自动战斗
20003059	FubenBossSingleStageIsNotExist	关卡不存在
20003060	FubenBossSingleSaveScoreIllegality	不能重复保存
20003061	FubenBossSingleAutoFightCountNotEnough	次数不够
20003062	FubenBossSingleCurScoreIsBigThanHistory	自动战斗讨伐值低于现有讨伐值
20003063	FubenBossSingleHideStageNotOpen	隐藏关卡未开放
20003064	FubenBossSingleIsAutoFighting	自动战斗中
20003065	FubenBossSingleAlreadySelectLevelType	已选择难度
20003066	FubenBossSingleLevelIdNotExist	难度id不存在
20003067	FubenBossSingleLevelTypeBossNotExist	该难度boss不存在
20003068	FubenBossSinglePreLevelTypeNotSatisfy	难度选择条件不满足
20003069	FubenBossSingleMaxScoreNotEnough	最大积分不够
20003070	FubenBossSingleLevelTypeNotSelect	请先选择难度
20003071	FubenBossSingleRankIsNotAvailable	20003071囚笼排行榜未开启
20003072	FubenBossSingleChallengeIsNotAvailable	20003072凹分区未开启
20003073	FubenBossSingleStageTypeError	20003073关卡类型错误
20003074	FubenBossSingleConflictRecordInCd	20003074冲突记录cd中
20003075	FubenBossSingleWrongRankType	20003075无效的排行榜类型
20003076	FubenBossSingleResetNoOpen	20003076囚笼重置未开启
20003077	FubenBossSingleResetGradeLimit	20003077囚笼重置分区限制
20003078	FubenBossSingleResetNoStageRecordData	20003078囚笼重置没有当前关卡数据
20003079	FubenBossSingleResetCharacterPointData	20003079囚笼重置没有角色耐力数据
20003080	FubenBossSingleResetAlready	20003080囚笼关卡已经重置
20003081	FubenBossSingleChallengeNoFeatureGroupData	20003081囚笼鏖战点没有当前词缀组数据
20003082	FubenBossSingleChallengeNoBuffGroupData	20003082囚笼鏖战点没有当前额外词缀组数据
20003083	FubenBossSingleChallengeBuffGroupNotMatchStage	20003083囚笼鏖战点额外词缀组与关卡不对应
20003084	FubenBossOnlineSectionNotFound	找不到章节信息
20003085	FubenMainLinePassTimesNotEnough	主线挑战次数不足
20003086	FubenMainLineChapterIsNotExist	章节不存在
20003087	FubenMainLineActivityHideChapterNotOpen	隐藏章节活动未开启
20003088	FubenMainLineActivityVariationsChapterNotOpen	20003074主线活动异变章节未开启
20003089	FubenPrequelStageNotPass	关卡尚未通关
20003090	FubenPrequelStageRewardAlready	星级奖励已领取
20003091	FubenPrequelStageIdError	无效的前传关卡
20003092	FubenPrequelCoverIdError	无效的前传封面Id
20003093	FubenPrequelChallengeIdError	无效的前传挑战Id
20003094	FubenPrequelChallengeLock	前传关卡尚未解锁
20003095	FubenPrequelChallengeUnlockAlready	前传关卡已经解锁
20003096	FubenPrequelChallengeCountLimit	挑战次数不足
20003097	FubenPrequelChapterNotFind	碎片关卡对应间章不存在
20003098	FubenPrequelCoverNotFind	20003084碎片关卡对应表配置不存在
20003099	FubenManagerAutoFightStageNotExist	副本不存在
20003100	FubenManagerAutoFightStageInvalid	副本无效
20003101	FubenManagerAutoFightHaventPassed	副本未通关
20003102	FubenManagerAutoFightPoolIsFull	队伍数量已满
20003103	FubenManagerAutoFightAlreadyRunning	自动作战中
20003104	FubenManagerAutoFightNotEnoughTimes	剩余挑战次数不足
20003105	FubenManagerAutoFightNotEnoughActionPoint	体力不足
20003106	FubenManagerAutoFightIndexInvalid	自动作战编号无效
20003107	FubenManagerAutoFightStageNotMatch	自动作战副本不匹配
20003108	FubenManagerAutoFightNotComplete	自动作战未完成
20003109	FubenManagerTrialIdIsNotFound	试炼副本不存在
20003110	FubenManagerTrialPreIdIsNotPass	请先通关前置关卡
20003111	FubenManagerTrialIdIsNotPass	请先通关
20003112	FubenManagerTrialPassRewardAlreadyGet	通关奖励已领取
20003113	FubenManagerTrialTypeRewardIsNotExit	奖励不存在
20003114	FubenManagerTrialTypeRewardAlreadyGet	奖励已领取
20003115	FubenManagerTrialTypeRewardIsNotFinish	关卡未完成
20003116	FubenManagerDailyChapterNotFound	找不到日常本章节配置
20003117	FubenManagerDailySectionNotFound	找不到日常本配置
20003118	FubenManagerDailyConditionInvalid	无效的日常本条件配置
20003119	FubenManagerDailyTimeNotFit	未到达开启时间
20003120	FubenManagerAutoFightTimesError	自动战斗次数错误
20003121	FubenManagerBossSingleResetCanNotSaveScore	玩法已刷新，无法保存记录
20003122	FubenManagerBossSingleDataIsRefresh	副本数据已刷新，请重新打开页面
20003123	FubenManagerStartFightIntervalFast	副本挑战间隔过快
20003124	FubenAssignChapterNotFound	章节信息配置异常
20003125	FubenAssignGroupNotFound	关卡信息配置异常
20003126	FubenAssignTeamInfoNotFound	队伍信息配置异常
20003127	FubenAssignGroupFightCountLimit	挑战次数已用尽
20003128	FubenAssignGroupTeamNotSet	队伍未设置，不能出战
20003129	FubenAssignFightCardCountError	出战成员数量有误，无法出战
20003130	FubenAssignFightCardNotInTeam	边界公约出战角色未在队伍中
20003131	FubenAssignFightGroupIdNotMatch	边界公约关卡组不匹配
20003132	FubenAssignFightStageAlreadyFinish	边界公约关卡已完成
20003133	FubenAssignFightPreStageNotFinish	边界公约前置关卡未完成
20003134	FubenAssignWinStageNotMatch	边界公约胜利关卡不匹配
20003135	FubenAssignWinGroupIdNotMatch	边界公约胜利关卡组不匹配
20003136	FubenAssignGroupTeamListNotFound	队伍列表不存在，不能出战
20003137	FubenAssignPreGroupNotFinish	前置章节未完成
20003138	FubenAssignTeamListIsEmpty	队伍数量为空，不能出战
20003139	FubenAssignTeamCountError	队伍数量与要求不符，不能出战
20003140	FubenAssignTeamIsEmpty	队伍人数不足，不能出战
20003141	FubenAssignTeamMemberCountLimit	队伍人数与要求不符，不能出战
20003142	FubenAssignTeamMemberRepeated	队伍成员重复，不能出战
20003143	FubenAssignChapterNotFinish	章节未完成
20003144	FubenAssignChapterUseSameCharacter	角色已被安排驻守
20003145	FubenAssignChapterCharacterAlreadyUse	角色已在其他区域驻守
20003146	FubenAssignChapterRewardAlreadyGet	章节奖励已领取
20003147	FubenAssignStageInfoNotFound	20003132关卡信息未找到
20003148	FubenAssignGroupInfoNotExist	20003133当前节点没有进度
20003149	FubenAssignGroupStageNotFinish	20003134当前节点关卡未完成，不能重置
20003150	FubenAssignFinishedStageCanNotChangeTeam	20003135已完成的关卡不能改变队伍
20003151	FubenManagerFightRestartFightIdNotMatch	战斗重开战斗Id不匹配
20003152	FubenManagerFightRestartPreFightDataNotMatch	战斗重开战斗数据不匹配
20003153	FubenSpeedrunTemplateNotFound	20003150未找到速通模式关卡ID
20003154	FubenSpeedrunStageInfoNotFound	20003151未找到速通模式关卡ID信息
20003155	FubenSpeedrunModeLocked	20003152速通模式未解锁
20003156	FubenBfrtChapterNotOpen	该据点章节未开放
20003157	FubenBfrtTeamSetCharacterRepeat	设置队伍角色重复
20003158	FubenManagerStageConfigNotExist	关卡配置不存在
20003159	FubenFightNpcIsNullOrEmpty	上阵角色不能为空
20003160	FubenFightCharacterAndNpcIndexRepeat	20003149上阵机器人数据与Npc数据位置冲突
20003161	FubenRepeatedCharacter	不能存在相同的上阵角色
20003162	FubenActivityReset	活动已重置
20003163	FubenBossSingleIsNotTrialStage	20003137该关卡不是体验关
20003164	FubenStageCharacterNpcIdCfgNotExit	20003139找不到该关卡类型的角色NpcId配置
20003165	FubenManagerBfrtClearIsNotOpen	据点不可一键通关
20003166	FubenManagerBfrtNotSetTeam	据点没有设置队伍
20003167	FubenManagerBfrtGroupTeamSeqCfgNotFound	找不到据点队伍配置
20003168	FubenManagerBfrtTeamFightNotEnough	战力不足，无法一件通关
20003169	FubenManagerBfrtProgressStageNotExist	关卡没有压制，无法重置
20003170	FubenManagerBfrtNotCourseRewardToReceived	没有可领取的历程奖励
20003171	FubenManagerBfrtGroupIsNotPass	据点未通关，无法领取
20003172	FubenManagerBfrtGroupRewardAlreadyReceived	据点奖励已领取
20003173	FubenManagerBfrtGroupRewardNotFound	据点没有找到对应的奖励
20004001	TeamManagerGetTeamIdFail	获取队伍ID失败
20004002	TeamManagerPrefabExceedMax	队伍预设达到上限
20004003	TeamManagerSetTeamParaError	队伍设置数量错误
20004004	TeamManagerPrefabCharacterTypeNotSame	预设角色类型不相同
20004005	TeamManagerCanNotFindThePrefabTeam	20004005找不到该预设队伍
20004006	TeamManagerCharacterIsEmptyCanNotCarryPartner	20004006站位没有角色不能携带辅助机
20004007	TeamManagerThisTeamPosIsNotExist	20004007站位不存在
20004008	TeamManagerPrefabPartnerSkillIsEmpty	20004006辅助机预设技能不能为空
20004009	TeamManagerPrePartnerIsEmptyCanNotCarrySkill	20004008辅助机预设为空不能设置技能
20004010	TeamManagerCharacterIsEmptyCanNotPutOnEquip	20004010站位没有角色不能穿戴装备
20004011	TeamManagerPrefabTeamAlreadyOnTop	20004011该编队已在最上面
20004012	TeamManagerPrefabTeamEquipRepeat	20004012预设编队存在重复穿着装备
20004013	TeamManagerPrefabTeamResonanceRepeat	20004013预设编队存在重复穿着共鸣
20004014	TeamManagerPrefabCharacterEquipEmpty	20004014站位角色装备数据为空
20004015	TeamManagerPrefabTeamNameEmpty	20004015编队名不能为空
20004016	TeamManagerPrefabTeamPartnerRepeat	20004016预设编队存在重复装备辅助机器
20004017	TeamManagerPrefabTeamSameCharacter	20004017预设编队存在重复角色
20004018	TeamManagerPrefabTeamEquipDataIsNull	20004018预设编队装备数据不能设置为空
20007001	FightProxyManagerEnterIsExist	玩家在其他战斗中
20007002	FightProxyManagerGetFightProxyFail	获取战斗代理失败
20007003	FightProxyManagerGetFightProxyForPlayerFail	获取战斗代理失败（玩家）
20007004	FightProxyManagerPlayerIdRepeat	获取战斗代理失败（玩家）
20007005	FightProxyManagerFightProxyNotFound	获取战斗代理失败（玩家）
20008001	FightProxyDoOperationNotRunning	战斗不在运行中
20008002	FightProxyIsRunningFail	战斗正在运行中
20008003	FightProxyFightCompleteNotInFight	战斗未结束
20008004	FightProxyLoadCompleteFail	战斗不在加载状态
20008005	FightProxyGetFightDataPlayerIdNotFound	获取战斗代理获取玩家信息失败
20008006	FightProxyDoOperationPlayerIdNotFound	战斗操作异常
20008007	FightProxyLoadTimeout	战斗服加载超时
20008008	FightProxyFightTimeout	战斗服战斗超时
20008009	FightProxySettleTimeout	战斗服结算超时
20008010	FightProxyJoinFightPlayerNotFound	战斗服加入战斗玩家不存在
20008011	FightProxyGetFightPlayerNotFound	战斗服获取战斗玩家失败
20008012	FightProxyInvalidPlayerId	找不到角色
20008013	FightProxyInvalidToken	无效的token
20008014	FightProxyInvalidFightId	无效的战斗Id
20008015	FightProxyFightAlreadyStart	战斗已经开始
20008016	FightProxyFightAlreadyFinish	战斗已经结束
20008017	FightProxyInvalidFrameIndex	无效的战斗帧数
20008018	FightProxyRepeatJoin	有进行中的战斗未退出
20008019	FightProxyReJoinWorldNoError	重进的战斗跟进行中的战斗不匹配
20008020	FightProxyWorldRebootCountNotMatch	复活次数不匹配
20008021	FightProxyWorldAlreadyMaxRebootCount	以达到可复活最大次数
20009001	CharacterManagerGetCharacterTemplateNotFound	获取角色模板失败
20009002	CharacterManagerGetLevelUpTemplateNotFound	获取角色升级模板失败
20009003	CharacterManagerGetGradeTemplateNotFound	获取角色突破模板失败
20009004	CharacterManagerGetQualityFragmentTemplateNotFound	获取角色品质碎片模板失败
20009005	CharacterManagerGetQualityTemplateNotFound	获取角色品质模板失败
20009006	CharacterManagerGetSkillUpgradeTemplateNotFound	获取技能升级信息失败
20009007	CharacterManagerGetSkillTemplateNotFound	获取角色技能模板失败
20009008	CharacterManagerSkillNotFound	找不到该技能
20009009	CharacterManagerGetStarUseCountParamsError	获取升星材料参数错误
20009010	CharacterManagerGetStarUseCountStarError	获取升星材料星星错误
20009011	CharacterManagerGetCharacterByIdNotFound	找不到角色
20009012	CharacterManagerCreateCharacterFail	创建角色失败
20009013	CharacterManagerNewCharacterDataIsNil	角色数据为空
20009014	CharacterManagerLevelUpMaxLevel	角色已满级
20009015	CharacterManagerAddStarFail	增加星星失败
20009016	CharacterManagerMaxQuality	角色已达最高品质
20009017	CharacterManagerActivateStarMaxStar	已进化至最高等级
20009018	CharacterManagerPromoteQualityStarNotEnough	进化条件不足
20009019	CharacterManagerMaxGrade	角色改造已满级
20009020	CharacterManagerExchangeCharacterAlreadyOwn	已拥有该角色
20009021	CharacterManagerGetCharacterDataNotFound	角色数据未找到
20009022	CharacterManagerCreateCharacterAlreadyExist	角色已存在
20009023	CharacterManagerInformationNotFound	该资料不存在
20009024	CharacterManagerRewardNotFound	该奖励不存在
20009025	CharacterManagerStoryNotFound	该剧情不存在
20009026	CharacterManagerStrangeNewsNotFound	该奇闻不存在
20009027	CharacterManagerVoiceNotFound	该语音不存在
20009028	CharacterManagerTrustLvNotEnough	信赖度等级不够
20009029	CharacterManagerInformationAlreadyUnlock	该资料已解锁
20009030	CharacterManagerStoryAlreadyUnlock	该剧情已解锁
20009031	CharacterManagerStrangeNewsAlreadyUnlock	该奇闻已解锁
20009032	CharacterManagerStrangeNewsCanNotUnlock	未达到解锁条件
20009033	CharacterManagerVoiceAlreadyUnlock	该语音已解锁
20009034	CharacterManagerRewardAlreadyUnlock	该奖励已经获得
20009035	CharacterManagerRewardCanNotUnlock	未达到领取条件
20009036	CharacterManagerTrustItemNotFound	物品不存在
20009037	CharacterManagerSendGiftParaError	请求参数异常
20009038	CharacterManagerTrustLevelExpNotFound	信赖度等级错误
20009039	CharacterManagerTrustGameNotCount	次数不足
20009040	CharacterManagerTrustGameIdNotFound	游戏异常
20009041	CharacterManagerTrustGameRewardNotFound	奖励不存在
20009042	CharacterManagerTrustGameFinishNumError	完成参数异常
20009043	CharacterManagerTrustGameResultIllegal	异常操作
20009044	CharacterMinSkillLevelNotFound	找不到角色最低技能等级
20009045	CharacterMaxSkillLevelNotFound	找不到角色最高技能等级
20009046	CharacterUnlockSkillNotNeed	角色技能无需解锁
20009047	CharacterSkillUnlocked	角色技能已解锁
20009048	CharacterSkillIsNotFoundOrLock	角色技能不存在或者未解锁
20009049	CharacterSkillLevelIsMax	已升到最高等级
20009050	CharacterSkillPoolTemplateNotFound	角色技能池配置未找到
20009051	CharacterSkillPoolIsEmpty	角色技能池为空
20009052	CharacterSkillLevelEffectTemplateNotFound	角色技能等级效果未找到
20009053	CharacterExtraDataNotFound	信赖度数据不存在
20009054	CharacterSkillSwitchIsSame	切换的技能跟当前使用的是同一个
20009055	CharacterMagicIsNotFoundOrLock	角色魔法不存在或者未解锁
20009056	CharacterMagicSwitchIsSame	切换的魔法跟当前使用的是同一个
20009057	CharacterGatherRewardHadGet	奖励已经领取
20009058	CharacterPreGatherRewardIsNotGet	上一级奖励未领取
20009059	CharacterManagerTrustLevelIsMax	信赖度等级已达最高
20009060	CharacterSpecialSkillLevelNotEnough	独域技能未满足前置等级
20009061	CharacterExhibitionLimitCfgNotFound	20009061解放限制配置未找到
20009062	CharacterSwitchMagicInvalidCharacterId	20009062该角色不能设置终解球颜色
20009063	CharacterCollectStateRepeatSet	20009063该状态已被设置，不能重复设置
20010001	FashionManagerGetFashionNotFound	涂装未找到
20010002	FashionIsUnOwned	没有获得此涂装
20010003	FashionIsLock	此涂装没有解锁
20010004	FashionIsUnLock	此涂装已解锁
20010005	FashionCharacterDoNotMatch	涂装角色不匹配
20010006	FashionAureoleConfigNotFound	终解环配置未找到
20010007	FashionAureoleInvalidCharacterId	非法角色ID
20010008	FashionAureoleLiberateLvNotEnough	角色未超解
20010009	FashionAureoleIdNotFound	未找到对应的终解环ID
20010010	FashionSuitRandomPoolCanNotEmpty	20010010涂装随机池不能为空
20010011	FashionSuitConfigNotFound	未找到衣橱涂装系列
20010012	FashionSuitIsNotComplete	衣橱涂装系列未全部上架
20010013	FashionSuitIsNotGathered	衣橱涂装系列未全部收集
20010014	FashionSuitIsAlreadyReward	衣橱涂装系列全收集奖励已领取
20012001	ItemManagerGetItemTableFailed	获取道具表失败
20012002	ItemManagerGetItemNotFound	找不到指定道具
20012003	ItemManagerCheckIdValidFail	道具id不存在
20012004	ItemCountNotEnough	道具数量不足
20012005	ItemCapacityNotEnough	道具容量不足
20012006	ItemAlreadyOwned	道具已存在
20012007	ItemManagerGetBuyAssetTableFail	获取购买表失败
20012008	ItemManagerBuyAssetMaxTimes	已达到今日最大购买次数。
20012009	ItemNotFound	道具不存在
20012010	ItemSellCountError	出售道具数量有误
20012011	ItemSellFragmentLimit	不能出售该碎片
20012012	ItemCannotSell	道具无法出售
20012013	ItemCannotBuy	道具无法购买
20012014	ItemCannotConvertCharacterExp	道具无法转换成角色经验
20012015	ItemCannotConvertFurnitureConfig	道具无法转换成家具图纸配置
20012016	ItemCannotUse	道具无法使用
20012017	ItemNotEffect	道具未生效
20012018	ItemAlreadyInvalid	道具已失效
20012019	ItemUseGiftSelectRewardIsEmpty	礼包选择奖励为空
20012020	ItemUseGiftSelectRewardAboveLimit	礼包选择奖励超过上限
20012021	ItemUseGiftSelectRewardNotExist	礼包选择奖励不存在
20012022	ItemCreateError	获取道具失败
20012023	ItemCountException	创建道具失败
20012024	ItemBatchCountNotEnough	该批次道具数量不足
20012025	ItemBatchNotFound	该道具已过期
20012026	ItemUseMultipleRewardTypeError	奖励类型错误
20012027	ItemCannotConvertEquipExp	该道具无法转换成装备经验
20012028	ItemEquipExpUseEquipTypeError	装备类型错误
20012029	ItemManagerBuyAssetNotAllowConsumeId	不允许该消耗品兑换
20012030	ItemCannotConvertPartnerExp	该道具无法转换成伙伴经验
20012031	ItemTypeIsNotDlcQuickUseItem	20012031不是dlc快捷使用道具
20012032	ItemDlcQuickUseItemIndexError	20012032dlc快捷使用道具编号错误
20012033	ItemQuickUseItemIndexIsEmpty	20012033该编号未装备道具
20012034	ItemQuickUseItemNotEnough	20012034dlc快捷使用道具数量不足
20012035	ItemManagerBuyAssetNotInTime	不在可购买时间段
20012036	ItemManagerBuyAssetMaxTotalTimes	已达到最大总购买次数
20012037	ItemRestrictGainCountLimit	勤务证明获取数量已达上限，只获取未超上限部分奖励
20014001	ArrangeManagerCalTypeFail	ID不正确，无法识别类型
20017001	DropManagerGetDropGoodsFail	获取掉落物品失败
20017002	DropManagerGetDropBottomTableListFail	获取掉落水位列表失败
20017003	DropManagerDropItemFailed	掉落物品失败
20017004	DropManagerGetDropTableFail	获取掉落表失败
20017005	DropManagerGetDropGroupTableFail	获取掉落组表失败
20017006	DropManagerGetDropSetTableFail	获取掉落集表失败
20018001	DrawManagerGetDrawGroupInfoNotFound	卡组活动未开启
20018002	DrawManagerGetDrawInfoNotFound	抽卡信息不存在
20018003	DrawManagerDrawCountError	抽卡次数出错
20018004	DrawManagerTodayTimesUseUp	抽卡今日次数用完
20018005	DrawManagerTodayRemainTimesNotEnough	抽卡今日剩余次数不足
20018006	DrawManagerActivityTimesUseUp	活动抽卡次数用完
20018007	DrawManagerActivityRemainTimesNotEnough	活动剩余抽卡次数不足
20018008	DrawManagerNotOptionalDrawId	不是可选抽卡Id
20018009	DrawManagerNotInValidTime	超出有效时间
20018010	DrawManagerDrawInfoNotFound	找不到抽卡信息
20018011	DrawManagerDrawInfoAlreadyExist	抽卡信息已经存在
20018012	DrawManagerDrawGroupInfoNotFound	找不到抽卡组信息
20018013	DrawManagerDrawGroupAlreadyExist	抽卡组信息已存在
20018014	DrawManagerDrawGroupOptionalListIsEmpty	抽卡组信息已存在
20018015	DrawManagerSetDrawIdCountLimit	20018015本次活动无法再替换
20018016	DrawManagerDrawIdDoNotMatch	20018016抽卡id不匹配
20018017	DrawManagerDrawTicketCanOnlyBeUseSingle	免费研发券只能用于单抽
