Id	EventId	NeedDecoration	StepId	NextStepId	Type	StageId	StepRewardItemId	StepRewardItemCount	StoryId	OptionDesc	OptionDownDesc	OptionIcon	OptionType	OptionItemId	OptionItemCount	OptionNextStepId	OptionNeedDecoration	Title	TitleContent	RoleIcon	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset
41	108		10805		5	30061932												流落孤岛					你看见有什么活动的身影，你连忙追了上去，是凯列班还是星期五？你决定一探究竟。	准备战斗	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
42	201		20101		2					['寻找休憩之地']			[3]			[20102]		安眠之处	似乎会有神秘事件将要发生				夜幕渐沉，潮气从地面升起，寒冷自空气渗出，整片森林的光线仿佛被吸收殆尽，古怪的暗影扭曲着身姿变换着形状，悄悄地融入夜色当中。远处似乎传来豺狼怒熊的长嗥之声。而前路迢迢，看来你必须在此寻找一处暂时的休憩之地以度过今夜，等待朝阳初升，照亮前路。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
43	201		20102		2					['在结着蛛网的巨型乔木', '在更易攀爬的低矮的乔木上']			[3, 3]			[20103, 20104]		安眠之处	似乎会有神秘事件将要发生				经过短暂的思考，你决定就在此处过夜	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
44	201		20103		1													安眠之处	似乎会有神秘事件将要发生				你沉入深深的睡眠当中，蛛网之上三只蜘蛛纺织着你的梦境，你梦见了火光和哭喊声，无边际的花海，盘旋的飞龙，高高的露台上少女的身姿……而现在你醒了，晨光熹微，前路如梦境般重叠扑朔。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
45	201		20104		5	30061911												安眠之处	似乎会有神秘事件将要发生				你刚擎住乔木的最低矮的枝干，正打算往上攀爬，树身突然开始剧烈摇晃起来——	准备战斗	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
46	202		20201		2					['往前去']			[3]			[20202]		火堆					有灰白色的烟雾袅袅出现在森林上空，你追寻着烟雾的方向，打算去一探究竟。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
47	202		20202		2					['决定翻查灰烬', '留在原地等待', '往前走走']			[3, 3, 3]			[20203, 20204, 20205]		火堆					空地上只剩下下火堆焚烧的残余和灰烬，四周无人，也没有任何活物的气息。看着眼前已然熄灭的火堆，你——	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
48	202		20203		4		96110	1										火堆					你捡了一根大小合适的树枝，翻动查看起已熄灭的火堆，你发现有残存的辨识不出本体的骨头的痕迹，移开半截骨头，你在灰烬之下发现了一枚流光溢彩的宝石。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
49	202		20204		5	30061910												火堆					你在已熄灭的火堆旁坐下，期待着有人会回到这里。时间掠过森林的枝桠，向你的眼皮施下缓缓闭合的术法。再次睁开双眼时，簇簇磷火立刻自火堆处高高低低地飞出——	准备战斗	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
50	202		20205		1													火堆					你沿着来时的道路的反方向谨慎向前，远离了火堆，但你并未发现任何人经过的痕迹。但幸运的是，你发现了一丛结满果实的乌泡刺。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
51	203		20301		2					['根据花苞的指引', '跟随日出的方向', '根据羽毛的指引']			[3, 3, 3]			[20304, 20303, 20302]		花与羽毛	出现了新的选择				你在森林里游荡，你学会倾听风的声音，你在日升时行走，在日落时分歇息，用甘甜的溪水漱口，以林间树果裹腹。你逐渐掌握了在森林中生存的技巧，却也逐渐迷失了方向。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
52	203		20302		1													花与羽毛					你拾捡起某种灰色鸟类落下的羽毛，用以卜算前进的方向，你跟随羽毛的指引，来到了水源处，沿着溪流的方向，你一路前行。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
53	203		20303		1													花与羽毛					一些粗浅的知识浮现在你的脑海之中，你决定先选定一个方向前进，跟随着日出的方位，你慢慢向前。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
54	203		20304	20305	1													花与羽毛					你注意到地面草丛间有一些剑状的长叶子拥着细小的花苞，它们脆弱又美丽，仿佛某种启示，却一路往前延展，仿佛在行走，你跟着同类植株生长指向的方向前进。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
55	203		20305		6				ZX02404BB									花与羽毛							
56	204		20401		2					['将宝石交付出去', '表示可以在船上充当帮工', '坦诚相告，希望得到帮助']	['需要道具%s']		[2, 3, 3]	[96110]	[1]	[20402, 20406, 20407]		登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	这可不是什么玩具船开往快乐岛。	经过一番交谈之后，你表示希望一同搭乘船只前往遥远的王国，记忆里的那不勒斯与水手描述中的城都相对应了起来，但摸遍浑身上下，你发现自己身无分文。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
57	204		20402	20403	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	你……	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
58	204		20403	20404	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	这是哪里来的？	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
59	204		20404	20405	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	你认识一个紫色眼睛的旅行者吗？	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
60	204		20405		1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	不……没什么。	水手看向你，起了个话头，却最终什么也没说。他应允了你上船的请求，却没有收下那枚宝石。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
61	204		20406		1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		水手看了你一眼，似乎笑了一下，却最终什么也没说。他应允了你上船的请求，却一句未提帮工的内容。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
62	204		20407	20408	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
63	204		20408	20409	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	你见过龙吗？	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
64	204		20409	20410	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	我们已经很久没见过龙了。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
65	204		20410	20411	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	‘龙随着笛声而来’。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
66	204		20411	20412	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	但在最开始的时候，恶龙的出现是毫无征兆的。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
67	204		20412	20413	1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	惟一可循的规律是，恶龙往往会搜寻人群。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
68	204		20413		1													登船		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	会像海上飓风一样掘起陆地上的人群，将他们从空中摔落。它袭击村庄和人群，毁坏目之所及任何可以毁坏的事物。	水手看向你，似乎想起久远以前的记忆，他最终什么也没说，但应允了你上船的请求。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
69	205		20501		2					['前往舱室的方向', '在甲板上随意走动', '表示想自己随意走动一下']			[3, 3, 3]			[20502, 20503, 20504]		船舶之上		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		登上了船，引路的水手询问你要往哪里去。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
70	205		20502		6				ZX02405BB									船舶之上							
71	205		20503		6				ZX02406BB									船舶之上							
72	205		20504		1													船舶之上					表示想自己随意走动一下	离开	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
73	207		20701		2					['表示想自己一个人吹吹风', '点头示意', '返回舱室休息']			[3, 3, 3]			[20705, 20702, 20706]		水手	出现了新的选择	Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		太阳没入了海平面，船上的夜色朦胧，今晚值夜之一的水手身形高大，脸色蜡黄，走路有点不明显的跛足，你认出正是登船遇到的其中一位。他在白天总是沉默，在夜晚则会敞开心扉。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
74	207		20702		2					['聊聊恶龙', '聊聊水手的故事']			[3, 3]			[20703, 20704]		水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		他站在远离船室的甲板上，目光却一直望着船室的方向，他向你招了招手，直到你走近，方才低声开了口。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
75	207		20703	20707	6				ZX02409BB									水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手				
76	207		20704	20707	6				ZX02410BB									水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手				
77	207		20705		6				ZX02408BB									水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手				
78	207		20706		1													水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手		你向水手打了个招呼，微醺的海风让你有了一丝睡意，你返回了舱室，和衣而眠，一夜无梦。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
79	207		20707	20708	1													水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	大概是年岁大了，开始兜着绕着，絮絮叨叨讲一些无关紧要的琐事。你想听的并不是这些吧？	水手笑了下，面容因这个笑容显得更加平和了起来。	交谈	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
80	207		20708		1													水手		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	水手	夜也深了，今晚的故事就讲到这里吧。	水手笑了下，面容因这个笑容显得更加平和了起来。	下一步	Assets/Product/Texture/Image/BgStory/BgStory548.jpg
81	208		20801		2					['这是哪里？']			[3]			[20802]		流落孤岛					睁开眼是一片澄澈的天空，空气中夹杂着海腥味，你恍惚记得你被高高的浪潮带起，你极力呼喊着，视野里最后是龙高昂的头颅和巨大的双爪，你避让开了，并牢牢掌控着身下窄小的浮舟，这使你不至于在漂流中下沉。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
82	208		20802		2					['四处走走']			[3]			[20803]		流落孤岛					身下是细软的沙粒，你缓慢直起了上半身，入目是海平面，浪潮不再凶猛，潮水一触即离地搔挠你的双脚。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
83	208		20803		2					['躺在沙滩上晒太阳', '寻找活物的踪迹', '沿海岸走去']			[3, 3, 3]			[20804, 20805, 20806]		流落孤岛	出现了新的选择				你往四周查探了一圈，虽然没有完全摸清状况，但你确定自己身处在一个岛屿之上。这会是一个无人岛吗？	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
84	208		20804		1													流落孤岛					阳光正好，在半梦半醒之中，你身上的衣物干透了。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
85	208		20805		5	30061932												流落孤岛					你看见有什么活动的身影，你连忙追了上去，是凯列班还是星期五？你决定一探究竟。	开始战斗	Assets/Product/Texture/Image/BgStory/Bgstory533.jpg
86	208		20806		6				ZX02412BB									流落孤岛							
87	210		21001		2					['进行自我介绍', '说明来历情况', '表示自己只会短暂停留，很快离开']			[3, 3, 3]			[21002, 21003, 21007]		村庄					巨龙的出现在村庄里引起了骚动，村民纷纷拿起了农具和武器，而全副武装赶到后，只余你从顶棚上慢慢爬下，与村民们大眼瞪小眼。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
88	210		21002		1													村庄		Assets/Product/Texture/Image/RoleStory/PinminNormal01.png	农夫	我们这里不欢迎外来人	一番介绍说明之后，村民们脸上的神情并未松动，他们如同铁壁般挡在你的面前。	离开这里	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
89	210		21003	21004	1													村庄		Assets/Product/Texture/Image/RoleStory/TongyongNanminboyNormal02.png	青年A	你跟那个吹笛子是不是一伙的？	一番说明之后，村民里骚动起来，人们开始窃窃私语，而投射过来的眼神并不友好，有谁向你扔了石子。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
90	210		21004	21005	1													村庄		Assets/Product/Texture/Image/RoleStory/TongyongNanmingirlNormal02.png	青年B	你说你是龙带来的？	一番说明之后，村民里骚动起来，人们开始窃窃私语，而投射过来的眼神并不友好，有谁向你扔了石子。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
91	210		21005	21006	1													村庄		Assets/Product/Texture/Image/RoleStory/ShihuangzhenanNormal01.png	中年A	灾厄！灾厄！灾厄要来到我们村庄了！	一番说明之后，村民里骚动起来，人们开始窃窃私语，而投射过来的眼神并不友好，有谁向你扔了石子。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
92	210		21006		5	30061887												村庄		Assets/Product/Texture/Image/RoleStory/KaliegrandNomal02.png	中年B	滚出去！滚出去！	一番说明之后，村民里骚动起来，人们开始窃窃私语，而投射过来的眼神并不友好，有谁向你扔了石子。	准备战斗	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
93	210		21007		1													村庄					表示自己只会短暂停留，很快离开	离开	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
94	211		21101	21102	1													村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	米伊！米伊！	你徘徊在村口，失去了目标和行进的方向，妇女焦急的喊声吸引了你的注意。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
95	211		21102		2					['忽略', '上前询问']			[3, 3]			[21103, 21104]		村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	你在哪米伊！	你徘徊在村口，失去了目标和行进的方向，妇女焦急的喊声吸引了你的注意。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
96	211		21103		1													村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	呜……	你认出妇人是之前驱赶你的村民里的一员，本着多一事不如少一事的原则，你离开了这里。	离开	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
97	211		21104	21105	1													村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	米伊不见了……我的米伊不见了。	你走上前去，询问她有什么需要帮助。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
98	211		21105	21106	1													村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	我找遍了整个村子，没有找到他！	你走上前去，询问她有什么需要帮助。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
99	211		21106	21107	1													村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	大家都不敢到村外去，说是有龙和魔物……	你走上前去，询问她有什么需要帮助。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
100	211		21107	21108	1													村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	米伊他会不会往龙穴去了？是不是被那奇怪的笛声骗走了？	你走上前去，询问她有什么需要帮助。	交谈	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
101	211		21108		2					['你表示会帮她一起寻找米伊', '你表示自己有更重要的事，要先行离开']			[3, 3]			[21109, 21112]		村口		Assets/Product/Texture/Image/RoleStory/TongyongFunvNormal02.png	妇人	都怪我！都怪我！	你走上前去，询问她有什么需要帮助。	下一步	Assets/Product/Texture/Image/BgStory/Bgstory530.jpg
