Id	DecorationId	Lv	ConditionId	UpgradeCostItemId	UpgradeCostCount	Type	Param	GroupIndex	GridIndex	Name	Icon	Desc	ConditionDesc	IsWindow
11	10002			96102	120			2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	（未激活）宣叙妄响中，角色基础生命提升<color=#6495ED>10%</color>		
12	10002	1		96102	200	[15]	['2240207']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>10%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>20%</color>		
13	10002	2		96102	300	[15]	['2240208']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>20%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>30%</color>		
14	10002	3		96102	500	[15]	['2240209']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>30%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>40%</color>		
15	10002	4		96102	750	[15]	['2240210']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>40%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>50%</color>		
16	10002	5		96102	1000	[15]	['2240211']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>50%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>70%</color>		
17	10002	6		96102	1500	[15]	['2240212']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>70%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>90%</color>		
18	10002	7		96102	2000	[15]	['2240213']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>90%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>120%</color>		
19	10002	8		96102	2500	[15]	['2240214']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>120%</color>     下级：宣叙妄响中，角色基础生命提升<color=#6495ED>150%</color>		
20	10002	9				[15]	['2240215']	2	2	生命提升	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong01.png	当前：宣叙妄响中，角色基础生命提升<color=#6495ED>150%</color>		
21	10003		1002024	96102	300			2	3	额外减伤	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	（未激活）宣叙妄响中，角色获得<color=#6495ED>5%</color>的额外伤害减免	流离荒岛提升至1级后解锁	
22	10003	1	1002024	96102	500	[15]	['2240216']	2	3	额外减伤	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>5%</color>的额外伤害减免     下级：宣叙妄响中，角色获得<color=#6495ED>10%</color>的额外伤害减免	流离荒岛提升至1级后解锁	
23	10003	2	1002024	96102	800	[15]	['2240217']	2	3	额外减伤	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>10%</color>的额外伤害减免     下级：宣叙妄响中，角色获得<color=#6495ED>15%</color>的额外伤害减免	流离荒岛提升至1级后解锁	
24	10003	3	1002024	96102	1200	[15]	['2240218']	2	3	额外减伤	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>15%</color>的额外伤害减免     下级：宣叙妄响中，角色获得<color=#6495ED>20%</color>的额外伤害减免	流离荒岛提升至1级后解锁	
25	10003	4	1002024	96102	1500	[15]	['2240219']	2	3	额外减伤	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>20%</color>的额外伤害减免     下级：宣叙妄响中，角色获得<color=#6495ED>25%</color>的额外伤害减免	流离荒岛提升至1级后解锁	
26	10003	5	1002024			[15]	['2240220']	2	3	额外减伤	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>25%</color>的额外伤害减免	流离荒岛提升至1级后解锁	
27	10004		1002024	96102	300			2	4	闪避上限	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong01.png	（未激活）宣叙妄响中，角色的闪避值上限提升<color=#6495ED>100</color>	流离荒岛提升至1级后解锁	
28	10004	1	1002024	96102	500	[15]	['2240221']	2	4	闪避上限	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong01.png	当前：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>100</color>     下级：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>200</color>	流离荒岛提升至1级后解锁	
29	10004	2	1002024	96102	800	[15]	['2240222']	2	4	闪避上限	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong01.png	当前：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>200</color>     下级：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>300</color>	流离荒岛提升至1级后解锁	
30	10004	3	1002024	96102	1200	[15]	['2240223']	2	4	闪避上限	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong01.png	当前：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>300</color>     下级：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>400</color>	流离荒岛提升至1级后解锁	
31	10004	4	1002024			[15]	['2240224']	2	4	闪避上限	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong01.png	当前：宣叙妄响中，角色的闪避值上限提升<color=#6495ED>400</color>	流离荒岛提升至1级后解锁	
32	10005		1002024	96102	300			2	5	闪避恢复	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong01.png	（未激活）宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>5%</color>	流离荒岛提升至1级后解锁	
33	10005	1	1002024	96102	500	[15]	['2240225']	2	5	闪避恢复	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong01.png	当前：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>5%</color>     下级：宣叙妄响中，角色的闪恢复速度提升<color=#6495ED>10%</color>	流离荒岛提升至1级后解锁	
34	10005	2	1002024	96102	800	[15]	['2240226']	2	5	闪避恢复	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong01.png	当前：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>10%</color>     下级：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>15%</color>	流离荒岛提升至1级后解锁	
35	10005	3	1002024	96102	1200	[15]	['2240227']	2	5	闪避恢复	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong01.png	当前：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>15%</color>     下级：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>20%</color>	流离荒岛提升至1级后解锁	
36	10005	4	1002024	96102	1500	[15]	['2240228']	2	5	闪避恢复	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong01.png	当前：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>20%</color>     下级：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>25%</color>	流离荒岛提升至1级后解锁	
37	10005	5	1002024			[15]	['2240229']	2	5	闪避恢复	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong01.png	当前：宣叙妄响中，角色的闪避值恢复速度提升<color=#6495ED>25%</color>	流离荒岛提升至1级后解锁	
38	10006		1002025	96102	300			2	6	伤害增幅	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillbeidong03.png	（未激活）宣叙妄响中，角色获得<color=#6495ED>5%</color>的额外伤害提升	荒芜地界提升至1级后解锁	
39	10006	1	1002025	96102	500	[15]	['2240230']	2	6	伤害增幅	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>5%</color>的额外伤害提升     下级：宣叙妄响中，角色获得<color=#6495ED>10%</color>的额外伤害提升	荒芜地界提升至1级后解锁	
40	10006	2	1002025	96102	800	[15]	['2240231']	2	6	伤害增幅	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>10%</color>的额外伤害提升     下级：宣叙妄响中，角色获得<color=#6495ED>15%</color>的额外伤害提升	荒芜地界提升至1级后解锁	
41	10006	3	1002025	96102	1200	[15]	['2240232']	2	6	伤害增幅	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>15%</color>的额外伤害提升     下级：宣叙妄响中，角色获得<color=#6495ED>20%</color>的额外伤害提升	荒芜地界提升至1级后解锁	
42	10006	4	1002025	96102	1500	[15]	['2240233']	2	6	伤害增幅	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>20%</color>的额外伤害提升     下级：宣叙妄响中，角色获得<color=#6495ED>25%</color>的额外伤害提升	荒芜地界提升至1级后解锁	
43	10006	5	1002025			[15]	['2240234']	2	6	伤害增幅	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillbeidong03.png	当前：宣叙妄响中，角色获得<color=#6495ED>25%</color>的额外伤害提升	荒芜地界提升至1级后解锁	
44	10007		1002025	96102	500			2	7	信号球回复	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong04.png	（未激活）宣叙妄响中，角色每<color=#6495ED>15秒</color>恢复<color=#6495ED>3个</color>信号球	荒芜地界提升至1级后解锁	
45	10007	1	1002025	96102	800	[15]	['2240235']	2	7	信号球回复	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>15秒</color>恢复<color=#6495ED>3个</color>信号球     下级：宣叙妄响中，角色每<color=#6495ED>13秒</color>恢复<color=#6495ED>3个</color>信号球	荒芜地界提升至1级后解锁	
46	10007	2	1002025	96102	1000	[15]	['2240236']	2	7	信号球回复	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>13秒</color>恢复<color=#6495ED>3个</color>信号球     下级：宣叙妄响中，角色每<color=#6495ED>10秒</color>恢复<color=#6495ED>3个</color>信号球	荒芜地界提升至1级后解锁	
47	10007	3	1002025	96102	1500	[15]	['2240237']	2	7	信号球回复	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>10秒</color>恢复<color=#6495ED>3个</color>信号球     下级：宣叙妄响中，角色每<color=#6495ED>8秒</color>恢复<color=#6495ED>3个</color>信号球	荒芜地界提升至1级后解锁	
48	10007	4	1002025			[15]	['2240238']	2	7	信号球回复	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>8秒</color>恢复<color=#6495ED>3个</color>信号球	荒芜地界提升至1级后解锁	
49	10008		1002026	96102	800			2	8	周期免伤	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong04.png	（未激活）宣叙妄响中，角色每<color=#6495ED>15秒</color>获得免伤护盾，护盾存在期间获得<color=#6495ED>10%</color>额外伤害提升	国王城都I提升至1级后解锁	
50	10008	1	1002026	96102	1000	[15]	['2240239']	2	8	周期免伤	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>15秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升     下级：宣叙妄响中，角色每<color=#6495ED>13秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升	国王城都I提升至1级后解锁	
51	10008	2	1002026	96102	1500	[15]	['2240240']	2	8	周期免伤	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>13秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升     下级：宣叙妄响中，角色每<color=#6495ED>10秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升	国王城都I提升至1级后解锁	
52	10008	3	1002026	96102	2000	[15]	['2240241']	2	8	周期免伤	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>10秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升     下级：宣叙妄响中，角色每<color=#6495ED>8秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升	国王城都I提升至1级后解锁	
53	10008	4	1002026			[15]	['2240242']	2	8	周期免伤	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong04.png	当前：宣叙妄响中，角色每<color=#6495ED>8秒</color>获得护盾，存在期间获得<color=#6495ED>10%</color>额外伤害提升	国王城都I提升至1级后解锁	
54	10009		1002028	96102	800			2	9	伤害增幅II	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong03.png	（未激活）宣叙妄响关卡中，角色每<color=#6495ED>10秒</color>获得<color=#6495ED>2%</color>额外获得额外伤害提升	国王城都II提升至1级后解锁	
55	10009	1	1002028	96102	1000	[15]	['2240243']	2	9	伤害增幅II	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong03.png	当前：宣叙妄响关卡中，角色每<color=#6495ED>10秒</color>获得<color=#6495ED>2%</color>额外获得额外伤害提升     下级：宣叙妄响关卡中，角色每<color=#6495ED>8秒</color>获得<color=#6495ED>2%</color>额外获得额外伤害提升	国王城都II提升至1级后解锁	
56	10009	2	1002028	96102	1500	[15]	['2240244']	2	9	伤害增幅II	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong03.png	当前：宣叙妄响关卡中，角色每<color=#6495ED>8秒</color>获得<color=#6495ED>2%</color>额外获得额外伤害提升     下级：宣叙妄响关卡中，角色每<color=#6495ED>6秒</color>获得<color=#6495ED>3%</color>额外获得额外伤害提升	国王城都II提升至1级后解锁	
57	10009	3	1002028	96102	2000	[15]	['2240245']	2	9	伤害增幅II	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong03.png	当前：宣叙妄响关卡中，角色每<color=#6495ED>6秒</color>获得<color=#6495ED>3%</color>额外获得额外伤害提升     下级：宣叙妄响关卡中，角色每<color=#6495ED>5秒</color>获得<color=#6495ED>3%</color>额外获得额外伤害提升	国王城都II提升至1级后解锁	
58	10009	4	1002028			[15]	['2240246']	2	9	伤害增幅II	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillzhudong03.png	当前：宣叙妄响关卡中，角色每<color=#6495ED>5秒</color>获得<color=#6495ED>3%</color>额外获得额外伤害提升	国王城都II提升至1级后解锁	
59	20002		1002031	96102	5			1	1	流离荒岛	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong01.png	（未激活）激活后可解锁<color=#6495ED>第四、五场</color>          激活前一个叙事曲，到达条件后可激活	通关第三场流离荒岛	True
60	20002	1	1002031					1	1	流离荒岛	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong01.png	当前：解锁<color=#6495ED>第四、五场</color>	通关第三场流离荒岛	
61	20003		1002070	96102	5			1	2	荒芜地界	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong02.png	（未激活）激活后可解锁<color=#6495ED>第六场</color>          激活前一个叙事曲，到达条件后可激活	通关第五场荒芜地界，且到达11月18日10:30	True
62	20003	1	1002070					1	2	荒芜地界	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong02.png	当前：解锁<color=#6495ED>第六场</color>	通关第五场荒芜地界，且到达11月18日10:30	
63	20004		1002071	96102	5			1	3	国王城都I	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong03.png	（未激活）激活后可解锁<color=#6495ED>第六场支线结局芍药与鸢尾</color>          激活前一个叙事曲，到达条件后可激活	通关第六场国王城都，且到达11月25日10:00	True
64	20004	1	1002071					1	3	国王城都I	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong03.png	当前：解锁<color=#6495ED>第六场支线结局</color>	通关第六场国王城都，且到达11月25日10:00	
65	20005		1002072	96102	5			1	4	国王城都II	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong04.png	（未激活）激活后可解锁<color=#6495ED>第六场支线结局伊利斯之名</color>          激活前一个叙事曲，到达条件后可激活	通关第六场支线结局，且到达12月2日10:00	True
66	20005	1	1002072					1	4	国王城都II	Assets/Product/Texture/Image/IconPetSkill/Pet3YingSkillzhudong04.png	当前：解锁<color=#6495ED>第六场另一个支线结局</color>	通关第六场支线结局，且到达12月2日10:00	
67	30001			96102	300			3	1	招募次数提升	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	（未激活）每场开始时，可<color=#6495ED>招募次数+1</color>		
68	30001	1				[10]	['1']	3	1	招募次数提升	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：每场开始时，可<color=#6495ED>招募次数+1</color>		
69	30002			96102	300			3	2	购买项提升	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	（未激活）场间商店，可选择的<color=#6495ED>商品数+1</color>		
70	30002	1		96102	500	[5]	['1']	3	2	购买项提升	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：场间商店，可选择的<color=#6495ED>商品数+1</color>     下级：场间商店，可选择的<color=#6495ED>商品数+2</color>		
71	30002	2				[5]	['2']	3	2	购买项提升	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong03.png	当前：场间商店，可选择的<color=#6495ED>商品数+2</color>		
72	30003		1002024	96102	150			3	3	返场次数增加	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong03.png	（未激活）宣叙妄响中，<color=#6495ED>返场次数+1</color>	流离荒岛提升至1级后解锁	
73	30003	1	1002024	96102	200	[9]	['1']	3	3	返场次数增加	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong03.png	当前：宣叙妄响中，<color=#6495ED>返场次数+1</color>     下级：宣叙妄响中，<color=#6495ED>返场次数+2</color>	流离荒岛提升至1级后解锁	
74	30003	2	1002024	96102	250	[9]	['2']	3	3	返场次数增加	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong03.png	当前：宣叙妄响中，<color=#6495ED>返场次数+2</color>     下级：宣叙妄响中，<color=#6495ED>返场次数+3</color>	流离荒岛提升至1级后解锁	
75	30003	3	1002024	96102	300	[9]	['3']	3	3	返场次数增加	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong03.png	当前：宣叙妄响中，<color=#6495ED>返场次数+3</color>     下级：宣叙妄响中，<color=#6495ED>返场次数+4</color>	流离荒岛提升至1级后解锁	
76	30003	4	1002024	96102	400	[9]	['4']	3	3	返场次数增加	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong03.png	当前：宣叙妄响中，<color=#6495ED>返场次数+4</color>     下级：宣叙妄响中，<color=#6495ED>返场次数+5</color>	流离荒岛提升至1级后解锁	
77	30003	5	1002024			[9]	['5']	3	3	返场次数增加	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillbeidong03.png	当前：宣叙妄响中，<color=#6495ED>返场次数+5</color>	流离荒岛提升至1级后解锁	
78	30004		1002024	96102	100			3	4	获得玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong04.png	（未激活）通过任意节点后，获得额外<color=#6495ED>5玛格</color>	流离荒岛提升至1级后解锁	
79	30004	1	1002024	96102	200	[3]	['5']	3	4	获得玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong04.png	当前：通过任意节点后，获得额外<color=#6495ED>5玛格</color>     下级：通过任意节点后，获得额外<color=#6495ED>10玛格</color>	流离荒岛提升至1级后解锁	
80	30004	2	1002024	96102	300	[3]	['10']	3	4	获得玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong04.png	当前：通过任意节点后，获得额外<color=#6495ED>10玛格</color>     下级：通过任意节点后，获得额外<color=#6495ED>15玛格</color>	流离荒岛提升至1级后解锁	
81	30004	3	1002024	96102	500	[3]	['15']	3	4	获得玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong04.png	当前：通过任意节点后，获得额外<color=#6495ED>15玛格</color>     下级：通过任意节点后，获得额外<color=#6495ED>20玛格</color>	流离荒岛提升至1级后解锁	
82	30004	4	1002024	96102	1000	[3]	['20']	3	4	获得玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong04.png	当前：通过任意节点后，获得额外<color=#6495ED>20玛格</color>     下级：通过任意节点后，获得额外<color=#6495ED>30玛格</color>	流离荒岛提升至1级后解锁	
83	30004	5	1002024			[3]	['30']	3	4	获得玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong04.png	当前：通过任意节点后，获得额外<color=#6495ED>30玛格</color>	流离荒岛提升至1级后解锁	
84	30005		1002024	96102	100			3	5	初始玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	（未激活）开始时，额外获得<color=#6495ED>50玛格</color>	流离荒岛提升至1级后解锁	
85	30005	1	1002024	96102	300	[1]	['50']	3	5	初始玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	当前：开始时，额外获得<color=#6495ED>50玛格</color>     下级：开始时，额外获得<color=#6495ED>100玛格</color>	流离荒岛提升至1级后解锁	
86	30005	2	1002024	96102	500	[1]	['100']	3	5	初始玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	当前：开始时，额外获得<color=#6495ED>100玛格</color>     下级：开始时，额外获得<color=#6495ED>150玛格</color>	流离荒岛提升至1级后解锁	
87	30005	3	1002024	96102	700	[1]	['150']	3	5	初始玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	当前：开始时，额外获得<color=#6495ED>150玛格</color>     下级：开始时，额外获得<color=#6495ED>200玛格</color>	流离荒岛提升至1级后解锁	
88	30005	4	1002024	96102	1000	[1]	['200']	3	5	初始玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	当前：开始时，额外获得<color=#6495ED>200玛格</color>     下级：开始时，额外获得<color=#6495ED>300玛格</color>	流离荒岛提升至1级后解锁	
89	30005	5	1002024			[1]	['300']	3	5	初始玛格	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	当前：开始时，额外获得<color=#6495ED>300玛格</color>	流离荒岛提升至1级后解锁	
90	30006		1002025	96102	50			3	6	招募刷新	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillbeidong05.png	（未激活）每一场故事中，招募<color=#6495ED>刷新次数+1</color>	荒芜地界提升至1级后解锁	
91	30006	1	1002025	96102	100	[11]	['1']	3	6	招募刷新	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillbeidong05.png	当前：每一场故事中，招募<color=#6495ED>刷新次数+1</color>     下级：每一场故事中，招募<color=#6495ED>刷新次数+2</color>	荒芜地界提升至1级后解锁	
92	30006	2	1002025	96102	200	[11]	['2']	3	6	招募刷新	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillbeidong05.png	当前：每一场故事中，招募<color=#6495ED>刷新次数+2</color>     下级：每一场故事中，招募<color=#6495ED>刷新次数+3</color>	荒芜地界提升至1级后解锁	
93	30006	3	1002025	96102	400	[11]	['3']	3	6	招募刷新	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillbeidong05.png	当前：每一场故事中，招募<color=#6495ED>刷新次数+3</color>     下级：每一场故事中，招募<color=#6495ED>刷新次数+4</color>	荒芜地界提升至1级后解锁	
94	30006	4	1002025	96102	700	[11]	['4']	3	6	招募刷新	Assets/Product/Texture/Image/IconPetSkill/Pet3MaoSkillbeidong05.png	当前：每一场故事中，招募<color=#6495ED>刷新次数+4</color>     下级：每一场故事中，招募<color=#6495ED>刷新次数+5</color>	荒芜地界提升至1级后解锁	
