Id	SuitName	IsIgnoreWhenCreate	IsIgnoreWhenRemodule	IgnoreRecovery	SuitIcon	SuitBigIcon	ShowTimeStr
62	决胜时刻				Assets/Product/Texture/Image/UiDormTab/UiDormTab62.png		
63	合金舱室				Assets/Product/Texture/Image/UiDormTab/UiDormTab64.png		
64	樱果物语				Assets/Product/Texture/Image/UiDormTab/UiDormTab65.png		
65	椰岛部落				Assets/Product/Texture/Image/UiDormTab/UiDormTab66.png		
66	寐夜喧嚣				Assets/Product/Texture/Image/UiDormTab/UiDormTab67.png		
67	简光映影				Assets/Product/Texture/Image/UiDormTab/UiDormTab68.png		
68	昼间之花				Assets/Product/Texture/Image/UiDormTab/UiDormTab69.png		
69	罪契誓约				Assets/Product/Texture/Image/UiDormTab/UiDormTab71.png		
70	深藤绿蟒				Assets/Product/Texture/Image/UiDormTab/UiDormTab70.png		
71	阿鸭的趣妙日常	1	True	True	Assets/Product/Texture/Image/UiDormTab/UiDormTab72.png		
72	辉庭穹栖				Assets/Product/Texture/Image/UiDormTab/UiDormTab73.png		
73	燎鳞龙厅				Assets/Product/Texture/Image/UiDormTab/UiDormTab74.png		
74	塑料英豪传				Assets/Product/Texture/Image/UiDormTab/UiDormTab75.png		
75	机房珍品				Assets/Product/Texture/Image/UiDormTab/UiDormTab76.png		
76	溯光蜕生				Assets/Product/Texture/Image/UiDormTab/UiDormTab77.png		
77	茶语长厅				Assets/Product/Texture/Image/UiDormTab/UiDormTab78.png		
78	金砂内殿				Assets/Product/Texture/Image/UiDormTab/UiDormTab79.png		
79	荣耀角斗				Assets/Product/Texture/Image/UiDormTab/UiDormTab80.png		
80	圣夜长冀				Assets/Product/Texture/Image/UiDormTab/UiDormTab81.png		
81	熊果绒居				Assets/Product/Texture/Image/UiDormTab/UiDormTab82.png		
82	幕前余暇				Assets/Product/Texture/Image/UiDormTab/UiDormTab83.png		
83	春笙万物				Assets/Product/Texture/Image/UiDormTab/UiDormTab84.png		
84	蓝月梦潮				Assets/Product/Texture/Image/UiDormTab/UiDormTab84.png		
99	其他	1			Assets/Product/Texture/Image/UiDormTab/UiDormTab10.png		
