Id	Icon	Name	Desc	FashionDesc	Type	BuffIds	DescParam	DescParamIndex
1206	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	特派员宣传	{0}回合内，会有更多顾客前往首席推荐的店铺	新潮流：顾客对朵莉烘焙的原料顺序喜好小幅改变		[312061, 400021]	[312061]	[0]
1207	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	成长基金	{0}回合内，每回合获得{1}公共储金	新潮流：顾客对朵莉烘焙价格的喜好改变		[312071, 400031]	[312071, 312071]	[0, 2]
1301	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	短期投资	{0}回合后，获得{1}公共储金	新潮流：顾客对随机一个店铺的喜好完全改变		[313011, 400071]	[313011, 313011]	[1, 2]
1302	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	网红带货	{0}回合内，客流量{1}	新潮流：顾客对所有店铺的喜好都会改变		[313021, 400081]	[313021, 313021]	[0, 1]
1303	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	环大西洋文化热	{0}回合内，海洋之心旗舰利润{1}	新潮流：顾客对梵希食品的喜好全部改变		[313031, 400091]	[313031, 313031]	[0, 1]
1304	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	共同体注资	立刻获得{0}公共储金	新潮流：顾客对茵泰百货随机一个商品的价格喜好改变		[313041, 400051]	[313041]	[1]
1305	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	食品短期宣传	{0}回合内，前往梵希食品的客人{1}	新潮流：顾客对梵希食品所有配料分量的喜好改变		[313051, 400051]	[313051, 313051]	[0, 1]
1306	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	百货短期宣传	{0}回合内，前往茵泰百货的客人{1}	新潮流：顾客对茵泰百货随机两个商品的喜好改变		[313061, 400061]	[313051, 313051]	[0, 1]
1307	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	甜品短期宣传	{0}回合内，前往朵莉烘焙的客人{1}	新潮流：顾客对朵莉烘焙的原料顺序喜好小幅改变		[313071, 400021]	[313051, 313051]	[0, 1]
1401	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	食品长期宣传	{0}回合内，前往梵希食品的客人{1}	新潮流：顾客对梵希食品所有配料分量的喜好改变		[314011, 400051]	[314011, 314011]	[0, 1]
1402	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	百货长期宣传	{0}回合内，前往茵泰百货的客人{1}	新潮流：顾客对茵泰百货随机一个商品的价格喜好改变		[314021, 400111]	[314021, 314021]	[0, 1]
1403	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	甜品长期宣传	{0}回合内，前往朵莉烘焙的客人{1}	新潮流：顾客对朵莉烘焙的原料顺序喜好大幅改变		[314031, 400011]	[314031, 314031]	[0, 1]
1404	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	食品短期投资	{0}回合内，每回合开始时，梵希食品的利润{1}，效果结束时清空加成	新潮流：顾客对梵希食品所有配料分量的喜好改变		[314041, 314042, 314043, 400051]	[314041, 314042]	[0, 1]
1405	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	百货短期投资	{0}回合内，每回合开始时，茵泰百货的利润{1}，效果结束时清空加成	新潮流：顾客对茵泰百货随机两个商品的喜好改变		[314051, 314052, 314053, 400061]	[314051, 314052]	[0, 1]
1406	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	甜品短期投资	{0}回合内，每回合开始时，朵莉烘焙的利润{1}，效果结束时清空加成	新潮流：顾客对朵莉烘焙的原料顺序喜好大幅改变		[314061, 314062, 314063, 400011]	[314061, 314062]	[0, 1]
1407	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	外圈宣传	{0}回合内，前往外圈店铺的客人{1}	新潮流：顾客对随机一个店铺的喜好完全改变		[314071, 400071]	[314071, 314071]	[0, 1]
2101	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	烤鸭特卖	{0}回合内，梵希食品的利润{1}			[321011]	[321011, 321011]	[0, 1]
2102	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	九龙服饰特卖	{0}回合内，茵泰百货的利润{1}			[321021]	[321021, 321021]	[0, 1]
2103	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	糕点特卖	{0}回合内，朵莉烘焙的利润{1}			[321031]	[321031, 321031]	[0, 1]
2104	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	九龙文化热	{0}回合内，九龙商会的利润{1}			[321041]	[321041, 321041]	[0, 1]
2105	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	九龙长期基金	{0}回合内，每回合获得{1}公共储金			[321051]	[321051, 321052]	[0, 1]
2106	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	全场促销	{0}回合内，获得{1}客流量			[321061]	[321061, 321061]	[0, 1]
2107	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceJL.png	工程部队支援	{0}回合内圈店铺建造消耗{1}			[321071]	[321071, 321071]	[0, 1]
2201	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	阿迪莱风潮	{0}回合内，前往阿迪莱商会的客人{1}			[322011]	[322011, 322011]	[0, 1]
2202	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	技师工会顾问	本回合内圈店铺升级消耗{0}			[322021]	[322021]	[1]
2203	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	特派员驻场	{0}回合内，前往首席推荐的外圈店铺的顾客{1}			[322031]	[322031, 322031]	[0, 1]
2204	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	阿迪莱长期基金	{0}回合内，每回合获得{1}公共储金			[322041]	[322041, 322042]	[0, 1]
2205	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	烤肉特卖	{0}回合内，梵希食品的利润{1}			[322051]	[322051, 322051]	[0, 1]
2206	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	骆驼玩偶特卖	{0}回合内，茵泰百货的利润{1}			[322061]	[322061, 322061]	[0, 1]
2207	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	椰枣特卖	{0}回合内，朵莉烘焙的利润{1}			[322071]	[322071, 322071]	[0, 1]
2301	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	仿生机械展览	{0}回合内，客流量{1}			[323011]	[323011, 323011]	[0, 1]
2302	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	大扫除	立刻获得{0}氛围值			[323021]	[323021]	[1]
2303	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceHYZX.png	委员会基金	立刻获得{0}公共储金			[323031]	[323031]	[1]
2304	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	汉堡特卖	{0}回合内，前往梵希食品的客人{1}			[323041]	[323041, 323041]	[0, 1]
2305	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	化妆品特卖	{0}回合内，前往茵泰百货的客人{1}			[323051]	[323051, 323051]	[0, 1]
2306	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	马卡龙特卖	{0}回合内，前往朵莉烘焙的客人{1}			[323061]	[323061, 323061]	[0, 1]
2307	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceALD.png	长期投资	{0}回合后，获得{1}公共储金			[323071]	[323071, 323071]	[1, 2]
2401	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	绿化检查	{0}回合内，每回合获得{1}氛围值			[324011, 324012]	[324011, 324012]	[0, 1]
2402	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	店内演出	{0}回合内，经营阶段出现顾客打赏的次数{1}			[324021]	[324021, 324021]	[0, 1]
2403	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	食品长期投资	{0}回合内，每回合开始时，梵希食品的利润{1}，效果结束时清空加成			[324031, 324032, 324033]	[324031, 324032]	[0, 1]
2404	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	百货长期投资	{0}回合内，每回合开始时，茵泰百货的利润{1}，效果结束时清空加成			[324041, 324042, 324043]	[324041, 324042]	[0, 1]
2405	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	甜品长期投资	{0}回合内，每回合开始时，朵莉烘焙的利润{1}，效果结束时清空加成			[324051, 324052, 324053]	[324051, 324052]	[0, 1]
2406	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	冰雕展览	{0}回合内，客流量{1}			[324061]	[324061, 324061]	[0, 1]
2407	Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/FouceIcon/UiSkyGardenShoppingStreetInsideBuildShopForceXS.png	外圈无人机表演	{0}回合内，前往外圈店铺的客人{1}			[324071]	[324071, 324071]	[0, 1]
