Id	FeedbackType	Desc	Desc2	IconGroupId	DiffScope	StarType	Star	IsFull	GoodsId
72	10205	['{0}里卖的超柔毛绒玩具简直像在抢劫，但<color=#FFA82B>价格太吓人</color>！']		1	4	10208	1		6
73	10301	['我最喜欢的蛋糕就是{0}里的蛋糕，造型和价格都很合适！', '{0}的蛋糕造型完全是大师之作，但价格却很亲民，太棒了！']		1		10301	5	True	
74	10302	['{0}的蛋糕在造型设计水平上实在是一流！', '{0}卖的蛋糕造型审美很不错！']		1		10302	5	True	
75	10303	['{0}的造型有些欠缺，<color=#FFA82B>绿色清新</color>的部分有点靠<color=#FFA82B>{2}</color>了。']		1	1	10303	3		1
76	10303	['{0}的造型很失败，<color=#FFA82B>绿色清新</color>的部分位置不对，太靠<color=#FFA82B>{2}</color>了！']		1	2	10303	1		1
77	10303	['{0}的造型有些欠缺，<color=#FFA82B>酸甜可口</color>的部分有点靠<color=#FFA82B>{2}</color>了。']		1	1	10304	3		2
78	10303	['{0}的造型很失败，<color=#FFA82B>酸甜可口</color>的部分位置不对，太靠<color=#FFA82B>{2}</color>了！']		1	2	10304	1		2
79	10303	['{0}的造型有些欠缺，<color=#FFA82B>浓郁奶香</color>的部分有点靠<color=#FFA82B>{2}</color>了。']		1	1	10305	3		3
80	10303	['{0}的造型很失败，<color=#FFA82B>浓郁奶香</color>的部分位置不对，太靠<color=#FFA82B>{2}</color>了！']		1	2	10305	1		3
81	10303	['{0}的造型有些欠缺，<color=#FFA82B>深色浓郁</color>的部分有点靠<color=#FFA82B>{2}</color>了。']		1	1	10306	3		4
82	10303	['{0}的造型很失败，<color=#FFA82B>深色浓郁</color>的部分位置不对，太靠<color=#FFA82B>{2}</color>了！']		1	2	10306	1		4
83	10304	['{0}的蛋糕<color=#FFA82B>价格</color>比我想的稍微<color=#FFA82B>低一点</color>，买了！']		1	1	10307	5	True	
84	10304	['{0}的蛋糕<color=#FFA82B>非常便宜</color>，这价格我每天必买！']		1	2	10307	5	True	
85	10304	['听说过{0}的蛋糕便宜，但这也<color=#FFA82B>过于便宜</color>了，可能都不够成本！']		1	4	10307	5	True	
86	10305	['{0}的蛋糕<color=#FFA82B>价格刚刚好</color>，非常公道！']		1		10307	5	True	
87	10306	['{0}的蛋糕比我预算稍微<color=#FFA82B>贵一点</color>，咬咬牙也就买了。']		1	1	10307	4		
88	10306	['{0}的蛋糕比我预算<color=#FFA82B>贵了很多</color>，吃一次甚至感觉有点奢侈。']		1	2	10307	3		
89	10306	['我想问问{0}，你们蛋糕是黄金做的吗，<color=#FFA82B>贵到超乎想象</color>！']		1	4	10307	1		
