Id	Desc	Icon	OptionDescs	OptionBuffs	SpOptionBuffs
1303	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['薯条没有番茄酱。', '非常抱歉给您造成不好的用餐体验。本店的番茄酱需要另外购买。']	[500081, 500091]	[501081, 501091]
1304	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['第一次好吃，第二次就不好吃了，有点咸。', '护肤霜是不能吃的。']	[500071, 500011]	[501071, 501011]
1305	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['这家店的护肤品都好贵。', '尊敬的顾客，价格在下单前就能看到，请不要下单成功后再给差评。']	[500011, 500061]	[501011, 501061]
1306	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['仿生鲸M9型在头角的设计上完全背离了仿生鲸M7型的原设，你们究竟懂不懂仿生鲸真正的魅力？', '本店已将您的意见如实反馈给设计部门，感谢您对仿生鲸系列产品的喜爱。']	[500021, 500051]	[501021, 501051]
1307	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['这家店卖的VR设备强制退出功能有问题！我被卡在恐怖游戏里呆了三个小时，天呐，谁懂？', '已联系维修人员进行上门服务，非常抱歉给您造成不好的消费体验！']	[500031, 500041]	[501031, 501041]
1308	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['你们家店卖的至尊超级堡跟水杯一样高，把我下巴都干脱臼了！', '这位顾客，非常抱歉，本店至尊超级堡的卖点就是它独一无二的高度，用餐时请分层食用。']	[500071, 500011]	[501071, 501011]
1309	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['我买了一堆乱七八糟的化妆品，就是为了拼单买这个仿生鲸模型，结果买错了型号，很郁闷，给个差评老板理解一下。', '无法理解。']	[500091, 500081]	[501091, 501081]
1310	海洋之心旗舰突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopHYZX01.png	['我订购了十副后印象派全息画作，结果里面混着两幅象征抽象派的，你们卖画的是不懂画吗？', '非常抱歉给您造成了不好的体验，经查，是本店的分装机械对画作流派定义产生了歧义，已向您申请退单处理。']	[500011, 500061]	[501011, 501061]
1401	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['冰淇凌送来都凉了，这怎么吃我想问问了呢？', '？']	[500041, 500031]	[501041, 501031]
1402	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['买了几瓶特调饮品，结果没送开瓶器。', '非常抱歉，除非是备注需要，本店不附赠开瓶器。']	[500051, 500021]	[501051, 501021]
1403	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['都说了要热饮要热饮，听不懂人话吗？', '都说了本店只有冷饮只有冷饮。']	[500091, 500081]	[501091, 501081]
1404	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['我买了44号的极地登山靴，但穿不进去。', '本店商品都是严格按照空中花园市场标准生产的，如有退换需求请走正常售后渠道，烦请不要贸然差评。']	[500061, 500011]	[501061, 501011]
1405	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['《逃离基亚兰塔》这种老游戏盘你们还卖那么贵？真有人买啊？笑死。', '本店不负责游戏定价，价格相关差评请移步游戏发行商。']	[500061, 500011]	[501061, 501011]
1406	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['果茶给的管太大了，捅不进杯子！', '顾客您好，小管吸不上来果肉，大管要插在中间。']	[500051, 500021]	[501051, 501021]
1407	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['买了两袋生鲜，结果一点都不新鲜，放两天都臭了。', '生鲜要是放两天不臭，您敢吃吗？']	[500041, 500031]	[501041, 501031]
1408	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['第一次吃到这么苦的巧克力，这么苦怎么连备注说明都没有？', '您购买的黑巧克力款式奥焦雷97.7%，很苦是正常的。']	[500091, 500081]	[501091, 501081]
1409	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['我在这买了一根大列巴，跟朋友的法棍决斗，大列巴被干碎了，我人也被干住院了。', '顾客您好，请不要用本店的食品参与斗殴。']	[500011, 500061]	[501011, 501061]
1410	雪松商店突发事件	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenShoppingStreet/Storefeedback/Outside/UiSkyGardenShoppingStreetOutsideShopXS01.png	['在你们这买的套娃，结果只有一个大娃娃，小娃娃呢？给我气笑了。', '顾客您好，本店的套娃是拆分出售的，想要购买全套的话请购买套娃套装。']	[500081, 500091]	[501081, 501091]
