Key	Note	Params
EventTurnNumberDesc	事件季度数描述	['限时：需要%d季度内完成']
BuildingGoldNotEnough	建造建筑金贝不足提示	['金贝不足']
StoryLockText	故事未解锁	['暂未解锁']
TechLevelUnlockTips	科技树等级不足的提示	['需要主城达到等级%s解锁！']
TechPreLevelUnlockTips	科技树关键科技需要先激活的提示	['需要先激活左侧的关键科技!']
TechPreUnlockTips	科技树前置科技需要先激活的提示	['请先点亮前置科技！']
TechGoldUnlockTips	科技树金贝不足提示	['金贝不够升级！']
TechLevelNextUnlockTips	科技树关键科技下次解锁提示	['剩余科技将在主城Lv.%s再次解锁']
TechCanUnlockTips	可解锁提示	['可解锁：%s/%s']
TechSelectFull	关键科技已选满	['当前选择已达到最大数量！']
TechActivePreLevelTechTips	关键科技前面未激活	['请先激活前面的关键科技！']
TechNoSelectFullTips	关键科技未选满科技	['请从中选择%s个科技！']
RoundStartSellHistogramColor	直方图颜色	['DBCBA0', '74CABD']
RoundStartSellPriceColor	利润颜色	['FFA600', 'FF0015']
RoundStarProduceColor	产出颜色	['0F70BC', 'FF0015']
SettlementDataContent	结算数据文本	['获得金贝', '主城等级', '建造建筑', '城邦总星级', '事件与秘藏', '购买区域']
ActivityEntryProgressTips	活动入口进度提示	['进度:%s/%s', '%s挑战中:%s/%s季度']
HandbookProgress	图鉴界面解锁进度文本	['%s<color=#FFFFFF>/%s</color>']
AreaUnlockTips	点击未解锁区域的提示	['主城提升到%s级时解锁区域！']
GridUnlockTips	点击未解锁格子的提示	['请先探索连通!']
CameraPanelDragSizeOffset	相机拖拽区域大小偏移，参数1是宽度，参数2是高度	['-6', '-2']
CameraDistance	摄像机距离地面距离，距离越远，看到的格子数量越多	['14']
CameraDistanceRange	摄像机距离地面距离范围，参数1为最小值，参数2为最大值，参数3为加减号按钮一次变化的值，参数4为鼠标滚轮滑动的倍数	['10', '25', '2.5', '10']
CameraRotationX	摄像机X方向上的旋转	['45']
CityExploredEffect	城邦解锁特效	['Assets/Product/Effect/Prefab/FxSceneEffect/FxSceneRougePrefab/FxRogueSimBuildingLevelUp.prefab']
BuildingEffect	建筑建造成功特效	['Assets/Product/Effect/Prefab/FxSceneEffect/FxSceneRougePrefab/FxRogueSimBuildingFog.prefab']
MainLevelUpEffect	主城升级特效	['Assets/Product/Effect/Prefab/FxSceneEffect/FxSceneRougePrefab/FxRogueSimBuildingLevelUp.prefab']
GridCanExploreEffect	格子可探索特效	['Assets/Product/Effect/Prefab/FxSceneEffect/FxSceneRougePrefab/FxRogueSimGridTip.prefab']
StageMaxScoreEmpty	关卡无最高分数	['暂未通关']
StageMaxScore	关卡最高分数	['最高分数 %s']
MainLevelUpExpAnimTime	主城升级经验增加动画时长	['0.5']
RoundSettlementConfirmTitle	季度结束确认标题	['提示', '提示', '季度结束']
RoundSettlementConfirmContent	季度结束确认描述	['当前还有尚未完成的探索节点，是否确认结束回合？', '%s本季度的生产量大于剩余仓库容量，确定要结束本季度吗？', '还有区域可以购买，是否确认结束当前季度？']
RoundSettlementExceedLimitTips	超出储存上限提示	['%s库存已达上限，无法继续生产']
AllTargetCompleteTips	游戏内所有目标完成的提示	['已完成所有目标']
Lv	科技树主城等级显示	['Lv.%s']
PropBuffCumulativeMarkupTip	buff累计加成提示信息	['(已加成%d%%)', '(已加成%d)', '已生效', '未生效']
CityTaskSuccessContent	城邦任务完成描述	['%s 任务已完成，完成全部任务后可前往城邦升级']
CityTaskSuccessAnimTime	任务完成动画时长	['0.5']
ShopRedPointCoinNumber	商店蓝点代币阈值	['150']
ShopRedPointTimerId	商店蓝点的显示时间	['33701']
ExploreFail	探索完成未下发奖励	['未知错误，探索失败！']
CameraMoveSpeed	镜头移动的速度	['30']
CameraMoveMaxTime	镜头移动的最大时间(秒)	['0.6']
CameraMoveSpeedOverlook	区域解锁，镜头远眺情况下，移动的速度	['30']
CameraMoveMaxTimeOverlook	区域解锁，镜头远眺情况下，移动的最大时间(秒)	['0.5']
CameraFocusGridOffsetXWan	聚焦格子在X方向的偏移(数值乘10000配置)，格子往屏幕中心点左边偏移是负数，右边是正数	['-4000']
ActivityNotOpenTip	活动未开启提示	['不在活动时间内']
PopupBuildIcon	建筑弹框图片	['Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimBuild.png']
PopupBuildTitle	建筑弹框标题	['区 域 建 造']
PopupBuildTips	建筑弹框提示	['消耗图纸与金贝可在当前区域进行建造']
MainEffectProduce	主城升级展示效果	['生产力', 'Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimProduceIcon01.png']
MainEffectArea	主城升级展示效果	['可购岛屿', 'Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimPurchaseArea.png']
MainEffectBuild	主城升级展示效果	['建造区域', 'Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimProduceConstruction.png']
PopulationTextColor	生产力文本颜色	['0F70BC', 'FF0015']
RoundEndRemainPopulationTips	回合结束尚余生产力提示	['还有生产力未分配完']
RoundEndPopulationOverFlowTips	回合结束生产力溢出提示	['生产力分配超出上限，请重新进行分配！']
RoundEndMainCanLevelUpTips	回合结束主城可升级提示	['主城可升级，请前往待办事项处理！']
RoundEndPendingEventTips	回合结束代办事件提示	['待办事项中有事件尚未处理！']
RoundEndEventGambleRewardTips	回合结束事件投机提示	['投资奖励尚未领取，请前往待办事项处理！']
RoundEndCityCanLevelUpTips	回合结束城邦可升级提示	['城邦可升级，请通过城邦委托前往处理！']
BuildingBluePrintNotSelectTips	自建建筑未选择提示	['请选择建筑']
AutoSellNoProfitTips	自动出售没有利润提示	['请设置出售数量']
CityLevelCanLevelUpTips	城邦不可升级提示	['城邦未购买', '已达最高等级', '城邦任务未完成']
TemporaryBagRewardDropIcon	临时背包奖励掉落图标	['Assets/Product/Texture/Image/IconTools/IconRogueSimTwo08.png']
TemporaryBagRewardTips	临时背包奖励提示	['临时背包为空', '%s仓库已满']
NoCityTip	没有城邦提示	['暂未购买城邦']
NewsShowTime	传闻显示时长（单位：毫秒）	['10000']
GambleLoading	配置loading文本	['正在检查收益。。。']
GambleResultWin	倍率＞10000时的文本	['市场大涨']
GambleResultLose	倍率＜10000时的文本	['市场大降']
GambleImgWin	上涨时的配图	['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimIconZy13.png']
GambleDescWin	上涨时的文本	['市场大涨']
GambleImgLose	下跌时的配图	['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimIconZy14.png']
GambleDescLose	下跌时的文本	['市场大降']
GambleGainTips	收益比例	['投资收益{0}%']
GambleEventOptionsCost	赌博事件选项消耗	['{0}({1}%当前货币)']
GambleNotReady		['事件投机未到回合数']
GridChangeAnim	格子变化的动画。参数1|3|5...是高度，参数2|4|6...是时间	['-0.2', '0.2', '0.6', '0.6', '0', '0.4']
GridChangeTimeInterval	格子错开播放动画时间	['0.2']
BuildingQualityIcon	建筑品质图标	['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimIconJzbb01.png', 'Assets/Product/Texture/Image/UiRogueSim/UiRogueSimIconJzbb02.png', 'Assets/Product/Texture/Image/UiRogueSim/UiRogueSimIconJzbb03.png']
ResourceNotEnoughTip	资源不够提示	['%s不足']
BattleEarlySettlementTitle	提前结算标题	['提示', '提示']
BattleEarlySettlementContent	提前结算内容	['当前挑战目标已全部达成，是否提前进行关卡结算', '是否放弃游戏并进入结算']
BattleEarlySettlementBtnName	提前结算按钮文本	['提前结算', '放弃游戏']
StageStarConditionTips	关卡三星条件提示	['三星条件未完成']
CommodityAttributeType	货物属性类型	['1002', '1003', '1005', '1006', '2003', '2005', '2006']
CommodityAttributeScore	货物属性评分	['100', '10', '5', '1.5', '10', '5', '1.5']
CommodityFluctuationScore	货物波动评分	['10']
CommodityScoreInterval1	货物评分区间	['-1000', '0', '00C314']
CommodityScoreInterval2	货物评分区间	['0', '1000', '808080']
CommodityScoreInterval3	货物评分区间	['1000', '-1', 'FF0000']
AreaDefaultIcon	导航功能里区域默认图标	['Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimBuild.png']
DelayOpenNextTipsTime	延迟打开进入下一季度的提示时间，配置单位为毫秒	['1500']
RollingNumberTime	滚动数字时长（ms）	['500']
LandBubbleCommonBgIcon	界面左侧弹框通用背景图标	['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimTu.png']
TemporaryBagParticleInterval1	临时背包粒子区间（货物1）	['0|10|1', '10|50|5', '50|100|8', '100|200|12', '200|300|15', '300|400|20', '400|500|25', '500|-1|30']
TemporaryBagParticleInterval2	临时背包粒子区间（货物2）	['0|25|1', '25|100|8', '100|250|12', '250|400|20', '400|600|25', '600|-1|30']
TemporaryBagParticleInterval3	临时背包粒子区间（货物3）	['0|2|1', '2|30|4', '30|50|8', '50|80|10', '80|150|15', '150|200|18', '200|300|25', '300|-1|30']
TemporaryBagParticleTotalLimit	临时背包粒子总上限	['100']
TemporaryBagParticleDuration	临时背包粒子时长（ms）	['2500']
LandformIdsCommodity1	货物1对应的地貌Id列表	['3341', '3342', '3343']
LandformIdsCommodity2	货物2对应的地貌Id列表	['3351', '3352', '3353']
LandformIdsCommodity3	货物3对应的地貌Id列表	['3361', '3362', '3363']
CommodityFullTitle	货物已满标题	['提示']
CommodityFullContent	货物已满内容	['%s仓库已满，是否继续探索。']
