Id	Desc	IsQualityColor
154	装备角色造成伤害时将对自身范围5米内造成自身攻击力*{0}的伤害，由范围内所有的敌人平均分摊，冷却8秒。	
155	蓝色位置角色装备后释放必杀后将切换BGM，BGM播放时场上角色回球速度提升{0}，持续20秒。	
156	红色位置角色装备后释放必杀技时将切换BGM，BGM播放20秒，播放时间内所有角色每秒回复{0}生命值。	
157	黄色位置角色装备后释放必杀技时将切换BGM，BGM播放20秒，播放时间内场上角色伤害提升{0}。	
158	敌人死亡时将对周围所有其他敌人造成{0}点伤害。	
159	杀死敌人后将提升在场角色{0}点攻击力与{1}生命值上限。	
160	每次对敌人造成物理伤害会附加装备角色攻击力*{0}%({3}力量)的伤害	
161	装备角色暴击率提升{0}%(力量{3})	
162	装备角色对周围所有单位持续造成自身生命值上限*{0}的伤害，每2秒触发一次	
163	装备角色每秒回复已损失生命值{0}的生命值。	
164	受到伤害时返还伤害的{0}%(御能{3})向攻击者	
165	受到伤害时有{0}%(御能{3})的概率免疫本次伤害，没有受到伤害时基础概率每秒提升1%	
166	对敌人造成元素伤害时有30%概率额外追加自身攻击力{0}%(专注{3})的伤害	
167	装备角色生命低于33%时，额外伤害增加{0}。	
168	装备角色生命高于33%，每秒减少{0}生命；生命低于33%，受伤减少{1}。	
169	装备角色生命低于33%时，生成一个{0}生命值的护盾，每场战斗生效1次。	
170	装备角色生命高于80%，全额外伤害加成提升{0}。受到敌人伤害后进入10秒冷却。	
171	装备角色生命高于80%时，获得能够抵御{0}次攻击伤害的盾，每{1}秒恢复一次。	
172	装备角色生命低于80%时，每秒回复{0}生命值。	
173	装备角色生命上限增加{0}。	
174	装备角色攻击力增加{0}。	
175	装备角色火属性伤害增加{0}。	
176	装备角色冰属性伤害增加{0}。	
177	装备角色暗属性伤害增加{0}。	
178	装备角色雷属性伤害增加{0}。	
179	装备角色物理伤害增加{0}。	
180	切人冷却时间减少{0}s。	
181	装备角色闪避槽上限增加{0}。	
182	<color=#0d70bd>聚融所专属</color>，无法通过掉落获取，没有特别效果!!!	
183	装备角色每秒回复已损失生命值{0}的生命值	
184	装备角色入场时获得{0}点必杀能量。	
185	装备角色入场获得{0}个蓝色信号球以及随后每隔{1}秒获得{2}个蓝色信号球。	
186	装备角色入场获得{0}个黄色信号球以及随后每隔{1}秒获得{2}个黄色信号球。	
187	装备角色入场获得{0}个红色信号球以及随后每隔{1}秒获得{2}个红色信号球。	
188	装备角色血量高于66%时造成伤害增加{0}，血量低于50%时治疗量增加{1}。	
189	装备角色每次受到攻击会获得自身生命值{0}的护盾，持续10秒，可叠加3层。	
190	装备角色每次受到治疗时，不超过上限的治疗值将会对全场所有敌人造成治疗值*{0}的伤害。	
191	装备角色第一次登场时造成伤害提升{0}，持续8秒，每场战斗只生效一次。	
192	装备角色必杀技伤害变为原本伤害的{0}倍，必杀造成伤害后20秒后角色死亡。	
193	装备角色除必杀之外的伤害变为原本伤害的{0}倍，造成伤害20秒后角色死亡。	
194	队伍中所有角色击败怪物时有{0}的几率会在角色附近创建黑洞牵引敌人。	
195	队伍中所有角色击败怪物时会在原地留下能量球，触碰后拾取会增加角色伤害提升{0}，可叠加3层。	
196	队伍中所有角色击败怪物时会在周围召唤一个光棱塔，自动对周围敌人攻击，光棱塔最大数量为{0}，每次攻击造成{1}点真实伤害，持续存在30秒。	
197	队伍中所有角色击败怪物时使当前角色必杀造成的伤害提升{0}，可叠加8层，释放必杀后清空。	
198	装备角色在场时伤害逐渐增加{0}，最高{1}，受到敌人攻击时清空。	
199	装备角色释放必杀激活QTE，在必杀期间使用了对应QTE会导致对应角色死亡同时本次必杀伤害提升{0}。	
200	装备角色在队伍中每少一个角色提升{0}伤害。	
201	装备角色红球蓝球黄球会发出不同的声音，连续2次消除会根据球色组合成不同效果 同色：提升角色伤害{0}，持续8秒；异色：治疗角色{1}攻击力的生命值。	
202	装备角色的攻击消球必杀键禁用，距离角色5米内的敌人每秒受到{0}点伤害，5米外的受到{1}点。	
203	装备角色的攻击消球必杀键禁用，距离角色{0}米内的敌人每秒受到{1}点伤害，{2}米外的受到点{3}。	
204	装备角色伤害降低99%，但每次造成伤害有{1}概率直接消灭怪物（90层跃升层中不生效）	
205	普攻-残光剑影造成伤害时会恢复{0}点残光值。	
206	装备角色免疫投技	
207	装备角色血量发生变化后伤害提升{0}，可叠加3层，持续8秒。	
208	装备角色血量高于66%时每秒受到{0}点伤害，血量低于33%时每秒治疗{1}点生命值。	
209	装备角色每次登场时伤害提升{0}，可叠加5层，持续10秒。	
210	装备角色QTE提升当前在场角色伤害{0}，持续8秒，可叠加2层。	
211	QTE冷却时间缩减{0}秒。	
212	装备角色使用闪避后的5秒内造成伤害提高{0}，受到伤害提升{1}。	
213	装备角色闪避值上限降低{0}，每次闪避后获得2秒无敌时间。	
214	装备角色造成伤害时会提升{0}额外伤害，可叠加5层，重复触发不会刷新。	
215	装备角色对敌人造成伤害将点燃敌人，使其在接下来5秒内每秒受到{0}伤害，可叠加5层。	
216	装备角色对无霸体条的敌人造成伤害提升{0}。	
217	装备角色对敌人造成伤害时额外削减{0}点霸体值。	
218	装备角色造成物理伤害时有{0}概率使其进入持续受伤状态，每秒受到角色攻击力{1}的物理伤害，持续5秒，无法叠加，持续5秒，每受到一次非物理伤害会提升{2}效果，最大{3}。	
219	装备角色造成火属性伤害时有{0}概率使其进入持续受伤状态，每秒受到角色攻击力{1}的火属性伤害，持续5秒，无法叠加，持续5秒，每受到一次非火属性伤害会提升{2}效果，最大{3}。	
220	装备角色造成冰属性伤害时有{0}概率使其进入持续受伤状态，每秒受到角色攻击力{1}的冰属性伤害，持续5秒，无法叠加，持续5秒，每受到一次非冰属性伤害会提升{2}效果，最大{3}。	
221	装备角色造成暗属性伤害时有{0}概率使其进入持续受伤状态，每秒受到角色攻击力{1}的暗属性伤害，持续5秒，无法叠加，持续5秒，每受到一次非暗属性伤害会提升{2}效果，最大{3}。	
222	装备角色造成雷属性伤害时有{0}概率使其进入持续受伤状态，每秒受到角色攻击力{1}的雷属性伤害，持续5秒，无法叠加，持续5秒，每受到一次非雷属性伤害会提升{2}效果，最大{3}。	
223	装备角色常驻霸体	
224	装备角色减伤固定为{0}	
225	核心-纯色·主题强调吸引敌人并染色；核心-混色·概念碰撞会引爆范围内被染色敌人，造成攻击力{0}的冰属性伤害。	
226	必杀-即兴作品持续染色范围内单位，每秒造成攻击力{0}的冰属性伤害。	
227	释放必杀-点墨成绘后，获得{0}组同色信号球；在接下来的{1}秒内，万华三消时恢复一组随机三消信号球。	
228	在必杀-作画领域中，每次消球提升核心-幻彩笔触及必杀-点墨成绘基础伤害279%，最多叠加5层。	
229	在必杀-作画领域中三消时，会获得两份备用颜料。	
230	释放必杀-点墨成绘后，万华获得60点必杀能量。	
231	每次释放核心-超束鸣闪时，额外造成护盾值{0}的雷属性伤害。	
232	每次释放核心-超束鸣闪时，有{0}的概率获得一枚信号球。	
233	护盾叠加上限提升{0}，护盾持续时间延长{1}秒，入场立即获得一组信号球	
234	必杀-撕裂夜幕的弧闪命中时，使敌人血量每秒流失森息攻击力的{0}的血量，持续{1}秒，流血状态的敌人受到伤害时，刷新流血状态持续时间。	
235	释放必杀-撕裂夜幕的弧闪时，获得{0}个同色信号球。	
236	每次释放核心-完美追击时，超束值获取效率提升{0}，并额外回复{1}点必杀能量值。	
237	释放核心-灵动射术时，额外释放箭雨，对目标及其周围单位造成{0}的物理伤害。	
238	释放核心-灵动射术时，额外释放箭雨，对目标及其周围单位造成{0}的物理伤害，并触发未冷却的QTE，并额外恢复15点必杀能量和20点威光值	
239	回音每秒额外恢复{0}点闪避值。	
240	处于核心-连携密语状态下时，回音获得霸体和额外{0}的伤害减免效果，消除密语球时，在目标附近生成黑洞吸附周围敌人。	
241	QTE出场时，塞西莉获得8枚密语球；敌方在每次受到塞西莉攻击后在场角色对敌人进行攻击会额外触发一次840%的物理伤害且角色暴击伤害提高100%，持续5秒。	
242	回音受到伤害时，塞西莉会协助承受伤害，施加80%的伤害减免效果，持续5秒，冷却12秒。	
243	释放QTE-正义临终时，不再释放原有技能，改为释放核心-合击·锁魂裁定，禁锢敌人并使其额外伤害减免降低77%。	
244	核心-照域冷却时间减少8秒，释放核心-垂灯耀目后立即重新推演一组残光信号球。	
245	进入核心-照域或释放核心-垂灯耀目时，获得4组红色三消信号球。	
246	在核心-照域中释放垂灯耀目时，物理伤害提升{0}。	
247	幻奏处于后台时，在场角色三消信号球时会召唤一个幻奏幻影，幻影将释放对应色球技能，造成{0}的暗属性伤害。幻影最多存在{1}个。	
248	幻奏分身释放任意技能时，全队攻击力提升{0}，持续{1}秒，重复触发刷新持续时间。	
249	受到幻奏治疗效果的友方单位，额外伤害加成提升{0}，持续{1}秒，重复触发刷新持续时间。	
250	起舞命中敌人时触发爆炸，对目标以及周围单位造成{0}物理伤害。	
251	释放任意三消时，额外获得{0}点曼舞值。	
252	释放任意三消时，额外获得{0}点曼舞值，消除舞蹈球直接获得满层曼舞值。	
253	处于核心-曼舞姿态时，清商获得霸体和{0}的伤害减免；核心-流耀舞步物理伤害提升{1}；每次释放核心-流耀舞步时，获得信号球。	
254	必杀-雷贯状态持续时间加8秒；每有1点动擎值，擎驱获得40%的伤害减免且雷属性伤害提升{0}。	
255	招架触发成功时，获得{0}枚炽能球。	
256	释放普攻-动擎轰击恢复120点必杀能量；擎驱能够连续使用臂挡且闪避值恢复速度提升{0}。	
257	消球期间擎驱获得霸体效果；在场时每{0}秒获得一枚随机信号球。	
258	记录最近一次跃升击的最大伤害数字，在释放必杀-星碎地平线后12秒内，辉晓普通攻击附带该伤害值48%的暗属性伤害；三消时辉晓额外获得100动能值和36点必杀能量。	
259	每手动消除一组三消球，辉晓额外伤害加成提升{0}，不同颜色信号球的加成可叠加，重复触发刷新持续时间。	
260	每次普攻有{0}概率获得一枚信号球。	
261	无光值上限提高至999，每一点无光值提升深红囚影雷属性伤害{0}。	
262	消球时根据消球数，额外获得{0}/{1}/{2}点无光值。	
263	消球时有{0}的概率获得一组红色信号球。	
264	深红囚影生命值变为1，且无法受到治疗效果；自身雷属性伤害提升1000%，每场战斗首次出场时，在12秒内无敌并在受到伤害后进入持续15秒的无敌状态，每场战斗只会生效一次。	
265	无光值锁定为600点，不会消耗。	
266	释放必杀-囚影·浮世业火后，恢复32点必杀能量；普攻-不灭殛华的振雷斩雷属性伤害提升528%。	
267	消耗闪避值时，自身火属性伤害提升45%，最多叠加2层，持续8秒，重复触发刷新持续时间，三消时额外伤害加成提升19%，最多叠2层，持续8秒，重复触发刷新持续时间。	
268	消除蓝色信号球时，获得6枚黄色信号球；消除黄色信号球时，获得6枚蓝信号球。	
269	自身每秒额外恢复80点闪避值	
270	招架触发成功时，获得3枚炽能球与3个红色信号球。	
271	释放黄道恩典与光羽弥散时会额外对敌人造成12400%的火属性伤害；释放阑珊福音时召唤逆白鹭领域，每秒为范围内单位恢复38%攻击力的生命值。	
272	连续消除两种异色信号球时，获得6枚信号球，并禁锢范围内敌人。	
273	连续消除两种同色信号球时，获得40点必杀能量，并对敌人造成攻击力5760%的火属性伤害。	
274	释放普攻-因果收束时，超刻在超维空间中火属性伤害提升162%，最多叠加5层，释放必杀-界域崩解或时序终焉后清空。	
275	释放普攻-猎命狙杀时，额外恢复6枚信号球。	
276	处于核心-超维空间中时，自身获得霸体和70%的伤害减免效果。	
277	原初形态消除潮涌球或溯汐球时，会让处于雨中的敌人每秒受到拉弥亚攻击力{0}的暗属性伤害，最多叠加3层，持续5秒，重复触发刷新持续时间。	
278	处于暴风雨天气时，击杀敌人时，深谣暗属性伤害提升{0}，最多叠加3层。	
279	处于暴风雨天气时，潮汐球造成伤害恢复1组三消球，潮涌球伤害提升{0}	
280	消除潮涌球会获得一颗溯汐球，消除溯汐球会获得一颗沧浪溯汐球。	
281	深谣每拥有一枚信号球，暗属性伤害提升14%。	
282	消球时，自身获得持续2秒的无敌效果与600点渊海值	
283	招架触发成功时，获得{0}枚炽能球。	
284	招架触发成功时，获得3枚炽能球与3个红色信号球。招架成功时对目标周围大范围造成2419%的火属性伤害。	
285	消除炽能球时，超算空间冷却时间减少{0}秒。	
286	进入超算空间时，自身火属性伤害提升{0}，持续10秒。	
287	必杀-强袭模式下，三消红色信号球时，获得2个实弹填充，消除炽能球时，获得1个实弹填充	
288	消除炽能球时，超算空间冷却时间减少{0}秒。	
289	每消耗1个实弹填充，自身火属性伤害提升94%，最多叠加6层。	
290	释放必杀-爆裂荡涤后，保持强袭模式。	
291	（同类型全队生效唯一）	
292	随机超源插件	
293	消除信号球时有概率不消耗赝虚值	
294	消球额外获得必杀能量	
295	焚烈球会灼烧敌人	
296	同色核心被动概率聚怪，异色核心伤害增加	
297	触发核心被动后获得额外祷告值并且增加自身造成伤害	
298	处于必杀中三消球有概率获得额外层数	
299	触碰回旋龙厄时会增加蒲牢的伤害	
300	释放龙劲连击会额外回复必杀能量	
301	普通攻击会获得龙劲点数	
302	七实的攻击会触发导弹协同攻击，触发完美核心时会对范围内的敌人造成伤害	
303	释放二段必杀技后有概率留在轰隆隆状态	
304	每拥有一颗信号球会获得火属性伤害加成	
305	释放必杀后哈卡玛的攻击会附带冰属性伤害	
306	每秒自动获得必杀能量	
307	闪避值回复速度提升	
308	释放必杀技后获得护盾，护盾存在期间辉晓获得霸体与额外伤害减免	
309	辉晓入场时会触发超算，释放信号球技能会提升自身暗属性伤害	
310	释放必杀技后将获得额外蓝球，并且释蓝球时会返还消球的信号球	
311	每次升档有概率提升额外档位	
312	释放强袭升华击额外获得必杀能量	
313	释放必杀技后会获得信号球	
314	每次释放流星球时会提升重奏·双星的伤害	
315	消除流星球时会回复全队生命值	
316	消除流星球时会额外获得必杀能量	
317	释放核心被动后的普通攻击也会附带爆炎效果	
318	释放黄球时会获得红球与闪避值	
319	释放热场射击时会吸附周围怪物并且回复红球与闪避值	
320	释放红球时会获得黄球并提升自身的火属性伤害	
321	双刀术伤害提升，处于双刀术这状态时攻击会额外获得必杀能量	
322	双刀术持续时间延长	
323	双刀术持续时间结束后会触发超算空间并获得红球	
324	激光束群伤害提升	
325	必杀结束后触发超算并且获得信号球	
326	释放三消时额外回复必杀能量	
327	能量剑伤害提升，每消耗一支能量剑会再额外派生一次攻击	
328	释放必杀后触发超算并且自身伤害提升	
