Id	SkillId	Level	Desc	Name	Icon
302	1003	2	POD在3秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成900的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
303	1003	3	POD在3秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1000的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
304	1003	4	POD在5秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1100的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
305	1003	5	POD在5秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1200的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
306	1003	6	POD在5秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1300的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
307	1003	7	POD在8秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1400的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
308	1003	8	POD在8秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1500的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
309	1003	9	POD在8秒内持续投掷小型炸弹攻击敌人，单个炸弹爆炸对附近敌人造成1600的物理伤害，冷却时间15秒	A130：炸弹	Assets/Product/Texture/Image/IconSkill/Skill003.png
401	1004	1	POD会自动射击附近的敌方单位，每发子弹造成120的物理伤害，持续射击7.5秒，重新装填6.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
402	1004	2	POD会自动射击附近的敌方单位，每发子弹造成135的物理伤害，持续射击7.5秒，重新装填6.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
403	1004	3	POD会自动射击附近的敌方单位，每发子弹造成150的物理伤害，持续射击7.5秒，重新装填6.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
404	1004	4	POD会自动射击附近的敌方单位，每发子弹造成165的物理伤害，持续射击8.5秒，重新装填4.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
405	1004	5	POD会自动射击附近的敌方单位，每发子弹造成180的物理伤害，持续射击8.5秒，重新装填4.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
406	1004	6	POD会自动射击附近的敌方单位，每发子弹造成195的物理伤害，持续射击8.5秒，重新装填4.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
407	1004	7	POD会自动射击附近的敌方单位，每发子弹造成210的物理伤害，持续射击9.5秒，重新装填3.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
408	1004	8	POD会自动射击附近的敌方单位，每发子弹造成225的物理伤害，持续射击9.5秒，重新装填3.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
409	1004	9	POD会自动射击附近的敌方单位，每发子弹造成240的物理伤害，持续射击9.5秒，重新装填3.5秒	射弹	Assets/Product/Texture/Image/IconSkill/Skill004.png
