StageId	ChapterId	Name	Desc	StageType	PreStageId	FirstRewardId	RewardUnit	FightEventId	FightEventLevel	RecommendMentalLv	MainlineTips	IconPos	RewardParam	ForbidRobot
30161499	5	区域清理III	完成区域目标，获取对应奖励	5		17871	450	[2230600, 2230609, 2230601]	[1, 1, 25]	5		15		
30161470	6	终章-1	击败数据体后，森回到了现实，BN-02却….	2		17864	150	[2230600, 2230601, 2230608]	[1, 30, 1]	5	前往飞船	1		
30161471	6	终章-2	BN-02解除控制后，协助森击败了基地的首领，森利用飞船成功抵达了中枢所在的月面	1	30161470	17865	150	[2230600, 2230601]	[1, 31]	5	前往中枢所在月面	2		
30161472	6	终章-Fin	中枢处于崩溃状态，为了处理其中的异常，森和BN-02踏上最终的目的地——中枢核心	2	30161471	17866	150	[2230600, 2230601]	[1, 32]	5	前往中枢	5		
30161477	6	无限阵线	无尽的循环	6	30161472			[2230600, 2230601]	[1, 1]	5		4		
30161486	6	区域清理I	完成区域目标，获取对应奖励	5		17872	450	[2230600, 2230609, 2230601]	[1, 1, 30]	5		6		
30161485	6	区域清理II	完成区域目标，获取对应奖励	5		17872	450	[2230600, 2230609, 2230601]	[1, 1, 30]	5		7		
30161484	6	区域清理III	完成区域目标，获取对应奖励	5		17872	450	[2230600, 2230609, 2230601]	[1, 1, 30]	5		8		
30161473	7	愿望-IF	决意归还数据中枢的森回到了基地终端	1		17867		[2230600, 2230601]	[1, 33]	5	修复基地中断	1		
30161474	8	理智-IF	森回到红潮始源地，准备归还数据中枢	1		17868		[2230600, 2230601]	[1, 34]	5	归还数据中枢	1		
30161475	9	夺取-IF	回到工厂区域的森，着手开始修复工作	1		17869		[2230600, 2230601]	[1, 35]	5	修复维修区域	1		
30161476	10	异乡-IF	回到一切的起点	1		17870		[2230600, 2230601]	[1, 36]	5	归还BN-02	1		
