Id	StageId	Star	Reward	StepCount	MonsterCount	MonsterBossCount	ConditionDesc	DropType	DropCount
62	1301	1	25	7			在 7 回合内通关		
63	1301	1	25	5			在 5 回合内通关		
64	1302	1	25		2		消除所有库洛洛		
65	1302	1	25	10			在 10 回合内通关		
66	1302	1	25	8			在 8 回合内通关		
67	1303	1	25	12			在 12 回合内通关		
68	1303	1	25	10			在 10 回合内通关		
69	1303	1	25	8			在 8 回合内通关		
70	1304	1	25		3		消除所有库洛洛		
71	1304	1	25	15			在 15 回合内通关		
72	1304	1	25	10			在 10 回合内通关		
73	1305	1	25	15			在 15 回合内通关		
74	1305	1	25	10			在 10 回合内通关		
75	1305	1	25	6			在 6 回合内通关		
76	1306	1	25	15			在 15 回合内通关		
77	1306	1	25		2		消除所有库洛洛		
78	1306	1	25	10			在 10 回合内通关		
79	1307	1	25	20			在 20 回合内通关		
80	1307	1	25		2		消除所有库洛洛		
81	1307	1	25	18			在 18 回合内通关		
82	1308	1	25	20			在 20 回合内通关		
83	1308	1	25		1	1	通关时消除所有敌人		
84	1308	1	25	13			在 13 回合内通关		
85	1309	1	25		2		消除所有库洛洛		
86	1309	1	25	7			在 7 回合内通关		
87	1309	1	25	6			在 6 回合内通关		
88	1310	1	25	15			在 15 回合内通关		
89	1310	1	25		3		消除所有库洛洛		
90	1310	1	25	9			在 9 回合内通关		
91	1401	1	25		2		消除所有库洛洛		
92	1401	1	25	9			在 9 回合内通关		
93	1401	1	25	5			在 5 回合内通关		
94	1402	1	25		2		消除所有库洛洛		
95	1402	1	25	10			在 10 回合内通关		
96	1402	1	25	8			在 8 回合内通关		
97	1403	1	25		3		消除所有库洛洛		
98	1403	1	25	9			在 9 回合内通关		
99	1403	1	25	7			在 7 回合内通关		
100	1404	1	25		4		消除所有库洛洛		
101	1404	1	25	20			在 20 回合内通关		
102	1404	1	25	14			在 14 回合内通关		
103	1405	1	25		2		消除所有库洛洛		
104	1405	1	25	20			在 20 回合内通关		
105	1405	1	25	14			在 14 回合内通关		
106	1406	1	25			1	通关时消除所有敌人		
107	1406	1	25		1		消除所有库洛洛		
108	1406	1	25	5			在 5 回合内通关		
109	1407	1	25			1	通关时消除所有敌人		
110	1407	1	25		1		消除所有库洛洛		
111	1407	1	25	6			在 6 回合内通关		
112	1408	1	25	25			在 25 回合内通关		
113	1408	1	25		2		消除所有库洛洛		
114	1408	1	25	16			在 16 回合内通关		
115	1409	1	25		2	1	通关时消除所有敌人		
116	1409	1	25	25			在 25 回合内通关		
117	1409	1	25	15			在 15 回合内通关		
118	1410	1	25		1	4	通关时消除所有敌人		
119	1410	1	25	25			在 25 回合内通关		
120	1410	1	25	15			在 15 回合内通关		
121	1501	1	25	10			在 10 回合内通关		
122	1501	1	25	8			在 8 回合内通关		
123	1501	1	25	4			在 4 回合内通关		
124	1502	1	25		2		消除所有库洛洛		
125	1502	1	25	9			在 9 回合内通关		
126	1502	1	25	6			在 6 回合内通关		
127	1503	1	25		2		消除所有库洛洛		
128	1503	1	25	10			在 10 回合内通关		
129	1503	1	25	6			在 6 回合内通关		
130	1504	1	25	10			在 10 回合内通关		
131	1504	1	25		2		消除所有库洛洛		
132	1504	1	25	6			在 6 回合内通关		
133	1505	1	25	6			在 6 回合内通关		
134	1505	1	25		2		消除所有库洛洛		
135	1505	1	25	3			在 3 回合内通关		
136	1506	1	25	15			在 15 回合内通关		
137	1506	1	25		3		消除所有库洛洛		
138	1506	1	25	8			在 8 回合内通关		
139	1507	1	25	11			在 11 回合内通关		
140	1507	1	25		2		消除所有库洛洛		
141	1507	1	25	5			在 5 回合内通关		
142	1508	1	25	20			在 20 回合内通关		
143	1508	1	25		2		消除所有库洛洛		
144	1508	1	25	12			在 12 回合内通关		
145	1509	1	25	16			在 16 回合内通关		
146	1509	1	25		5		消除所有库洛洛		
147	1509	1	25	12			在 12 回合内通关		
148	1510	1	25		2		消除所有库洛洛		
149	1510	1	25	20			在 20 回合内通关		
150	1510	1	25	15			在 15 回合内通关		
151	2101	1	25	10			在 10 回合内通关		
152	2101	1	25	7			在 7 回合内通关		
153	2101	1	25	4			在 4 回合内通关		
154	2102	1	25	10			在 10 回合内通关		
155	2102	1	25		2		消除所有库洛洛		
156	2102	1	25	8			在 8 回合内通关		
157	2103	1	25	10			在 10 回合内通关		
158	2103	1	25		2		消除所有库洛洛		
159	2103	1	25	5			在 5 回合内通关		
160	2104	1	25	10			在 10 回合内通关		
161	2104	1	25		3		消除所有库洛洛		
162	2104	1	25	6			在 6 回合内通关		
163	2105	1	25	12			在 12 回合内通关		
164	2105	1	25		2		消除所有库洛洛		
165	2105	1	25	7			在 7 回合内通关		
166	2106	1	25	15			在 15 回合内通关		
167	2106	1	25		3		消除所有库洛洛		
168	2106	1	25	9			在 9 回合内通关		
169	2107	1	25	10			在 10 回合内通关		
170	2107	1	25		2		消除所有库洛洛		
171	2107	1	25	5			在 5 回合内通关		
172	2108	1	25	15			在 15 回合内通关		
173	2108	1	25		2		消除所有库洛洛		
174	2108	1	25	10			在 10 回合内通关		
175	2109	1	25		2	2	通关时消除所有敌人		
176	2109	1	25		2		消除所有库洛洛		
177	2109	1	25	11			在 11 回合内通关		
178	2110	1	25		2	2	通关时消除所有敌人		
179	2110	1	25		2		消除所有库洛洛		
180	2110	1	25	11			在 11 回合内通关		
181	2201	1	25	10			在 10 回合内通关		
182	2201	1	25		2		消除所有库洛洛		
183	2201	1	25	5			在 5 回合内通关		
184	2202	1	25	10			在 10 回合内通关		
185	2202	1	25		2		消除所有库洛洛		
186	2202	1	25	6			在 6 回合内通关		
187	2203	1	25	15			在 15 回合内通关		
188	2203	1	25		2		消除所有库洛洛		
189	2203	1	25	9			在 9 回合内通关		
190	2204	1	25	10			在 10 回合内通关		
191	2204	1	25		2		消除所有库洛洛		
192	2204	1	25	7			在 7 回合内通关		
193	2205	1	25	15			在 15 回合内通关		
194	2205	1	25		3		消除所有库洛洛		
195	2205	1	25	11			在 11 回合内通关		
196	2206	1	25	20			在 20 回合内通关		
197	2206	1	25	18			在 18 回合内通关		
198	2206	1	25	15			在 15 回合内通关		
199	2207	1	25	20			在 20 回合内通关		
200	2207	1	25		2		消除所有库洛洛		
201	2207	1	25	10			在 10 回合内通关		
202	2208	1	25		2	1	通关时消除所有敌人		
203	2208	1	25		2		消除所有库洛洛		
204	2208	1	25	18			在 18 回合内通关		
205	2209	1	25	15			在 15 回合内通关		
206	2209	1	25		3		消除所有库洛洛		
207	2209	1	25	9			在 9 回合内通关		
208	2210	1	25	25			在 25 回合内通关		
209	2210	1	25		3		消除所有库洛洛		
210	2210	1	25	17			在 17 回合内通关		
211	2301	1	25	12			在 12 回合内通关		
212	2301	1	25		2		消除所有库洛洛		
213	2301	1	25	7			在 7 回合内通关		
214	2302	1	25	12			在 12 回合内通关		
215	2302	1	25		3		消除所有库洛洛		
216	2302	1	25	7			在 7 回合内通关		
217	2303	1	25	20			在 20 回合内通关		
218	2303	1	25		3		消除所有库洛洛		
219	2303	1	25	12			在 12 回合内通关		
220	2304	1	25	20			在 20 回合内通关		
221	2304	1	25		2		消除所有库洛洛		
222	2304	1	25	12			在 12 回合内通关		
223	2305	1	25	20			在 20 回合内通关		
224	2305	1	25		3		消除所有库洛洛		
225	2305	1	25	13			在 13 回合内通关		
226	2306	1	25	20			在 20 回合内通关		
227	2306	1	25		4		消除所有库洛洛		
228	2306	1	25	11			在 11 回合内通关		
229	2307	1	25	20			在 20 回合内通关		
230	2307	1	25		4		消除所有库洛洛		
231	2307	1	25	11			在 11 回合内通关		
232	2308	1	25	15			在 15 回合内通关		
233	2308	1	25		3		消除所有库洛洛		
234	2308	1	25	9			在 9 回合内通关		
235	2309	1	25	15			在 15 回合内通关		
236	2309	1	25		2		消除所有库洛洛		
237	2309	1	25	8			在 8 回合内通关		
238	2310	1	25	25			在 25 回合内通关		
239	2310	1	25		3		消除所有库洛洛		
240	2310	1	25	18			在 18 回合内通关		
241	2401	1	25	10			在 10 回合内通关		
242	2401	1	25		2		消除所有库洛洛		
243	2401	1	25	7			在 7 回合内通关		
244	2402	1	25	15			在 15 回合内通关		
245	2402	1	25		3		消除所有库洛洛		
246	2402	1	25	9			在 9 回合内通关		
247	2403	1	25	15			在 15 回合内通关		
248	2403	1	25	12			在 12 回合内通关		
249	2403	1	25	9			在 9 回合内通关		
250	2404	1	25	20			在 20 回合内通关		
251	2404	1	25		4		消除所有库洛洛		
252	2404	1	25	13			在 13 回合内通关		
253	2405	1	25	20			在 20 回合内通关		
254	2405	1	25		2		消除所有库洛洛		
255	2405	1	25	9			在 9 回合内通关		
256	2406	1	25	18			在 18 回合内通关		
257	2406	1	25		2		消除所有库洛洛		
258	2406	1	25	12			在 12 回合内通关		
259	2407	1	25	15			在 15 回合内通关		
260	2407	1	25		2		消除所有库洛洛		
261	2407	1	25	9			在 9 回合内通关		
262	2408	1	25	15			在 15 回合内通关		
263	2408	1	25		4		消除所有库洛洛		
264	2408	1	25	10			在 10 回合内通关		
265	2409	1	25	20			在 20 回合内通关		
266	2409	1	25		2		消除所有库洛洛		
267	2409	1	25	16			在 16 回合内通关		
268	2410	1	25	25			在 25 回合内通关		
269	2410	1	25		3		消除所有库洛洛		
270	2410	1	25	13			在 13 回合内通关		
271	2501	1	25	10			在 10 回合内通关		
272	2501	1	25		2		消除所有库洛洛		
273	2501	1	25	6			在 6 回合内通关		
274	2502	1	25	18			在 18 回合内通关		
275	2502	1	25		2		消除所有库洛洛		
276	2502	1	25	13			在 13 回合内通关		
277	2503	1	25	20			在 20 回合内通关		
278	2503	1	25		3		消除所有库洛洛		
279	2503	1	25	15			在 15 回合内通关		
280	2504	1	25	10			在 10 回合内通关		
281	2504	1	25		1	1	通关时消除所有敌人		
282	2504	1	25	7			在 7 回合内通关		
283	2505	1	25	15			在 15 回合内通关		
284	2505	1	25		2	1	通关时消除所有敌人		
285	2505	1	25	9			在 9 回合内通关		
286	2506	1	25	20			在 20 回合内通关		
287	2506	1	25		3	2	通关时消除所有敌人		
288	2506	1	25	15			在 15 回合内通关		
289	2507	1	25	20			在 20 回合内通关		
290	2507	1	25		2	2	通关时消除所有敌人		
291	2507	1	25	16			在 16 回合内通关		
292	2508	1	25	15			在 15 回合内通关		
293	2508	1	25		2		消除所有库洛洛		
294	2508	1	25	8			在 8 回合内通关		
295	2509	1	25	15			在 15 回合内通关		
296	2509	1	25		4		消除所有库洛洛		
297	2509	1	25	9			在 9 回合内通关		
298	2510	1	25	20			在 20 回合内通关		
299	2510	1	25		2		消除所有库洛洛		
300	2510	1	25	15			在 15 回合内通关		
301	3101	1	25	10			在 10 回合内通关		
302	3101	1	25	8			在 8 回合内通关		
303	3101	1	25	6			在 6 回合内通关		
304	3102	1	25	12			在 12 回合内通关		
305	3102	1	25	8			在 8 回合内通关		
306	3102	1	25	5			在 5 回合内通关		
307	3103	1	25	15			在 15 回合内通关		
308	3103	1	25		2		消除所有库洛洛		
309	3103	1	25	7			在 7 回合内通关		
310	3104	1	25	12			在 12 回合内通关		
311	3104	1	25	8			在 8 回合内通关		
312	3104	1	25	5			在 5 回合内通关		
313	3105	1	25	12			在 12 回合内通关		
314	3105	1	25		2		消除所有库洛洛		
315	3105	1	25	5			在 5 回合内通关		
316	3106	1	25	15			在 15 回合内通关		
317	3106	1	25		2		消除所有库洛洛		
318	3106	1	25	6			在 6 回合内通关		
319	3107	1	25	12			在 12 回合内通关		
320	3107	1	25		2		消除所有库洛洛		
321	3107	1	25	8			在 8 回合内通关		
322	3108	1	25	15			在 15 回合内通关		
323	3108	1	25		2		消除所有库洛洛		
324	3108	1	25	8			在 8 回合内通关		
325	3201	1	25	12			在 12 回合内通关		
326	3201	1	25	8			在 8 回合内通关		
327	3201	1	25	6			在 6 回合内通关		
328	3202	1	25	12			在 12 回合内通关		
329	3202	1	25		1	2	通关时消除所有敌人		
330	3202	1	25	9			在 9 回合内通关		
331	3203	1	25	15			在 15 回合内通关		
332	3203	1	25	12			在 12 回合内通关		
333	3203	1	25	8			在 8 回合内通关		
334	3204	1	25	12			在 12 回合内通关		
335	3204	1	25	8			在 8 回合内通关		
336	3204	1	25	5			在 5 回合内通关		
337	3205	1	25	12			在 12 回合内通关		
338	3205	1	25	9			在 9 回合内通关		
339	3205	1	25	7			在 7 回合内通关		
340	3206	1	25	15			在 15 回合内通关		
341	3206	1	25	10			在 10 回合内通关		
342	3206	1	25	8			在 8 回合内通关		
343	3207	1	25	12			在 12 回合内通关		
344	3207	1	25		1	2	通关时消除所有敌人		
345	3207	1	25	6			在 6 回合内通关		
346	3208	1	25	15			在 15 回合内通关		
347	3208	1	25		2		消除所有库洛洛		
348	3208	1	25	8			在 8 回合内通关		
349	3301	1	25	12			在 12 回合内通关		
350	3301	1	25	8			在 8 回合内通关		
351	3301	1	25	5			在 5 回合内通关		
352	3302	1	25	10			在 10 回合内通关		
353	3302	1	25		2		消除所有库洛洛		
354	3302	1	25	6			在 6 回合内通关		
355	3303	1	25	15			在 15 回合内通关		
356	3303	1	25		2		消除所有库洛洛		
357	3303	1	25	8			在 8 回合内通关		
358	3304	1	25	12			在 12 回合内通关		
359	3304	1	25		2		消除所有库洛洛		
360	3304	1	25	8			在 8 回合内通关		
361	3305	1	25	12			在 12 回合内通关		
362	3305	1	25		2	1	通关时消除所有敌人		
363	3305	1	25	8			在 8 回合内通关		
364	3306	1	25	15			在 15 回合内通关		
365	3306	1	25		2		消除所有库洛洛		
366	3306	1	25	10			在 10 回合内通关		
367	3307	1	25	15			在 15 回合内通关		
368	3307	1	25		3		消除所有库洛洛		
369	3307	1	25	9			在 9 回合内通关		
370	3308	1	25	20			在 20 回合内通关		
371	3308	1	25		3		消除所有库洛洛		
372	3308	1	25	11			在 11 回合内通关		
373	3401	1	25	12			在 12 回合内通关		
374	3401	1	25	8			在 8 回合内通关		
375	3401	1	25	5			在 5 回合内通关		
376	3402	1	25	15			在 15 回合内通关		
377	3402	1	25		2		消除所有库洛洛		
378	3402	1	25	8			在 8 回合内通关		
379	3403	1	25	15			在 15 回合内通关		
380	3403	1	25		2		消除所有库洛洛		
381	3403	1	25	10			在 10 回合内通关		
382	3404	1	25	15			在 15 回合内通关		
383	3404	1	25		2		消除所有库洛洛		
384	3404	1	25	9			在 9 回合内通关		
385	3405	1	25	15			在 15 回合内通关		
386	3405	1	25		2		消除所有库洛洛		
387	3405	1	25	7			在 7 回合内通关		
388	3406	1	25	20			在 20 回合内通关		
389	3406	1	25	15			在 15 回合内通关		
390	3406	1	25	10			在 10 回合内通关		
391	3407	1	25	15			在 15 回合内通关		
392	3407	1	25		2		消除所有库洛洛		
393	3407	1	25	8			在 8 回合内通关		
394	3408	1	25	15			在 15 回合内通关		
395	3408	1	25		2		消除所有库洛洛		
396	3408	1	25	12			在 12 回合内通关		
397	4101	1	25	30			到达终点		
398	4101	1	25		2		消除全部库洛洛		
399	4101	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
400	4102	1	25	30			到达终点		
401	4102	1	25		2		消除全部库洛洛		
402	4102	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
403	4103	1	25	30			到达终点		
404	4103	1	25		3		消除全部库洛洛		
405	4103	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
406	4104	1	25	30			到达终点		
407	4104	1	25		3		消除全部库洛洛		
408	4104	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
409	4105	1	25	30			到达终点		
410	4105	1	25	15			在 15 回合内通关		
411	4105	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
412	4106	1	25	30			到达终点		
413	4106	1	25		2		消除全部库洛洛		
414	4106	1	25	15			在 15 回合内通关		
415	4107	1	25	30			到达终点		
416	4107	1	25		3		消除全部库洛洛		
417	4107	1	25	15			在 15 回合内通关		
418	4108	1	25	30			到达终点		
419	4108	1	25		1		消除全部库洛洛		
420	4108	1	25	15			在 15 回合内通关		
421	4109	1	25	30			到达终点		
422	4109	1	25		3		消除所有库洛洛		
423	4109	1	25		3	1	通关时消除所有怪物		
424	4110	1	25	30			到达终点		
425	4110	1	25		3		消除全部库洛洛		
426	4110	1	25		3	2	通关时消除所有怪物		
427	4201	1	25	30			到达终点		
428	4201	1	25	15			在 15 回合内通关		
429	4201	1	25		1		消除所有库洛洛		
430	4202	1	25	30			到达终点		
431	4202	1	25	15			在 15 回合内通关		
432	4202	1	25		2		消除所有库洛洛		
433	4203	1	25	30			到达终点		
434	4203	1	25	15			在 15 回合内通关		
435	4203	1	25		2		消除所有库洛洛		
436	4204	1	25	30			到达终点		
437	4204	1	25	15			在 15 回合内通关		
438	4204	1	25		2		消除所有库洛洛		
439	4205	1	25	30			到达终点		
440	4205	1	25	15			在 15 回合内通关		
441	4205	1	25		1		消除所有库洛洛		
442	4206	1	25	30			到达终点		
443	4206	1	25	15			在 15 回合内通关		
444	4206	1	25		1		消除所有库洛洛		
445	4207	1	25	30			到达终点		
446	4207	1	25	15			在 15 回合内通关		
447	4207	1	25		2		消除所有库洛洛		
448	4208	1	25	30			到达终点		
449	4208	1	25		2		消除所有库洛洛		
450	4208	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
451	4209	1	25	30			到达终点		
452	4209	1	25		2		消除所有库洛洛		
453	4209	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
454	4210	1	25	30			到达终点		
455	4210	1	25		2		消除所有库洛洛		
456	4210	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
457	4301	1	25	30			到达终点		
458	4301	1	25	15			在 15 回合内通关		
459	4301	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
460	4302	1	25	30			到达终点		
461	4302	1	25	15			在 15 回合内通关		
462	4302	1	25		1		消除所有库洛洛		
463	4303	1	25	30			到达终点		
464	4303	1	25	15			在 15 回合内通关		
465	4303	1	25		2		消除所有库洛洛		
466	4304	1	25	30			到达终点		
467	4304	1	25	15			在 15 回合内通关		
468	4304	1	25		2		消除所有库洛洛		
469	4305	1	25	30			到达终点		
470	4305	1	25	15			在 15 回合内通关		
471	4305	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
472	4306	1	25	30			到达终点		
473	4306	1	25		3		消除所有库洛洛		
474	4306	1	25	15			在 15 回合内通关		
475	4307	1	25	30			到达终点		
476	4307	1	25		2		消除所有库洛洛		
477	4307	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
478	4308	1	25	30			到达终点		
479	4308	1	25		2	2	通关时消除所有敌人		
480	4308	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
481	4309	1	25	30			到达终点		
482	4309	1	25		3		消除所有库洛洛		
483	4309	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
484	4310	1	25	30			到达终点		
485	4310	1	25		4		消除所有库洛洛		
486	4310	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
487	4401	1	25	30			到达终点		
488	4401	1	25	15			在 15 回合内通关		
489	4401	1	25		1		消除所有库洛洛		
490	4402	1	25	30			到达终点		
491	4402	1	25	15			在 15 回合内通关		
492	4402	1	25		1		消除所有库洛洛		
493	4403	1	25	30			到达终点		
494	4403	1	25	15			在 15 回合内通关		
495	4403	1	25		2		消除所有库洛洛		
496	4404	1	25	30			到达终点		
497	4404	1	25	15			在 15 回合内通关		
498	4404	1	25		1	2	通关时消除所有敌人		
499	4405	1	25	30			到达终点		
500	4405	1	25	15			在 15 回合内通关		
501	4405	1	25		1	4	通关时消除所有敌人		
502	4406	1	25	30			到达终点		
503	4406	1	25	15			在 15 回合内通关		
504	4406	1	25		1	4	通关时消除所有敌人		
505	4407	1	25	30			到达终点		
506	4407	1	25	15			在 15 回合内通关		
507	4407	1	25		1	2	通关时消除所有敌人		
508	4408	1	25	30			到达终点		
509	4408	1	25	15			在 15 回合内通关		
510	4408	1	25		1	3	通关时消除所有敌人		
511	4409	1	25	30			到达终点		
512	4409	1	25	15			在 15 回合内通关		
513	4409	1	25		1	2	通关时消除所有敌人		
514	4410	1	25	30			到达终点		
515	4410	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
516	4410	1	25		2	2	通关时消除所有敌人		
517	4501	1	25	30			到达终点		
518	4501	1	25	15			在 15 回合内通关		
519	4501	1	25		1		消除所有库洛洛		
520	4502	1	25	30			到达终点		
521	4502	1	25	15			在 15 回合内通关		
522	4502	1	25		1		消除所有库洛洛		
523	4503	1	25	30			到达终点		
524	4503	1	25	15			在 15 回合内通关		
525	4503	1	25		1		消除所有库洛洛		
526	4504	1	25	30			到达终点		
527	4504	1	25	15			在 15 回合内通关		
528	4504	1	25		2		消除所有库洛洛		
529	4505	1	25	30			到达终点		
530	4505	1	25	15			在 15 回合内通关		
531	4505	1	25		2		消除所有库洛洛		
532	4506	1	25	30			到达终点		
533	4506	1	25	15			在 15 回合内通关		
534	4506	1	25		2		消除所有库洛洛		
535	4507	1	25	30			到达终点		
536	4507	1	25		1		消除所有库洛洛		
537	4507	1	25				拾取关卡中的小兔子	{1: 1}	{1: 1}
538	4508	1	25	30			到达终点		
539	4508	1	25	15			在 15 回合内通关		
540	4508	1	25		2		消除所有库洛洛		
541	4509	1	25	30			到达终点		
542	4509	1	25	15			在 15 回合内通关		
543	4509	1	25		2		消除所有库洛洛		
544	4510	1	25	30			到达终点		
545	4510	1	25	15			在 15 回合内通关		
546	4510	1	25		1		消除所有库洛洛		
547	5101	1	25	30			到达终点		
548	5101	1	25	20			在 20 回合内通关		
549	5101	1	25	15			在 15 回合内通关		
550	5102	1	25	30			到达终点		
551	5102	1	25	20			在 20 回合内通关		
552	5102	1	25	15			在 15 回合内通关		
553	5103	1	25	30			到达终点		
554	5103	1	25	20			在 20 回合内通关		
555	5103	1	25	15			在 15 回合内通关		
556	5104	1	25	30			到达终点		
557	5104	1	25	20			在 20 回合内通关		
558	5104	1	25	15			在 15 回合内通关		
559	5105	1	25	30			到达终点		
560	5105	1	25	20			在 20 回合内通关		
561	5105	1	25	15			在 15 回合内通关		
562	5106	1	25	30			到达终点		
563	5106	1	25	20			在 20 回合内通关		
564	5106	1	25	15			在 15 回合内通关		
565	5201	1	25	30			到达终点		
566	5201	1	25	20			在 20 回合内通关		
567	5201	1	25	15			在 15 回合内通关		
568	5202	1	25	30			到达终点		
569	5202	1	25	20			在 20 回合内通关		
570	5202	1	25	15			在 15 回合内通关		
571	5203	1	25	30			到达终点		
572	5203	1	25	20			在 20 回合内通关		
573	5203	1	25	15			在 15 回合内通关		
574	5204	1	25	30			到达终点		
575	5204	1	25	20			在 20 回合内通关		
576	5204	1	25	15			在 15 回合内通关		
577	5205	1	25	30			到达终点		
578	5205	1	25	20			在 20 回合内通关		
579	5205	1	25	15			在 15 回合内通关		
580	5206	1	25	30			到达终点		
581	5206	1	25	20			在 20 回合内通关		
582	5206	1	25	15			在 15 回合内通关		
583	5301	1	25	30			到达终点		
584	5301	1	25	20			在 20 回合内通关		
585	5301	1	25	15			在 15 回合内通关		
586	5302	1	25	30			到达终点		
587	5302	1	25	20			在 20 回合内通关		
588	5302	1	25	15			在 15 回合内通关		
589	5303	1	25	30			到达终点		
590	5303	1	25	20			在 20 回合内通关		
591	5303	1	25	15			在 15 回合内通关		
592	5304	1	25	30			到达终点		
593	5304	1	25	20			在 20 回合内通关		
594	5304	1	25	15			在 15 回合内通关		
595	5305	1	25	30			到达终点		
596	5305	1	25	20			在 20 回合内通关		
597	5305	1	25	15			在 15 回合内通关		
598	5306	1	25	30			到达终点		
599	5306	1	25	20			在 20 回合内通关		
600	5306	1	25	15			在 15 回合内通关		
601	5401	1	25	30			到达终点		
602	5401	1	25	20			在 20 回合内通关		
603	5401	1	25	15			在 15 回合内通关		
604	5402	1	25	30			到达终点		
605	5402	1	25	20			在 20 回合内通关		
606	5402	1	25	15			在 15 回合内通关		
607	5403	1	25	30			到达终点		
608	5403	1	25	20			在 20 回合内通关		
609	5403	1	25	15			在 15 回合内通关		
610	5404	1	25	30			到达终点		
611	5404	1	25	20			在 20 回合内通关		
612	5404	1	25	15			在 15 回合内通关		
613	5405	1	25	30			到达终点		
614	5405	1	25	20			在 20 回合内通关		
615	5405	1	25	15			在 15 回合内通关		
616	5406	1	25	30			到达终点		
617	5406	1	25	20			在 20 回合内通关		
618	5406	1	25	15			在 15 回合内通关		
