Id	Name	UnlockChapterId	Style	SkillTypes	RoleType	ModelAssetPath	RoleOrder	Info	InfoName	HeadPath	LockTipsDesc	SkillTypeDescs	SkillTypeIconBefores	SkillTypeIconAfters
401	丽芙		蚀暗		1	QR1LifuMd010011DW	1	孤身一人来到这里，温柔但不脆弱的医者。任何谜题都无法难住她。	温柔的医者			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon63.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon64.png']
402	里		超刻	[2]	1	QR4LiangMd010011DW	2	当杀手来到这里，火焰随之听召而来，烧毁拦路的杂草。没有什么能成为他的阻碍。	无言的杀手			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon47.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon48.png']
403	含英		清商	[5]	1	QR2HanyingMd010011DW	3	被神秘地召唤到此处。轻柔的动作甚至可以推动飘摇的气泡，为她构筑通向终点的坦途。	优雅的舞伶			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon41.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon40.png']
404	艾拉		万华	[1]	1	QR3AilaMd010011DW	4	和热情的个性不同，画家的笔谨慎、冷静、凝练，足以冻结流水，使原本的陷阱成为坦途。	快乐的画家			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon51.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon52.png']
405	露西亚		深红囚影	[3]	1	QR5LuxiyaMd010011DW	5	拥有雷电属性的剑客，可以与金属机关共鸣，让自己停留在特殊的位置。	冷静的剑客			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon55.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon56.png']
406	丽芙的影子		蚀暗		2	QR1LifuMd010011DW	1	温柔的医者的影子。虽然没有什么特殊的能力，但既然对影同行，就不算孤身一人了吧。	医者的影子			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon65.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon66.png']
407	里的影子		超刻	[3]	2	QR4LiangMd010011DW	2	携带雷电之力的幻影，可以催生草木，让杀手适时停驻，不错过关键的线索。	杀手的影子			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon49.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon50.png']
408	含英的影子		清商	[1]	2	QR2HanyingMd010011DW	3	和舞者气质完全相反的影子，凌厉的舞姿可以轻易戳破虚幻的泡影。任何阻碍在她面前似乎都是徒劳。	舞者的影子			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon42.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon43.png']
409	艾拉的影子		万华	[2]	2	QR3AilaMd010011DW	4	似乎真正折射了画家热烈的内心，拥有将冰雪融化的力量——但请小心，流水也是危险之物。	画家的影子			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon53.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon54.png']
410	露西亚的影子		深红囚影	[4]	2	QR5LuxiyaMd010011DW	5	黑洞一般的暗影，当她经过时，所有金属都会被撕裂、吸收，归于虚无。	剑客的影子			['描述第一个属性']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon57.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon58.png']
501	维罗妮卡		铮骨	[6]	1	QR3WeiluonikaMd010011DW	1	物理形态的维罗妮卡，力大无比，可以撞飞部分路径上的单位。	铁骨铮铮的龙女			['物理形态的维罗妮卡，力大无比，可以撞飞部分路径上的单位。']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon78.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon79.png']
502	维罗妮卡		铮骨	[7]	1	QR3WeiluonikaMd010011DW	2	火形态的维罗妮卡，火焰护身，接触部分单位后可以将其点燃。	铁骨铮铮的龙女			['火形态的维罗妮卡，火焰护身，接触部分单位后可以将其点燃。']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon76.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon77.png']
503	维罗妮卡		铮骨	[6, 7]	1	QR3WeiluonikaMd010011DW	3	物理形态的维罗妮卡，力大无比，可以撞飞部分路径上的单位。	铁骨铮铮的龙女			['物理形态的维罗妮卡，力大无比，可以撞飞部分路径上的单位。', '火形态的维罗妮卡，火焰护身，接触部分单位后可以将其点燃。']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon78.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon76.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon79.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon77.png']
504	维罗妮卡的影子		铮骨	[7, 6]	2	QR3WeiluonikaMd010011DW	4	火形态的维罗妮卡的影子，火焰护身，接触部分单位后可以将其点燃。	龙女的影子			['维罗妮卡的影子，火焰护身，接触部分单位后可以将其点燃。', '维罗妮卡的影子，力大无比，可以撞飞部分路径上的单位。']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon76.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon78.png']	['Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon77.png', 'Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon79.png']
