Id	Group	Name	Describe	IconType	Icon	Icon2	IconCustom	TimeOut	OnlyTrue	IsMySelf	AndOr	ForbidMoveType	MoveType	EffectType	EffectButton	SkillId	MissileId
71	110824	普攻	露娜-被动教学-闪避普攻	1	1			700	True					[1]	[15]	[110833]	
72	110825	普攻	露娜-被动教学-任意普攻	1	1			-1						[1]	[15]	[110826, 110827, 110828, 110829, 110835, 110836, 110833]	
73	110825	普攻	露娜-被动教学-任意普攻	1	1			-1						[1]	[15]	[110826, 110827, 110828, 110829, 110835, 110836, 110833]	
74	110825	普攻	露娜-被动教学-任意普攻	1	1			-1						[1]	[15]	[110826, 110827, 110828, 110829, 110835, 110836, 110833]	
75	110825	普攻	露娜-被动教学-任意普攻	1	1			-1						[1]	[15]	[110826, 110827, 110828, 110829, 110835, 110836, 110833]	
76	110825	普攻	露娜-被动教学-任意普攻	1	1			-1						[1]	[15]	[110826, 110827, 110828, 110829, 110835, 110836, 110833]	
77	110826	长按进入湮灭	露娜-被动教学-自由教学	4	1			-1								[110830]	
78	110826	湮灭球	露娜-被动教学-自由教学	1	104			-1									[11083411]
79	110826	湮灭球	露娜-被动教学-自由教学	1	104			-1									[11083411]
80	110826	湮灭球	露娜-被动教学-自由教学	1	104			-1									[11083411]
81	110826	湮灭球	露娜-被动教学-自由教学	1	104			-1									[11083411]
82	110831	蓝球三消	露娜-团战教学-触发	3	102			-1						[1, 1, 1]	[1, 2, 3]	[101612]	
83	120111	普攻	2B-普攻教学-普攻	1	1			-1						[1]	[15]	[120101, 120108]	
84	120111	普攻	2B-普攻教学-普攻	1	1			600	True					[1]	[15]	[120102]	
85	120111	普攻	2B-普攻教学-普攻	1	1			600	True					[1]	[15]	[120103]	
86	120111	普攻	2B-普攻教学-普攻	1	1			1000	True					[1]	[15]	[120104]	
87	120111	普攻	2B-普攻教学-普攻	1	1			1200	True					[1]	[15]	[120105]	
88	120111	普攻	2B-普攻教学-普攻	1	1			1100	True					[1]	[15]	[120106]	
89	120111	普攻	2B-普攻教学-普攻	1	1			1200	True					[1]	[15]	[120107]	
90	120112	红球	2B-消球教学-红球	1	101			-1						[1]	[1]	[120109, 120110, 120111]	
91	120113	蓝球	2B-消球教学-蓝球	1	102			-1						[1]	[1]	[120112, 120113, 120114]	
92	120114	黄球	2B-消球教学-黄球	1	103			-1						[1]	[1]	[120115, 120116, 120117]	
93	120115	闪避后移动	2B-普攻教学-冲刺普攻	2	2	4		-1						[2, 2]	[16, 51]	[120120, 120121]	
94	120115	普攻	2B-普攻教学-冲刺普攻	1	1			-1	True					[1]	[15]	[120122]	
95	120121	黄球三消	2B-被动教学-进入剑气	3	103			-1						[1, 1, 1]	[1, 2, 3]	[120117, 120144]	
96	120121	任意三消	2B-被动教学-进入剑气	3	99			-1						[1, 1, 1]	[1, 2, 3]	[120111, 120114, 120117, 120141, 120144]	
97	120122	普攻	2B-被动教学-剑气普攻	1	1			-1						[1]	[15]	[120131, 120138]	
98	120122	普攻	2B-被动教学-剑气普攻	1	1			600	True					[1]	[15]	[120132]	
99	120122	普攻	2B-被动教学-剑气普攻	1	1			600	True					[1]	[15]	[120133]	
100	120122	普攻	2B-被动教学-剑气普攻	1	1			1000	True					[1]	[15]	[120134]	
101	120122	普攻	2B-被动教学-剑气普攻	1	1			1200	True					[1]	[15]	[120135]	
102	120122	普攻	2B-被动教学-剑气普攻	1	1			1100	True					[1]	[15]	[120136]	
103	120122	普攻	2B-被动教学-剑气普攻	1	1			1200	True					[1]	[15]	[120137]	
104	120123	红球二消	2B-被动教学-剑气增伤	2	101	101		-1						[1, 1]	[1, 2]	[120140]	
105	120124	红球三消	2B-被动教学-剑气增伤	3	101			-1						[1, 1, 1]	[1, 2, 3]	[120141]	
106	120125	红球一消	2B-被动教学-剑气增伤	1	101			-1						[1]	[1]	[120139]	
107	120126	大招	2B-被动教学-剑气增伤	1	3			-1						[1]	[17]	[120123]	
108	120127	红球	2B-被动教学-剑气红消	1	101			-1	True					[1]	[1]	[120139, 120140, 120141]	
109	120127	黄球	2B-被动教学-剑气黄消	1	103			-1	True					[1]	[1]	[120142, 120143, 120144]	
110	120211	普攻	A2-普攻教学-普攻	1	1			-1						[1]	[15]	[120201, 120227]	
111	120211	普攻	A2-普攻教学-普攻	1	1			800	True					[1]	[15]	[120202]	
112	120211	普攻	A2-普攻教学-普攻	1	1			800	True					[1]	[15]	[120203]	
113	120211	普攻	A2-普攻教学-普攻	1	1			800	True					[1]	[15]	[120204]	
114	120211	普攻	A2-普攻教学-普攻	1	1			950	True					[1]	[15]	[120205]	
115	120211	普攻	A2-普攻教学-普攻	1	1			900	True					[1]	[15]	[120206]	
116	120212	红球	A2-消球教学-红球	1	101			-1						[1]	[1]	[120207, 120208, 120209]	
117	120213	蓝球	A2-消球教学-蓝球	1	102			-1						[1]	[1]	[120210, 120211, 120212]	
118	120214	黄球	A2-消球教学-黄球	1	103			-1						[1]	[1]	[120213, 120214, 120215]	
119	120221	任意三消	A2-被动教学-三消飞弹	3	99			-1						[1, 1, 1]	[1, 2, 3]	[120209, 120212, 120215]	
120	120222	任意三消	A2-被动教学-大招耗盾	3	99			-1	True	True						[120212]	
121	120222	任意三消	A2-被动教学-大招耗盾	3	99			-1	True	True						[120212]	
122	120222	任意三消	A2-被动教学-大招耗盾	3	99			-1	True	True						[120212]	
123	120222	任意三消	A2-被动教学-大招耗盾	3	99			-1	True	True						[120212]	
124	120222	大招	A2-大招教学-大招耗盾	1	3			-1								[120220]	
125	120223	普攻	A2-被动教学-大招普攻	1	1			-1						[1]	[15]	[120239, 120227]	
126	120223	普攻	A2-被动教学-大招普攻	1	1			800	True					[1]	[15]	[120240]	
127	120223	普攻	A2-被动教学-大招普攻	1	1			800	True					[1]	[15]	[120241]	
128	120223	普攻	A2-被动教学-大招普攻	1	1			800	True					[1]	[15]	[120242]	
129	120223	普攻	A2-被动教学-大招普攻	1	1			950	True					[1]	[15]	[120243]	
130	120223	普攻	A2-被动教学-大招普攻	1	1			900	True					[1]	[15]	[120244]	
131	120224	任意消球	A2-被动教学-大招消球	1	99			-1						[1]	[1]	[120207, 120208, 120209, 120210, 120211, 120212, 120213, 120214, 120215]	
132	120225	红球三消	A2-追击教学-红球	3	101			-1						[1, 1, 1]	[1, 2, 3]	[120209]	
133	120225	普攻	A2-追击教学-普攻	1	1			4000						[1]	[15]	[120234]	
134	120311	普攻	9S-普攻教学-普攻	1	1			-1						[1]	[15]	[120301]	
135	120311	普攻	9S-普攻教学-普攻	1	1			800	True					[1]	[15]	[120302]	
136	120311	普攻	9S-普攻教学-普攻	1	1			700	True					[1]	[15]	[120303]	
137	120311	普攻	9S-普攻教学-普攻	1	1			1000	True					[1]	[15]	[120304]	
138	120311	普攻	9S-普攻教学-普攻	1	1			1100	True					[1]	[15]	[120305]	
139	120311	普攻	9S-普攻教学-普攻	1	1			1000	True					[1]	[15]	[120306]	
140	120311	普攻	9S-普攻教学-普攻	1	1			800	True					[1]	[15]	[120307]	
143	120312	红球	9S-消球教学-红球	1	101			-1						[1]	[1]	[120309, 120310, 120311]	
144	120313	蓝球	9S-消球教学-蓝球	1	102			-1						[1]	[1]	[120312, 120313, 120314]	
145	120314	黄球	9S-消球教学-黄球	1	103			-1						[1]	[1]	[120315, 120316, 120317]	
141	120315	闪避后移动	9S-普攻教学-冲刺普攻	2	2	4		-1						[2, 2]	[16, 51]	[120320, 120321]	
142	120315	普攻	9S-普攻教学-冲刺普攻	1	1			-1	True					[1]	[15]	[120327]	
146	120321	任意三消	9S-被动教学-三消炸弹	3	99			-1						[1, 1, 1]	[1, 2, 3]	[120311, 120314, 120317]	
147	120321	超频指示器	9S-被动教学-炸弹	1	104			-1						[1]	[1]		[12051003, 12051103, 12051203]
148	120322	任意三消	9S-被动教学-三消炸弹	3	99			-1						[1, 1, 1]	[1, 2, 3]	[120311, 120314, 120317]	
149	120322	超频指示器	9S-被动教学-炸弹	1	104			-1	True					[1]	[1]		[12051203]
150	120323	大招	9S-大招教学	1	3			-1						[1]	[17]	[120328]	
151	120231	蓝球三消	A2-qte-三消	3	102			-1						[1, 1, 1]	[1, 2, 3]	[120114]	
152	120131	蓝球三消	2B-qte-三消	3	102			-1						[1, 1, 1]	[1, 2, 3]	[120314]	
153	120331	蓝球三消	9S-qte-三消	3	102			-1						[1, 1, 1]	[1, 2, 3]	[120212]	
154	120215	移动并长按闪避	A2-滑行攻击-长按闪避	2	4	2		-1						[2, 2]	[16, 51]	[120235]	
155	110911	普攻	万事-普攻教学	1	1			-1	True					[1]	[15]	[110901]	
156	110911	普攻	万事-普攻教学	1	1			500	True					[1]	[15]	[110902]	
157	110911	普攻	万事-普攻教学	1	1			600	True					[1]	[15]	[110903]	
158	110911	普攻	万事-普攻教学	1	1			900	True					[1]	[15]	[110904]	
159	110911	普攻	万事-普攻教学	1	1			567	True					[1]	[15]	[110905]	
160	110911	普攻	万事-普攻教学	1	1			867	True					[1]	[15]	[110906]	
161	110911	普攻	万事-普攻教学	1	1			800	True					[1]	[15]	[110907]	
162	110921	任意三消	万事-核心被动教学1	3	99			-1						[1, 1, 1]	[1, 2, 3]	[110910, 110913, 110916]	
163	110921	长按普攻	万事-核心被动教学1	4	1			-1						[2]	[15]	[110920, 110921, 110922, 110934, 110935, 110936]	
164	110921	松开普攻	万事-核心被动教学2	1	1			-1						[1]	[15]	[110923]	
165	110922	任意三消	万事-核心被动教学2	3	99			-1						[1, 1, 1]	[1, 2, 3]	[110910, 110913, 110916]	
166	110922	长按普攻	万事-核心被动教学2	4	1			2100						[2]	[15]	[110920, 110921, 110922, 110934, 110935, 110936]	
167	110922	松开普攻	万事-核心被动教学2	1	1			-1						[1]	[15]	[110923]	
168	110923	任意三消	万事-核心被动教学3	3	99			-1						[1, 1, 1]	[1, 2, 3]	[110910, 110913, 110916]	
169	110923	长按普攻	万事-核心被动教学3	4	1			2100						[2]	[15]	[110920, 110921, 110922, 110934, 110935, 110936]	
170	110923	松开并闪避	万事-核心被动教学3	1	1			-1						[1]	[15]	[110924]	
171	130121	红球三消	赛琳娜-核心教学	3	101			-1						[1, 1, 1]	[1, 2, 3]	[130109]	
172	130121	任意消球	赛琳娜-核心教学	1	99			-1						[1]	[1]	[130107, 130110, 130113]	
173	130122	黄球三消	赛琳娜-核心教学	3	103			-1	True	True				[1, 1, 1]	[1, 2, 3]	[130115]	
174	130122	黄球	赛琳娜-核心教学	1	103			-1						[1]	[1]	[130113, 130114, 130115]	
175	130123	蓝球三消	赛琳娜-核心教学	3	102			-1	True	True				[1, 1, 1]	[1, 2, 3]	[130112]	
176	130123	红球	赛琳娜-核心教学	1	101			-1						[1]	[1]	[130107, 130108, 130109]	
177	130124	必杀技	赛琳娜-核心教学	1	3			-1						[1]	[17]	[130116]	
178	130125	断奏	赛琳娜-核心教学	1	104			-1						[1, 1]	[15, 1]	[130127, 130128]	
179	130125	断奏	赛琳娜-核心教学	1	104			-1						[1, 1]	[15, 1]	[130127, 130128]	
180	130125	断奏	赛琳娜-核心教学	1	104			-1						[1, 1]	[15, 1]	[130127, 130128]	
181	130125	断奏	赛琳娜-核心教学	1	104			-1						[1, 1]	[15, 1]	[130127, 130128]	
182	130125	断奏	赛琳娜-核心教学	1	104			-1						[1, 1]	[15, 1]	[130127, 130128]	
183	130125	断奏	赛琳娜-核心教学	1	104			-1						[1, 1]	[15, 1]	[130127, 130128]	
184	111251	任意招式弹开攻击	库洛姆S-剧情关	1	1			-1						[1]	[15]	[111201, 111291]	
185	111211	普攻	库洛姆S-普攻教学	1	1			-1						[1]	[15]	[111201, 111291]	
186	111211	普攻	库洛姆S-普攻教学	1	1			1100	True					[1]	[15]	[111202]	
187	111211	普攻	库洛姆S-普攻教学	1	1			800	True					[1]	[15]	[111203]	
188	111211	普攻	库洛姆S-普攻教学	1	1			1000	True					[1]	[15]	[111204]	
189	111211	普攻	库洛姆S-普攻教学	1	1			1100	True					[1]	[15]	[111205]	
190	111211	普攻	库洛姆S-普攻教学	1	1			1200	True					[1]	[15]	[111206]	
191	111212	红球	库洛姆S-消球教学-红球	1	101			-1						[1]	[1]	[111207, 111208, 111209]	
192	111213	蓝球	库洛姆S-消球教学-蓝球	1	102			-1						[1]	[1]	[111210, 111211, 111212]	
193	111214	黄球	库洛姆S-消球教学-黄球	1	103			-1						[1]	[1]	[111213, 111214, 111215]	
194	111215	必杀技	库洛姆S-大招教学	1	3			-1						[1]	[17]	[111222]	
195	410311	基础球三消	仙鹤——技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[101408, 101414, 101411]	
196	410311	基础球三消	仙鹤——技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[101408, 101414, 101411]	
197	410311	启蛰霍闪	仙鹤——技能教学	1	8			-1						[1]	[23]	[420304]	
198	410312	基础球三消	仙鹤——技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[101408, 101414, 101411]	
199	410312	基础球三消	仙鹤——技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[101408, 101414, 101411]	
200	410312	吟湃雳击	仙鹤——技能教学	1	8			-1						[1]	[23]	[420309]	
201	111231	蓝球三消	库洛姆S-qte-冰露三消召唤	3	102			-1						[1, 1, 1]	[1, 2, 3]	[103211, 103261]	
202	111231	释放蓝色位qte	库洛姆S-qte-QTE	1	92			-1						[1]	[21]	[111231]	
203	111232	释放出场技	库洛姆S-qte-出场技	1	95			-1	True					[1]	[21]	[111227]	
204	111221	任意三消	库洛姆S-核心教学-三消强化	3	99			-1						[1, 1, 1]	[1, 2, 3]	[111212]	
205	111222	红色三消	库洛姆S-核心教学-红效果	3	101			-1						[1, 1, 1]	[1, 2, 3]	[111209]	
206	111222	蓝色三消	库洛姆S-核心教学-蓝效果	3	102			-1						[1, 1, 1]	[1, 2, 3]	[111212]	
207	111222	黄色三消	库洛姆S-核心教学-黄效果	3	103			-1								[111215]	
208	111223	长按进入寒魄	库洛姆S-核心教学-长按	4	1			-1						[2]	[15]	[111219]	
209	111224	寒魄强袭	库洛姆S-核心教学-普攻	1	1			-1						[1]	[15]	[111216]	
210	111224	寒魄强袭	库洛姆S-核心教学-普攻	1	1			1300	True					[1]	[15]	[111217]	
211	111224	寒魄强袭	库洛姆S-核心教学-普攻	1	1			1300	True					[1]	[15]	[111218]	
212	111225	任意三消	库洛姆S-核心教学-三消强化	3	99			-1								[111209]	
213	111226	寒魄强袭/任意三消	库洛姆S-核心教学-三消强化	1	1			-1						[1]	[15]	[111216, 111217, 111218]	
214	111241	长按进入寒魄	库洛姆S-核心教学-长按	4	1			-1						[2]	[15]	[111219]	
215	111242	寒魄强袭/任意三消	库洛姆S-核心教学-三消强化	1	1			-1						[1]	[15]	[111216, 111217, 111218]	
216	410313	基础球三消	马——技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[110509, 110512, 110515, 110531, 110532, 110533]	
217	410313	基础球三消	马——技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[110509, 110512, 110515, 110531, 110532, 110533]	
218	410313	坠地猛踏	马——技能教学	1	8			-1						[1]	[23]	[420407]	
221	410314	矛盾蓄力击	马——技能教学	1	8			-1						[1]	[23]	[420413]	
222	111311	普攻	21号-普攻教学	1	1			-1						[1]	[15]	[130301, 130302, 130303, 130304]	
223	111311	普攻	21号-普攻教学	1	1			-1						[1]	[15]	[130301, 130302, 130303, 130304]	
224	111311	普攻	21号-普攻教学	1	1			-1						[1]	[15]	[130301, 130302, 130303, 130304]	
225	111311	普攻	21号-普攻教学	1	1			-1						[1]	[15]	[130301, 130302, 130303, 130304]	
226	111311	强化攻击	21号-普攻教学	1	1			-1						[1]	[15]	[130305]	
227	111312	蓝色三消	21号-三消+强化教学	3	102			-1						[1, 1, 1]	[1, 2, 3]	[130316]	
229	111312	普攻	21号-三消+强化教学	1	1			-1						[1]	[15]	[130301, 130302, 130303, 130304]	
230	111312	普攻	21号-三消+强化教学	1	1			-1						[1]	[15]	[130301, 130302, 130303, 130304]	
231	111312	强化攻击	21号-三消+强化教学	1	1			-1						[1]	[15]	[130305]	
232	111313	红色三消	21号-红三消+闪避教学	3	101			-1						[1, 1, 1]	[1, 2, 3]	[130313, 130340]	
233	111313	闪避	21号-红三消+闪避教学	1	2			500						[1, 1, 1]	[1, 2, 3]	[130329]	
234	111314	黄色三消	21号-黄三消+闪避教学	3	103			-1						[1, 1, 1]	[1, 2, 3]	[130319]	
235	111314	闪避	21号-黄三消+闪避教学	1	2			500						[1, 1, 1]	[1, 2, 3]	[130329]	
240	111316	闪避	21号-强制闪避教学	1	2			-1						[1, 1, 1]	[1, 2, 3]	[130322, 130323]	
241	111321	普攻	薇拉S-普攻教学	1	1			-1	True					[1]	[15]	[111301, 111321]	
242	111321	普攻	薇拉S-普攻教学	1	1			-1	True					[1]	[15]	[111302]	
243	111321	普攻	薇拉S-普攻教学	1	1			-1	True					[1]	[15]	[111303]	
244	111321	普攻	薇拉S-普攻教学	1	1			-1	True					[1]	[15]	[111304]	
245	111321	普攻	薇拉S-普攻教学	1	1			-1	True					[1]	[15]	[111305]	
246	111321	普攻	薇拉S-普攻教学	1	1			-1	True					[1]	[15]	[111306]	
247	111322	蓝球	薇拉S-消球教学-蓝球	1	102			-1						[1]	[1]	[111310]	
248	111323	黄球	薇拉S-消球教学-黄球	1	103			-1						[1]	[1]	[111313]	
249	111324	红球	薇拉S-消球教学-红球	1	101			-1						[1]	[1]	[111307]	
250	111325	必杀技	薇拉S-大招教学	1	3			-1						[1]	[17]	[111326]	
251	111326	红色三消	薇拉S-核心教学-3红+普攻	3	101			-1	True	True				[1, 1, 1]	[1, 2, 3]	[111309]	
252	111326	普攻	薇拉S-核心教学-3红+普攻	1	1			-1	True					[1]	[15]	[111316]	
253	111327	蓝色三消	薇拉S-核心教学-3蓝+普攻	3	102			-1	True	True				[1, 1, 1]	[1, 2, 3]	[111312]	
254	111327	普攻	薇拉S-核心教学-3蓝+普攻	1	1			-1	True					[1]	[15]	[111317, 111335]	
255	111328	黄色三消	薇拉S-核心教学-3黄+普攻	3	103			-1	True	True				[1, 1, 1]	[1, 2, 3]	[111315]	
256	111328	普攻	薇拉S-核心教学-3黄+普攻	1	1			-1	True					[1]	[15]	[111323]	
257	111329	大招	薇拉S-核心教学-大招+普攻	1	3			-1						[1]	[17]	[111326]	
258	111329	长按普攻	薇拉S-核心教学-长按普攻	4	1			2800						[2]	[15]	[111322]	
259	111330	长按普攻	薇拉S-核心教学-长按普攻	4	1			-1						[2]	[15]	[111325]	
260	111331	蓝球三消	薇拉S-qte-比安卡三消召唤	3	102			-1						[1, 1, 1]	[1, 2, 3]	[101411]	
261	111331	qte	薇拉S-qte-QTE	1	92			-1						[1]	[21]	[111324, 119301]	
263	111334	角色出场技	薇拉S-qte-出场技	1	95			-1						[1]	[21]	[111327, 111334, 111325]	
270	111340	普攻	罗兰-3连教学	1	1			-1	True					[1]	[15]	[130201, 130227]	
271	111340	普攻	罗兰-3连教学	1	1			2000	True					[1]	[15]	[130202]	
272	111340	妄蹈	罗兰-3连教学	1	104		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan05.png	1000	True					[1]	[1]	[130205]	
273	111341	普攻	罗兰-4连教学	1	1			-1	True					[1]	[15]	[130201, 130227]	
274	111341	普攻	罗兰-4连教学	1	1			2000	True					[1]	[15]	[130202]	
275	111341	普攻	罗兰-4连教学	1	1			2000	True					[1]	[15]	[130203]	
276	111341	眩刃	罗兰-4连教学	1	104		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan0601.png	1000	True					[1]	[1]	[130206]	
277	111342	普攻	罗兰-5连教学	1	1			-1	True					[1]	[15]	[130201, 130227]	
278	111342	普攻	罗兰-5连教学	1	1			2000	True					[1]	[15]	[130202]	
279	111342	普攻	罗兰-5连教学	1	1			2000	True					[1]	[15]	[130203]	
280	111342	普攻	罗兰-5连教学	1	1			2000	True					[1]	[15]	[130204]	
281	111342	淬链	罗兰-5连教学	1	104		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan07.png	1000	True					[1]	[1]	[130207]	
282	111343	红球	罗兰-红球教学	1	101			-1	True					[1]	[2]	[130208]	
283	111343	红球连段	罗兰-红球教学	1	101		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan12.png	1000	True					[1]	[2]	[130233]	
284	111344	蓝球	罗兰-蓝球教学	1	102			-1	True					[1]	[4]	[130209]	
285	111344	蓝球连段	罗兰-蓝球教学	1	102		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan22.png	1000	True					[1]	[4]	[130234]	
286	111345	黄球	罗兰-黄球教学	1	103			-1	True					[1]	[3]	[130210]	
287	111345	黄球连段	罗兰-黄球教学	1	103		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan32.png	1000	True					[1]	[3]	[130235]	
288	111346	大招	罗兰-大招教学	1	3			-1	True					[1]	[17]	[130211]	
289	111347	闪避伤害	罗兰-闪避追击教学	1	2			-1	True					[1]	[16]	[130224, 130225]	
290	111347	眩刃	罗兰-闪避追击教学	1	104		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan0602.png	-1	True					[1]	[1]	[130232]	
291	111348	极限闪避	罗兰-极限闪避教学	1	2			-1	True					[1]	[16]	[130224, 130225]	
292	111348	任意球	罗兰-极限闪避教学	1	99			4000	True							[130208, 130209, 130210]	
294	111349	焚烈球	罗兰-焚烈球教学	1	99		Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luolan46.png	-1	True					[1]	[5]	[130239]	
295	111350	极限闪避	罗兰-升阶极限闪避教学	1	2			-1	True					[1]	[16]	[130224, 130225]	
296	111350	任意球	罗兰-升阶极限闪避教学	1	99			4000	True							[130208, 130209, 130210, 130233, 130234, 130235]	
297	111350	任意球	罗兰-升阶极限闪避教学	1	99			4000	True							[130208, 130209, 130210, 130233, 130234, 130235]	
298	111350	任意球	罗兰-升阶极限闪避教学	1	99			4000	True							[130208, 130209, 130210, 130233, 130234, 130235]	
299	410315	基础球三消	火猫-技能教学	3	99			-1						[1, 1, 1]	[1, 2, 3]	[101707, 101710, 101713, 101729, 101732]	
