StageId	DescDetail	ShowFightEventIds	RobotId	CharacterType
30100029	1.布偶熊释放一段必杀时永久获得30%额外伤害加成\n2.布偶熊释放二段必杀时，随机返还2组信号球	[780033]	[2260]	1
30100030	1.布偶熊释放一段或二段必杀时永久获得30%额外伤害加成\n2.布偶熊释放二段必杀时，随机返还2组信号球	[780033]	[2260]	1
30100037	战胜强敌！	[752117]	[2262]	1
30100038	1.露娜·终焉每次普攻获得1组信号球/1个终临球\n2.成功闪避后将残月值和终月值提升至上限	[752117]	[2262]	1
30100039	1.露娜·终焉进入敛月时，每秒获得1组信号球/1个终临球\n2.每消耗10点终月值永久获得2%额外伤害加成	[752117]	[2262]	1
30100046	战胜强敌！	[780003]	[2265]	1
30100047	1.布里姬特每次普攻获得1个蓝色信号球和1个红色信号球\n2.布里姬特释放必杀后，永久获得30%额外伤害加成和50%焚烧伤害加成	[780003]	[2265]	1
30100048	1.布里姬特每次普攻获得1个蓝色信号球和1个红色信号球\n2.布里姬特使用红球精准反击后，永久获得20%额外伤害加成\n3.布里姬特释放必杀后，永久获得50%焚烧伤害加成	[780003]	[2265]	1
30100059	战胜强敌！	[780043]	[2267]	1
30100060	1.含英·檀心每次普攻获得3个信号球\n2.含英·檀心释放必杀·月寒一声时获得120繁音和60能量，并获得50%额外伤害加成，可叠加	[780043]	[2267]	1
30100061	1.含英·檀心每次普攻获得3个信号球\n2.含英·檀心每次释放瑶碧华琚，获得10%额外伤害，可叠加	[780043]	[2267]	1
30100076	战胜强敌！	[780023]	[2271]	1
30100077	1.万事·明晰梦每次普攻获得1个信号球，三消额外回复80点专注值\n2.万事·明晰梦释放必杀后，额外伤害提升25%，可叠加		[2271]	1
30100078	1.万事·明晰梦每次普攻获得1个信号球，三消额外回复80点专注值\n2.万事·明晰梦在校准模式·冷寂下，积攒覆冰槽/冰结槽效率提升20%\n3.万事·明晰梦每次释放极冰，将会使自身额外伤害提升1.5%		[2271]	1
30100085	战胜强敌！	[780003]	[2274]	1
30100086	1.露西亚·誓焰每次普攻获得3个信号球\n2.露西亚·誓焰释放必杀-协行锐斩/必杀-蚀日彻曙时，永久提升30%额外伤害\n3.露西亚·誓焰每次释放必杀-蚀日彻曙后回满淬炼值	[780003]	[2274]	1
30100087	1.露西亚·誓焰每次普攻回复3个信号球，释放普攻5段后的蓝球技能，可充满电流积蓄值\n2.露西亚·誓焰释放必杀-协行锐斩/必杀-蚀日彻曙时，永久提升50%电束伤害\n3.露西亚·誓焰每次释放必杀-蚀日彻曙后回满淬炼值\n4.露西亚·誓焰获得霸体	[780914]	[2274]	1
30100095	战胜强敌！	[780013]	[2277]	1
30100096	1.八咫·徊闪释放必杀后立即获得90心流\n2.八咫·徊闪释放夜途冲期间每秒获得15心流\n3.八咫·徊闪在悟境状态下释放必杀，永久提升50%额外伤害	[780013]	[2277]	1
30100097	1.八咫·徊闪释放夜途冲时，每秒额外获得50点覆冰值和15点心流\n2.八咫·徊闪释放必杀后立即获得90心流\n3.八咫·徊闪在冰刺存续期间释放必杀，永久提升100%覆冰伤害。	[780923]	[2277]	1
30100107	战胜强敌！	[780013]	[2278]	1
30100108	1.七实·芒星之迹每次释放必杀后获得3个球\n2.七实·芒星之迹释放必杀后额外伤害提升50%，可叠加	[780013]	[2279]	1
30100109	1.七实·芒星之迹每次释放必杀后获得3个球\n2.七实·芒星之迹长按黄球每消耗5点星芒值，自身焚烧伤害提升3%，可叠加	[780917]	[2279]	1
30100119	战胜强敌！	[752117]	[2281]	1
30100120	1.伊什梅尔·幻日携带专属意识四件套开启浮象禁域期间，闪避释放浮影归湮获得双倍坍缩值。\n2.伊什梅尔·幻日开启浮象禁域额外获得20必杀能量，释放必杀-寂灭绝罚后立即重置浮象禁域时间。\n3.释放浮影归湮后，长按闪避释放的降维坍坠获得20%额外伤害加成，可叠加。	[752117]	[2282]	1
30100121	1.伊什梅尔·幻日每次消耗浮影值，立即获得一组信号球。\n2.伊什梅尔·幻日每次释放降维坍坠后，必杀-寂灭绝罚额外伤害提升50%，可叠加。\n3.伊什梅尔·幻日释放必杀-寂灭绝罚后，立即获得30点必杀能量。	[752117]	[2282]	1
30100125	战胜强敌！	[780033]	[2285]	1
30100126	1.莉莉丝·谬影每段普攻额外获得一个黄色/蓝色信号球。\n2.莉莉丝·谬影在狂欢对局时，每点按一次红球，额外伤害永久提升7%，可叠加。	[780033]	[2286]	1
30100127	1.莉莉丝·谬影每段普攻额外获得一个黄色/蓝色信号球。\n2.莉莉丝·谬影在狂欢对局时，长按普攻每消耗一个黄球，电束伤害提升2%，可叠加。	[780914]	[2286]	1
30100131	战胜强敌！	[780043]	[2288]	1
30100132	1.赛琳娜·希声在释放普通攻击时会获得一组三消球。\n2.赛琳娜·希声释放【普攻-音刃延鸣】后，【律调怒放】的额外伤害提升50%。\n3.赛琳娜·希声使用【普攻-音刃延鸣】成功格挡敌人攻击后，自身攻击力提升100%，持续8秒。	[780043]	[2289]	1
30100133	1.赛琳娜·希声在释放普通攻击时额外获得200点覆冰值和一组三消球。\n2.赛琳娜·希声释放【协奏球】后，【必杀-间岚啸鸣/必杀-徒花的终止符】的覆冰伤害提升10%。\n3.赛琳娜·希声使用【普攻-音刃延鸣】成功格挡对方攻击后，自身攻击力提升100%，持续8秒。	[780923]	[2289]	1
30100139	战胜强敌！	[780033]	[172103]	1
30100140	1.洁塔薇·破晓释放【蓄载】后，【映射锁链】和【坼地逆罔】的额外伤害提升50%，持续10秒，重复触发刷新持续时间。\n2.洁塔薇·破晓普攻时获得一组三消信号球。\n3.洁塔薇·破晓处于蓄力姿态并松开时成功触发闪避，自身攻击力提升100%，持续12秒，重复触发刷新。	[780033]	[172106]	1
30100141	1.洁塔薇·破晓释放【迸流助燃】后，【坼地逆罔·燃烧】的焚烧基础伤害提升1200%，持续10秒，重复触发刷新持续时间。\n2.洁塔薇·破晓【成焰】额外施加5000点易燃积蓄值和两组三消信号球。\n3.洁塔薇·破晓处于蓄力姿态并松开时成功触发闪避，自身攻击力提升100%，持续12秒，重复触发刷新。	[780917]	[172107]	1
30100148	战胜强敌！	[780043]	[2298]	1
30100149	1.每次释放Sin Devil Trigger后，维吉尔获得20%暴击伤害和20%额外伤害加成，可叠加5次。\n2.维吉尔常态下每次普攻回复3个信号球，真魔人状态下每次普攻额外回复1个信号球。\n3.真魔人状态下自带100%额外伤害加成（不可叠加），持续到真魔人状态中受击或退出真魔人状态为止。	[780043]	[2298]	1
30100150	1.每次释放Sin Devil Trigger后，维吉尔真意斩伤害提升10%，可叠加至500%。\n2.维吉尔常态下每次普攻回复3个信号球，真魔人状态下每次普攻额外回复1个信号球。\n3.真魔人状态下自带100%额外伤害加成（不可叠加），持续到真魔人状态中受击或退出真魔人状态为止。	[780920]	[2298]	1
30100151	战胜强敌！	[780003]	[2300]	1
30100152	1.每消耗30点魔人值/真魔人值，但丁获得20%火属性伤害加成，最多叠加至200%。\n2. 常态每次普攻回3球。	[780003]	[2301]	1
30100153	1每消耗30点魔人值/真魔人值，但丁获得20%焚烧伤害加成，最多叠加至200%。\n2.常态每次普攻回3球。	[780917]	[2301]	1
30100157	战胜强敌！	[780003]	[2291]	1
30100158	1.释放【猎影战栗】后，【燃火熔魂】、【刃旋瞬步】、【斩反残掠】和【炙锋灼空】的火属性伤害的额外伤害提升10%，持续10秒。\n2.使用【终烬连舞】成功反击后，自身攻击力提升100%，持续12秒，重复触发刷新。\n3.普攻时获得一个信号球。	[780003]	[2292]	1
30100159	1.释放【猎影战栗】后，【燃火熔魂】、【刃旋瞬步】、【斩反残掠】和【炙锋灼空】的黯衍伤害的额外伤害提升1000%，持续10秒。\n2.使用【终烬连舞】成功反击后，自身攻击力提升100%，持续12秒，重复触发刷新。\n3.【聚焰淬夜】额外回复一组红球。	[780926]	[2292]	1
30100163	战胜强敌！	[780033]	[2303]	1
30100164	1.释放【展渊】和【断海·噬穹】后，【终末祷词·影绞】伤害提升20%，最高叠至500%。\n2.每次普攻回复3个信号球。	[780033]	[2304]	1
30100165	1.释放【终末祷词·烬灭】后，获得200熠光积蓄值，比安卡全程获取熠光积蓄值效率提升100%。\n2.每进入一次圣辉浸礼状态，全伤害提升20%，最高叠200%。\n3.每次普攻回复3个信号球。	[780914, 780013]	[2304]	1
30100169	战胜强敌！	[780043]	[2306]	1
30100170	1.释放【断织终章·肆妄】后，红球额外伤害提升100%，最高叠加值1000%。\n2.每次普攻回复一组信号球。	[780043]	[2307]	1
30100171	1.释放【断织终章·肆妄】后，真意斩伤害提升150% ，持续12秒。\n2.每次长按闪避释放【狱铰】额外获得300点藏锋值。\n3.每次普攻回复一组信号球。	[780920]	[2307]	1
30100176	战胜强敌！	[780043]	[2309]	1
30100177	1.每次释放黄球技能（断域、轰流、重锋和带有罪迹的贯诛）后，额外伤害提升50%，最高叠加至200%，持续5s，可重复触发刷新时间。\n2.裁罪期间普攻时获得三个蓝球。	[780043]	[2310]	1
30100178	1.每次释放黄球技能（断域、轰流、重锋和带有罪迹的贯诛）后，焚烧伤害提升50%，最高叠加至200%，持续5s，可重复触发刷新时间。\n2.裁罪期间普攻时获得三个蓝球。	[780917]	[2310]	1
30100182	战胜强敌！	[780013]	[2312]	1
30100183	1.每释放一次12层玲珑心的【镜映新生】后，【镜映新生】的雷属性伤害提升50%，最高叠至500%。\n2.潜梦期间，释放【玉碎】反击成功，自身攻击力提升100%，持续8秒，重复触发刷新。\n3.每次释放【潜梦】和【镜映新生】后获得一组信号球。	[780013]	[2313]	1
30100184	1.每释放一次12层玲珑心的【镜映新生】后，【镜映新生】的黯衍伤害提升50%，最高叠至500%。\n2.潜梦期间，释放【玉碎】反击成功，自身攻击力提升100%，持续8秒，重复触发刷新。\n3.每次释放【潜梦】和【镜映新生】后获得一组信号球，每次三消获得5层黯衍层数。	[780926]	[2313]	1
30100189	战胜强敌！	[780023]	[2315]	1
30100190	在数域空间中记录三种霓虹球后，【数域空间·势垒裂隙】的冰属性伤害增加25%，最高叠至250%。	[780023]	[2316]	1
30100191	激活熠光效应时，释放【黄色霓虹球】（高分贝溃耳、脉噪声贯通）的熠光伤害提升300%。	[780914, 780013]	[2316, 2321]	1
30100195	战胜强敌！	[780033]	[2318]	1
30100196	每普攻一次（包括长普），额外伤害提升50%（最多提升200%)，持续5s。重复触发刷新时间。	[780033]	[2319]	1
30100197	每普攻一次（包括长普），额外伤害提升50%（最多提升200%)，持续5s。重复触发刷新时间。	[780920]	[2319]	1
30100207	战胜强敌！	[752117]	[2322]	1
30100208	1.涅缇娅·亡歌每次释放【黄球技能】（渡鸦祭礼、绞刑幽灵、一朝暮乱）后，空属性伤害提升50%，最高叠至200%，持续5s，可重复触发刷新时间。\n2.涅缇娅·亡歌每次释放【鸦影形态】技能（孑鸟终斩、刃晫冥路）后，获得一组信号球。\n3.涅缇娅·亡歌每次释放【赴亡末约】后获得一组信号球。	[752117]	[2323]	1
30100209	1.涅缇娅·亡歌每次释放【黄球技能】（渡鸦祭礼、绞刑幽灵、一朝暮乱）后，空属性伤害提升50%，最高叠至200%，持续5s，可重复触发刷新时间。\n2.涅缇娅·亡歌每次释放【赴亡末约】后获得两组信号球。	[752117]	[2323]	1
