TreasureId	Type	RequireStage	RequireStar	RewardId	Description	Title
170	1		8	1013144	领取奖励需要星级	实战挑战Ⅲ
171	1		9	1013145	领取奖励需要星级	实战挑战Ⅳ
172	2	30100128		12051	通关：核心技能领取	基础教学Ⅰ
173	2	30100129		12051	通关：实战流程领取	基础教学Ⅱ
174	2	30100130		12051	通关：效应流程领取	基础教学Ⅲ
175	1		2	1013147	领取奖励需要星级	实战挑战Ⅰ
176	1		5	1013148	领取奖励需要星级	实战挑战Ⅱ
177	1		8	1013149	领取奖励需要星级	实战挑战Ⅲ
178	1		9	1013150	领取奖励需要星级	实战挑战Ⅳ
179	2	30100136		12051	通关：核心技能领取	基础教学Ⅰ
180	2	30100137		12051	通关：实战流程领取	基础教学Ⅱ
181	2	30100138		12051	通关：效应流程领取	基础教学Ⅲ
182	1		2	1013152	领取奖励需要星级	实战挑战Ⅰ
183	1		5	1013153	领取奖励需要星级	实战挑战Ⅱ
184	1		8	1013154	领取奖励需要星级	实战挑战Ⅲ
185	1		9	1013155	领取奖励需要星级	实战挑战Ⅳ
186	2	30100142		12051	通关：核心技能领取	基础教学Ⅰ
187	2	30100143		12051	通关：常规流程领取	基础教学Ⅱ
188	2	30100144		12051	通关：效应流程领取	基础教学Ⅲ
189	1		2	1013162	领取奖励需要星级	实战挑战Ⅰ
190	1		5	1013163	领取奖励需要星级	实战挑战Ⅱ
191	1		8	1013164	领取奖励需要星级	实战挑战Ⅲ
192	1		9	1013165	领取奖励需要星级	实战挑战Ⅳ
193	2	30100145		12051	通关：核心技能领取	基础教学Ⅰ
194	2	30100146		12051	通关：常规流程领取	基础教学Ⅱ
195	2	30100147		12051	通关：效应流程领取	基础教学Ⅲ
196	1		2	1013167	领取奖励需要星级	实战挑战Ⅰ
197	1		5	1013168	领取奖励需要星级	实战挑战Ⅱ
198	1		8	1013169	领取奖励需要星级	实战挑战Ⅲ
199	1		9	1013170	领取奖励需要星级	实战挑战Ⅳ
200	2	30100154		12051	通关：核心技能领取	基础教学Ⅰ
201	2	30100155		12051	通关：实战流程领取	基础教学Ⅱ
202	2	30100156		12051	通关：效应流程领取	基础教学Ⅲ
203	1		2	1013157	领取奖励需要星级	实战挑战Ⅰ
204	1		5	1013158	领取奖励需要星级	实战挑战Ⅱ
205	1		8	1013159	领取奖励需要星级	实战挑战Ⅲ
206	1		9	1013160	领取奖励需要星级	实战挑战Ⅳ
207	2	30100160		12051	通关：核心技能领取	基础教学Ⅰ
208	2	30100161		12051	通关：常规流程领取	基础教学Ⅱ
209	2	30100162		12051	通关：效应流程领取	基础教学Ⅲ
210	1		2	1013172	领取奖励需要星级	实战挑战Ⅰ
211	1		5	1013173	领取奖励需要星级	实战挑战Ⅱ
212	1		8	1013174	领取奖励需要星级	实战挑战Ⅲ
213	1		9	1013175	领取奖励需要星级	实战挑战Ⅳ
214	2	30100167		12051	通关：核心技能领取	基础教学Ⅰ
215	2	30100168		12051	通关：常规流程领取	基础教学Ⅱ
216	2	30100172		12051	通关：效应流程领取	基础教学Ⅲ
217	1		2	1013177	领取奖励需要星级	实战挑战Ⅰ
218	1		5	1013178	领取奖励需要星级	实战挑战Ⅱ
219	1		8	1013179	领取奖励需要星级	实战挑战Ⅲ
220	1		9	1013180	领取奖励需要星级	实战挑战Ⅳ
221	2	30100173		12051	通关：核心技能领取	基础教学Ⅰ
222	2	30100174		12051	通关：实战流程领取	基础教学Ⅱ
223	2	30100175		12051	通关：效应流程领取	基础教学Ⅲ
224	1		2	1013182	领取奖励需要星级	实战挑战Ⅰ
225	1		5	1013183	领取奖励需要星级	实战挑战Ⅱ
226	1		8	1013184	领取奖励需要星级	实战挑战Ⅲ
227	1		9	1013185	领取奖励需要星级	实战挑战Ⅳ
228	2	30100179		12051	通关：核心技能领取	基础教学Ⅰ
229	2	30100180		12051	通关：实战流程领取	基础教学Ⅱ
230	2	30100181		12051	通关：效应流程领取	基础教学Ⅲ
231	1		2	1013187	领取奖励需要星级	实战挑战Ⅰ
232	1		5	1013188	领取奖励需要星级	实战挑战Ⅱ
233	1		8	1013189	领取奖励需要星级	实战挑战Ⅲ
234	1		9	1013190	领取奖励需要星级	实战挑战Ⅳ
235	2	30100186		12051	通关：核心技能领取	基础教学Ⅰ
236	2	30100187		12051	通关：实战流程领取	基础教学Ⅱ
237	2	30100188		12051	通关：效应流程领取	基础教学Ⅲ
238	1		2	1013192	领取奖励需要星级	实战挑战Ⅰ
239	1		5	1013193	领取奖励需要星级	实战挑战Ⅱ
240	1		8	1013194	领取奖励需要星级	实战挑战Ⅲ
241	1		9	1013195	领取奖励需要星级	实战挑战Ⅳ
242	2	30100192		12051	通关：核心技能领取	基础教学Ⅰ
243	2	30100193		12051	通关：实战流程领取	基础教学Ⅱ
244	2	30100194		12051	通关：效应流程领取	基础教学Ⅲ
245	1		2	1013197	领取奖励需要星级	实战挑战Ⅰ
246	1		5	1013198	领取奖励需要星级	实战挑战Ⅱ
247	1		8	1013199	领取奖励需要星级	实战挑战Ⅲ
248	1		9	1013200	领取奖励需要星级	实战挑战Ⅳ
249	2	30100204		12051	通关：核心技能领取	基础教学Ⅰ
250	2	30100205		12051	通关：实战流程领取	基础教学Ⅱ
251	2	30100206		12051	通关：效应流程领取	基础教学Ⅲ
252	1		2	1013202	领取奖励需要星级	实战挑战Ⅰ
253	1		5	1013203	领取奖励需要星级	实战挑战Ⅱ
254	1		8	1013204	领取奖励需要星级	实战挑战Ⅲ
255	1		9	1013205	领取奖励需要星级	实战挑战Ⅳ
