Id	TimeId	Width	Height	Name	IsShowName	NameHeightOffset	IsGetReward	RewardHeightOffset	IsNeedLoad	FurnitureType	PrefabName	DontAutoCreateCollider	Model	InteractPos	AnimationType	AnimationArg	AnimationName	SpecialUiNames	UiNameProxyPaths	SpecialUiNameHeightOffset	UiShowDistance	EnvironmentSound	RedPointCondition	ShowButtonGroupId	EffectGroupId
37				妙算神机	True	2.0		2.2999		2	Signmodel01	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	300
1000				地面						1	S03006_Terrain01	1													
1001				躺椅			True	1.25		2	S03006_11Tanyi (1)	1		1										1	
1002				躺椅			True	1.25		2	S03006_11Tanyi (2)	1		1										1	
1003				躺椅			True	1.25		2	S03006_11Tanyi (4)	1		1										1	
1004				躺椅			True	1.25		2	S03006_11Tanyi (6)	1		1										1	
1005				躺椅			True	1.25		2	S03006_11Tanyi (7)	1		1										1	
1006				躺椅			True	1.25		2	S03006_11Tanyi (8)	1		1										1	
1007				椅子			True	1.25		2	S03006_11yizi	1		1										2	
1008				椅子			True	1.25		2	S03006_11yizi (1)	1		1										2	
1009				椅子			True	1.25		2	S03006_11yizi (2)	1		1										2	
1010				椅子			True	1.25		2	S03006_11yizi (3)	1		1										2	
1011				椅子			True	1.25		2	S03006_11yizi (4)	1		1										2	
1012				椅子			True	1.25		2	S03006_11yizi (5)	1		1										2	
1013				椅子			True	1.25		2	S03006_11yizi (6)	1		1										2	
1014				椅子			True	1.25		2	S03006_11yizi (7)	1		1										2	
1015				椅子			True	1.25		2	S03006_11yizi (8)	1		1										2	
1016				椅子			True	1.25		2	S03006_11yizi (9)	1		1										2	
1017				雪糕凳			True	1.25		2	S03006_10Denzi	1		1										2	
1018				雪糕凳			True	1.25		2	S03006_10Denzi (1)	1		1										2	
1019				雪糕凳			True	1.25		2	S03006_10Denzi (4)	1		1										2	
1020				雪糕凳			True	1.25		2	S03006_10Denzi (5)	1		1										2	
1021				播放器	True	1.25				2	S03006_01Tiaoyintao	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	4.0			200	
1022				蓝色椅子			True	1.25		2	S03006_13Yizi	1		1										2	
1023				蓝色椅子			True	1.25		2	S03006_13Yizi (1)	1		1										2	
1024				蓝色椅子			True	1.25		2	S03006_13Yizi (2)	1		1										2	
1025				蓝色椅子			True	1.25		2	S03006_13Yizi (3)	1		1										2	
1026				烤肉架						2	WoodenBarbecues001	1										2636			
1027				海面						2	3006_Water_01	1										2634			
1028				妙算神机	True	2.0		2.2999		2	Signmodel02	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	300
2000				地面						1	Navigation	1													
2001				椅子			True	1.25		2	S03405_11Yizi	1		1										2	
2002				椅子			True	1.25		2	S03405_11Yizi (1)	1		1										2	
2003				椅子			True	1.25		2	S03405_11Yizi (2)	1		1										2	
2004				椅子			True	1.25		2	S03405_11Yizi (3)	1		1										2	
2005				椅子			True	1.25		2	S03405_11Yizi (4)	1		1										2	
2006				椅子			True	1.25		2	S03405_11Yizi (5)	1		1										2	
2007				烟花装置			True	1.25		2	S03405_06Yanhua (3)	1		1										5	
2008				烟花装置			True	1.25		2	S03405_06Yanhua (4)	1		1										5	
2009				烟花装置			True	1.25		2	S03405_06Yanhua (5)	1		1										5	
2010				战术终端						2	S03405_22Qiandaoji	1		1										100	
2011				播放器	True	1.25				2	S03405_22Bofangqi	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	5.0			200	
2012				妙算神机	True	2.0		2.2999		2	S03405_13Qiandaoji	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	300
2013				空中烟花						3	Yanhua											2838			1
2014				空中烟花						3	Yanhua (4)											2838			1
3000				地面						1	Navigation	1													
3001				椅子			True	1.25		2	S03804_10Dengzi	1		1										2	
3002				椅子			True	1.25		2	S03804_10Dengzi (1)	1		1										2	
3003				椅子			True	1.25		2	S03804_10Dengzi (2)	1		1										2	
3004				椅子			True	1.25		2	S03804_10Dengzi (3)	1		1										2	
3005				椅子			True	1.25		2	S03804_10Dengzi (4)	1		1										2	
3006				椅子			True	1.25		2	S03804_10Dengzi (5)	1		1										2	
3007				椅子			True	1.25		2	S03804_10Dengzi (9)	1		1										2	
3008				椅子			True	1.25		2	S03804_10Dengzi (10)	1		1										2	
3009				椅子			True	1.25		2	S03804_10Dengzi (11)	1		1										2	
3010				饮料机			True	2.0		2	S03804_05Yinliaoji	1		1										4	
3011				战术终端						2	S03804_10Zhongduan	1		1										100	
3012				播放器	True	1.25				2	S03804_12Bofangqi	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	5.0			200	
3013				妙算神机	True	2.0		2.2999		2	S03804_16Qiandaoji	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	300
4000				地面						1	Navigation	1													
4001				椅子			True	1.25		2	Guild04_06Yizi (1)	1		1										2	
4002				椅子			True	1.25		2	Guild04_06Yizi (2)	1		1										2	
4003				椅子			True	1.25		2	Guild04_06Yizi (3)	1		1										2	
4004				椅子			True	1.25		2	Guild04_06Yizi	1		1										2	
4005				椅子			True	1.25		2	Guild04_11Qiuqian	1		1										2	
4006				椅子			True	1.25		2	Guild04_11Qiuqian (1)	1		1										2	
4007				椅子			True	1.25		2	Guild04_05Yizi	1		1										2	
4008				烟花装置			True	1.25		2	Guild04_18Baozhu	1		1										6	
4009				烟花装置			True	1.25		2	Guild04_18Baozhu (1)	1		1										6	
4010				烟花装置			True	1.25		2	Guild04_18Baozhu (3)	1		1										6	
4011				烟花装置			True	1.25		2	Guild04_18Baozhu (2)	1		1										6	
4012				战术终端						2	Guild04_12Huodongji	1		1										100	
4013				播放器	True	1.25				2	Guild04_35Bofangqi	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	5.0			200	
4014				妙算神机	True	2.0		2.2999		2	Guild04_13Qiandaoji	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	
5000				地面						1	Navigation	1													
5001				椅子			True	1.25		2	Zhiwuyuan_23Yizi	1		1										2	
5002				椅子			True	1.25		2	Zhiwuyuan_23Yizi (1)	1		1										2	
5003				椅子			True	1.25		2	Zhiwuyuan_23Yizi (2)	1		1										2	
5004				椅子			True	1.25		2	Zhiwuyuan_23Yizi (3)	1		1										2	
5005				黄士尼				1.25		2	Zhiwuyuan_11Lajitonga (1)	1		1										7	
5006				加倍吃				1.25		2	Zhiwuyuan_11Lajitongc (1)	1		1										7	
5007				立刻喝				1.25		2	Zhiwuyuan_11Lajitongb (1)	1		1										7	
5008				灰螺丝				1.25		2	Zhiwuyuan_11Lajitongd (1)	1		1										7	
5009				巨大的鲨士碧儿				1.25		2	Zhiwuyuan_17Dx03 (1)	1		1										9	
5010				馋嘴的雕像				1.25		2	Zhiwuyuan_17Dx03 (2)	1		1										9	
5011				可爱的雕像				1.25		2	Zhiwuyuan_17Dx01 (1)	1		1										9	
5012				碧儿执事				1.25		2	Zhiwuyuan_17Dx04 (1)	1		1										9	
5013				正经的雕像				1.25		2	Zhiwuyuan_17Dx02 (3)	1		1										9	
5014				战术终端						2	Zhiwuyuan_04Weijiaoji	1		1										100	
5015				播放器	True	1.25				2	Zhiwuyuan_01Cd	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	5.0			200	
5016				妙算神机	True	2.0		2.2999		2	Zhiwuyuan_02Qiandaoji	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	
5017				清凉一夏	True	2.0		1.25		2	Zhiwuyuan_05Yingliaoji	1		1										8	
5018				超大画板						3	Zhiwuyuan_29Huajia (1)	1													
5019				左1画板						3	Zhiwuyuan_29Huajia02 (4)	1													
5020				左2画板						3	Zhiwuyuan_29Huajia02 (3)	1													
5021				左3画板						3	Zhiwuyuan_29Huajia01 (1)	1													
5022				右1画板						3	Zhiwuyuan_29Huajia02 (1)	1													
5023				右2画板						3	Zhiwuyuan_29Huajia02 (2)	1													
5024				想让你吃的茶桌				1.25		2	Zhiwuyuan_23Zhuozi	1		1										10	
5025				让你想开的荷花				1.25		2	Zhiwuyuan_24Hehuadeng (2)	1		1										11	
6000				地面						1	Jingluo_xingzoumian	1													
6001				钢琴	True	1.25				6	Jingluo_07Gangqinzuoyi	1		1						[1.75]	5.0			400	
6002				战术终端						2	Jingluo_31Qiandaoji	1		1										100	
6003				播放器	True	1.25				2	Jingluo_31Bofangqi	1		1				['PanelMusicPlayer']	['XUi/XUiGuildDorm/XUiGuildDormMusicGrid']	[1.75]	5.0			200	
6004				妙算神机	True	2.0		2.2999		2	Jingluo_47Qiandaoji	1		1							5.0		CONDITION_GUILD_SIGN_REWARD	300	
6005				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi (1)	1		1										2	
6006				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi01	1		1										2	
6007				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi (2)	1		1										2	
6008				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi01 (1)	1		1										2	
6009				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi01 (3)	1		1										2	
6010				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi (4)	1		1										2	
6011				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi01 (2)	1		1										2	
6012				凳子			True	1.25		2	Jingluo_11Shizhuzuoyi (3)	1		1										2	
6013				椅子			True	1.25		2	Jingluo_08Yizi	1		1										2	
6014				椅子			True	1.25		2	Jingluo_08Yizi (3)	1		1										2	
6015				椅子			True	1.25		2	Jingluo_08Yizi (2)	1		1										2	
6016				椅子			True	1.25		2	Jingluo_08Yizi (1)	1		1										2	
6017				让你睡觉的花束				1.25		2	Jingluo_36Huapanhua (18)	1		1										9	
