Id	Name	Desc	CueId	Image	Duration	NeedBuy	ExperienceTimeId	BgImage
13	Endless Trick	GhostFinal	55	Assets/Product/Texture/Image/CdPlayer/CdFace14.png	110400			Assets/Product/Texture/Image/CdPlayer/BgCdFace14.png
14	Dancing tonight	制作：Vanguard Sound  作曲：Rabbit J  作词&歌手：夏铜子	57	Assets/Product/Texture/Image/CdPlayer/CdFace15.png	108270			Assets/Product/Texture/Image/CdPlayer/BgCdFace15.png
15	In Scription Of Labyrinth	Haloweak	60	Assets/Product/Texture/Image/CdPlayer/CdFace16.png	110666			Assets/Product/Texture/Image/CdPlayer/BgCdFace16.png
16	LAMIA	GhostFinal	62	Assets/Product/Texture/Image/CdPlayer/CdFace17.png	110714			Assets/Product/Texture/Image/CdPlayer/BgCdFace17.png
17	Edenis	MEI	65	Assets/Product/Texture/Image/CdPlayer/CdFace19.png	140000			Assets/Product/Texture/Image/CdPlayer/BgCdFace19.png
18	风的视线	作曲：GhostFinal  编曲：MEI ＆ GhostFinal  作词：Mira.Z  演唱：朝霧坂子  演奏：LCC ＆ GhostFinal  制作：Vanguard Sound	71	Assets/Product/Texture/Image/CdPlayer/CdFace20.png	169000			Assets/Product/Texture/Image/CdPlayer/BgCdFace20.png
19	盘旋	制作：丁培峰  作词：周存  演唱：多多poi  编曲：丁培峰@哈魔音乐  乐团：布达佩斯艺术交响乐团	80	Assets/Product/Texture/Image/CdPlayer/CdFace21.png	257627			Assets/Product/Texture/Image/CdPlayer/BgCdFace21.png
20	Sie liebten sich beide	作曲：LCC  编曲：LCC ＆ moto  作词：〔德〕海涅（Heinrich Heine） 演唱：季韻翬	83	Assets/Product/Texture/Image/CdPlayer/CdFace22.png	177198			Assets/Product/Texture/Image/CdPlayer/BgCdFace22.png
21	惦惦	企划人：蒲牢  音效：Talic  作曲：Xin  制作：Vanguard Sound  画师：山葵柚	100	Assets/Product/Texture/Image/CdPlayer/CdFace24.png	236133			Assets/Product/Texture/Image/CdPlayer/BgCdFace24.png
22	逆流	作曲：墨蓝酱油Polyblue  作词＆flow：只猫  演唱：钟龙杰	99	Assets/Product/Texture/Image/CdPlayer/CdFace23.png	171000			Assets/Product/Texture/Image/CdPlayer/BgCdFace23.png
23	NANAMI IKIMASU	作曲：Super.Yy酱 ＆ 墨蓝酱油Polyblue  制作：Vanguard Sound ＆ Kuro Games	124	Assets/Product/Texture/Image/CdPlayer/CdFace25.png	341450			Assets/Product/Texture/Image/CdPlayer/BgCdFace25.png
24	Revelation	作曲＆作词：GhostFinal  歌手：Kinoko蘑菇	144	Assets/Product/Texture/Image/CdPlayer/CdFace28.png	369672			Assets/Product/Texture/Image/CdPlayer/BgCdFace28.png
25	Last Resort	作曲：GhostFinal  歌手：Kinoko蘑菇	149	Assets/Product/Texture/Image/CdPlayer/CdFace29.png	320756			Assets/Product/Texture/Image/CdPlayer/BgCdFace29.png
26	圣诞之约	Haloweak	216	Assets/Product/Texture/Image/CdPlayer/CdFace32.png	72600			Assets/Product/Texture/Image/CdPlayer/BgCdFace32.png
27	茶楼小调	T-Nymph	11	Assets/Product/Texture/Image/CdPlayer/CdFace31.png	108979			Assets/Product/Texture/Image/CdPlayer/BgCdFace31.png
28	迪厅舞曲	GhostFinal	84	Assets/Product/Texture/Image/CdPlayer/CdFace34.png	86846			Assets/Product/Texture/Image/CdPlayer/BgCdFace34.png
29	蔚蓝之夏	Polyblue	159	Assets/Product/Texture/Image/CdPlayer/CdFace30.png	124102			Assets/Product/Texture/Image/CdPlayer/BgCdFace30.png
30	萤灯谣	作曲＆编曲：CoyDE	152	Assets/Product/Texture/Image/CdPlayer/CdFace33.png	258571			Assets/Product/Texture/Image/CdPlayer/BgCdFace33.png
31	她的梦	作曲：理一  作词：山竹  演唱：碎花  插画：山葵柚	218	Assets/Product/Texture/Image/CdPlayer/CdFace38.png	267242	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace38.png
32	月	作曲：Haloweak  编曲：Haloweak   作词：夏铜子  演唱：夏铜子	177	Assets/Product/Texture/Image/CdPlayer/CdFace39.png	278000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace39.png
33	夏日之上	作曲：ANK (砂糖协会)  作词：熊子 (砂糖协会)  演唱：熊子 (砂糖协会)	178	Assets/Product/Texture/Image/CdPlayer/CdFace40.png	204295	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace40.png
34	Hikari	作曲：GhostFinal	134	Assets/Product/Texture/Image/CdPlayer/CdFace41.png	132650	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace41.png
35	ECHOING	作/编曲：周存  作词：周存、Roland L.  演唱：柳知萧	138	Assets/Product/Texture/Image/CdPlayer/CdFace42.png	210524	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace42.png
36	环流	作曲&编曲：周存	137	Assets/Product/Texture/Image/CdPlayer/CdFace43.png	214615	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace43.png
37	Akdilek	作曲：GhostFinal	14	Assets/Product/Texture/Image/CdPlayer/CdFace44.png	147042	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace44.png
38	Over the Glen	作曲：LCC  编曲：LCC & moto	81	Assets/Product/Texture/Image/CdPlayer/CdFace45.png	86846	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace45.png
39	憩梦穹森	Tony	163	Assets/Product/Texture/Image/CdPlayer/CdFace46.png	113102	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace46.png
40	Shattered Doll	Tony	165	Assets/Product/Texture/Image/CdPlayer/CdFace47.png	82990	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace47.png
41	年禧	T_Nymph	49	Assets/Product/Texture/Image/CdPlayer/CdFace48.png	108979	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace48.png
42	Under Dimension	作曲: Super.Yy酱  演唱: Kinoko_蘑菇	175	Assets/Product/Texture/Image/CdPlayer/CdFace49.png	107076	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace49.png
43	DIM LIGHT 幽光	演唱/Vocalist：电鸟个灯泡  作编曲/Composer&Arranger：MeLo  作词/Lyriist：大九_LN	217	Assets/Product/Texture/Image/CdPlayer/CdFace50.png	222058	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace50.png
44	Overburning	作词&作曲：小林启树（KEIKI KOBAYASHI） 录音&混音工程师：樱井繁郎（SHIGEO SAKURAI）  录音&混音工作室：音響ハウス（ONKIO HAUS）	225	Assets/Product/Texture/Image/CdPlayer/CdFace51.png	220000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace51.png
45	Infinite Gallery	作曲：GhostFinal  和声：Kinoko_蘑菇	183	Assets/Product/Texture/Image/CdPlayer/CdFace54.png	233142	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace54.png
46	Feel The Vibe	MeLo	233	Assets/Product/Texture/Image/CdPlayer/CdFace56.png	171844	1	15401	Assets/Product/Texture/Image/CdPlayer/BgCdFace56.png
47	To Our Destiny	作曲：Tony Yan & moto  制作：Vanguard Sound & Kuro Game	224	Assets/Product/Texture/Image/CdPlayer/CdFace59.png	132428	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace59.png
48	Journey Along	作曲：Tony Yan & moto  制作：Vanguard Sound & Kuro Game	229	Assets/Product/Texture/Image/CdPlayer/CdFace60.png	153727	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace60.png
49	鸣响	作曲：GhostFinal 编曲：GhostFinal 演唱：Kinoko_蘑菇 制作：Vanguard-Sound 作词：JUSF周存	235	Assets/Product/Texture/Image/CdPlayer/CdFace57.png	223764	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace57.png
50	Into My Soul	演唱/Vocalist：皛四白 作曲＆编曲/Composer＆Arranger：Ringo 作词/Lyricist：黑金雨	236	Assets/Product/Texture/Image/CdPlayer/CdFace58.png	118168	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace58.png
51	碧落幽山寺	作曲：Tony Yan   制作：Vanguard Sound & Kuro Game	234	Assets/Product/Texture/Image/CdPlayer/CdFace61.png	177326	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace61.png
52	清商曼舞	作曲：Tony Yan   制作：Vanguard Sound & Kuro Game	242	Assets/Product/Texture/Image/CdPlayer/CdFace62.png	153373	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace62.png
53	Unknown Territory	作曲：GhostFinal	249	Assets/Product/Texture/Image/CdPlayer/CdFace63.png	96093	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace63.png
54	行星环游记	作曲：M{226|130|172}I	256	Assets/Product/Texture/Image/CdPlayer/CdFace64.png	174275	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace64.png
55	狂骤暴音	作曲：Polyblue	258	Assets/Product/Texture/Image/CdPlayer/CdFace67.png	67933	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace67.png
56	Crank!	作曲：Polyblue	260	Assets/Product/Texture/Image/CdPlayer/CdFace65.png	194400	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace65.png
57	沉沙往事	作曲：Polyblue	261	Assets/Product/Texture/Image/CdPlayer/CdFace68.png	72820	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace68.png
58	日落与酒	作曲：Polyblue	263	Assets/Product/Texture/Image/CdPlayer/CdFace69.png	84297	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace69.png
59	Above the cloud	作曲：FLuoRiTe	298	Assets/Product/Texture/Image/CdPlayer/CdFace70.png	199000	1	20020	Assets/Product/Texture/Image/CdPlayer/BgCdFace70.png
60	Fallen Concerto	作曲：Tony Yan	273	Assets/Product/Texture/Image/CdPlayer/CdFace71.png	136238	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace71.png
61	Simmer Down	作曲：Miao	278	Assets/Product/Texture/Image/CdPlayer/CdFace72.png	116862	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace72.png
62	长路归航	演唱:上海彩虹室内合唱团   作曲:语轩   作词:小伙   编曲:徐肖   录音:陆晓幸  混音:阿烈   乐队:辉音国际爱乐乐团	331	Assets/Product/Texture/Image/CdPlayer/CdFace79.png	191857	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace79.png
63	长路归航-伴奏	演唱:上海彩虹室内合唱团   作曲:语轩   作词:小伙   编曲:徐肖   录音:陆晓幸  混音:阿烈   乐队:辉音国际爱乐乐团	333	Assets/Product/Texture/Image/CdPlayer/CdFace79.png	189473	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace79.png
64	Passion Call	制作:战双帕弥什&Vanguard-Sound   作曲:兔子RabbitJ   作词:符酷   演唱:卡列尼娜(CV:花园花玲)	286	Assets/Product/Texture/Image/CdPlayer/CdFace75.png	238000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace75.png
65	Passion Call-伴奏	制作:战双帕弥什&Vanguard-Sound   作曲:兔子RabbitJ   作词:符酷   演唱:卡列尼娜(CV:花园花玲)	288	Assets/Product/Texture/Image/CdPlayer/CdFace78.png	238000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace78.png
66	Inheritor	作曲：GhostFinal	359	Assets/Product/Texture/Image/CdPlayer/CdFace81.png	149069	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace81.png
67	Fortitude	作曲：FLuoRiTe	358	Assets/Product/Texture/Image/CdPlayer/CdFace82.png	168827	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace82.png
68	诗酒云烟	作曲：Tony Yan	377	Assets/Product/Texture/Image/CdPlayer/CdFace85.png	146714	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace85.png
69	万冢纴歌	作曲：Tony Yan	376	Assets/Product/Texture/Image/CdPlayer/CdFace86.png	152875	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace86.png
70	旗鼓风前	作曲：Tony Yan	373	Assets/Product/Texture/Image/CdPlayer/CdFace87.png	157000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace87.png
71	暮日战歌	作曲：Tony Yan	370	Assets/Product/Texture/Image/CdPlayer/CdFace83.png	146875	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace83.png
72	庭梨栖雪	作曲：Melo	384	Assets/Product/Texture/Image/CdPlayer/CdFace89.png	196000			Assets/Product/Texture/Image/CdPlayer/BgCdFace89.png
73	In My Memory	作曲：GhostFinal	381	Assets/Product/Texture/Image/CdPlayer/CdFace84.png	96000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace84.png
74	Verschworung	作曲：Coyde	382	Assets/Product/Texture/Image/CdPlayer/CdFace90.png	101000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace90.png
75	Lightmoon	作曲：Coyde	386	Assets/Product/Texture/Image/CdPlayer/CdFace95.png	109010	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace95.png
76	Blue Moon	作曲：GhostFinal	394	Assets/Product/Texture/Image/CdPlayer/CdFace94.png	130485	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace94.png
77	To The Limit	作曲：GhostFinal	5007	Assets/Product/Texture/Image/CdPlayer/CdFace96.png	94222	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace96.png
78	The Sweet Jive	作曲：LCC	5008	Assets/Product/Texture/Image/CdPlayer/CdFace97.png	90696	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace97.png
79	Elfe de la mer	作曲：LCC	399	Assets/Product/Texture/Image/CdPlayer/CdFace88.png	146190	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace88.png
80	The Fall of Juggernaut	作曲：Polyblue	5015	Assets/Product/Texture/Image/CdPlayer/CdFace100.png	120900	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace100.png
81	Define Me	作曲：LCC	5016	Assets/Product/Texture/Image/CdPlayer/CdFace101.png	100200	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace101.png
82	Hide and seek	作曲：RabbitJ	5011	Assets/Product/Texture/Image/CdPlayer/CdFace103.png	114000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace103.png
83	Stellarira	作曲：MEI & Haloweak	5014	Assets/Product/Texture/Image/CdPlayer/CdFace93.png	120000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace93.png
84	Go Camping	作曲：GhostFinal	5037	Assets/Product/Texture/Image/CdPlayer/CdFace102.png	117877			Assets/Product/Texture/Image/CdPlayer/BgCdFace102.png
85	Adversity	作曲：FLuoRiTe & GhostFinal	5028	Assets/Product/Texture/Image/CdPlayer/CdFace99.png	120000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace99.png
86	Rhythmic	作曲：RabbitJ	5033	Assets/Product/Texture/Image/CdPlayer/CdFace106.png	203870	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace106.png
87	Interstice Oath	作曲：FLuoRiTe	5038	Assets/Product/Texture/Image/CdPlayer/CdFace105.png	157857	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace105.png
88	寻找四叶草的阿呆蛙	作曲：理一	5047	Assets/Product/Texture/Image/CdPlayer/CdFace109.png	212816	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace109.png
89	仰げば尊し	作曲：FLuoRiTe	5058	Assets/Product/Texture/Image/CdPlayer/CdFace110.png	150696	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace110.png
90	Dream	作曲：FLuoRiTe	5059	Assets/Product/Texture/Image/CdPlayer/CdFace111.png	181571	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace111.png
91	Daily Life	作曲：azusaTaxhi	5061	Assets/Product/Texture/Image/CdPlayer/CdFace115.png	121935	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace115.png
92	Crossing Eternities	作曲：Haloweak	5065	Assets/Product/Texture/Image/CdPlayer/CdFace114.png	111600	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace114.png
93	Pursue the Glimmer	作曲：FLuoRiTe	5070	Assets/Product/Texture/Image/CdPlayer/CdFace118.png	118777	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace118.png
94	The Last Witness	作曲：FLuoRiTe	5067	Assets/Product/Texture/Image/CdPlayer/CdFace113.png	149615	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace113.png
95	遗光颂-伴奏	作曲：S9ryne 作词：LunaSafari 演唱：Kate Glock	6101	Assets/Product/Texture/Image/CdPlayer/CdFace119.png	278275	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace119.png
96	遗光颂	作曲：S9ryne 作词：LunaSafari 演唱：Kate Glock	6102	Assets/Product/Texture/Image/CdPlayer/CdFace119.png	278275	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace119.png
97	52Hz	作曲：FLuoRiTe	6145	Assets/Product/Texture/Image/CdPlayer/CdFace120.png	203426			Assets/Product/Texture/Image/CdPlayer/BgCdFace120.png
98	One More Hand	作曲：FLuoRiTe & GhostFinal 贝斯：AzusaTaxhi 制作：战双帕弥什&Vanguard-sound	6164	Assets/Product/Texture/Image/CdPlayer/CdFace116.png	304758	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace116.png
99	Eclipsed Requiem	作曲：azusaTaxhi	6153	Assets/Product/Texture/Image/CdPlayer/CdFace122.png	123840	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace122.png
100	Chromatic Amnesia	作曲：azusaTaxhi	6154	Assets/Product/Texture/Image/CdPlayer/CdFace123.png	99840	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace123.png
101	MAV-01	作曲人：CoyDe	6166	Assets/Product/Texture/Image/CdPlayer/CdFace127.png	153400	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace127.png
102	Je t'aime, VI	作曲人：CoyDe	6167	Assets/Product/Texture/Image/CdPlayer/CdFace126.png	142442	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace126.png
103	I was born for you	作曲：Tony Yan	6159	Assets/Product/Texture/Image/CdPlayer/CdFace117.png	149905	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace117.png
104	卡农	作曲：约翰·帕赫贝尔 改编：REYSG山药	6146	Assets/Product/Texture/Image/CdPlayer/CdFace131.png	87272	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace131.png
105	Ashes	作曲：FLuoRiTe	6172	Assets/Product/Texture/Image/CdPlayer/CdFace132.png	172940	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace132.png
106	Story of Hope	作曲：azusaTaxhi	6173	Assets/Product/Texture/Image/CdPlayer/CdFace133.png	142600	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace133.png
107	Serene Embers	作曲：azusaTaxhi	6198	Assets/Product/Texture/Image/CdPlayer/CdFace134.png	128000	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace134.png
108	Into the Shrouded Depths	作曲：MeLo	6203	Assets/Product/Texture/Image/CdPlayer/CdFace135.png	140571	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace135.png
120	落樱之下	作曲：MeLo	6202	Assets/Product/Texture/Image/CdPlayer/CdFace130.png	110409	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace130.png
121	Cliff, Colt And Campfire	作曲：Polyblue	6213	Assets/Product/Texture/Image/CdPlayer/CdFace138.png	56250	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace138.png
122	Calling Softly	作曲：Tony Yan	6225	Assets/Product/Texture/Image/CdPlayer/CdFace141.png	126689	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace141.png
123	A Time with You	作曲：Tony Yan	6226	Assets/Product/Texture/Image/CdPlayer/CdFace142.png	118857	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace142.png
124	Ascension to Freedom	作曲：D.Yi	6235	Assets/Product/Texture/Image/CdPlayer/CdFace145.png	114230	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace145.png
125	Fading Signal	作曲：GhostFinal	6236	Assets/Product/Texture/Image/CdPlayer/CdFace146.png	105391	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace146.png
126	Nocturnal Lullaby	作曲：Kinoko蘑菇	6243	Assets/Product/Texture/Image/CdPlayer/CdFace148.png	69600	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace148.png
127	Lost Stars, Soft Hearts	作曲：MeLo	6244	Assets/Product/Texture/Image/CdPlayer/CdFace149.png	115578	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace149.png
128	Ticking Compassion	作曲：D.Yi	6252	Assets/Product/Texture/Image/CdPlayer/CdFace139.png	93153	1		Assets/Product/Texture/Image/CdPlayer/BgCdFace139.png
