ItemId	Name	Quality	UnlockLv	IsRare	EffectType	EffectProbability	RareRewardId	GridMaxCount	Desc	Icon	ModelId
103013	赤钢之剑	3	13					9999	每位骑士踏上战场的时候都希望能拥有的武器。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconTheatre09.png	
103014	桧木提琴	3	14					9999	温暖每一段无言的时光。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconTheatre06.png	
103015	蝴蝶标本	3	15					9999	展翅欲飞，纵使只能在房梁之下翱翔。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconTheatre18.png	
103016	“自走棋”	3	16					9999	与磁吸底座共同使用，便可在棋盘上自动行走的棋子。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/UiBlackRockChessItemIcon01.png	
103017	莫比乌斯球	3	17					9999	能在无重力空间中永远旋转的球体。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRift001.png	
103018	拓扑旋钮	3	18					9999	按照一定的步骤操作，就能将这个旋钮折叠成一张纸片。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRift009.png	
103019	黑羽金晶	3	19					9999	被紫黑色羽毛包裹在内的稀有金属。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRift010.png	
103020	硅基单元	3	20					9999	高级智能计算机必不可少的工作模组。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRift011.png	
104001	钢制花牌	4	2		2	207		1	再洗牌一次，就能带来好运。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconDormGamblerPaint002.png	
104002	强运骰	4	3		2	243		1	“如果数字不为6，那就投到你想要的为止。”收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconDormGamblerPaint001.png	
104003	拉奇护符	4	4		2	322		1	拉奇，那是一个能让人联想到幸运的谐音。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/UiNonogramItem06.png	
104004	偶像麦克风	4	5		2	281		1	来办一场盛大的演出吧！收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconDormSuperLivWings001.png	
104005	荣耀徽章	4	6		2	226		1	用来嘉奖真正的骁勇善战之人。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconDormQishisushe_Guakuan001.png	
104006	芒星烛台	4	7		2	296		1	蜡烛在其上燃烧的景象让人联想到北极星。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconDormBiankasusheProp001.png	
104007	银质长笛	4	8		2	189		1	与风共鸣出清澈的和音。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconTheatre01.png	
104008	“月桂冠”	4	9		2	414		1	象征着众人热切的注视和欢呼。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconTheatre14.png	
104009	黄金臂环	4	10		2	373		1	举手抬足之间都会传来沙沙的乐声。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconTheatre16.png	
104010	海百合发夹	4	11		2	409		1	放在耳边能听到浪涛的回声。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconTheatre13.png	
104011	贤者笔记	4	12		2	411		1	一位伟大贤者留下的手记。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconTheatre07.png	
104012	潮汐贝币	4	14		2	235		1	琉璃色的贝壳镶嵌于其中。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/UiLivWarmItem02.png	
104013	“海的呢喃”	4	16		2	290		1	来自大海的低语。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/UiGachaCardEv211.png	
104014	阿努比斯之匣	4	18		2	176		1	永远不要好奇里面装的是什么。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconDormAijisushe_Box001.png	
104015	水滴立方体	4	20		2	430		1	以水滴形状存在的稀有金属。收集即可增加玩法货币掉落数量。	Assets/Product/Texture/Image/IconTools/IconActivityConsumeTic2017002.png	
105001	“盾中剑”	5	1	True			67337	1	传说中，拔出来的人就能成为勇者。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormHakamaSword001.png	1
105002	均衡圣典	5	4	True			67337	1	记载着公平正义之律法的书典。珍稀藏品，收集可领取一次性奖励	Assets/Product/Texture/Image/IconTools/IconDormHuiyinSushe001.png	2
105003	星虹圣诞树	5	6	True			67337	1	在纯白的圣夜为你送上柔和的光辉。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormSuperLivChandeliers001.png	3
105004	大理石女神像	5	8	True			67337	1	造型使人感受到高雅和神圣的雕像。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormCourtStatue001.png	4
105005	全息投影仪	5	10	True			67337	1	价值不菲的家具，使用者可自行编辑投影内容。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormQudaodan001.png	5
105006	赛利卡的微笑	5	11	True			67337	1	据说曾严密地收藏在空中花园美术馆深处。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormHaiwaiPicture002.png	6
105007	清音琵琶	5	12	True			67337	1	妙语轻音，引人入梦。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormHanyingsushe002.png	7
105008	白鸽星球仪	5	13	True			67337	1	愿和平，飞往地球的每一个角落。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormSuperLivCageling001.png	8
105009	钛金属机车	5	14	True			67337	1	处于红灯状态的时候，时速是三倍。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormMayMotorcycle001.png	9
105010	“星与尘”	5	15	True			67337	1	宇宙余波凝结成的一颗琥珀。珍稀藏品，收集可领取一次性奖励。	Assets/Product/Texture/Image/IconTools/IconDormQishisushe001.png	10
