Id	Name	NameEn	ChapterId	Type	ShowType	MovieId	OpenHour	PreBlockId	FightBasicPurification	FightFactor	CleanNeed	AutoGrow	StageId	PurificationExp	MailId	ShowRewardId	RewardId	ActionPoint	DetachActionPoint	DetachBasicPurification	DetachExtraPurification	DetachBasicRewardId	DetachExtraRewardId	WorldBossStartHour	WorldBossEndHour	RepeatChallengeActionPoint	DetachRepeatChallengeActionPoint	RepeatChallengeRewardId	DetachRepeatChallengeRewardId	LevelType	LevelDesc	SideBlockId	AuctionCionReward	DetachAuctionCionReward
22	物资区	GM2-11	2	2	5			['20']	120	10	300000000		30061749			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
23	角色区	GM2-12	2	2	6			['20']	120	10	300000000		30061734			67433	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:捉迷藏		5000	5000
24	战略区	GM2-13	2	2	2			['21']	120	10	300000000		30061764			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
25	物资区	GM2-14	2	2	5			['22']	120	10	300000000		30061731			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:弓箭射击		5000	5000
26	角色区	GM3-1	3	2	6			['57']	120	10	300000000		30061750			67434	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
27	物资区	GM3-2	3	2	5			['26']	120	10	300000000		30061788			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:保护目标		5000	5000
28	物资区	GM3-3	3	2	5			['26']	120	10	300000000		30061766			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
29	基站区	GM3-4	3	2	8			['27']	120	10	300000000		30061765			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
30	角色区	GM3-5	3	2	6			['27']	120	10	300000000		30061729			67435	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:拾取螺母		5000	5000
31	物资区	GM3-6	3	2	5			['29']	120	10	300000000		30061751		21025	63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
32	战略区	GM3-7	3	2	2			['30']	120	10	300000000		30061791			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:找相同		5000	5000
33	角色区	GM3-8	3	2	6			['30']	120	10	300000000		30061693			67436	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
34	物资区	GM3-9	3	2	5			['31']	120	10	300000000		30061767			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
35	物资区	GM3-10	3	2	5			['32']	120	10	300000000		30061728			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:捉迷藏		5000	5000
36	角色区	GM3-11	3	2	6			['34']	120	10	300000000		30061752			67437	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
37	战略区	GM3-12	3	2	2			['34']	120	10	300000000		30061730			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:飞行库洛洛		5000	5000
38	物资区	GM3-13	3	2	5			['35']	120	10	300000000		30061768			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
39	物资区	GM3-14	3	2	5			['36']	120	10	300000000		30061727			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:限时生存		5000	5000
40	角色区	GM4-1	4	2	6			['58']	120	10	300000000		30061769			67438	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
41	物资区	GM4-2	4	2	5			['40']	120	10	300000000		30061786			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:跑酷冲刺		5000	5000
42	物资区	GM4-3	4	2	5			['40']	120	10	300000000		30061754			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
43	基站区	GM4-4	4	2	8			['41']	120	10	300000000		30061770			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
44	角色区	GM4-5	4	2	6			['41']	120	10	300000000		30061690			67439	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:拾取螺母		5000	5000
45	物资区	GM4-6	4	2	5			['43']	120	10	300000000		30061755			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
46	战略区	GM4-7	4	2	2			['44']	120	10	300000000		30061792		21026	63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:弓箭射击		5000	5000
47	角色区	GM4-8	4	2	6			['44']	120	10	300000000		30061694			67440	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
48	物资区	GM4-9	4	2	5			['45']	120	10	300000000		30061733			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:限时生存		5000	5000
49	角色区	GM4-10	4	2	6			['46']	120	10	300000000		30061771			67441	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
50	战略区	GM4-11	4	2	2			['48']	120	10	300000000		30061756			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	小怪		3000	3000
51	物资区	GM4-12	4	2	5			['48']	120	10	300000000		30061790			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:保护目标		5000	5000
52	物资区	GM4-13	4	2	5			['49']	120	10	300000000		30061772			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
53	高危暗区	GM4-14	4	3	3			['51']	120	50000	300000000		30061688			63839	63839	30						10	21	30		63841		1	帕瓦特		30000	30000
54	战略区	GM1-11	1	2	2			['9']	120	10	300000000		30061691			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	精英		8000	8000
55	物资区	GM1-12	1	2	5			['11']	120	10	300000000		30061722			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	小游戏:捉迷藏		5000	5000
56	暗区	GM1-13	1	2	9			['11']	120	50000	300000000		30061685			63839	63839	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	马德拉		15000	15000
57	暗区	GM2-15	2	2	9			['23']	120	50000	300000000		30061686			63839	63839	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	蒙扎诺夫人		15000	15000
58	暗区	GM3-15	3	2	9			['37']	120	50000	300000000		30061687			63839	63839	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	格温普兰		15000	15000
