Id	Name	ManagerName	Icon	TimeId	ShowConditionId	FunctionNameId	SkipId	Order	RedPointConditions	RedParam	Note	IsAgency	IsRecord
16	溯忆者寻乡	FubenNewCharActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner222.png			10325	20235	2	['CONDITION_KOROMCHARACTIVITYMAINRED']		角色试玩关		
17	超限乱斗-缚囚死战		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner99.png			10350	20104				超限乱斗		
18	露记工房	XRestaurantAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner142.png			10443	89008		['CONDITION_RESTAURANT_ENTRANCE']		模拟餐厅	1	
19	本我回廊·诺安	CharacterTowerManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner124.png			10436	11795				本我回廊		
20	异构阵线		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner98.png			10445	89011		['CONDITION_MAVERICK2']		异构阵线		
21	白梦游弋·复刻		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner102.png		1050114	403	20260				涂装剧情		
22	觅迹寻踪	XRpgMakerGameAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner207.png			10345	20128		['CONDITION_RPG_MAKER_GAME_RED']		推箱子	1	True
23	奔行日夜	XTwoSideTowerAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner103.png			10431	85013		['CONDITION_TWO_SIDE_TOWER_TASK']		正逆塔	1	
24	云雀歌未眠	MazeManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner104.png			10445	89013		['CONDITION_MAZE']		情人节迷宫		
25	行星环游记		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner108.png			10446	89015		['CONDITION_PLANET_RUNNING_ACTIVITY']		行星环游记		
26	拟聚纷争		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner110.png			10447	89016		['CONDITION_MONSTER_COMBAT_ACTIVITY']		BVB		
27	界限构解	Reform2ndManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner115.png			10337	81104		['CONDITION_REFORM_All_RED_POINT']		界限构解		
28	全境特遣·墟市猎商		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner213.png			10349	80176		['XRedPointConditionAreaWarActivity']		全境特遣		
29	远歌深潜	AreaWarManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner116.png			10339	20083		['XRedPointConditionKillZoneActivity']		杀戮无双		
30	御电携鸣·复刻	XCerberusGame	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner131.png		1050135	10448	90034		['CERBERUSE_GAME_CHECK_BTN_FASHION_STORY_RED', 'CERBERUSE_GAME_CHECK_BTN_FASHION_CHALLENGE_RED']		三头犬小队		
31	噬潮逃生:时隙之潮	EscapeManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner58.png			10423	82080		['XRedPointConditionEscapeTask']		大逃杀		
32	盛夏洄影纪	FubenSpecialTrainManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner80.png			10316	89025		['CONDITION_SPECIALTRAIN_RED']		联机休闲		
33	众志行征	GuildWarManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner119.png			10425	85016		['CONDITION_GUILDWAR_Main']		公会战		
34	步步荆棋	XBlackRockChessAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBannerFubenActivityBanner171.png			10455	89028		['CONDITION_BLACK_ROCK_CHESS_ENTRANCE']		步步荆棋	1	True
35	清夏漫迹		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner195.png			10341	89095		['CONDITION_FASHION_STORY_ENTRANCE']		涂装剧情		
36	镜焰迷城	XBlackRockStageAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner127.png			10443	89030				黑岩联动剧情	1	
37	舞动绮音	XTaikoMasterAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner69.png			10430	84010		['CONDITION_ACTIVITY_TAIKO_MASTER_TASK']		战双音游	1	
38	另世构想·海沙奇旅	XRogueSimAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner132.png			10457	89044		['CONDITION_ROGUESIM_ACTIVITY']		肉鸽模拟经营	1	
39	魔方弹跳乐	XDlcCasualAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner73.png			10458	89045		['CONDITION_DLC_CASUAL_ACTIVITY']		DLC魔方	1	
40	蒲牢修仙记	XKotodamaActivityAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner145.png			10459	89050		['CONDITION_KOTODAMA_MAIN']		蒲牢修仙记	1	
41	鲨鲨破坏王	XFangKuaiAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner153.png			10461	89049		['CONDITION_FANGKUAI_MAIN']		消灭方块	1	
42	新岁游园	XTempleAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner137.png			10463	89052		['CONDITION_TEMPLE_MAIN']		布置庙会	1	
43	联界枢行	XLinkCraftActivityAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner140.png			10465	89058		['CONDITION_LINKCRAFT_MAIN']		联界枢行	1	
44	拟像试炼	XBossInshotAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner178.png			10467	89061		['CONDITION_BOSS_INSHOT']		Boss跃升	1	
45	卧猫藏鼠	XDlcMultiMouseHunterAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner143.png			10464	89057		['CONDITION_DLC_MOUSE_HUNTER_ACTIVITY']		DLC躲猫猫	1	True
46	缘绘敦煌	XDunhuangAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner144.png			10466	89060		['CONDITION_DUNHUANG']		缘绘敦煌	1	
47	衍变测算	XMechanismActivityAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner147.png			10469	89063		['CONDITION_MECHANISM_MAIN']		机制玩法	1	
48	安梦小憩	XLineArithmeticAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner148.png			10468	89062		['CONDITION_LINE_ARITHMETIC']		万事连线	1	
49	花见游园	XTemple2Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner162.png			10472	89074		['CONDITION_TEMPLE2']		游园庙会	1	
50	全息回溯	XSimulateTrainAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner158.png			10474	89071		['CONDITION_SIMULATE_TRAIN']		全息回溯	1	
51	偷闲专递	XBagOrganizeActivityAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner184.png			10473	90020		['CONDITION_BAGORGANIZE_ANY']		背包整理	1	
52	擐甲执械	XSucceedBossAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner161.png			10471	89073		['CONDITION_SUCCEED_BOSS']		新高难boss	1	True
53	绵绵眠梦	XGame2048Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner164.png			10475	89075	7	['CONDITION_GAME2048_MAIN']		2048休闲	1	True
54	鸣神叹妙·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner154.png		1050112	10306	20256				涂装剧情		
55	溺梦游歌·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner136.png		1050113	10306	20258				涂装剧情		
56	拟论区行动	XFpsGameAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBannerFubenActivityBanner170.png			10477	89079		['CONDITION_FPSGAME_MAIN']		首席FPS	1	
57	战术研析汇编	XStageMemoryAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBannerStageMemory.png			10480	90010	5	['CONDITION_STAGE_MEMORY']		策划精选关	1	
58	焚朽魇月·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner170.png		1050134	10306	90030				涂装剧情		
59	异构阵线·绝境先锋	XMaverick3Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner173.png			10483	90011		['CONDITION_MAVERICK3_MAIN']		孤胆枪手	1	
60	指尖防卫战	XLuckyTenant2Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner172.png			10481	90014	2	['CONDITION_LUCKY_TENANT2']		幸运租客	1	
61	寰格牌律	XPcgAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner179.png			10485	90016		['CONDITION_PCG_ACTIVITY']		战双打牌	1	
62	瞬时恋语	XPokerGuessing2Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner201.png			10486	90018		['CONDITION_POKER_GUESSING2']		情人节翻牌3	1	
63	恋屿千年歌		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner180.png			10432	20245				涂装剧情		
64	永封裂隙	XScoreTowerAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner183.png			10488	89091		['CONDITION_SCORETOWER_MAIN']		永封裂隙	1	
65	淬身斩烬	XConnectingLineAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner189.png			10456	90023		['CONDITION_CONNECTING_LINE']		薇拉连线	1	
66	幻寂鸣泣曲	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner188.png			10306	90024		['CONDITION_ACTIVITY_FESTIVAL_DMC']	15010306	鬼泣联动剧情		
67	抢险敲敲敲	XPacMan2Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner192.png			10490	90025		['CONDITION_PACMAN2_NEW_STAGE']		吃豆人玩法	1	
68	心映繁景·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner121.png		1050136	10306	90031				涂装剧情		
69	憩梦穹森·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner83.png		1050137	10306	90032				涂装剧情		
70	梦栖宵暮		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner196.png			10432	90036				涂装剧情		
71	疾速追缉	XBountyChallengeAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner212.png			10492	89093		['CONDITION_BOUNTY_CHALLENGE']		悬赏挑战	1	
72	映射裁断	XSoloReformAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner223.png	45505		10353	89094		['CONDITION_SOLO_REFORM_MAIN']		mini改造	1	
73	纫纺裁艺	XLineArithmetic2Agency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner148.png			10468	89062		['CONDITION_LINE_ARITHMETIC']		连线2	1	
74	白梦游弋·复刻		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner102.png		1050218	1308	20292				涂装剧情		
75	鸣神叹妙·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner154.png		1050216	1308	20290				涂装剧情		
76	溺梦游歌·复刻	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner136.png		1050217	1308	20291				涂装剧情		
77	恋屿千年歌·复刻		Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner180.png		1050215	1308	20289				涂装剧情		
81	星间飞驰	XRaceAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner208.png			10354	89100	6	['CONDITION_RACE_MAIN']		赌马	1	
83	慈悲至观	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner209.png			1308	20299	3			涂装剧情		
84	超链协阵	XDlcRelinkAgency	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner216.png			10493	90047		['CONDITION_DLC_RELINK_MAIN']		DlcRelink	1	True
85	寐影帷声	FubenFestivalActivityManager	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner218.png			1308	20321	4			涂装剧情		
