Id	PeriodChapterIds	Name	Gender	HalfBodyImg	FullBodyImg	Text	MovieId	IsShow	IsVoiceover	CharacterIds
17	{1: 6046, 2: 6041, 3: 6038}	赛琳娜	她	Assets/Product/Texture/Image/RoleStory/SailinnaNormal05.png	Assets/Product/Texture/Image/RoleStory/SailinnaNormal05.png	一封贴有鸢尾花花瓣的信笺，信纸萦绕着一抹微不可察的香气，娟秀的文字间藏着呼之欲出的期许。	HD02911BA	{1: 0, 2: 1, 3: 1}	1	[1531003, 1531004, 1531005]
18	{1: 6046, 2: 6041, 3: 6038}	七实	她	Assets/Product/Texture/Image/RoleStory/QishichaoNormal01.png	Assets/Product/Texture/Image/RoleStory/QishichaoNormal01.png	等到你了，指挥官！准备接受七实为你准备的超级大惊喜了吗？	HD02924BA	{1: 0, 2: 0, 3: 1}		[1051001, 1051003, 1051004]
19	{1: 6046, 2: 6041, 3: 6038}	哈卡玛	她	Assets/Product/Texture/Image/RoleStory/HakamaNormal04.png	Assets/Product/Texture/Image/RoleStory/HakamaNormal04.png	您愿意帮我收集卡牌占卜的研究数据……？好，我会在商业街等您。	HD02905BA	{1: 1, 2: 1, 3: 1}		[1561003]
20	{1: 6046, 2: 6041, 3: 6038}	含英	她	Assets/Product/Texture/Image/RoleStory/V220hyNormal01.png	Assets/Product/Texture/Image/RoleStory/V220hyNormal01.png	字迹清雅的花笺，邀约的最后附着一串九龙的定位坐标。	HD02907BA	{1: 0, 2: 0, 3: 1}	1	[1241002]
21	{1: 6046, 2: 6041, 3: 6038}	比安卡	她	Assets/Product/Texture/Image/RoleStory/R3BiankaNormal01.png	Assets/Product/Texture/Image/RoleStory/R3BiankaNormal01.png	生日快乐，指挥官阁下……可以的话，今晚能在这里见面吗？我为您准备了礼物。	HD02919BA	{1: 0, 2: 1, 3: 1}		[1041002, 1041003, 1041004, 1041005]
22	{1: 6046, 2: 6041, 3: 6038}	罗塞塔	她	Assets/Product/Texture/Image/RoleStory/LuosaitaNormal06.png	Assets/Product/Texture/Image/RoleStory/LuosaitaNormal06.png	指挥官，守林人的伙伴为你准备了生日庆祝会，有时间的话，要和我一起去看看吗？	HD02926BA	{1: 1, 2: 1, 3: 1}		[1141003]
23	{1: 6046, 2: 6041, 3: 6038}	薇拉	她	Assets/Product/Texture/Image/RoleStory/R2WeilaNormal01.png	Assets/Product/Texture/Image/RoleStory/R2WeilaNormal01.png	要我陪你过生日？想好了，可是会让你这辈子都忘不掉的。	HD02927BA	{1: 0, 2: 1, 3: 1}		[1131002, 1131003, 1131004]
24	{1: 6046, 2: 6041, 3: 6038}	21号	她	Assets/Product/Texture/Image/RoleStory/V23021Normal01.png	Assets/Product/Texture/Image/RoleStory/V23021Normal01.png	会让【kuroname】惊讶到张大嘴巴的惊喜，来验收。	HD02909BA	{1: 1, 2: 1, 3: 1}		[1221002, 1221003]
25	{1: 6046, 2: 6041, 3: 6038}	诺克提	他	Assets/Product/Texture/Image/RoleStory/V240nktNormal06.png	Assets/Product/Texture/Image/RoleStory/V240nktNormal06.png	走！今天可是你的生日，咱们不醉不归！	HD02906BA	{1: 1, 2: 1, 3: 1}		[1251002]
26	{1: 6046, 2: 6041, 3: 6038}	曲	她	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	堆满终端的祝福信息里并没有看到曲的名字，是因为还有很多要处理的事吗……要不要晚些去问候一下？	HD02921BA	{1: 0, 2: 0, 3: 1}	1	[1521003, 1521004]
27	{1: 6046, 2: 6041, 3: 6038}	蒲牢	她	Assets/Product/Texture/Image/RoleStory/PulaoNormal04.png	Assets/Product/Texture/Image/RoleStory/PulaoNormal04.png	指挥官来啦！你先闭上眼，放心跟我走就好啦！	HD02904BA	{1: 1, 2: 1, 3: 1}		[1551003]
28	{1: 6046, 2: 6041, 3: 6038}	邦比娜塔	她	Assets/Product/Texture/Image/RoleStory/V130bbntNormal01.png	Assets/Product/Texture/Image/RoleStory/V130bbntNormal01.png	桌旁找到了一张纸条，上面有谁多次写下又擦掉的字迹，是谁在担心忘记什么重要的事吗？	HD02908BA	{1: 1, 2: 1, 3: 1}	1	[1231002]
29	{1: 6046, 2: 6041, 3: 6038}	诺安	他	Assets/Product/Texture/Image/RoleStory/NuoanNormal01.png	Assets/Product/Texture/Image/RoleStory/NuoanNormal01.png	人声渐息，灯影如萤火般闪烁。总有人在夜的深处等你，一如从不失约的灯火。	HD02912BA	{1: 1, 2: 1, 3: 1}	1	[1571003]
30	{1: 6046, 2: 6041, 3: 6038}	回音	她	Assets/Product/Texture/Image/RoleStory/V200hyNormal01.png	Assets/Product/Texture/Image/RoleStory/V200hyNormal01.png	白色信封带着手工折出来的痕迹，封口处端端正正写着“灰鸦小队指挥官【kuroname】收启，寄信人：回音”	HD02930BA	{1: 1, 2: 1, 3: 1}	1	[1261003]
31	{1: 6046, 2: 6041}	伊什梅尔	她	Assets/Product/Texture/Image/RoleStory/V3000CbzNormal05.png	Assets/Product/Texture/Image/RoleStory/V3000CbzNormal05.png	今天是个特别的日子，很适合做些特别的事情，对吗？	HD03905BA	{1: 1, 2: 1}		[1321003]
32	{1: 6046, 2: 6041}	露娜	她	Assets/Product/Texture/Image/RoleStory/V2110lnNormal06.png	Assets/Product/Texture/Image/RoleStory/V2110lnNormal06.png	已经找到了画面中的场景，或许等待一会儿，露娜就会出现。	HD03904BA	{1: 1, 2: 1}	1	[1171003, 1171004]
33	{1: 6046, 2: 6041}	曲	她	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	今晚在山顶的约定，你应当没有忘记。我会等你。	HD03902BA	{1: 1, 2: 1}		[1521003, 1521004]
34	{1: 6046, 2: 6041}	含英	她	Assets/Product/Texture/Image/RoleStory/V2130hyNormal01.png	Assets/Product/Texture/Image/RoleStory/V2130hyNormal01.png	漫步在细雨过后的山林小径，能隐隐望见冒着炊烟的小屋，那里便是与她约定的地方。	HD03909BA	{1: 1, 2: 1}	1	[1241002, 1241003]
35	{1: 6046, 2: 6041}	七实	她	Assets/Product/Texture/Image/RoleStory/V2170qsNormal02.png	Assets/Product/Texture/Image/RoleStory/V2170qsNormal02.png	指挥官，七实为你准备了超级超级大惊喜，坐标发给你啦，快来这边！	HD03906BA	{1: 1, 2: 1}		[1051001, 1051003, 1051004, 1051005]
36	{1: 6046, 2: 6041}	露西亚	她	Assets/Product/Texture/Image/RoleStory/V2150lxyNormal14.png	Assets/Product/Texture/Image/RoleStory/V2150lxyNormal14.png	今天的任务提前结束了，露西亚似乎正一个人呆在影像体验馆，去看看她在做什么吧。	HD03907BA	{1: 1, 2: 1}	1	[1021001, 1021002, 1021004, 1021006]
37	{1: 6046, 2: 6041}	布偶熊	她	Assets/Product/Texture/Image/RoleStory/V2100boxNormal01.png	Assets/Product/Texture/Image/RoleStory/V2100boxNormal01.png	你已经猜到我想说什么了吧？那就过来吧，我会对你亲自说。	HD03903BA	{1: 1, 2: 1}		[1291002]
38	{1: 6046, 2: 6041}	布丽姬特	她	Assets/Product/Texture/Image/RoleStory/V2120bljtNormal01.png	Assets/Product/Texture/Image/RoleStory/V2120bljtNormal01.png	今晚十点，保育区户外靶场见。运输机我已经订好了，不见不散~	HD03910BA	{1: 1, 2: 1}		[1301002]
39	{1: 6046, 2: 6041}	八咫	她	Assets/Product/Texture/Image/RoleStory/V2160bqNormal01.png	Assets/Product/Texture/Image/RoleStory/V2160bqNormal01.png	灰鸦指挥官，我最近发现了一个很适合放松身心的地方，跟上，我们现在就出发。	HD03908BA	{1: 1, 2: 1}		[1311002]
40	{1: 6046, 2: 6041}	万事	他	Assets/Product/Texture/Image/RoleStory/V2140wssNormal01.png	Assets/Product/Texture/Image/RoleStory/V2140wssNormal01.png	日暖舒适，今天可真是个睡懒觉的好日子，但万事好像早早起床，他在做什么呢？	HD03911BA	{1: 1, 2: 1}	1	[1211002, 1211003]
43	{1: 6046}	莉莉丝	她	Assets/Product/Texture/Image/RoleStory/V3100llsNormal01.png	Assets/Product/Texture/Image/RoleStory/V3100llsNormal01.png	你不会想到埃莉诺会以什么样“不讲道理”的方式来给你庆贺生日。她最好真的是来庆贺的，在此之前，请保持耐心，并做好充足的准备。	HD04801BA	{1: 1}	1	[1331003]
44	{1: 6046}	赛琳娜	她	Assets/Product/Texture/Image/RoleStory/V3200saiNormal13.png	Assets/Product/Texture/Image/RoleStory/V3200saiNormal13.png	她似乎在礼物里藏下了一个只有你能读懂的暗语，在这短短的一天内，和她一起解开这个少女埋在心里的“秘密”吧。	HD04802BA	{1: 1}	1	[1531003, 1531004, 1531005]
45	{1: 6046}	洁塔薇	她	Assets/Product/Texture/Image/RoleStory/V3300jtwNormal02.png	Assets/Product/Texture/Image/RoleStory/V3300jtwNormal02.png	世界末日总是会在某一天降临，谁知道呢……说不定那一天——就是你的生日？	HD04803BA	{1: 1}	1	[1341002]
46	{1: 6046}	薇拉	她	Assets/Product/Texture/Image/RoleStory/V3400wlNormal12.png	Assets/Product/Texture/Image/RoleStory/V3400wlNormal12.png	怎么有股危险的气味......希望不会是过于三头犬风格的庆生方式。	HD04804BA	{1: 1}	1	[1131002, 1131003, 1131004]
47	{1: 6046}	比安卡	她	Assets/Product/Texture/Image/RoleStory/V3600BiankaNormal04.png	Assets/Product/Texture/Image/RoleStory/V3600BiankaNormal04.png	按照比安卡的邀约，前往她的房间与她见面吧。	HD04805BA	{1: 1}	1	[1041002, 1041003, 1041004, 1041005]
48	{1: 6046}	斜奏	她	Assets/Product/Texture/Image/RoleStory/V3700xzNormal02.png	Assets/Product/Texture/Image/RoleStory/V3700xzNormal02.png	斜奏约自己在康斯塔雷耶见面，好像有什么比赛？快去见她吧。	HD04806BA	{1: 1}	1	[1371002]
49	{1: 6046}	维罗妮卡	她	Assets/Product/Texture/Image/RoleStory/V3800wlnkNormal09.png	Assets/Product/Texture/Image/RoleStory/V3800wlnkNormal09.png	终端中接到了一条维罗妮卡发来的带具体坐标的通讯，似乎是希望你前往她指定的地点去见她。	HD04807BA	{1: 1}	1	[1381003]
50	{1: 6046}	丽芙	她	Assets/Product/Texture/Image/RoleStory/V4000LifuNormal04.png	Assets/Product/Texture/Image/RoleStory/V4000LifuNormal04.png	指挥官，最新的生命检测系统已经准备好了，我会在咖啡厅等你来。	HD04808BA	{1: 1}		[1031001, 1031002, 1031003, 1031004, 1031005]
