Id	Name	ConditionId	DisappearConditionId	Desc	Head	HeadCircle	AnimConditionId	AnimName
3305	Rumyantsev			One of the Frostheart Warlords, a heroic general with formidable combat prowess.	Assets/Product/Texture/Image/RoleCharacter/FushenNomal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3306	Fyodor			One of the Frostheart Warlords, a cunning commander skilled in underhanded tactics.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadFeiduoer.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3307	Mina			A new-generation Arctic scholar with formidable drive.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadMina.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3308	Dr. Bear			Mina's assistant, modified with combat capabilities that exceed those of regular mechanoids.	Assets/Product/Texture/Image/RoleCharacter/XiongrenNormal02.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3309	Unknown Enemy	1007227		Details Unknown	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3310	Hetero-Creature	1007212	1007213	A Hetero-Creature that appeared suddenly.	Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3311	Zack	1007214		Zack the Frostheart Emperor, instigator of the war, fighting to amalgamate the world.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadZhake.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3312	Duryodhana			An Ascendant of unknown affiliation who crushes the battlefield with violence and savage fury.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadNandi.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3401	Rosetta			Chief Commander of the alliance forces, fighting to defend the Arctic region.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luosaita1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png	1007218	AnimBuffAwaken
3402	Lee			Gray Raven member who excels at sniping and independent operations.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3403	Simon			"Commandant of Dark Aries, serving as ""the other chief commander."""	Assets/Product/Texture/Image/RoleCharacter/XimengNormal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3404	Rumyantsev			One of the Frostheart Warlords, a heroic general with formidable combat prowess.	Assets/Product/Texture/Image/RoleCharacter/FushenNomal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3405	Fyodor			One of the Frostheart Warlords, a cunning commander skilled in underhanded tactics.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadFeiduoer.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3406	Mina			A new-generation Arctic scholar with formidable drive.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadMina.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3407	Dr. Bear			Mina's assistant, modified with combat capabilities that exceed those of regular mechanoids.	Assets/Product/Texture/Image/RoleCharacter/XiongrenNormal02.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3408	Unknown Enemy			Details Unknown	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3409	Hetero-Creature			A Hetero-Creature that appeared suddenly.	Assets/Product/Texture/Image/RoleMonster/RoleMonster93311.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3410	Zack			Zack the Frostheart Emperor, instigator of the war, fighting to amalgamate the world.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadZhake.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3411	Duryodhana			An Ascendant of unknown affiliation who crushes the battlefield with violence and savage fury.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadNandi.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot2.png		
3412	Diana	1007217		"Another Forest Guard ""captain"" who brings reinforcements back to the battlefield."	Assets/Product/Texture/Image/RoleCharacter/IceguideNomal.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
3413	Rosetta			Chief Commander of the alliance forces, fighting to defend the Arctic region.	Assets/Product/Texture/Image/RoleCharacter/FushenNomal01.png	Assets/Product/Texture/Atlas/UiMainLineLuosaita/UiMainLineLuosaitaGridPlot.png		
